date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker patronage	defender patronage	comment	replay
19/08 22:00	54809137	Spartan	1005067	Оли Баб Себ Айз Ара Авр	61407445	BAHO	834327	Лир Неб Ори Авг Дор Хор	20	Акс(5416) Фен(6376) Оли(8066) Аль(11064) Мер(7026)	Оли(5161) Каи(5008) Хор(8554) Аль(5116) Акс(2631)		https://www.hero-wars.com?replay_id=1755630032729673409	
19/08 21:35	55006435	Пунь Пунь	949759	Аль Дор Хай Айз Ясм Аст	55107392	PURGE no MERCY	942502	Авр Дан Сел Айз Ори Аль	20	Мер(3223) Аль(10154) Акс(4033) Каи(11064) Оли(3413)	Оли(7804) Каи(6356) Акс(4980) Мар(6244) Хор(7868)		https://www.hero-wars.com?replay_id=1755628558675964640	
19/08 21:11	55006435	Пунь Пунь	876936	Хор Дор Хай Неб Айз Ясм	54806721	Frank +8	1107200	Авр Неб Хай Ори Тея Каи	20	Мер(3223) Аль(10154)  ###  Акс(4033) Каи(11064)	Мер(6484) Каи(11064) Аль(5683) Акс(11064) Мар(10154)		https://www.hero-wars.com?replay_id=1755627114160831290	
19/08 20:50	55003119	3.14_ZDETS	1007039	Каи Дор Авг Ори Неб Дан	55072940	T6 	1046312	Аст Кей Дан Фол Дже Аль	20	Мер(3623) Акс(7538) Хор(10154)  ###  Каи(10154)	Оли(5419) Аль(7460) Каи(7868) Бис(3973) Акс(9526)		https://www.hero-wars.com?replay_id=1755625833731923232	
19/08 20:39	61462867	Dark Side	1110361	Акс Себ Неб Айз Исм Лир	61518553	Nemesis	1102856	Лир Неб Ори Авг Дор Хор	20	Аль(6676) Каи(11064) Мар(9428) Оли(8346) Бис(5766)	Оли(8518) Каи(9090) Мер(9692) Аль(10154) Акс(10154)		https://www.hero-wars.com?replay_id=1755625172369209082	
19/08 18:12	61518392	DronoOb	1025567	Хор Айр Авг Ори Неб Дан	61411830	Rom	859400	Дан Неб Ори Авг Дор Хор	20	Аль(4767) Хор(11064) Акс(9902)  ###  Каи(10154)	Каи(11064)  ###  Акс(5766) Аль(5766) Мер(4773)		https://www.hero-wars.com?replay_id=1755616362568969066	
19/08 18:12	61518392	DronoOb	1025567	Хор Айр Авг Ори Неб Дан	61465257	The BIG	922538	Гал Джу Неб Себ Баб Аль	20	Аль(4767) Хор(11064) Акс(9902)  ###  Каи(10154)	Оли(6664) Век(5847) Каи(5760) Аль(8922) Акс(5902)		https://www.hero-wars.com?replay_id=1755616328562711541	
19/08 17:48	61462934	Kamul27rus	957156	Хор Тея Ори Неб Ясм Лир	55308465	Misty	1023777	Ясм Ара Джу Лар Тея Акс	20	Акс(4245) Мер(8108) Каи(8108) Аль(10154) Оли(6484)	Каи(6894) Мар(7804) Аль(6894) Хор(6244) Акс(9504)		https://www.hero-wars.com?replay_id=1755614928055050217	
19/08 17:07	55003119	3.14_ZDETS	1007040	Хор Дор Авг Ори Неб Дан	54811733	Kevin	1138201	Дан Неб Ори Авг Дор Хор	20	Мер(3623) Хор(10154) Акс(7538)  ###  Каи(10154)	Каи(11064)  ###  Хор(11064) Аль(11064) Акс(10154)		https://www.hero-wars.com?replay_id=1755612476567541653	
19/08 15:45	55029462	RINk	1005433	Акс Айр Эйд Кир Лир Крв	61406476	Джуманджи	1142347	Аст Кей Джу Неб Себ Оли	20	Бис(5956) Хор(9538) Век(6894) Оли(6894) Аль(11064)	Акс(4773) Аль(11064) Фен(6894) Каи(10154) Оли(11064)		https://www.hero-wars.com?replay_id=1755607558013299462	
19/08 15:38	61462934	Kamul27rus	1010092	Аль Тея Ори Неб Ясм Лир	54809137	Spartan	1096778	Авр Ясм Ара Себ Тея Каи	20	Акс(3885) Мер(8108) Каи(8108) Аль(10154) Оли(6484)	Мер(7026) Каи(9504) Аль(11064) Фен(6376) Акс(5416)		https://www.hero-wars.com?replay_id=1755607096689485688	
19/08 15:35	61357137	Оди	984295	Хор Пол Эйд Себ Айз Ами	61518593	FOCUS POTUS	1036187	Лир Неб Ори Авг Дор Хор	20	Бис(6949) Хор(9428) Аль(9428) Мар(6949) Акс(9428)	Оли(10394) Каи(10154) Хор(11064) Аль(8728) Акс(5766)		https://www.hero-wars.com?replay_id=1755606934672098153	
19/08 15:29	61462886	Nergal	1073885	Аль Ори Неб Ясм Лир Крв	54922244	BlueCup	970646	Кей Дан Неб Ори Айр Аль	20	Мер(8628) Каи(4123) Фен(4963) Оли(5715) Аль(11064)	Аль(11064) Каи(8546)  ###  Мер(4767) Бис(4717)		https://www.hero-wars.com?replay_id=1755606566612814873	
