date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
09/02 22:51	47966329	GNoN13	1056835	Век(164) Эйд(159) ЛаК(211) Себ(185) Неб(166) Лир(171)	61882154	Виларт	1057625	Аст(180) Лир(182) Исм(199) Себ(178) Фла(137) Акс(182)	9	Хор(5766) Век(11064) Аль(8518) Каи(2456) Оли(8518)	Оли(6066) Бис(5116) Фен(4313) Аль(5306) Акс(11064)		-Л	Б	"упадка (минус Лечение)
6/12 брони
6/12 пробивания брони
9/12 физической атаки   "	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	https://www.hero-wars.com?replay_id=1770666678829283972	
09/02 22:49	61869535	PUSH	991469	Хор(155) Дор(173) Авг(180) Ори(201) Фла(125) Эле(157)	61882156	3.14_ZDETS	1147024	Гал(191) Лир(183) Исм(202) Неб(198) Себ(191) Хор(182)	20	Акс(9428) Аль(9428) Хор(9428) Мер(8382) Оли(7422)	Оли(11064) Бис(5417) Фен(7932) Каи(10154) Аль(11064)		С	Б	"стужи
6/12 защиты от критических ударов
6/12 пробивания защиты от магии
6/12 магической атаки   "	"стремительных бойцов
8/12 физической атаки
8/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1770666572105815727	
09/02 22:48	61869535	PUSH	1136675	Акс(157) Эйд(188) ЛаК(219) Себ(197) Неб(194) Лир(182)	61882154	Виларт	1057625	Аст(180) Лир(182) Исм(199) Себ(178) Фла(137) Акс(182)	11	Хор(9428) Век(8110) Аль(9428) Каи(8518) Оли(7422)	Оли(6066) Бис(5116) Фен(4313) Аль(5306) Акс(11064)		Э	Б	"готовности (Энергия)
10/12 физической атаки
6/12 брони
11/12 пробивания брони   "	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	https://www.hero-wars.com?replay_id=1770666514413221883	
09/02 22:40	62045140	RidersofStorm	1022954	Акс(182) Баб(159) Себ(145) Неб(186) Дан(190) Лир(160)	61882168	Тема	1044066	Дан(193) Неб(174) Ори(195) Авг(172) Дор(157) Хор(153)	6	Акс(11064) Аль(8518) Каи(5777) Фен(5153) Оли(4773)	Каи(9428)  ###  Акс(9428) Аль(9428) Мер(3973)		С	П	"стужи
8/12 пробивания брони
5/12 меткости
8/12 физической атаки   "	"силы питомцев
9/12 меткости
6/12 магической защиты
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1770666057290917159	
09/02 22:18	48013236	Captn SpaceBuns	994891	Оли(182) Баб(152) Сел(161) Ясм(151) Кей(178) Гал(171)	61882168	Тема	1044066	Дан(193) Неб(174) Ори(195) Авг(172) Дор(157) Хор(153)	3	Акс(9834) Хор(4123) Каи(4773) Аль(5766) Оли(11064)	Каи(9428)  ###  Акс(9428) Аль(9428) Мер(3973)		Т	П	"воодушевления (Танки)
9/12 меткости
11/12 магической атаки
5/12 магической защиты   "	"силы питомцев
9/12 меткости
6/12 магической защиты
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1770664718705155440	
09/02 22:17	48013236	Captn SpaceBuns	994891	Оли(182) Баб(152) Сел(161) Ясм(151) Кей(178) Гал(171)	61882168	Тема	1044066	Дан(193) Неб(174) Ори(195) Авг(172) Дор(157) Хор(153)	2	Акс(9834) Хор(4123) Каи(4773) Аль(5766) Оли(11064)	Каи(9428)  ###  Акс(9428) Аль(9428) Мер(3973)		Т	П	"воодушевления (Танки)
9/12 меткости
11/12 магической атаки
5/12 магической защиты   "	"силы питомцев
9/12 меткости
6/12 магической защиты
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1770664669157493671	
09/02 22:15	61876335	Falkia	983076	Акс(182) ЛаК(148) Себ(157) Неб(169) Лир(156) Аст(171)	61882168	Тема	1044066	Дан(193) Неб(174) Ори(195) Авг(172) Дор(157) Хор(153)	9	Фен(4783) Аль(11064) Каи(10154) Бис(4773) Акс(11064)	Каи(9428)  ###  Акс(9428) Аль(9428) Мер(3973)		Т	П	"воодушевления (Танки)
10/12 пробивания брони
8/12 магической атаки
6/12 магической защиты   "	"силы питомцев
9/12 меткости
6/12 магической защиты
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1770664559426560808	
09/02 22:15	61876335	Falkia	983076	Акс(182) ЛаК(148) Себ(157) Неб(169) Лир(156) Аст(171)	47866200	Алый Стервь	1011371	Дан(200) Неб(154) Ори(186) Авг(174) Дор(139) Хор(158)	20	Фен(4783) Аль(11064) Каи(10154) Бис(4773) Акс(11064)	Каи(11064)  ###  Хор(9527) Мер(9428) Акс(6664)		Т	П	"воодушевления (Танки)
10/12 пробивания брони
8/12 магической атаки
6/12 магической защиты   "	"силы питомцев
10/12 физической атаки
10/12 магической атаки
8/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1770664508157848176	
09/02 21:24	48319952	Kit	983579	Аль(182) Крн(156) Себ(142) Джу(182) Мор(161) Лир(160)	61882196	Wren	1072826	Лир(172) Себ(196) ЛаК(208) Дже(142) Фаф(173) Акс(182)	1	Оли(8518)  ###  Аль(11064) Акс(9428) Фен(8518)	Бис(4773) Аль(10154) Фен(8799) Оли(4806) Мар(4823)		-Л	С	"упадка (минус Лечение)
6/12 меткости
9/12 магической защиты
10/12 магической атаки   "	"стужи
6/12 физической атаки
10/12 меткости
6/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1770661449401951267	
09/02 21:22	48319952	Kit	999884	Аль(182) Крн(156) Джу(182) Мор(161) Ара(158) Лир(160)	61991077	3ve	1065420	Лир(183) Ясм(190) Себ(169) ЛаК(215) Эйд(154) Оли(155)	0	Оли(8518) Аль(11064) Акс(9428) Мар(9428) Фен(8518)	Оли(9428) Фен(9428) Аль(11064) Век(6940) Хор(8518)		-Л	Б	"упадка (минус Лечение)
6/12 меткости
9/12 магической защиты
10/12 магической атаки   "	"стремительных бойцов
8/12 физической атаки
6/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1770661378361552000	
