date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
19/02 22:59	61869322	Keep-Walking	854447	Тен(239) Эде(127) Ара(125) Сол(221) Риг(142)	61958839	Бальдр	1130562	Анг(240) Ава(222) Вер(206) Эде(223) Сил(240)	6				С2-74	Д6-130	"   "	"ШГ5 ЭЭ3  "	https://www.hero-wars.com?replay_id=1771531168456123941	
19/02 22:38	61876335	Falkia	971831	Игн(157) Тен(252) Ара(192) Аше(164) Мол(206)	61882137	G_G	1012598	Бру(228) Мор(181) Сол(206) Ияр(194) Тен(205)	19				О6-130	Т6-130 С6-130	"ЛП1 ЗС2  "	"ТП5 ЭЭ2 ЛП4 ТК5"	https://www.hero-wars.com?replay_id=1771529916382543389	
19/02 22:37	61876335	Falkia	971831	Игн(157) Тен(252) Ара(192) Аше(164) Мол(206)	61958839	Бальдр	1130562	Анг(240) Ава(222) Вер(206) Эде(223) Сил(240)	12				О6-130	Д6-130	"ЛП1 ЗС2  "	"ШГ5 ЭЭ3  "	https://www.hero-wars.com?replay_id=1771529873805456276	
19/02 21:57	61909146	Tyrael	812760	Сил(183) Эде(203) Ара(122) Аше(98) Анг(206)	62070560	iCool	1005271	Сиг(173) Бру(199) Нов(189) Гип(174) Тен(270)	19				Д4-130 О0-1	В6-130 Т6-130	"ЛП2 ТК5  "	"ШГ2 ПД2 ПВ2 ЗС2"	https://www.hero-wars.com?replay_id=1771527447537879965	
19/02 21:57	61909146	Tyrael	812760	Сил(183) Эде(203) Ара(122) Аше(98) Анг(206)	61882177	Rom	1013884	Сиг(212) Нов(196) Вер(192) Эде(202) Гип(213)	12				Д4-130 О0-1	В6-130 Д6-130	"ЛП2 ТК5  "	"ГС4 ПД3 ЛП3 ЭЭ4"	https://www.hero-wars.com?replay_id=1771527429710973289	
19/02 21:34	61869426	Fireburst	845514	Тен(239) Гип(170) Эде(160) Вер(104) Бру(173)	61882177	Rom	1013884	Сиг(212) Нов(196) Вер(192) Эде(202) Гип(213)	2				Т3-96 Д2-72	В6-130 Д6-130	"ЛП1 ТК3 ЛП1 ПР5"	"ГС4 ПД3 ЛП3 ЭЭ4"	https://www.hero-wars.com?replay_id=1771526071173092897	
19/02 21:33	61869426	Fireburst	909257	Тен(239) Гип(170) Эде(160) Ара(167) Бру(173)	61882177	Rom	1013884	Сиг(212) Нов(196) Вер(192) Эде(202) Гип(213)	6				Т3-96	В6-130 Д6-130	"ЛП1 ТК3  "	"ГС4 ПД3 ЛП3 ЭЭ4"	https://www.hero-wars.com?replay_id=1771525984321662688	
19/02 21:20	61869329	Shaktisho	857846	Игн(163) Тен(192) Ара(154) Сол(175) Мол(174)	61882140	ПасТырЪ	1263986	Бру(240) Риг(228) Мор(206) Сол(286) Тен(303)	2				О3-95	Т6-130 С6-130	"ПВ4 ПД2  "	"ГН5 ТК5 ЛП2 ЗС3"	https://www.hero-wars.com?replay_id=1771525248349169586	
19/02 21:20	61869329	Shaktisho	857846	Игн(163) Тен(192) Ара(154) Сол(175) Мол(174)	61882212	Оди	1276005	Сиг(223) Кер(231) Сол(296) Ияр(233) Тен(293)	3				О3-95	Т6-130 С6-130	"ПВ4 ПД2  "	"ГН5 ТК3 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1771525234954551119	
19/02 20:33	61869528	Faenris	792011	Тен(168) Гип(189) Сол(149) Нов(120) Сиг(166)	61882212	Оди	1276005	Сиг(223) Кер(231) Сол(296) Ияр(233) Тен(293)	2				В2-108	Т6-130 С6-130	"ШГ2 ПД3  "	"ГН5 ТК3 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1771522428634838965	
