date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
09/03 21:28	48001554	tosemja47	1065957	Гип(218) Ара(195) Маи(218) Нов(218) Сиг(218)	61882250	Kamul27rus	1351791	Бру(217) Риг(269) Мор(237) Сол(314) Тен(315)	5				В6-130	Т6-130 С6-130	"ШГ2 ТК4  "	"ГН5 ТК3 ЛП4 ЗС4"	https://www.hero-wars.com?replay_id=1773080924036602672	
09/03 19:32	48324928	Casper	1249821	Тен(298) Ияр(224) Сол(298) Риг(213) Бру(216)	61882250	Kamul27rus	1351791	Бру(217) Риг(269) Мор(237) Сол(314) Тен(315)	15				Т6-130 С5-130	Т6-130 С6-130	"ГС1 ТК2 ШГ1 ЗС4"	"ГН5 ТК3 ЛП4 ЗС4"	https://www.hero-wars.com?replay_id=1773073948154470630	
09/03 18:36	61882142	B.i.G	986989	Игн(206) Гип(175) Ара(205) Аше(196) Мол(205)	47853786	Cheesy Chips	1191245	Риг(244) Кер(224) Сол(267) Ара(178) Тен(279)	20				О6-130	Т6-95 С6-81	"ГС3 ПД2  "	"ЛП2 ЗС3 ПВ2 ПД4"	https://www.hero-wars.com?replay_id=1773070580204189896	
09/03 18:35	61882142	B.i.G	1063833	Ияр(218) Ара(205) Сол(240) Аше(196) Мол(205)	48324928	Casper	1248849	Бру(216) Сол(298) Ияр(224) Гип(213) Тен(298)	20				О6-130 С3-130	Т6-130 С5-130	"ГС3 ПД2 ГН2 ЗС3"	"ГС1 ТК2 ШГ1 ЗС4"	https://www.hero-wars.com?replay_id=1773070525461569337	
09/03 18:14	48247400	Albator	1076491	Гип(220) Маи(220) Тид(198) Нов(220) Сиг(220)	61882168	Тема	1149773	Бру(242) Мор(188) Кер(237) Эде(187) Тен(296)	2				В6-130	Т6-130	"ШГ3 ПД4  "	"ЛП2 ПД4  "	https://www.hero-wars.com?replay_id=1773069292687841366	
09/03 18:14	48247400	Albator	1076491	Гип(220) Маи(220) Тид(198) Нов(220) Сиг(220)	61882212	Оди	1278069	Сиг(225) Кер(231) Сол(296) Ияр(233) Тен(293)	10				В6-130	Т6-130 С6-130	"ШГ3 ПД4  "	"ГН5 ТК3 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1773069260816080812	
09/03 18:00	61882154	Виларт	1049002	Гип(225) Маи(205) Аше(196) Нов(219) Мол(203)	48422091	Jubei	1129029	Анг(230) Мор(191) Эде(213) Тен(286) Сил(209)	2				В6-130 О6-130	Д6-116 Т1-96	"ЛП5 ТК5 ПВ4 ПР3"	"ГС2 ПД3 ПВ1 ПД3"	https://www.hero-wars.com?replay_id=1773068404400828379	
09/03 16:18	48554311	icedancer	1180519	Тен(297) Сол(274) Мор(217) Риг(186) Бру(207)	61882168	Тема	1149773	Бру(242) Мор(188) Кер(237) Эде(187) Тен(296)	16				Т6-81 С1-18	Т6-130	"ШГ2 ПД4 ТП1 ЗС3"	"ЛП2 ПД4  "	https://www.hero-wars.com?replay_id=1773062303092437467	
09/03 16:08	48422091	Jubei	1129029	Сил(209) Тен(286) Эде(213) Мор(191) Анг(230)	62070560	iCool	885662	Сиг(173) Нов(189) Тид(199) Маи(149) Гип(176)	12				Д6-116 Т1-96	В6-130	"ГС2 ПД3 ПВ1 ПД3"	"ШГ2 ПД2  "	https://www.hero-wars.com?replay_id=1773061686124577547	
09/03 16:07	48422091	Jubei	1129029	Сил(209) Тен(286) Эде(213) Мор(191) Анг(230)	47866200	Алый Стервь	1091094	Мол(221) Ара(221) Эде(186) Тен(243) Игн(220)	1				Д6-116 Т1-96	О6-124	"ГС2 ПД3 ПВ1 ПД3"	"ПВ5 ПР3  "	https://www.hero-wars.com?replay_id=1773061671052646688	
09/03 15:49	48433803	shunt 48433803	1125925	Тен(291) Гип(212) Тид(195) Бру(236) Сиг(193)	61958839	Бальдр	1158611	Анг(242) Ава(242) Вер(208) Эде(225) Сил(242)	3				Т5-120 В5-119	Д6-130	"ГН3 ТК3 ШГ3 ПД5"	"ШГ5 ЭЭ5  "	https://www.hero-wars.com?replay_id=1773060541234735276	
09/03 15:48	47866200	Алый Стервь	1091094	Игн(220) Тен(243) Эде(186) Ара(221) Мол(221)	48433803	shunt 48433803	1139831	Бру(236) Вер(189) Эде(212) Гип(212) Тен(291)	20				О6-124	Т5-120 Д5-120	"ПВ5 ПР3  "	"ГН3 ТК3 ГС4 ЭЭ3"	https://www.hero-wars.com?replay_id=1773060500614638247	
09/03 15:48	48433803	shunt 48433803	1125925	Тен(291) Гип(212) Тид(195) Бру(236) Сиг(193)	61882154	Виларт	1165318	Сиг(225) Мор(210) Тид(198) Гип(225) Тен(308)	9				Т5-120 В5-119	В6-130 Т6-127	"ГН3 ТК3 ШГ3 ПД5"	"ЛП5 ТК5 ГН3 ЗС4"	https://www.hero-wars.com?replay_id=1773060498096425589	
09/03 15:39	61882168	Тема	1149773	Тен(296) Эде(187) Кер(237) Мор(188) Бру(242)	48001554	tosemja47	1043226	Сиг(218) Нов(218) Ара(195) Эде(195) Гип(218)	20				Т6-130	В6-130	"ЛП2 ПД4  "	"ШГ2 ТК4  "	https://www.hero-wars.com?replay_id=1773059966691483048	
09/03 15:32	48476553	JEY MAGICIAN	1213050	Гип(217) Ияр(251) Сол(312) Тид(200) Сиг(233)	61883387	FEDOR	1191624	Бру(203) Тид(206) Сол(272) Гип(220) Тен(291)	20				В6-130 С6-130	В6-130 Т3-102	"ШГ2 ЗС3 ТП4 ЗС3"	"ШГ4 ПД5 ЛП2 ПР3"	https://www.hero-wars.com?replay_id=1773059560536048737	
09/03 15:32	48476553	JEY MAGICIAN	1247395	Гип(217) Ияр(251) Сол(312) Тид(200) Риг(267)	61882154	Виларт	1165318	Сиг(225) Мор(210) Тид(198) Гип(225) Тен(308)	11				С6-130 В6-130	В6-130 Т6-127	"ТП4 ЗС3 ШГ2 ЗС3"	"ЛП5 ТК5 ГН3 ЗС4"	https://www.hero-wars.com?replay_id=1773059520810021908	
09/03 15:21	61882250	Kamul27rus	1366562	Тен(315) Ияр(252) Сол(314) Риг(269) Бру(217)	48362432	Bumbler	1002488	Сиг(207) Нов(199) Вер(185) Эде(204) Гип(207)	20				С6-130 Т6-130	В6-115 Д6-78	"ЛП4 ЗС4 ГН5 ТК3"	"ЛП3 ПД3 ТП5 ТК3"	https://www.hero-wars.com?replay_id=1773058867938545352	
