date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker patronage	defender patronage	replay
01/07 20:36	55003119	3.14_zDeTs	988654	Хор Дор Авг Ори Хай Дан	55294213	Hunter	1156476	Дан Сел Неб Ори Лар Мер	20	Мер(3148) Аль(6484) Хор(10154) Акс(5037) Каи(10154)	Фен(10154) Акс(4810) Каи(11064) Мер(10154) Бис(3331)	https://www.hero-wars.com?replay_id=1751391411328860618	
01/07 19:44	61408059	Joos	950179	Хор Дор Авг Ори Неб Авр	54918633	tadabi123	638422	Юли Ясм Дан Фоб Тея Оли	20	Мер(2799) Акс(5116) Хор(10154)  ###  Каи(10154)	Оли(6952) Фен(4166) Каи(1219) Акс(3709) Мар(1142)	https://www.hero-wars.com?replay_id=1751388265526478031	
01/07 19:44	61408059	Joos	950179	Хор Дор Авг Ори Неб Авр	55148436	derdon	861450	Крв Гал Ара Арт Тея Оли	20	Мер(2799) Акс(5116) Хор(10154)  ###  Каи(10154)	Оли(8132) Фен(6255) Аль(5044) Век(6244) Акс(3947)	https://www.hero-wars.com?replay_id=1751388244071218637	
01/07 19:27	61430296	ZOV	1014379	Хор Дор Авг Ори Неб Дан	54878398	Justik66	665174	Дан Неб Авг Фаф Баб Хор	20	Акс(6244) Хор(6244) Мер(6244)  ###  Каи(8518)	Каи(7020)  ###  Аль(6894) Оли(2937) Акс(4810)	https://www.hero-wars.com?replay_id=1751387258249934964	
01/07 19:27	61430296	ZOV	1045422	Каи Дор Авг Ори Неб Дан	61464983	Callisto	722756	Крв Кей Аст Эйд Тея Век	20	Акс(6244) Хор(6244) Мер(6244)  ###  Каи(8518)	Оли(3655) Аль(3747) Век(7868) Мер(5306) Акс(3657)	https://www.hero-wars.com?replay_id=1751387232698459880	
01/07 19:08	61357137	Оди	1036626	Хор Пол Хай Неб Ами Руф	55188180	SerahFarron	650765	Дан Себ Ори Тея Фаф Аль	20	Мар(6949) Аль(9018) Каи(6949) Акс(6949) Бис(6949)	Каи(5493) Аль(9504)  ###   ###  Оли(2430)	https://www.hero-wars.com?replay_id=1751386108953164445	
01/07 19:07	61357137	Оди	1036626	Хор Пол Хай Неб Ами Руф	55294213	Hunter	1156476	Дан Сел Неб Ори Лар Мер	0	Мар(6949) Аль(9018) Каи(6949) Акс(6949) Бис(6949)	Фен(10154) Акс(4810) Каи(11064) Мер(10154) Бис(3331)	https://www.hero-wars.com?replay_id=1751386069940212945	
01/07 18:49	55003119	3.14_zDeTs	906038	Хор Дор Авг Ори Себ Дан	55083121	Maximalgestoert	785653	Аст Кри Неб Лар Баб Мер	20	Мер(3148) Аль(6484) Хор(10154) Фен(3588) Каи(10154)	Оли(1309) Бис(1111) Каи(4123) Мер(10044) Акс(1878)	https://www.hero-wars.com?replay_id=1751384966336631462	
01/07 16:43	55006435	Пунь Пунь	934440	Аль Дор Хай Сел Ясм Аст	54860155	Aragorn	724666	Авр Ясм Дан Ори Тея Оли	20	Мер(3223) Аль(9934) Хор(4767) Каи(10618) Акс(3853)	Оли(5098) Аль(3277) Каи(7910) Хор(3911) Мер(4185)	https://www.hero-wars.com?replay_id=1751377388544231048	
01/07 16:42	55006435	Пунь Пунь	934440	Аль Дор Хай Сел Ясм Аст	55052051	sesano	805424	Аст Чер Дан Лар Дор Каи	20	Мер(3223) Аль(9934) Хор(4767) Каи(10618) Акс(3853)	Оли(6100) Фен(8518) Каи(7804) Мер(6244) Акс(3295)	https://www.hero-wars.com?replay_id=1751377367718767553	
01/07 16:41	61406476	Джуманджи	1160728	Аль Себ Неб Джу Айз Авр	54882561	Dakillaz	901794	Аст Дан Неб Айр Тея Акс	20	Оли(10364)  ###  Аль(11064) Акс(3973) Каи(10154)	Оли(5656) Каи(6154)  ###  Аль(6172) Акс(6172)	https://www.hero-wars.com?replay_id=1751377302174467863	
