Укрепление,Результат,Очки,Атакующий,,,,,,Защищающийся,,,
Мост (Позиция 4),Поражение,+32,RPG (130-1046770),,,,,,B.i.G (130-902976),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Гиперион | 6 stars | 130 | 205151,16295294,17744279,1959369,,,Араджи | 6 stars | 130 | 192394,4767110,6891241,0,
,,,Нова | 6 stars | 130 | 200740,5047315,8265424,0,,,Вулкан | 6 stars | 110 | 157911,4425439,5665606,0,
,,,Маири | 6 stars | 130 | 198160,4753272,14810775,0,,,Игнис | 6 stars | 130 | 193190,3080833,7802827,0,
,,,Ригель | 6 stars | 130 | 187653,2949438,16895665,0,,,Ашерона и Пиро | 6 stars | 101 | 164405,3079153,8284048,0,
,,,Солярис | 6 stars | 130 | 255066,1876136,11587822,912951,,,Молох | 6 stars | 130 | 195076,2913876,11953814,0,
,,,Тотем Духа Воды | 6 stars | 130,13103205,0,8730144,,,Тотем Духа Огня | 6 stars | 130,51037554,3427124,0,
,,,Тотем Духа Света | 6 stars | 80,0,0,0,,,,,,,

Мост (Позиция 6),Победа,+35,AKATUKI (130-908715),,,,,,G_G (130-1005018),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Араджи | 6 stars | 130 | 201341,14110807,6443626,0,,,Солярис | 6 stars | 130 | 203041,22082068,13070536,1154622,
,,,Эдем | 6 stars | 130 | 211135,11663123,9168678,0,,,Тенебрис | 6 stars | 130 | 204590,4149781,14506604,4275469,
,,,Ангус | 6 stars | 130 | 204827,11302943,19619545,0,,,Мор | 6 stars | 130 | 180997,3622396,17779935,370368,
,,,Ашерона и Пиро | 5 stars | 130 | 132256,11126856,6774270,0,,,Ияри | 6 stars | 130 | 188801,3202167,14269675,0,
,,,Вердок и Фито | 5 stars | 130 | 159156,3370852,11491601,0,,,Брустар | 6 stars | 130 | 227589,2478456,19186848,0,
,,,Тотем Духа Огня | 6 stars | 130,20652278,0,1560000,,,Тотем Духа Тьмы | 6 stars | 130,25563354,0,0,
,,,Тотем Духа Земли | 6 stars | 130,6586739,7758582,0,,,Тотем Духа Света | 6 stars | 130,0,0,0,

Мост (Позиция 3),Победа,+35,juuza (130-861173),,,,,,Santa (130-675723),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Эдем | 6 stars | 130 | 182385,15145243,1593995,0,,,Гиперион | 6 stars | 130 | 187397,7882770,12805743,1468948,
,,,Ангус | 6 stars | 130 | 135056,14072443,11765787,0,,,Нова | 6 stars | 111 | 135556,3473877,6201476,0,
,,,Тенебрис | 6 stars | 130 | 268345,6262110,3289708,332840,,,Араджи | 6 stars | 100 | 101053,2084400,5233995,0,
,,,Вердок и Фито | 5 stars | 130 | 131667,2676289,1924955,0,,,Сигурд | 6 stars | 123 | 142469,1908440,11930287,0,
,,,Сильва | 6 stars | 130 | 143720,1615612,2675701,0,,,Маири | 6 stars | 101 | 109248,1360743,6908457,0,
,,,Тотем Духа Земли | 3 stars | 115,3308261,2551263,0,,,Тотем Духа Воды | 3 stars | 103,7091179,0,3379180,

Мост (Позиция 1),Победа,+35,monologue (130-1211331),,,,,,ПасТырЪ (130-1246624),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ангус | 6 stars | 130 | 220804,20648591,21992374,3041960,,,Солярис | 6 stars | 130 | 286113,27202058,15113466,5555759,
,,,Тенебрис | 6 stars | 130 | 313909,15504034,15555373,9362749,,,Брустар | 6 stars | 130 | 237809,10946768,19244379,0,
,,,Эдем | 6 stars | 130 | 220795,12468836,16837777,0,,,Тенебрис | 6 stars | 130 | 300052,6560018,16172569,7048523,
,,,Вердок и Фито | 6 stars | 130 | 204020,3839214,17895882,206727,,,Ригель | 6 stars | 130 | 228311,6345408,18397764,0,
,,,Мор | 6 stars | 130 | 251803,2276155,16284284,0,,,Мор | 6 stars | 130 | 194339,2876080,19009728,0,
,,,Тотем Духа Земли | 6 stars | 130,7471912,6599526,0,,,Тотем Духа Света | 6 stars | 130,17312107,0,0,
,,,Тотем Духа Тьмы | 6 stars | 130,25729164,0,0,,,Тотем Духа Тьмы | 6 stars | 130,27554643,0,0,

Мост (Позиция 4),Победа,+3,Team ichi (130-603258),,,,,,B.i.G (130-902976),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Нова | 6 stars | 130 | 169185,1072700,0,0,,,Игнис | 6 stars | 130 | 193190,3193634,1970444,0,
,,,Сигурд | 6 stars | 130 | 183734,837139,4090077,0,,,Араджи | 6 stars | 130 | 192394,896443,549091,0,
,,,Молох | 6 stars | 130 | 93764,381170,0,0,,,Молох | 6 stars | 130 | 195076,0,0,0,
,,,Ашерона и Пиро | 4 stars | 100 | 65487,228526,0,0,,,Ашерона и Пиро | 6 stars | 101 | 164405,0,0,0,
,,,Маири | 6 stars | 130 | 91088,0,0,0,,,Вулкан | 6 stars | 110 | 157911,0,0,0,
,,,Тотем Духа Воды | 3 stars | 112,0,0,0,,,,,,,

Мост (Позиция 5),Победа,+35,Tron (130-1021311),,,,,,РомаРио (130-1203941),,,,
,,,,Нанесённый урон,Полученный урон,Исцеление,,,,Нанесённый урон,Полученный урон,Исцеление,
,,,Ангус | 6 stars | 130 | 207549,14603058,17507684,0,,,Солярис | 6 stars | 130 | 290576,21301368,12587373,2426253,
,,,Эдем | 6 stars | 130 | 207540,13935268,9563572,0,,,Амон | 6 stars | 130 | 203825,8593038,7955784,0,
,,,Сильва | 6 stars | 130 | 207472,8889744,9563572,0,,,Ригель | 6 stars | 130 | 248255,8073305,17312865,0,
,,,Вердок и Фито | 6 stars | 130 | 191236,4703723,11140157,0,,,Ияри | 6 stars | 130 | 217631,7121423,14416424,3806855,
,,,Авалон | 6 stars | 130 | 207514,3939024,12360038,0,,,Тенебрис | 6 stars | 130 | 243654,2683506,8188342,0,
,,,Тотем Духа Земли | 5 stars | 130,14389971,12739494,0,,,Тотем Духа Света | 6 stars | 124,25101877,0,0,

Мост (Позиция 2),Победа,+35,GAPUU (130-1058491),,,,,,Тема (130-1078966),,,,
