date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets
08/02 04:44	22853451	Vir	1213476	Бис(182) ЛаК(225) Себ(203) Три(203) Лир(192) Гал(208)	61882156	3.14_ZDETS	1117425	Гал(191) Лир(183) Три(185) Себ(178) ЛаК(199) Акс(182)	35	Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)	Оли(11064) Бис(5417) Фен(7822)  ###  Век(9018)
08/02 04:44	22853451	Vir	1178007	Хор(182) Ори(207) Фла(185) Кас(197) Кри(213) Эле(193)	61882267	ZOV	1157050	Аст(192) Ори(200) Авг(188) Дор(192) Гел(202) Хор(182)	35	Хор(11064) Акс(11064) Мер(11064) Бис(11064) Оли(11064)	Оли(6894) Бис(8518) Аль(10154) Акс(8518) Мер(10378)
08/02 04:42	49956941	Doubleaxe	1096419	Акс(182) Эйд(142) Авг(173) Себ(203) Неб(205) Лир(191)	61882177	Rom	916378	Дан(200) Сел(152) Айз(141) Джу(139) Эйд(120) Каи(164)	35	Мер(11064) Аль(11064) Оли(11064) Каи(11064) Фен(11064)	Каи(11064)  ###  Мар(5766)  ###   ###
08/02 04:42	22853451	Vir	1186535	Хор(182) Пол(197) Дор(202) Эйд(198) Неб(205) Ами(202)	62044906	Пук Пук	1092747	Лир(177) Исм(203) Себ(195) ЛаК(205) Эйд(132) Акс(182)	35	Мар(11064) Мер(11064) Хор(11064) Каи(11064) Акс(11064)	Оли(4773) Фен(6484) Аль(10154) Век(5037) Хор(11064)
08/02 04:40	49956941	Doubleaxe	1134635	Акс(182) Лар(202) Кас(139) Сел(190) Кри(213) Зир(208)	62044999	Пунь Пунь	1054545	Лир(172) Ясм(201) Себ(194) ЛаК(199) Эйд(186) Акс(102)	35	Мар(11064) Бис(11064) Акс(11064) Мер(11064) Оли(11064)	Оли(6791) Каи(11064) Аль(11064) Фен(10154) Хор(9456)
08/02 04:12	2780635	SteamboatWillie	1152028	Хор(182) Пол(192) Эйд(195) Фол(196) Фла(184) Ами(202)	61882246	Nergal	1039258	Лир(183) Исм(200) Себ(187) ЛаК(196) Эйд(180) Оли(93)	35	Мар(11064) Мер(11064) Хор(11064) Бис(11064) Акс(11064)	Оли(5715) Фен(6804) Аль(11064) Век(11064) Хор(8018)
08/02 04:10	2780635	SteamboatWillie	1139820	Хор(182) Дже(184) Джу(201) Айз(198) Чер(189) Лир(187)	62044906	Пук Пук	1111824	Дан(204) Айз(164) Неб(182) Ори(199) Авг(182) Хор(182)	35	Каи(11064) Век(11064) Оли(11064) Фен(11064) Бис(11064)	Каи(10154) Акс(11064)  ###  Мер(4773) Бис(4773)
08/02 04:06	2780635	SteamboatWillie	1232120	Акс(182) Фаф(208) ЛаК(227) Себ(203) Неб(205) Исм(207)	61882355	РомаРио	907616	Лир(170) Кир(186) Айз(134) Себ(129) Баб(117) Фен(172)	35	Мар(11064) Век(11064) Аль(11064) Каи(11064) Оли(11064)	Фен(10154) Век(5630)  ###   ###   ###
08/02 04:00	2406247	Adamastor	1078097	Акс(182) Баб(180) Эйд(149) Джу(191) Кир(170) Дан(206)	61882142	B.i.G	1093297	Гал(200) Джу(189) Неб(187) Себ(179) Баб(160) Аль(179)	35	Оли(11064) Хор(11064) Аль(11064) Век(11064) Каи(11064)	Аль(10560) Фен(8518) Каи(6894) Оли(9608) Акс(6993)
08/02 03:59	2406247	Adamastor	1144349	Акс(182) Тея(174) Айр(197) Хай(204) Неб(195) Аст(192)	61883387	FEDOR	969819	Дан(200) Неб(186) Хай(154) Фаф(130) Баб(135) Каи(164)	35	Акс(11064) Оли(11064) Аль(11064) Каи(11064) Бис(11064)	Каи(11064)  ###   ###   ###   ###
08/02 03:58	2406247	Adamastor	1152998	Акс(182) Ори(201) Себ(186) Айз(181) Сел(200) Авр(204)	61882163	Орел	852589	Дан(174) Неб(171) Ори(162) Авг(151) Дор(62) Хор(132)	35	Мер(11064) Оли(11064) Акс(11064) Бис(11064) Каи(11064)	Фен(4576) Каи(5076) Мер(5067) Хор(7716) Акс(6842)
08/02 03:56	2349788	-Jan-	1182594	Хор(182) ЛаК(210) Себ(203) Джу(203) Айз(198) Лир(187)	61882168	Тема	1041082	Дан(193) Неб(174) Ори(195) Авг(166) Дор(160) Хор(153)	35	Мар(11064) Аль(11064) Фен(11064) Оли(11064) Бис(11064)	Каи(9428)  ###  Хор(9428) Мер(3973) Акс(9428)
08/02 03:40	22919076	seed	1108842	Хор(182) Дор(160) Авг(187) Ори(206) Ара(163) Авр(211)	61883387	FEDOR	1008522	Аст(161) Фла(119) Ори(201) Авг(183) Дор(163) Хор(182)	35	Мер(11064) Аль(11064) Бис(11064) Мар(11064) Каи(11064)	Бис(4487) Хор(11064) Акс(11064) Аль(9692) Мер(7394)
08/02 03:39	22919076	seed	1208586	Аль(182) ЛаК(225) Себ(203) Три(203) Лир(188) Гал(208)	61882140	ПасТырЪ	1102235	Дан(205) Неб(182) Ори(201) Авг(171) Дор(161) Хор(182)	35	Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)	Каи(11064)  ###  Акс(11064)  ###  Мер(5683)
08/02 03:37	22919076	seed	1125024	Хор(182) Баб(170) Хай(201) Неб(205) Ами(202) Аст(165)	61882137	G_G	994354	Дан(181) Айз(155) Джу(178) Фаф(153) Баб(145) Аль(182)	35	Оли(11064) Аль(11064) Каи(11064) Акс(11064) Бис(11064)	 ###   ###   ###   ###   ###
08/02 03:32	2611210	LG.	1182343	Акс(182) Айр(197) Себ(203) Джу(203) Айз(198) Аст(199)	61882355	РомаРио	950859	Аст(191) Хай(195) Ори(193) Дор(99) Гел(164) Мер(110)	35	Бис(11064) Фен(11064) Аль(11064) Оли(11064) Акс(11064)	Оли(7207) Аль(11064) Акс(10154)  ###  Мер(6676)
08/02 03:29	2349788	-Jan-	1123912	Хор(182) Пол(192) Эйд(198) Фол(145) Неб(205) Ами(202)	61883387	FEDOR	1086516	Лир(185) Исм(201) Себ(172) ЛаК(198) Эйд(164) Акс(168)	35	Мар(11064) Хор(11064) Бис(11064) Каи(11064) Акс(11064)	Оли(9428) Фен(9428)  ###  Мар(5796)  ###
