date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets
11/02 21:38	47866200	Алый Стервь	1011511	Хор(158) Дор(139) Авг(174) Ори(186) Неб(154) Дан(200)	10647908	Fabio	1152983	Дан(204) Неб(200) Ори(196) Авг(191) Дор(180) Хор(182)		Акс(6664) Мер(9428) Хор(9527)  ###  Каи(11064)	Фен(11064) Каи(11064) Хор(11064) Аль(11064) Акс(11064)
11/02 18:07	61882168	Тема	1045562	Акс(155) Дор(157) Авг(172) Ори(195) Неб(174) Дан(193)	10647908	Fabio	1142482	Гал(208) Ясм(189) Себ(179) Айр(203) Баб(182) Акс(182)		Мер(3973) Аль(9428) Хор(9428)  ###  Каи(9428)	Оли(11064)  ###   ###  Бис(11064)  ###
11/02 17:43	62044999	Пунь Пунь	986233	Хор(156) Дор(67) Ори(179) Хай(204) Сел(192) Аст(189)	12743104	UAI.BR	1183635	Аст(195) Ами(201) Неб(204) Хай(208) Пол(194) Хор(182)		Мер(4635) Хор(9456) Аль(11064) Акс(6228) Оли(7142)	Оли(11064) Бис(11064) Каи(11064) Аль(11064) Мар(11064)
11/02 17:28	61882156	3.14_ZDETS	1130511	Хор(182) Эйд(177) Авг(187) Ори(201) Неб(183) Дан(200)	11031727	SamuraiJack	1145081	Дан(202) Неб(188) Ори(190) Авг(188) Эйд(195) Аль(182)		Аль(11064) Хор(11064) Акс(11064)  ###  Каи(10154)	Фен(11064)  ###   ###  Аль(11064) Хор(11064)
11/02 14:32	17497693	Nikole	1194453	Акс(182) Фаф(208) Эйд(198) Авг(193) Ори(207) Дан(206)	61958839	Бальдр	1127848	Айз(171) Джу(196) Неб(193) Себ(200) Баб(186) Аль(182)		Оли(11064) Хор(11064) Аль(11064) Мер(11064) Каи(11064)	Оли(8518) Век(11064) Каи(11064) Аль(11064) Акс(11064)
11/02 14:30	17497693	Nikole	1218455	Акс(182) ЛаК(227) Себ(203) Неб(205) Исм(208) Лир(192)	61958839	Бальдр	990025	Эле(154) Лир(175) Гус(141) Кас(155) Ори(183) Акс(182)		Век(11064) Аль(11064) Каи(11064) Фен(11064) Оли(11064)	Бис(4487) Фен(6894) Хор(5766) Мер(5683) Мар(4487)
11/02 14:22	61360289	Niceghost	1129337	Хор(182) Тея(178) Авг(184) Ори(188) Джу(194) Дан(203)	61882212	Оди	1034657	Айз(164) Кас(169) Фла(150) Тея(192) Фаф(179) Аль(182)		Акс(11064) Мер(11064) Мар(11064) Фен(11064) Каи(11064)	 ###   ###   ###  Мер(7804)  ###
11/02 14:19	61360289	Niceghost	1127055	Хор(182) Пол(175) Эйд(181) Неб(203) Ами(192) Аст(193)	61882250	Kamul27rus	1127041	Лир(185) Неб(194) Себ(195) ЛаК(200) Тея(181) Аль(172)		Мар(11064) Аль(11064) Каи(11064) Акс(11064) Оли(11064)	Фен(6484) Каи(8108) Аль(10154) Век(6966) Мер(9022)
11/02 13:58	61958839	Бальдр	940781	Акс(182) Фла(146) Кас(155) Кри(153) Гус(146) Эле(159)	11089434	ERKTOM	1110860	Аст(193) Ами(178) Неб(186) Хай(202) Тея(169) Хор(182)		Бис(4487) Хор(5866) Мер(5683) Акс(11064) Оли(8518)	Оли(11064) Акс(11064) Каи(11064) Аль(11064) Мер(9020)
11/02 12:47	61431736	Kakora	821414	Акс(155) Авг(121) Ори(127) Сел(138) Исм(139) Лир(142)	62070560	iCool	865938	Эле(131) Руф(93) Ясм(177) Неб(159) Гел(159) Оли(147)		Аль(9428) Мер(6894) Хор(6894) Фен(6894) Оли(9428)	Бис(6484)  ###   ###   ###   ###
