dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"11/03 17:07","The","Dude","1189315","Акс(182) Эйд(179) ЛаК(222) Себ(203) Айз(198) Дан(205)","61882177","Rom","989840","Эле(145) Кри(198) Кас(163) Фла(129) Ори(182) Хор(173)","0","Хор(11064) Век(11064) Фен(11064) Мар(11064) Каи(11064)","Оли(10154) Мер(7804) Бис(5766) Акс(7804) Мар(5766)"
"11/03 17:01","The","Dude","1120805","Хор(182) Пол(189) Дор(163) Авг(193) Ори(207) Эле(186)","61882137","G_G","1099895","Лир(177) Исм(198) Себ(200) ЛаК(210) Фаф(155) Акс(159)","0","Мар(11064) Мер(11064) Аль(11064) Акс(11064) Оли(11064)","Оли(8108) Фен(8529) Аль(11064) Век(4773) ###"
"11/03 16:25","4563383","rx6","1036576","Акс(182) Дор(151) Фла(155) Йор(138) Себ(203) Исм(208)","61882267","ZOV","1113135","Лир(184) Исм(197) Неб(196) Себ(193) Эйд(177) Акс(166)","0","Акс(11064) Мер(11064) ### Аль(11064) Оли(10854)","Бис(8518) Мар(5766) Каи(8518) Фен(6894) ###"
"11/03 15:12","26048900","Tojazragore","957821","Хор(182) Авг(189) Ори(132) Фла(123) Лир(191) Эле(141)","Пунь","Пунь","1075102","Лир(183) Ясм(204) Себ(200) ЛаК(199) Эйд(186) Акс(102)","0","Аль(11064) Мар(11064) Акс(11064) Фен(11064) Оли(11064)","Оли(9078) Каи(11064) Аль(11064) Фен(10154) Хор(9456)"
"11/03 14:54","26048900","Tojazragore","1167959","Акс(182) Баб(199) Айр(202) Хай(210) Три(176) Аст(199)","61882204","Лапочка","904189","Дан(181) Неб(164) Себ(163) Дже(79) Фаф(145) Каи(172)","0","Акс(11064) Аль(11064) Каи(11064) Фен(11064) Оли(11064)","### ### Аль(11064) ### Мар(5419)"
"11/03 14:53","26048900","Tojazragore","1180321","Акс(182) Дор(177) ЛаК(222) Себ(202) Айз(196) Дан(202)","61882317","viktori","1014230","Эле(163) Дан(192) Фла(162) Ори(183) Авг(185) Хор(129)","0","Акс(11064) Век(11064) Аль(11064) Оли(11064) Фен(11064)","Оли(6894) Каи(7870) Хор(7944) Мер(7804) Аль(6894)"
"11/03 12:44","61882177","Rom","957985","Хор(173) Авг(163) Ори(186) Фла(129) Кас(163) Эле(145)","26048900","Tojazragore","1185203","Аст(199) Лир(191) Себ(202) ЛаК(220) Фаф(192) Акс(182)","0","Аль(8392) Хор(9428) Акс(7804) Бис(5766) Оли(10154)","Оли(11064) Бис(11064) Аль(11064) Фен(11064) Мар(11064)"
"11/03 12:18","61882250","Kamul27rus","983102","Фен(111) Фаф(125) Себ(195) Неб(194) Чер(157) Исм(201)","8026332","ShaqKobe2000","1177540","Крв(201) Руф(201) Юли(185) Гал(207) Баб(202) Оли(182)","0","Мар(3872) Аль(10154) Каи(8108) Оли(9018) Фен(6484)","Аль(11064) Оли(11064) Бис(11064) Фен(11064) Акс(11064)"
"11/03 11:44","12562094","Togor","1182000","Аль(182) Баб(199) Себ(200) Неб(202) Джу(200) Руф(199)","61882250","Kamul27rus","976043","Гал(165) Исм(196) Ясм(187) Чер(146) Эйд(146) Оли(136)","0","Оли(11064) Аль(11064) Каи(11064) Фен(11064) Акс(11064)","### Мар(3872) ### ### ###"
"11/03 11:43","12562094","Togor","1196309","Хор(182) Лар(202) Йор(197) Сел(202) Кри(213) Аст(199)","61882140","ПасТырЪ","1103803","Дан(205) Неб(184) Ори(201) Авг(171) Дор(161) Хор(182)","0","Мар(11064) Акс(11064) Хор(11064) Мер(11064) Оли(11064)","Каи(11064) ### Акс(11064) ### Мер(5683)"
