dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"24/06 17:04","62138500","Diablo","1151921","Хор(182) Авг(194) Ори(206) Фла(183) Кри(191) Эле(195)","287883073","GhostTeam","1149151","Лир(175) Неб(196) Себ(202) ЛаК(210) Эйд(184) Акс(182)","35","Акс(11064) Бис(11064) Хор(11064)  ###  Мер(11064)","###  Каи(4783) Аль(11064) Век(4773)  ###"
"24/06 16:46","61882156","3.14_ZDETS","1090610","Акс(182) Эйд(180) ЛаК(207) Фла(148) Хай(184) Ами(191)","287881242","G Jambon","1178535","Лир(184) Гус(185) Айз(198) Себ(203) ЛаК(227) Акс(182)","35","Хор(11064) Век(10114) Акс(11064) Аль(11064) Оли(11064)","###  Фен(11064) Мар(11064) Аль(11064) Век(11064)"
"24/06 16:41","61882156","3.14_ZDETS","1162028","Акс(182) Себ(199) Неб(202) Джу(196) Айз(192) Лир(191)","290595106","Myths","1166280","Эле(198) Йор(202) Фла(192) Фол(195) Пол(197) Хор(182)","35","Аль(11064) Каи(11064) Век(10114) Оли(11064) Фен(11064)","Бис(11064) Оли(11064) Акс(11064) Хор(11064) Мар(11064)"
"24/06 16:28","62044999","Пунь Пунь","1003994","Хор(172) Дор(81) Авг(180) Ори(199) Ами(196) Эле(177)","287888045","Xanetia","1147111","Аст(194) Ами(179) Ори(204) Эйд(188) Айр(201) Акс(182)","35","Мер(6731) Аль(11064) Хор(11064) Акс(7532) Оли(10646)","Акс(11064)  ###  Мар(11064) Хор(11064) Аль(11064)"
"24/06 16:12","62044999","Пунь Пунь","1140282","Хор(172) Фла(178) Хай(208) Неб(187) Ясм(201) Аст(194)","287890640","Oskypaul","1131062","Кей(193) Лир(183) Ара(189) Себ(194) Эйд(190) Аль(182)","35","Хор(11064) Каи(11064)  ###  Фен(10154) Оли(10646)","Аль(11064) Бис(6894) Мар(7214) Фен(8518) Хор(11064)"
"24/06 15:56","62084537","Фартовый","1151185","Бис(152) Лар(208) Ори(204) Фла(182) Кас(194) Кри(210)","287880267","LarAIder","1002389","Эле(169) Крв(102) Аст(157) Муш(192) Мод(200) Акс(182)","35","Мар(9568) Хор(11064) Бис(10154) Мер(11064) Акс(11064)","###   ###   ###  Оли(9428) Мар(9018)"
"24/06 15:23","61882154","Виларт","1095189","Акс(182) Дже(148) Себ(188) Неб(189) К'А(205) Лир(184)","287878771","jhonny5","1029659","Авр(206) Крв(179) Руф(136) Аст(185) Муш(142) Акс(182)","35","Акс(11064) Аль(9428) Каи(4773) Век(9498) Оли(6132)","Каи(11064)  ###   ###   ###   ###"
"24/06 14:21","61882177","Rom","948021","Хор(173) Дор(48) Авг(173) Ори(188) Кас(186) Эле(180)","268671320","Destrakan","1048966","Эле(187) Крв(172) Руф(152) Аст(173) Муш(183) Оли(182)","35","Мер(9428) Аль(9428) Хор(9428) Акс(7972) Оли(11064)","Мер(11064)  ###  Акс(11064)  ###   ###"
"24/06 14:14","62044906","ГошаПукаетВкозу","1109690","Хор(182) Авг(194) Ори(204) Ада(145) Йор(181) Дан(204)","287885875","Stephane","1164613","Исм(208) Ами(190) ЛаК(223) Авг(186) Эйд(176) Оли(182)","35","Аль(11064) Акс(11064) Фен(9470) Оли(11064) Каи(10154)","Фен(11064)  ###  Век(11064)  ###   ###"
"24/06 14:10","61882154","Виларт","1083994","Хор(172) Авг(186) Ори(196) Фла(161) Кас(173) Кри(196)","291345686","Vitilar","1137465","Крв(185) Ара(205) Кри(186) Ами(185) Тея(195) Мер(182)","35","Аль(9428) Мар(5307) Мер(6894) Акс(11064) Бис(10114)","###  Мар(8382)  ###   ###  Мер(11064)"
