dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"21/03 19:59","61882317","viktori","955401","Акс(129) Дор(156) Ори(184) Неб(116) Кир(178) Дан(192)","57701307","Everett","1033749","Эле(151) Ами(202) Фла(150) Авг(190) Тея(159) Хор(182)","0","Акс(7929) Мер(7804) ### Век(6894) Каи(7870)","Мер(11064) Оли(11064) Бис(11064) Аль(11064) Мар(11064)"
"21/03 19:57","62084805","Souffle","1084422","Хор(182) ЛаК(205) Себ(197) Айз(145) Гус(170) Лир(185)","TURBO","BBA","1081802","Эле(184) Муш(197) Гус(162) Фла(173) Тея(184) Хор(182)","0","Век(6905) Аль(11064) Акс(10154) Хор(11064) Оли(8518)","Мер(11064) Оли(11064) Фен(11064) Бис(11064) Мар(11064)"
"21/03 19:41","62084549","Тихая","1081274","Хор(173) ЛаК(198) Себ(193) Айз(159) Лир(182) Гал(176)","960201","Faehn","1072313","Эле(164) Ара(201) Ами(186) Фла(143) Пол(196) Мар(182)","0","Век(8518) Аль(8518) Оли(7646) Бис(4623) Фен(4963)","### Мар(11064) ### ### Хор(11064)"
"21/03 19:18","62084540","SVAROG","1166074","Хор(182) Тея(192) Авг(193) Хай(207) Ара(192) Аль(199)","1362764","kobakoba","1127521","Эле(188) Ара(201) Кас(179) Фла(181) Авг(197) Хор(182)","0","Мер(11064) Аль(11064) Бис(10154) Мар(11064) Оли(11064)","Оли(11064) Мар(11064) Мер(11064) Акс(11064) Хор(11064)"
"21/03 18:48","61882212","Оди","1079160","Хор(173) Пол(188) Авг(174) Фла(162) Кас(184) Ами(198)","1059917","anpanman","1026162","Эле(144) Ами(196) Фла(146) Авг(172) Тея(186) Хор(182)","0","Мар(11064) Аль(11064) Бис(7859) Мер(8013) Акс(11064)","Мер(11064) Оли(11064) Акс(11064) Аль(11064) Мар(11064)"
"21/03 18:01","62084537","Фартовый","1110018","Акс(182) Себ(194) Гус(176) Три(179) Лир(181) Гал(197)","1066994","Darou","1135469","Аст(197) Лир(180) Неб(205) Кас(185) Фла(186) Бис(182)","0","Аль(11064) Фен(8108) ### Оли(11064) Бис(8108)","Оли(11064) ### Каи(11064) ### Бис(11064)"
"21/03 17:19","61882156","3.14_ZDETS","1103916","Хор(182) Фаф(171) Эйд(177) ЛаК(199) Три(187) Лир(188)","1215567","JP3249R","1161843","Ами(202) Айз(180) Неб(205) Себ(203) Дор(190) Акс(182)","0","Мар(7496) Аль(11064) Век(9018) Фен(8108) Оли(11064)","Бис(11064) ### Каи(11064) Фен(11064) ###"
"21/03 17:15","61991077","3ve","934067","Хор(145) Фла(139) Кас(127) Хай(194) Айз(172) Эле(158)","princess","riorio","1101023","Ами(202) Айз(175) Себ(203) Кас(187) Дор(152) Бис(182)","0","Акс(9428) Хор(8518) Аль(11064) Мар(6414) Оли(9428)","Акс(11064) ### Фен(11064) Хор(11064) ###"
"21/03 17:04","princess","riorio","1065985","Эле(186) Йор(172) Фла(176) Авг(175) Тея(175) Хор(182)","Авг(175)","Тея(175)","Хор(182)","Аль(11064) Каи(10154) Оли(11064) Фен(8108) Мер(11064) Оли(11064)","0","Бис(11064) Аль(11064) Мар(11064)",""
"21/03 13:09","62084540","SVAROG","1201877","Акс(182) ЛаК(224) Себ(200) Исм(207) Лир(191) Гал(198)","1486926","futomomomo","1137311","Эле(193) Руф(181) Юли(200) Аст(190) Эйд(192) Оли(182)","0","Век(11064) Аль(11064) Фен(11064) Оли(11064) Бис(10154)","Оли(11064) ### Акс(11064) ### Хор(11064)"
"21/03 12:34","62070560","iCool","863196","Акс(172) Баб(140) Фаф(110) Себ(118) Неб(174) Джу(149)","57657299","Piccolo","1115236","Крв(190) Руф(184) Юли(190) Аст(185) Эйд(185) Оли(182)","0","Акс(10154) Мар(6484) Оли(8992) Каи(8518) Аль(10154)","### ### ### ### ###"
"21/03 12:20","61882204","Лапочка","941417","Аль(182) Фаф(148) Дже(88) Себ(163) Неб(165) Дан(196)","1066994","Darou","1188941","Дан(202) Кир(203) Джу(202) Сор(189) ЛаК(211) Акс(182)","0","Оли(8382) Акс(7613) Аль(11064) ### Каи(10154)","Фен(11064) Век(11064) Аль(11064) ### ###"
"21/03 11:20","61991077","3ve","1012157","Мер(134) Дор(131) Авг(184) Ори(182) Неб(189) Дан(192)","1059917","anpanman","1058652","Крв(175) Руф(167) Юли(174) Аст(188) Йор(173) Оли(182)","0","Акс(9428) Аль(11064) Мер(7866) Каи(6074) Фен(9428)","### ### ### Бис(11064) ###"
"21/03 10:14","62084540","SVAROG","1177628","Хор(182) Фол(198) Ори(207) Фла(181) Неб(202) Сат(207)","57657299","Piccolo","1119530","Эле(188) Йор(174) Фла(185) Авг(188) Тея(202) Хор(182)","0","Хор(11064) Мер(11064) Бис(10154) Каи(11064) Акс(11064)","Мер(11064) Акс(11064) Хор(11064) Аль(11064) Мар(11064)"
"21/03 08:52","62084542","bLanx","1195267","Хор(182) ЛаК(223) Себ(200) Три(200) Лир(189) Гал(201)","32009700","Vudot","1180173","Чаб(213) Авр(211) Крв(190) Руф(190) Гал(195) Акс(182)","0","Век(11064) Аль(11064) Фен(11064) Оли(11064) Бис(11064)","Фен(11064) Каи(11064) ### ### ###"
"21/03 08:49","62084542","bLanx","1155019","Хор(182) Дор(196) Айр(201) Авг(190) Неб(202) Ара(184)","41115733","Themis","1147038","Крв(202) Руф(189) Юли(199) Аст(190) Эйд(185) Оли(182)","0","Акс(11064) Оли(11064) Аль(11064) Каи(11064) Мар(11064)","Аль(11064) Бис(11064) ### ### ###"
"21/03 07:00","62084542","bLanx","1093127","Хор(182) Фол(129) Ори(204) Фла(183) Кас(189) Кри(206)","17970425","Zanadu","1145968","Эле(193) Йор(191) Фла(186) Авг(193) Тея(200) Хор(182)","0","Акс(11064) Мар(11064) Бис(11064) Мер(11064) Хор(11064)","Оли(11064) Акс(11064) Бис(11064) Мер(11064) Мар(11064)"
"20/03 20:28","61882219","Ваван","907283","Акс(172) Фаф(104) Неб(196) Джу(157) Гус(149) Исм(130)","17970425","Zanadu","1164483","Дан(206) Кир(204) Джу(190) Сор(169) ЛаК(212) Каи(182)","0","Мар(7804) Каи(8518) Фен(8518) Акс(10154) Оли(8518)","Каи(11064) Век(11064) ### ### ###"
"20/03 20:24","61882219","Ваван","982875","Акс(172) Эйд(176) Авг(161) Ори(143) Кас(145) Руф(186)","1094446","akira","1143241","Эль(206) Джу(190) Джи(190) Сор(203) Фок(172) Акс(182)","0","Мер(6894) Аль(8518) Хор(7478) Акс(10154) Оли(8518)","Век(11064) ### ### Фен(11064) Мар(11064)"
"20/03 20:20","61882219","Ваван","1126751","Акс(172) Баб(186) ЛаК(208) Себ(179) Дан(197) Лир(184)","31390908","KPGC10","1164524","Руф(180) Ами(202) Неб(197) Хай(206) Пол(197) Хор(182)","0","Акс(10154) Фен(8518) Аль(8518) Каи(8518) Оли(8518)","Акс(11064) Оли(11064) Каи(11064) Аль(11064) Хор(11064)"
"20/03 17:29","61882154","Виларт","992019","Хор(172) Баб(147) Фаф(129) Эйд(154) ЛаК(190) Исм(199)","41115733","Themis","1148967","Лир(191) Себ(203) ЛаК(221) Тея(194) Фаф(158) Акс(182)","0","Акс(11064) Мар(4773) Хор(10154) Век(9498) Фен(4701)","Оли(11064) Фен(11064) Мар(11064) Мер(11064) ###"
"20/03 13:29","61882137","G_G","1058967","Хор(175) Дор(172) Авг(187) Ори(198) Фла(163) Кас(164)","33855409","Q337","1103534","Ами(197) Неб(196) Эйд(164) Пол(186) Тея(180) Акс(182)","0","Акс(9804) Аль(11064) Мар(6484) Хор(9817) Мер(6484)","Акс(11064) Каи(11064) Хор(11064) Мар(11064) Мер(11064)"
"20/03 13:28","61958839","Бальдр","1139111","Акс(182) Баб(187) Себ(202) Неб(195) Дан(194) Лир(178)","1534411","kameta","1135282","Гал(195) Кей(185) Лир(180) Три(191) Себ(203) Акс(182)","0","Акс(11064) Аль(11064) Каи(11064) Фен(7804) Оли(8518)","### ### ### ### Фен(11064)"
"20/03 13:22","61958839","Бальдр","991931","Хор(172) Авг(152) Ори(194) Фла(155) Гус(148) Эле(172)","57225682","GGE","1137057","Гал(201) Лир(185) Три(156) Себ(200) ЛаК(214) Акс(182)","0","Аль(11064) Хор(10154) Мер(5683) Акс(11064) Оли(8518)","Бис(11064) Оли(11064) Фен(11064) Аль(11064) Век(11064)"
"20/03 13:18","61882137","G_G","1108925","Акс(159) Фаф(164) ЛаК(211) Себ(200) Исм(198) Лир(177)","17970425","Zanadu","1151830","Гал(208) Лир(180) Три(191) Чер(189) Себ(203) Акс(182)","0","Мар(6484) Век(4773) Аль(11064) Фен(8529) Оли(8108)","Фен(11064) ### ### ### Аль(11064)"
"20/03 13:15","61882137","G_G","1127870","Хор(175) Пол(169) Эйд(180) Хай(204) Неб(200) Ами(200)","33855409","Q337","1174032","Гал(189) Лир(185) Исм(207) Себ(197) ЛаК(214) Хор(182)","0","Мар(6484) Хор(9817) Аль(11064) Каи(8518) Акс(9804)","Оли(11064) Бис(11064) Фен(11064) Аль(11064) Век(11064)"
"20/03 12:54","61882177","Rom","870163","Хор(173) Баб(110) Фла(127) Айз(152) Сел(163) Эле(145)","1066994","Darou","1180880","Кри(213) Ами(190) Лар(202) Эйд(198) Пол(196) Хор(182)","0","Акс(7804) Бис(5766) Оли(10154) Хор(9428) Мер(7804)","Акс(11064) ### Хор(11064) Мер(11064) Мар(11064)"
"20/03 11:33","61882163","Орел","840371","Хор(145) Дор(78) Авг(151) Ори(174) Айз(142) Лир(150)","22814692","oz.","1187747","Кри(213) Неб(205) Кас(197) Ори(195) Гел(195) Акс(182)","0","Мер(5067) Аль(6266) Хор(8518) Оли(5445) Фен(4576)","Хор(11064) Каи(11064) Акс(11064) ### ###"
"20/03 11:06","62084554","VIKTOR","1110003","Хор(182) Фаф(151) Авг(193) Ори(203) Неб(183) Дан(198)","57365286","Gesara","1186613","Ами(202) Неб(205) Эйд(198) Пол(197) Тея(202) Хор(182)","0","Оли(8518) Аль(10154) Хор(11064) ### Каи(9428)","Акс(11064) Каи(11064) Хор(11064) Мар(11064) Мер(11064)"
"20/03 10:53","61882177","Rom","1029827","Хор(173) Гел(143) Авг(163) Ори(186) Кас(167) Кри(198)","57657299","Piccolo","1155123","Гал(195) Кей(197) Лир(187) Три(203) Себ(190) Акс(182)","0","Акс(7804) Аль(9018) Хор(9428) Бис(5766) Мер(7804)","### Бис(11064) Оли(11064) Фен(11064) ###"
"20/03 10:49","61882177","Rom","1052594","Акс(128) Эйд(149) ЛаК(211) Себ(190) Неб(198) Лир(177)","57365286","Gesara","1190351","Гал(208) Лир(192) Три(191) Себ(190) ЛаК(227) Акс(182)","0","Хор(9428) Век(6894) Аль(9018) Каи(11064) Оли(10154)","Бис(11064) Оли(11064) ### ### Век(11064)"
"20/03 09:34","57365286","Gesara","1192631","Хор(182) Пол(197) Эйд(198) Хай(208) Неб(205) Ами(202)","61882246","Nergal","1075629","Лир(187) Исм(203) Себ(195) ЛаК(197) Эйд(183) Оли(110)","0","Мар(11064) Хор(11064) Аль(11064) Каи(11064) Акс(11064)","Оли(6676) Фен(6987) Аль(11064) Век(11064) Хор(10084)"
"20/03 09:27","32624838","ken","1113456","Бис(182) Себ(203) Мор(171) Кир(167) Лир(188) Крв(202)","62070560","iCool","775452","Эле(132) Руф(107) Аст(179) Гал(82) Баб(128) Оли(148)","0","Аль(11064) Оли(11064) Век(4623) Фен(11064) Бис(11064)","### Бис(8382) ### ### ###"
"20/03 09:15","960201","Faehn","1180054","Акс(182) ЛаК(227) Себ(203) Три(201) Лир(184) Гал(182)","62044906","(-_-)","924470","Руф(136) Аст(180) Исм(204) Фла(135) Баб(88) Акс(182)","0","Век(11064) Аль(11064) Фен(11064) Оли(11064) Бис(11064)","### ### Фен(8108) Мер(4773) ###"
"20/03 09:14","22814692","oz.","1221217","Хор(182) Фаф(208) ЛаК(227) Себ(203) Исм(208) Лир(192)","62044906","(-_-)","944333","Ара(196) Ами(179) Айз(168) Йор(149) Фаф(71) Хор(182)","0","Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)","Мар(6030) Акс(11064) Оли(5417) ### ###"
"20/03 09:11","960201","Faehn","1067915","Хор(182) Авг(192) Ори(207) Фла(156) Кас(153) Эле(177)","61882137","G_G","1100490","Лир(177) Исм(198) Себ(200) ЛаК(211) Фаф(155) Акс(159)","0","Аль(11064) Хор(11064) Акс(11064) Мер(11064) Оли(11064)","Оли(8108) Фен(8529) Аль(11064) Век(4773) ###"
"20/03 09:11","22814692","oz.","1170907","Хор(182) Авг(198) Фла(186) Айз(198) Ара(214) Эле(193)","61882267","ZOV","1073354","Аст(183) Кри(196) Кас(165) Лар(157) Гел(191) Мер(182)","0","Акс(11064) Бис(11064) Мар(11064) Аль(11064) Оли(11064)","### ### ### ### ###"
"20/03 09:00","22814692","oz.","1212861","Хор(182) Гел(208) Ори(207) Кас(197) Неб(205) Кри(213)","61883387","FEDOR","1109687","Лир(180) Исм(198) Себ(184) ЛаК(204) Эйд(177) Акс(168)","0","Бис(11064) Акс(11064) Мер(11064) Каи(11064) Хор(11064)","Бис(4487) Мар(6484) Фен(9428) Век(4793) Хор(11064)"
"20/03 08:12","Team","2300","1195758","Хор(182) Гел(208) Авг(193) Ори(207) Кас(192) Кри(213)","61882267","ZOV","1119272","Лир(184) Исм(197) Неб(196) Себ(193) Эйд(177) Акс(172)","0","Мер(11064) Аль(11064) Бис(11064) Хор(11064) Акс(11064)","Бис(8749) Мар(5766) Каи(8518) Фен(6894) ###"
"20/03 08:04","Team","2300","1177736","Хор(182) Пол(197) Эйд(198) Фол(194) Неб(205) Ами(202)","62084537","Фартовый","1144313","Лир(181) Исм(195) Себ(181) ЛаК(215) Эйд(190) Акс(182)","0","Мар(11064) Хор(11064) Бис(11064) Каи(11064) Акс(11064)","Оли(11064) Фен(8108) ### Век(8108) Хор(11064)"
"20/03 07:37","61883387","FEDOR","1117684","Акс(168) Эйд(177) ЛаК(204) Себ(184) Исм(201) Лир(185)","Team","2300","1178042","Гал(195) Лир(180) Три(191) Себ(203) ЛаК(227) Акс(182)","0","Хор(11064) Мар(6484) Аль(9692) Фен(9428) Оли(9428)","### ### ### Фен(11064) Век(11064)"
"20/03 07:10","62084554","VIKTOR","1097994","Хор(182) ЛаК(212) Фла(155) Себ(167) Лир(184) Гал(198)","960201","Faehn","1154689","Гал(182) Лир(172) Три(189) Себ(203) ЛаК(227) Акс(182)","0","Мар(7804) Хор(11064) Аль(10154) Оли(8518) Фен(7246)","Оли(11064) ### ### Аль(11064) Век(11064)"
"20/03 05:21","46240822","Honeytrap","985772","Акс(182) Баб(152) Пол(162) Кир(170) Лир(157) Гал(164)","Пунь","Пунь","805501","Руф(93) Ами(179) Айз(151) Пол(68) Баб(133) Аль(182)","0","Акс(11064) Хор(11064) Век(11064) Бис(11064) Аль(11064)","### ### Мар(4806) ### ###"
"20/03 02:55","57723247","ENT","1036150","Хор(182) Ори(197) Фла(165) Кас(164) Йор(143) Эле(186)","61882154","Виларт","1008906","Аст(185) К'А(205) ЛаК(184) Фаф(129) Баб(135) Хор(172)","0","Бис(11064) Хор(11064) Акс(11064) Оли(11064) Мер(11064)","Акс(11064) Век(9498) Фен(4701) Мар(4773) ###"
"20/03 02:51","57723247","ENT","1114553","Хор(182) Пол(149) Эйд(181) Фол(195) Хай(206) Ами(202)","61882154","Виларт","1092440","Лир(183) Исм(200) Неб(189) Себ(184) Эйд(154) Акс(182)","0","Мар(11064) Хор(11064) Бис(11064) Каи(11064) Акс(11064)","Бис(5766) Оли(6066) Каи(4773) Аль(6618) Хор(10154)"
"20/03 02:50","57723247","ENT","1170035","Оли(182) Себ(203) Неб(200) Айз(191) Кей(192) Юли(201)","61882154","Виларт","824573","Йор(154) Фла(135) Ори(186) Авг(170) Дор(78) Оли(102)","0","Аль(11064) Каи(11064) Оли(11064) Бис(11064) Акс(11064)","### ### Мер(4863) ### ###"
"20/03 01:54","32009700","Vudot","1187348","Хор(182) Кир(204) Три(203) Лир(192) Кей(197) Гал(208)","61882212","Оди","1106549","Ами(198) Айз(177) Эйд(188) Пол(188) Фаф(182) Хор(173)","0","Век(11064) Фен(11064) Бис(11064) Аль(11064) Оли(11064)","Акс(11064) Оли(11064) Хор(9428) Мар(11064) ###"
"20/03 01:42","PON","japan","1190259","Век(182) Эйд(196) ЛаК(224) Себ(202) Ами(201) Эле(186)","61882142","B.i.G","1008459","Лир(157) Айз(163) Неб(188) Себ(183) ЛаК(173) Фен(146)","0","Хор(11064) Век(11064) Фен(11064) Акс(11064) Оли(11064)","Оли(10154) Акс(8402) Каи(7804) Аль(10826) Век(7492)"
"20/03 01:24","57657299","Piccolo","1210129","Акс(182) ЛаК(227) Себ(203) Три(203) Лир(187) Гал(208)","62084549","Тихая","1100383","Аст(193) Лир(178) Кир(197) Неб(192) Себ(186) Акс(155)","0","Век(11064) Аль(11064) Фен(11064) Оли(11064) Бис(11064)","Акс(9428) Оли(7478) Век(8518) Каи(5417) Аль(8518)"
"20/03 01:20","PON","japan","1162865","Хор(182) Фаф(204) Дор(189) Авг(192) Неб(193) Дан(204)","61882156","3.14_ZDETS","1025259","Ами(179) Джу(178) Эйд(164) Фаф(171) Баб(151) Аль(182)","0","Мар(11064) Акс(11064) Мер(11064) Каи(11064) Фен(11064)","Акс(11064) ### ### Мар(7412) ###"
"20/03 01:19","57657299","Piccolo","1153842","Хор(182) Ори(207) Фла(185) Кас(192) Йор(174) Кри(213)","62084537","Фартовый","1089852","Эле(173) Сел(186) Ами(193) Неб(195) Авг(190) Мер(152)","0","Мар(11064) Мер(11064) Бис(11064) Оли(11064) Хор(11064)","### ### Акс(11064) Каи(10154) Аль(11064)"
"20/03 01:11","PON","japan","1140562","Бис(182) Пол(190) Ори(198) Кас(188) Гус(182) Ара(201)","61882168","Тема","957444","Крв(187) Кир(180) Мор(172) Фла(127) Баб(139) Аль(153)","0","Бис(11064) Хор(11064) Мер(11064) Фен(11064) Мар(11064)","Бис(3973) Век(3973) ### ### ###"
"20/03 01:08","32009700","Vudot","1190838","Бис(182) Дор(202) Авг(198) Ори(207) Себ(203) Айз(198)","62084542","bLanx","1098359","Кри(206) Кас(189) Фла(183) Ори(204) Тея(135) Хор(182)","0","Мер(11064) Акс(11064) Бис(11064) Аль(11064) Оли(11064)","Хор(11064) Мер(11064) Бис(11064) Мар(11064) Акс(11064)"
