dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"12/08 19:55","62163138","Igor25","1098655","Акс(129) Тея(192) Ада(189) Фла(191) Себ(202) Айз(197)","57790533","Allimadabe","1093903","Эле(189) Бир(185) Йор(178) Фла(167) Тея(192) Хор(182)","0","Акс(7804) Фен(11064) Мер(11064) Аль(9428) Оли(11064)","Оли(11064) Бис(11064) Акс(11064) Хор(11064) Мер(11064)"
"12/08 19:37","62084542","БлондИ","1027048","Акс(182) Ада(182) Йор(182) Неб(188) Гус(180) Юли(113)","54711795","Supergirl","1173891","Эле(198) Ами(202) Фла(192) Пол(197) Тея(202) Хор(182)","0","Каи(11064) Оли(11064) ### Фен(11064) Акс(11064)","Оли(11064) Акс(11064) Бис(11064) Хор(11064) Мер(11064)"
"12/08 17:28","62138549","YaElf","1029349","Акс(118) Себ(200) Неб(200) Гус(153) Чер(173) Лир(185)","57356224","Stranger","1159840","Муш(196) Гус(191) Бир(190) Йор(199) Тея(202) Хор(182)","0","Аль(11064) Каи(9579) Фен(7021) Оли(11064) Бис(9428)","Оли(11064) Фен(11064) Хор(11064) Акс(11064) Мар(11064)"
"12/08 16:06","62138500","Diablo","1032587","Хор(182) Дор(122) Авг(194) Ори(206) Йор(132) Эле(197)","Team","DodgeBall","1155150","Эле(198) Крв(202) Муш(195) Бир(180) Эйд(198) Акс(182)","0","Мер(11064) Аль(11064) Мар(11064) Акс(11064) Оли(11064)","Бис(11064) Аль(11064) ### ### Хор(11064)"
"12/08 15:52","62138500","Diablo","1104958","Акс(182) Ада(193) Бир(181) Айз(175) Гус(179) Кей(196)","Team","DodgeBall","1199393","Чаб(213) Юли(213) Йор(202) Фла(192) Пол(197) Оли(182)","0","Каи(11064) Акс(11064) Оли(11064) Фен(11064) Бис(11064)","Фен(11064) Оли(11064) Акс(11064) Мер(11064) Мар(11064)"
"12/08 15:37","62138500","Diablo","1206511","Акс(182) Фаф(188) ЛаК(224) Себ(202) Три(205) Гал(206)","12803607","Jovial","1214515","Гал(208) Лир(198) Три(214) К'А(210) Себ(203) Акс(182)","0","Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)","Оли(11064) Бис(11064) Фен(11064) Век(11064) Аль(11064)"
"12/08 13:18","61882154","Виларт","1116730","Акс(182) Лар(186) Ори(198) Фла(176) Кас(175) Кри(199)","Down","Home","1152881","Аст(202) Ами(202) Неб(205) Йор(202) Фла(159) Хор(182)","0","Мар(7246) Мер(6894) Хор(10154) Акс(11064) Бис(10114)","Бис(11064) Оли(11064) Каи(11064) Акс(11064) Мер(11064)"
"12/08 13:08","61882154","Виларт","1059230","Акс(182) Фаф(136) Эйд(157) ЛаК(205) Ада(179) Исм(201)","57790533","Allimadabe","1183721","Лир(193) Айз(192) Себ(203) Ада(190) ЛаК(224) Оли(182)","0","Мар(7246) Хор(10154) Век(9498) Бис(10114) Оли(6132)","Фен(11064) Мар(11064) Аль(11064) Каи(11064) Век(11064)"
"12/08 11:05","61991077","3ve","1104999","Хор(155) Авг(194) Ори(195) Фла(184) Кас(189) Эле(188)","Big","Horn","1204078","Гал(208) Лир(185) Три(214) Себ(190) ЛаК(225) Акс(182)","0","Аль(11064) Мар(9428) Хор(9428) Мер(9439) Бис(8518)","Оли(11064) ### Фен(11064) ### Мар(11064)"
"12/08 10:55","61991077","3ve","1121509","Аль(182) Баб(164) ЛаК(222) Себ(180) Неб(195) Айз(178)","57222760","MONOLITH","1149804","Эле(186) Кас(197) Фла(192) Ори(207) Авг(186) Хор(182)","0","Акс(9428) Век(9428) Аль(11064) Каи(8108) Оли(9428)","### Мер(11064) Хор(11064) Мар(11064) ###"
"12/08 10:44","61882154","Виларт","1108251","Акс(182) Дже(148) Себ(195) Неб(191) К'А(205) Лир(187)","29295914","Jarrah","1174179","Чаб(213) Авр(211) Крв(190) Аст(190) Йор(189) Хор(182)","0","Акс(11064) Аль(11064) Каи(4773) Век(9498) Оли(6132)","Оли(11064) Каи(11064) ### ### ###"
"12/08 10:08","62160428","Joker","1138380","Хор(182) Тея(176) Эйд(193) Фла(185) Хай(204) Ами(199)","Klan","Glenfell","1233050","Исм(208) К'А(210) Ясм(206) Цин(214) Ара(213) Акс(182)","0","Мар(11064) Хор(11064) Бис(11064) Аль(11064) Акс(11064)","Фен(11064) Век(11064) Каи(11064) Аль(11064) Мар(11064)"
