dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"01/04 16:12","61882156","3.14_ZDETS","1036828","Бис(124) ЛаК(200) Себ(193) Неб(185) Дан(202) Цин(133)","57208200","zetorg","1150996","Юли(209) Йор(184) Фла(186) Эйд(193) Тея(197) Хор(182)","0","Век(9018) Аль(11064) ### Каи(11064) Фен(8108)","Оли(11064) Акс(11064) Бис(11064) Хор(11064) Мер(11064)"
"01/04 10:53","61882137","G_G","988573","Бис(104) Пол(169) Фла(163) Кас(166) Ами(198) Кри(188)","24525858","petrx123","1124735","Эле(193) Гус(185) Йор(190) Фла(186) Дор(188) Хор(182)","0","Мар(6486) Акс(9804) Бис(6484) Оли(8108) Мер(7396)","Оли(11064) Фен(11064) Акс(11064) Мер(11064) ###"
"01/04 07:39","61883387","FEDOR","1063072","Акс(168) Эйд(176) ЛаК(205) Себ(184) Ами(145) Лир(185)","57208200","zetorg","1205016","Лир(191) Неб(205) Себ(203) ЛаК(224) Фаф(199) Акс(182)","0","Мер(10378) Мар(7548) Аль(9692) Акс(11064) Оли(9428)","Фен(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)"
"01/04 07:01","57204559","diablo","1183273","Бис(182) Айр(202) ЛаК(212) Хай(210) Себ(203) Ами(175)","61882168","Тема","957543","Крв(187) Кир(180) Мор(172) Фла(127) Баб(139) Аль(153)","0","Аль(11064) Мар(11064) Каи(11064) Оли(11064) Акс(11064)","Бис(3973) Век(3973) ### ### ###"
"01/04 01:01","57208159","Aragorn","1076207","Хор(182) Авг(192) Ори(206) Фла(165) Йор(151) Эле(181)","62084554","VIKTOR","1022106","Гал(189) Лир(174) Себ(156) Фла(146) ЛаК(202) Акс(155)","0","Аль(11064) Хор(11064) Бис(5417) Акс(11064) Оли(8934)","### ### ### ### ###"
"01/04 00:26","62092872","MEDVED","984774","Акс(168) Дор(113) Авг(183) Ори(192) Фла(161) Эле(168)","57207913","Cezariusz","1131189","Лир(182) Себ(195) ЛаК(219) Эйд(177) Фаф(175) Акс(182)","0","Мер(5153) Аль(11064) Акс(11064) Хор(11064) Оли(11064)","Бис(6676) Фен(5766) Век(8214) ### Мар(6676)"
"01/04 00:14","24358847","Raven","1126734","Хор(182) ЛаК(222) Себ(200) Три(131) Лир(188) Гал(205)","62044906","(-_-)","950070","Ара(198) Ами(181) Айз(168) Йор(150) Фаф(72) Хор(182)","0","Мар(11064) Аль(11064) Фен(11064) Оли(11064) Бис(11064)","Мар(6484) Акс(11064) Оли(5417) ### ###"
"01/04 00:12","24358847","Raven","1137183","Хор(182) Пол(188) Эйд(198) Фол(162) Хай(208) Ами(199)","61882196","Wren","1128660","Лир(175) Исм(197) Себ(197) ЛаК(208) Фаф(170) Акс(182)","0","Мар(11064) Мер(11064) Бис(11064) Аль(11064) Акс(11064)","Оли(5227) Фен(10154) Аль(11064) Век(5766) Мар(5419)"
"01/04 00:06","Heros","Team","1181574","Акс(182) Гус(181) Ара(199) Чер(204) Гал(206) Авр(209)","62084537","Фартовый","1089852","Эле(173) Сел(186) Ами(193) Неб(195) Авг(190) Мер(152)","0","Акс(11064) Мар(11064) Фен(11064) Оли(11064) Каи(11064)","### ### Акс(11064) Каи(10154) Аль(11064)"
"31/03 23:35","24358847","Raven","1058189","Хор(182) Ори(207) Фла(124) Кас(155) Кри(190) Аст(199)","61882156","3.14_ZDETS","1140748","Гал(192) Лир(185) Три(189) Себ(193) ЛаК(200) Акс(182)","0","Мар(11064) Акс(11064) Мер(11064) Бис(11064) Оли(11064)","Оли(11064) Бис(7712) Фен(8108) Аль(11064) Век(9018)"
"31/03 23:04","57208159","Aragorn","1077558","Хор(182) Фаф(180) Дже(168) Неб(185) Айз(164) Дан(199)","62084540","SVAROG","1133016","Аль(199) Ами(199) Фол(198) Эйд(175) Тея(180) Акс(182)","0","Мар(5373) Акс(11064) ### Оли(8934) Каи(11064)","Акс(11064) Оли(11064) Хор(11064) ### ###"
"31/03 22:51","57208159","Aragorn","1123923","Акс(182) Гел(150) Эйд(191) ЛаК(216) Себ(198) Лир(186)","61882212","Оди","1170638","Лир(183) Исм(201) Цин(193) Себ(198) ЛаК(214) Акс(182)","0","Мер(11064) Хор(11064) Век(11064) Аль(11064) Оли(8934)","Бис(7859) Фен(7804) Каи(7859) Аль(11064) Век(11064)"
"31/03 22:46","Heros","Team","1169128","Акс(182) Тея(198) Себ(202) Джу(201) Айз(196) Лир(191)","61882156","3.14_ZDETS","1095852","Дан(200) Неб(185) Ори(201) Авг(187) Дор(141) Хор(182)","0","Мар(11064) Аль(11064) Век(11064) Акс(11064) Оли(11064)","Каи(10154) ### Хор(11064) Мер(11064) ###"
