dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"01/07 15:11","61882154","Виларт","1089615","Хор(172) Эйд(157) Себ(188) Неб(189) Исм(200) Лир(184)","43115385","hct","1193727","Лир(186) Неб(204) Себ(202) ЛаК(223) Фаф(197) Акс(182)","35","Хор(10154) Аль(9428) Каи(4773) Фен(5766) Оли(6132)","Фен(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)"
"01/07 15:09","61882154","Виларт","1095161","Хор(172) Лар(186) Ори(197) Фла(171) Кас(173) Кри(197)","60943776","NOW","1107914","Юли(168) Ами(201) Йор(176) Фла(185) Тея(196) Оли(182)","35","Мер(6894) Мар(5307) Хор(10154) Акс(11064) Бис(10114)","###  Акс(11064)  ###  Мер(11064) Мар(11064)"
"01/07 13:45","62044999","Пунь Пунь","1016364","Акс(124) Пол(96) Эйд(190) Хай(205) Неб(203) Ами(199)","43479117","THEKING111","1204537","Лир(188) Неб(204) Себ(202) ЛаК(224) Фаф(205) Акс(182)","35","Мар(5417) Хор(11064) Аль(11064) Каи(11064) Оли(10800)","Фен(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)"
"01/07 09:15","61882137","G_G","1123414","Хор(175) Пол(176) Фла(182) Кас(191) Ами(201) Кри(198)","60847406","Chappa","1187680","Лир(190) Неб(204) Себ(202) ЛаК(224) Фаф(187) Акс(182)","35","Мар(6622) Бис(8518) Мер(7804) Акс(9804) Хор(9817)","Фен(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)"
"01/07 08:59","61882177","Rom","1039625","Хор(173) Авг(173) Ори(188) Фла(139) Кас(187) Эле(181)","60579598","Team Klink","1194381","Лир(193) Неб(205) Себ(203) Фла(186) ЛаК(227) Акс(182)","35","Аль(9428) Хор(9428) Мер(9428) Акс(8490) Оли(11064)","Фен(11064) Каи(11064) Аль(11064) Акс(11064) Век(11064)"
"01/07 08:27","61882267","ZOV","1092051","Акс(172) ЛаК(193) Ада(152) Себ(198) Айз(191) Лир(186)","60579598","Team Klink","1139710","Эле(192) Кас(180) Ори(207) Авг(195) Пол(184) Хор(182)","35","Мар(8518) Каи(9428) Аль(10154) Оли(9428) Бис(11064)","Оли(11064) Мер(11064) Мар(11064) Хор(11064) Бис(11064)"
"01/07 04:10","62084542","bLanx","1137632","Хор(182) Лар(166) Ори(204) Фла(185) Кас(191) Кри(210)","60947310","Meztill","1169727","Ами(201) Неб(204) Хай(208) Эйд(179) Тея(196) Хор(182)","35","Мар(11064) Хор(11064) Бис(11064) Мер(11064) Акс(11064)","Оли(11064) Каи(11064) Аль(11064)  ###  Мар(11064)"
"01/07 04:02","62084542","bLanx","1174330","Акс(182) Себ(202) Неб(204) Айз(196) Лир(189) Гал(202)","43182199","Daishura","1178079","Чаб(213) Ара(213) Йор(189) Фла(186) Фоб(194) Акс(182)","35","Аль(11064) Каи(11064) Оли(11064) Бис(11064) Фен(11064)","Фен(11064) Мар(11064)  ###  Хор(11064) Бис(11064)"
"30/06 22:49","62044906","ГошаПукаетВкозу","1151213","Акс(182) Себ(200) Неб(202) Айз(186) Лир(187) Аст(195)","42904705","AlexLee","1189474","Чаб(213) Ара(201) Йор(201) Фла(186) Фоб(206) Акс(182)","35","Аль(11064) Каи(11064) Оли(11064) Фен(9470) Акс(11064)","Фен(11064) Мар(11064) Оли(11064) Бис(11064) Мер(11064)"
"30/06 22:30","62092872","MEDVED","1050700","Хор(164) Авг(186) Ори(194) Фла(175) Йор(162) Эле(169)","60578917","IO_OI","1138805","Эле(198) Кас(183) Фла(169) Ори(207) Авг(199) Хор(182)","35","Аль(11064) Мар(10826) Хор(11064) Акс(11064) Мер(6066)","Оли(11064) Хор(11064) Мер(10854) Акс(11064) Аль(11064)"
"30/06 22:26","62092872","MEDVED","1117936","Акс(168) Себ(203) Неб(205) Айз(185) Лир(181) Гал(177)","43503344","maru","1092748","Эле(187) Кас(189) Фла(164) Ори(190) Авг(181) Хор(182)","35","Аль(11064) Каи(11064) Мар(10826) Оли(11064) Фен(7249)","Акс(11064) Бис(6894)  ###   ###   ###"
"30/06 22:17","61882156","3.14_ZDETS","1139692","Хор(182) Дор(153) Авг(192) ЛаК(207) Ори(204) Дан(202)","60680046","Billy","1137381","Ами(199) Неб(185) Хай(211) Эйд(178) Тея(183) Аль(182)","35","Мер(11064) Аль(11064) Век(10646) Хор(11064) Каи(11064)","Акс(11064)  ###  Каи(11064)  ###   ###"
"30/06 21:07","62072200","Пух","1111162","Хор(182) Баб(192) Ада(187) Себ(203) Неб(189) Айз(159)","60947310","Meztill","1127717","Юли(198) Муш(187) Гал(205) Аль(189) Бир(168) Оли(182)","35","Акс(9428) Каи(11064) Аль(11064)  ###  Оли(11064)","###   ###  Фен(11064)  ###   ###"
"30/06 20:57","62072200","Пух","1016230","Хор(182) Авг(193) Фла(186) Кас(192) Йор(80) Эле(183)","42935521","Terror Rural","1151363","Крв(202) Руф(199) Аст(190) Муш(190) Бир(189) Оли(182)","35","Аль(11064) Мер(11064) Бис(11064) Акс(9428) Оли(11064)","Аль(11064) Оли(11064)  ###   ###  Бис(11064)"
"30/06 18:45","62145280","Nata","1142182","Акс(182) Себ(201) Неб(204) Айз(185) Лир(186) Крв(185)","43430439","Rowdy Time","1209838","Чаб(213) Ара(213) Йор(202) Фла(192) Фоб(208) Хор(182)","35","Аль(11064) Каи(11064) Мар(10154) Фен(11064) Оли(11064)","Фен(11064) Мар(11064) Оли(11064) Акс(11064) Мер(11064)"
