dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"18/03 19:40","62084537","Фартовый","1130488","Хор(182) Дор(175) Ори(202) Фла(174) Кас(188) Кри(210)","57653991","Ioshi","1051617","Юли(171) Лир(186) Йор(158) Эйд(183) Фоб(172) Хор(182)","0","Акс(11064) Мар(8108) Бис(8108) Мер(10154) Хор(11064)","Оли(11064) Бис(11064) Акс(11064) Хор(11064) Мер(11064)"
"18/03 19:40","10165198","Parag","1131933","Хор(182) Пол(188) Эйд(196) Фла(161) Ами(202) Аст(202)","62084549","Тихая","1113838","Аст(193) Лир(183) Кир(197) Неб(192) Себ(193) Акс(155)","0","Мар(11064) Мер(11064) Хор(11064) Акс(11064) Оли(11064)","Акс(9428) Оли(6220) Век(8518) Каи(5417) Аль(8518)"
"18/03 19:33","9037920","Jillian","1139653","Хор(182) Фла(155) Кир(202) Три(203) Лир(192) Гал(205)","61882219","Ваван","1112972","Лир(184) Неб(183) Себ(179) ЛаК(208) Баб(186) Акс(172)","0","Мер(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)","Оли(8518) ### Аль(8518) Век(6894) Акс(10154)"
"18/03 18:28","57366410","Kevzilla","1204414","Хор(182) ЛаК(226) Хай(196) Неб(204) К'А(206) Аст(191)","61882142","B.i.G","1007385","Лир(157) Айз(163) Неб(188) Себ(183) ЛаК(172) Фен(146)","0","Век(11064) Аль(11064) Каи(11064) Фен(11064) Акс(11064)","Оли(10154) Акс(8332) Каи(7804) Аль(10826) Век(7492)"
"18/03 18:13","62084537","Фартовый","1078880","Акс(182) Баб(162) Себ(194) Неб(195) Айз(167) Лир(179)","9170960","ss_savo","1126115","Эле(180) Кри(209) Кас(192) Ори(207) Авг(193) Хор(145)","0","### Аль(11064) Каи(10154) Оли(11064) Фен(8108)","Оли(6484) Бис(5766) Мер(11064) Мар(11064) Аль(11064)"
"18/03 16:51","61883387","FEDOR","1056050","Хор(182) Дор(169) Авг(184) Ори(197) Фла(157) Эле(167)","8634497","fresz998","1175181","Дан(200) Неб(200) Ори(204) Авг(189) Дор(199) Хор(182)","0","Акс(11064) Аль(9692) Мар(6484) Мер(10378) Оли(9428)","Фен(11064) Каи(9604) Хор(11064) Аль(10140) Акс(11064)"
"18/03 16:43","61882212","Оди","1142677","Хор(173) Тея(192) Себ(198) Неб(197) Исм(201) Лир(183)","46516888","Евгенич","1089913","Юли(193) Лир(192) Йор(157) Эйд(172) Фоб(192) Хор(182)","0","Мер(7804) Оли(11064) Каи(7859) Фен(7804) Бис(7859)","Оли(11064) Бис(11064) Акс(11064) Хор(11064) Мер(11064)"
"18/03 16:29","57365542","insik","1038368","Хор(182) Тея(124) Айр(191) ЛаК(205) Себ(175) Айз(160)","62084537","Фартовый","1105373","Кри(198) Кас(188) Фла(174) Ори(202) Дор(163) Хор(182)","0","Акс(11064) Бис(6830) Век(11064) Аль(11064) Оли(11064)","### Мер(10154) Бис(8108) Мар(8108) ###"
"18/03 15:41","62044906","(-_-)","1119169","Акс(182) Йор(162) Себ(196) Ара(196) Исм(204) Лир(179)","57355284","Marti","1053986","Юли(175) Лир(186) Йор(162) Эйд(176) Фоб(173) Хор(182)","0","Акс(11064) Аль(10154) Мар(5964) Фен(8108) Бис(4773)","Оли(11064) Бис(11064) Акс(11064) Хор(11064) Мер(11064)"
"18/03 15:18","2","718","897554","Акс(121) Фаф(103) ЛаК(190) Себ(170) Неб(158) Лир(156)","46516888","Евгенич","1045922","Дан(206) Неб(187) Ори(193) Авг(167) Дор(111) Акс(182)","0","Мар(3583) Фен(8518) Аль(7342) Каи(6030) Оли(6894)","Каи(11064) ### Мар(11064) Аль(11064) ###"
"18/03 14:12","61882250","Kamul27rus","1046159","Фен(111) Эйд(158) Себ(195) Неб(194) Исм(201) Лир(187)","22197786","mak80","1079403","Крв(202) Руф(175) Аст(174) Муш(138) Гал(208) Аль(182)","0","Мер(10154) Аль(10154) Каи(8108) Фен(6484) Оли(9018)","Аль(11064) ### ### ### Фен(11064)"
"18/03 13:51","61882317","viktori","1003121","Хор(133) Дор(156) ЛаК(201) Себ(162) Кир(178) Лир(173)","22197786","mak80","1058696","Юли(152) Лир(187) Йор(140) Фоб(208) Тея(190) Акс(182)","0","Акс(7929) Мар(6894) Оли(6894) Век(6894) Фен(6894)","Оли(11064) Бис(11064) ### Мер(11064) ###"
"18/03 12:03","61958839","Бальдр","1037373","Век(182) Авг(147) Ори(194) Джу(197) Гус(145) Эле(172)","57355317","Корвин","1053173","Авр(192) Тес(168) Крв(177) Руф(159) Юли(175) Аль(182)","0","Аль(11064) Хор(10154) Век(11064) Оли(8518) Акс(11064)","### ### ### ### ###"
"18/03 11:33","62044906","(-_-)","1040435","Хор(182) Дор(84) Авг(189) Ори(199) Неб(183) Дан(204)","57365542","insik","1018442","Ами(192) Неб(173) Хай(189) Эйд(160) Тея(122) Хор(182)","0","Акс(11064) Аль(10154) Мер(4773) ### Каи(10154)","Акс(11064) Каи(11064) Аль(11064) Хор(11064) Мар(8472)"
"18/03 11:18","Пунь","Пунь","1024327","Каи(182) Баб(141) Фла(159) Себ(200) Айз(156) Аст(187)","57355317","Корвин","1174354","Дан(206) Неб(188) Ори(207) Авг(188) Гел(203) Хор(182)","0","Акс(6294) Хор(9456) Аль(11064) Оли(10114) Бис(4773)","Каи(11064) ### Акс(11064) Бис(11064) Мер(11064)"
"18/03 11:06","57726577","Nimfon","1074372","Хор(182) Дор(192) Авг(193) Ори(207) Фла(102) Аст(198)","61882250","Kamul27rus","1134555","Лир(185) Неб(194) Себ(195) ЛаК(201) Тея(188) Аль(172)","0","Мер(11064) Аль(11064) Акс(11064) Бис(11064) Оли(11064)","Фен(6484) Каи(8108) Аль(10154) Век(7624) Мер(10154)"
"18/03 11:06","62084549","Тихая","1085147","Хор(173) ЛаК(198) Себ(193) Айз(160) Лир(182) Гал(178)","10165198","Parag","1179216","Дан(206) Неб(190) Ори(207) Авг(193) Дор(201) Хор(182)","0","Век(8518) Аль(8518) Акс(9428) Фен(4963) Оли(7478)","Каи(11064) ### Мер(11064) Хор(11064) Акс(11064)"
"18/03 10:34","22197786","mak80","1180140","Акс(182) Тея(202) Эйд(198) Ами(202) Исм(208) Лир(187)","61882137","G_G","1097373","Ами(198) Неб(187) Хай(199) Эйд(169) Пол(169) Хор(175)","0","Мер(11064) Аль(11064) Акс(11064) Оли(11064) Фен(11064)","Акс(9804) ### Бис(6151) ### Мар(6484)"
"18/03 10:22","61882156","3.14_ZDETS","1053151","Хор(182) Фаф(171) Эйд(177) Фла(142) Ами(179) Исм(202)","57726577","Nimfon","1176195","Лир(189) Исм(204) Себ(200) ЛаК(223) Эйд(179) Акс(182)","0","Мар(7300) Мер(11064) Хор(11064) Оли(11064) Фен(8108)","Оли(11064) Фен(11064) Аль(11064) Век(11064) ###"
"18/03 09:07","61882212","Оди","899646","Хор(173) Дор(110) Эйд(188) Авг(174) Ори(203) Йор(52)","57666146","СТЕПАН","1135922","Эле(186) Фла(178) Ори(207) Авг(191) Дор(192) Хор(182)","0","Мер(7804) Хор(9428) Аль(11064) Мар(11064) Акс(11064)","Оли(11064) Акс(11064) Хор(11064) Аль(11064) Мер(11064)"
"18/03 07:32","22197786","mak80","1213443","Акс(182) ЛаК(227) Себ(203) Неб(205) Айз(198) Ара(198)","61882154","Виларт","823737","Йор(153) Фла(135) Ори(185) Авг(170) Дор(78) Оли(102)","0","Век(11064) Аль(11064) Каи(11064) Оли(11064) Акс(11064)","### ### Мер(4863) ### ###"
"18/03 06:31","61882246","Nergal","924232","Мер(182) Авг(190) Ори(200) Фла(166) Кас(84) Эле(103)","57365540","Sorc","1088574","Ами(196) Неб(199) Хай(198) Фла(138) Эйд(176) Хор(182)","0","Аль(11064) Мер(11064) Хор(10084) Акс(6676) Оли(6676)","Акс(11064) Каи(11064) Бис(11064) Хор(11064) Мер(11064)"
"18/03 06:19","61882246","Nergal","1134895","Аль(182) Себ(195) Айз(170) Ясм(197) Исм(203) Лир(187)","57365299","Huntastic","1168214","Авр(192) Кри(213) Сел(190) Лар(206) Гел(185) Мер(182)","0","Аль(11064) Акс(6676) Каи(5153) Фен(6987) Оли(6676)","### Мер(11064) Бис(11064) Мар(11064) ###"
"18/03 02:50","57355424","Naoriku","1178817","Акс(182) Фаф(205) Эйд(193) Себ(200) Исм(207) Лир(192)","62044906","(-_-)","943136","Ара(196) Ами(178) Айз(167) Йор(149) Фаф(71) Хор(182)","0","Мар(11064) Мер(11064) Аль(11064) Фен(9428) Оли(11064)","Мар(5832) Акс(11064) Оли(5417) ### ###"
"18/03 02:49","57355424","Naoriku","1180081","Хор(182) Дор(198) Хай(207) Неб(186) Дан(206) Руф(201)","61882168","Тема","957070","Крв(187) Кир(180) Мор(172) Фла(126) Баб(139) Аль(153)","0","Мер(11064) Аль(11064) ### Каи(11064) Оли(11064)","Бис(3973) Век(3973) ### ### ###"
"17/03 22:25","46516888","Евгенич","1105825","Хор(182) Фоб(192) Айр(186) Мор(145) Исм(208) Лир(192)","Пунь","Пунь","805501","Руф(93) Ами(179) Айз(151) Пол(68) Баб(133) Аль(182)","0","Мер(11064) Оли(11064) Акс(11064) Фен(11064) Бис(11064)","### ### Мар(4806) ### ###"
"17/03 21:50","46516434","BBC","1221217","Акс(182) Фаф(208) ЛаК(227) Себ(203) Исм(208) Лир(192)","62072200","Пух","1156192","Гал(188) Лир(186) Три(202) Себ(190) ЛаК(218) Акс(173)","0","Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)","Оли(11064) Бис(11064) Фен(11064) ### Мар(11064)"
"17/03 21:48","46516434","BBC","1099364","Акс(182) Ори(207) Фла(184) Йор(154) Ара(187) Эле(185)","61958839","Бальдр","1021664","Эле(165) Лир(178) Гус(147) Кас(161) Ори(189) Акс(182)","0","Мер(11064) Хор(11064) Акс(11064) Мар(11064) Оли(11064)","Бис(4487) Фен(7804) Хор(10154) Мер(5683) Мар(4487)"
"17/03 21:44","46516434","BBC","1172228","Хор(182) Пол(192) Дор(198) Эйд(193) Неб(205) Ами(202)","61882137","G_G","1099895","Лир(177) Исм(198) Себ(200) ЛаК(210) Фаф(155) Акс(159)","0","Мар(11064) Мер(11064) Хор(11064) Каи(11064) Акс(11064)","Оли(8108) Фен(8529) Аль(11064) Век(4773) ###"
"17/03 21:41","61882156","3.14_ZDETS","1108659","Хор(182) Дор(153) Авг(187) Ори(201) Неб(185) Дан(200)","57561670","Orion","1132845","Ами(190) Себ(190) Хай(177) Эйд(194) Айр(200) Акс(182)","0","Акс(11064) Аль(11064) Мер(11064) ### Каи(10154)","### ### ### Хор(11064) Бис(11064)"
"17/03 21:09","62072200","Пух","1094373","Хор(182) Авг(186) Ори(200) Фла(170) Кас(181) Эле(176)","57365299","Huntastic","1175317","Лир(189) Кир(196) Себ(202) ЛаК(224) Эйд(183) Акс(182)","0","Аль(11064) Мар(11064) Хор(11064) Бис(11064) Оли(11064)","Оли(11064) Век(11064) Аль(11064) Фен(11064) Хор(11064)"
"17/03 20:51","Пунь","Пунь","1147429","Аль(182) Эйд(186) Хай(204) Неб(187) Ясм(204) Лир(184)","57355466","RBA","1174586","Аст(202) Лир(190) Себ(200) ЛаК(215) Эйд(184) Акс(182)","0","Хор(9456) Аль(11064) ### Каи(11064) Оли(10114)","Оли(11064) Фен(11064) Аль(11064) Век(11064) Мер(11064)"
"17/03 19:04","57365502","UPA","1107948","Хор(182) Дор(151) Авг(164) Ори(201) Хай(205) Неб(205)","61882137","G_G","1072565","Дан(195) Фла(163) Ори(198) Авг(174) Дор(161) Аль(182)","0","Акс(11064) Бис(11064) Мер(11064) Аль(11064) Каи(11064)","Каи(8518) Хор(9817) Мер(6484) ### ###"
"17/03 18:47","57366410","Kevzilla","1047130","Акс(182) Баб(135) Себ(201) Айз(173) Лир(187) Крв(168)","61882168","Тема","1052634","Дан(193) Неб(180) Ори(195) Авг(170) Дор(162) Хор(153)","0","### Оли(11064) Акс(11064) Фен(11064) Аль(11064)","Каи(9428) ### Хор(9428) Мер(3973) Акс(9428)"
"17/03 18:46","57366410","Kevzilla","1140991","Хор(182) Пол(177) Дор(174) Айр(211) Эйд(196) Ами(201)","62084537","Фартовый","1144313","Лир(181) Исм(195) Себ(181) ЛаК(215) Эйд(190) Акс(182)","0","Мар(11064) Мер(11064) Бис(11064) Хор(11064) Оли(11064)","Оли(11064) Фен(8108) ### Век(8108) Хор(11064)"
"17/03 18:17","57355317","Корвин","1193989","Акс(182) Фаф(185) Эйд(191) ЛаК(227) Себ(202) Исм(207)","62070560","iCool","774597","Эле(132) Руф(107) Аст(179) Гал(81) Баб(128) Оли(148)","0","Мар(11064) Хор(11064) Век(11064) Фен(11064) Оли(11064)","### Бис(8382) ### ### ###"
"17/03 18:04","8811400","Hastur","1143139","Хор(182) Дор(194) Авг(193) Ори(207) Фла(164) Аст(202)","62084540","SVAROG","1177581","Гал(186) Лир(191) Исм(194) Себ(200) ЛаК(224) Хор(182)","0","Акс(11064) Аль(11064) Мер(11064) Бис(11064) Оли(11064)","### Фен(11064) ### Аль(11064) Век(11064)"
"17/03 17:20","61882177","Rom","1052371","Акс(128) Эйд(149) ЛаК(211) Себ(190) Неб(198) Лир(177)","57365540","Sorc","1170337","Лир(188) Дан(204) Себ(189) ЛаК(220) Тея(189) Акс(182)","0","Хор(9428) Век(6894) Аль(9018) Каи(11064) Оли(10154)","Оли(11064) Фен(11064) Аль(11064) Век(11064) Мар(11064)"
"17/03 16:50","61882177","Rom","1035447","Хор(173) Авг(163) Ори(186) Кас(168) Кри(198) Эле(147)","9037920","Jillian","1189859","Гал(205) Лир(192) Три(203) Кир(204) Себ(203) Акс(182)","0","Аль(9018) Хор(9428) Акс(7804) Мер(7804) Оли(10154)","Бис(11064) Оли(11064) Фен(11064) Век(11064) Аль(11064)"
"17/03 16:16","61882154","Виларт","1075745","Хор(172) Баб(147) Неб(189) К'А(205) Лир(183) Аст(180)","57561670","Orion","1201227","Лир(191) Дан(204) Джу(199) Неб(205) ЛаК(220) Хор(182)","0","Акс(11064) Каи(4773) Век(9498) Бис(5766) Оли(6066)","Оли(11064) Фен(11064) Аль(11064) Каи(11064) Век(11064)"
"17/03 15:04","62084542","bLanx","1192778","Акс(182) ЛаК(220) Себ(200) Три(200) Лир(189) Гал(201)","57355447","Baron","1171468","Лир(179) Исм(195) Себ(200) ЛаК(212) Айр(203) Акс(182)","0","Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)","Оли(11064) Фен(11064) Аль(11064) Мар(11064) Бис(11064)"
"17/03 14:57","46516718","Biara","1115225","Акс(182) Баб(163) ЛаК(205) Джу(190) Ара(183) Ясм(193)","61882212","Оди","961200","Руф(175) Неб(185) Дор(106) Тея(182) Баб(149) Оли(164)","0","Акс(11064) Век(11064) Фен(11064) Аль(11064) Каи(11064)","### ### Мер(7804) ### ###"
"17/03 14:55","46516718","Biara","1125209","Акс(182) Пол(178) Неб(194) Ами(189) Лир(186) Аст(197)","62084549","Тихая","1066978","Исм(194) ЛаК(190) Эйд(181) Айр(181) Баб(149) Хор(173)","0","Мар(11064) Каи(11064) Акс(11064) Бис(11064) Оли(11064)","Фен(4963) Мар(3565) Хор(9439) Бис(4623) ###"
"17/03 14:54","46516718","Biara","1143547","Хор(182) Ори(189) Хай(194) Себ(192) Айз(182) Авр(205)","61882156","3.14_ZDETS","1095852","Дан(200) Неб(185) Ори(201) Авг(187) Дор(141) Хор(182)","0","Мер(11064) Аль(11064) Фен(11064) Оли(11064) Каи(11064)","Каи(10154) ### Хор(11064) Мер(11064) ###"
"17/03 14:26","57666146","СТЕПАН","1147487","Хор(182) Гел(193) Дор(192) Авг(191) Ори(207) Кей(183)","62084554","VIKTOR","1015493","Гал(189) Лир(174) Себ(155) Фла(140) ЛаК(202) Акс(155)","0","Хор(11064) Мер(11064) Аль(11064) Акс(11064) Бис(11064)","### ### ### ### ###"
"17/03 14:22","57666146","СТЕПАН","1062023","Хор(182) Фаф(162) Дже(189) Фла(178) Кас(165) Эле(186)","61882177","Rom","1047798","Лир(173) Неб(198) Себ(190) ЛаК(210) Эйд(149) Акс(128)","0","Мар(11064) Каи(11064) Акс(11064) Мер(11064) Оли(11064)","Фен(5766) Каи(11064) Аль(9018) Век(6894) Хор(9428)"
"17/03 14:16","57666146","СТЕПАН","1181044","Хор(182) Эйд(194) Хай(208) Неб(205) Ами(199) Аст(192)","62084805","Souffle","1133901","Лир(185) Исм(200) Себ(197) ЛаК(205) Фаф(175) Акс(172)","0","Хор(11064) Аль(11064) Каи(11064) Бис(11064) Оли(11064)","Оли(8518) Фен(6894) Аль(11064) Век(6905) Мар(4572)"
"17/03 14:00","57355284","Marti","1074392","Хор(182) Пол(156) Фла(154) Неб(205) Ами(192) Лир(186)","61882212","Оди","1173826","Лир(183) Исм(201) Цин(197) Себ(198) ЛаК(213) Акс(182)","0","Мар(11064) Акс(11064) Каи(11064) Бис(11064) Оли(11064)","Бис(7859) Фен(7804) Каи(7859) Аль(11064) Век(10378)"
"17/03 13:37","62084540","SVAROG","1196769","Акс(182) ЛаК(224) Себ(200) Три(202) Лир(191) Гал(198)","10165198","Parag","1193061","Гал(208) Лир(192) Три(203) Кир(204) Себ(203) Акс(182)","0","Век(11064) Аль(11064) Фен(11064) Оли(11064) Бис(10154)","Бис(11064) Оли(11064) Фен(11064) Век(11064) Аль(11064)"
"17/03 13:27","9170960","ss_savo","1118623","Хор(145) Лар(191) Кас(192) Кри(209) Ара(180) Авр(203)","62084537","Фартовый","1089852","Эле(173) Сел(186) Ами(193) Неб(195) Авг(190) Мер(152)","0","Хор(8518) Мер(11064) Бис(5766) Мар(11064) Каи(11064)","### ### Акс(11064) Каи(10154) Аль(11064)"
"17/03 13:22","62084540","SVAROG","1158381","Акс(182) Тея(192) Эйд(188) Фол(198) Ами(199) Аль(199)","46516434","BBC","1208659","Лир(192) Исм(208) Себ(203) ЛаК(227) Фаф(195) Акс(182)","0","Мар(11064) Аль(11064) Хор(11064) Оли(11064) Акс(11064)","Оли(11064) Фен(11064) Аль(11064) Век(11064) ###"
"17/03 12:03","62084554","VIKTOR","1151359","Аль(172) Дор(193) Авг(193) Ори(203) Неб(197) Дан(194)","57355424","Naoriku","1057687","Руф(198) Юли(111) Неб(202) Хай(207) Тея(158) Оли(182)","0","Акс(9428) Аль(10154) Хор(11064) Каи(9428) Фен(7169)","Бис(8332) Акс(11064) Каи(11064) Аль(11064) Мер(11064)"
"17/03 11:50","57365542","insik","994310","Хор(182) Гел(136) Авг(163) Ори(190) Фла(124) Авр(200)","61882204","Лапочка","1070833","Лир(184) Ясм(203) Фла(136) ЛаК(201) Эйд(165) Аль(182)","0","Мер(6676) Аль(11064) Хор(11064) Акс(11064) Каи(11064)","Оли(8382) Каи(10154) ### Фен(8518) Хор(5766)"
"17/03 11:27","61958839","Бальдр","1139111","Акс(182) Баб(187) Себ(202) Неб(195) Дан(194) Лир(178)","46516434","BBC","1087626","Эле(173) Ара(174) Фла(184) Ори(195) Авг(181) Мар(182)","0","Акс(11064) Аль(11064) Каи(11064) Фен(7804) Оли(8518)","### ### Бис(11064) ### ###"
