dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"15/08 21:38","62084537","Фартовый","1184497","Хор(182) Ори(203) Фла(191) Кас(194) Неб(204) Кри(210)","43276411","DedoWideHardo","1042607","Эле(193) Йор(170) Фла(170) Пол(145) Тея(183) Хор(182)","35","Мар(10154) Бис(10154) Мер(11064) Каи(10154) Хор(11064)","Бис(11064) Оли(11064) Акс(11064) Мар(11064) Мер(11064)"
"15/08 21:28","62084540","SVAROG","1167607","Хор(182) Пол(192) Ори(207) Фла(192) Йор(197) Эле(197)","62157775","D..","1182696","Чаб(213) Йор(202) Фла(192) Сом(186) Фоб(208) Оли(182)","35","Хор(11064) Мар(11064) Мер(11064) Акс(11064) Оли(11064)","Оли(11064) Акс(11064) Хор(11064) Фен(11064) Мер(11064)"
"15/08 17:13","62138500","Diablo","1060284","Акс(182) Ада(193) Фла(184) Йор(132) Айз(175) Кей(196)","61360675","Ico","1118999","Эле(198) Ами(199) Йор(178) Фла(188) Тея(175) Хор(182)","35","Каи(11064) Мер(11064) Акс(11064) Оли(11064) Бис(11064)","Мер(11064) Акс(11064) Оли(11064) Бис(11064) Мар(11064)"
"15/08 14:42","61883387","FEDOR","1082767","Хор(182) Дор(186) Ори(203) Фла(168) Кас(159) Эле(186)","62052910","Starstruck","1118721","Эле(188) Ами(198) Фла(176) Ори(193) Авг(182) Хор(182)","35","Акс(11064) Мар(9428) Бис(9428) Мер(10378) Оли(9428)","Акс(11064) Оли(11064) Хор(11064) Мер(11064) Аль(11064)"
"15/08 14:31","62084542","БлондИ","972672","Бис(182) Пол(186) Бир(152) Гал(202) Муш(138) Юли(113)","39382916","RocketIsAlive","1144246","Эле(195) Юли(203) Йор(175) Фла(192) Пол(197) Оли(182)","35","Мар(11064) Хор(11064) Аль(11064) Акс(11064) Оли(11064)","Мер(11064) Акс(11064) ### Хор(11064) Мар(11064)"
"15/08 14:21","62084542","БлондИ","1184266","Хор(182) Ори(204) Фла(190) Кас(194) Неб(204) Кри(210)","18685248","((--[4FUN]--))","1089748","Эле(192) Ара(193) Ами(189) Йор(152) Фла(181) Хор(182)","35","Мар(11064) Акс(11064) Мер(11064) Каи(11064) Бис(11064)","Бис(11064) Мар(11064) Оли(11064) Акс(11064) Хор(11064)"
"15/08 13:40","62084542","БлондИ","1157582","Хор(182) ЛаК(227) Себ(202) Айз(196) Гус(180) Ясм(171)","61360675","Ico","1048654","Чаб(166) Ара(197) Фоб(144) Пол(165) Фаф(195) Оли(182)","35","Век(11064) Аль(11064) Оли(11064) Акс(11064) Каи(11064)","### ### ### ### ###"
"15/08 13:17","61882154","Виларт","1110182","Акс(182) Эйд(158) ЛаК(205) Ада(179) Исм(201) Аст(186)","61953095","Martingal","1189723","Лир(190) Неб(204) Себ(202) ЛаК(226) Эйд(187) Акс(182)","35","Аль(11064) Век(9498) Бис(10114) Оли(6132) Акс(11064)","Фен(11064) Каи(11064) Аль(11064) Век(11064) Мер(11064)"
"15/08 09:54","61882154","Виларт","1108419","Акс(182) Дже(148) Себ(195) Неб(191) К'А(205) Лир(187)","18116975","Jayman","1136005","Крв(190) Руф(190) Аст(190) Муш(195) Дор(190) Акс(182)","35","Акс(11064) Аль(11064) Каи(4773) Век(9498) Оли(6132)","### ### ### ### ###"
"15/08 09:51","61882154","Виларт","1118552","Акс(182) Лар(188) Ори(198) Фла(176) Кас(176) Кри(199)","Lord","Shane","1181083","Лир(192) Себ(203) ЛаК(226) Эйд(196) Дор(181) Акс(182)","35","Мар(7422) Мер(6894) Хор(10154) Акс(11064) Бис(10114)","Оли(11064) Фен(11064) Век(11064) Мер(11064) ###"
"15/08 08:53","61882137","G_G","1137032","Хор(175) Пол(182) Фла(184) Кас(195) Ами(201) Кри(200)","Sire","Cei","1209028","Лир(196) Исм(207) Себ(202) ЛаК(226) Эйд(196) Акс(182)","35","Мар(8108) Бис(8518) Мер(11064) Оли(9428) Акс(9874)","Оли(11064) Фен(11064) Аль(11064) Век(11064) Хор(11064)"
"15/08 08:46","61882137","G_G","1093394","Хор(175) Себ(202) Неб(202) Айз(168) Гус(167) Лир(180)","18647798","(-Xavier-)","1172899","Юли(203) Ара(212) Йор(189) Фла(192) Пол(196) Хор(182)","35","Аль(11064) Каи(9456) Оли(9428) Акс(9874) Фен(9439)","Оли(11064) Мар(11064) Акс(11064) Хор(11064) Бис(11064)"
"15/08 08:40","61882137","G_G","1036249","Оли(173) Фаф(167) Дор(175) Ада(181) Йор(153) Юли(188)","50485544","Huma","1056478","Эле(186) Йор(164) Фла(178) Пол(188) Тея(159) Хор(182)","35","Мар(8108) Мер(11064) Каи(9456) Акс(9874) Оли(9428)","Оли(11064) Акс(11064) Мер(11064) Хор(11064) Мар(11064)"
"15/08 08:11","61883387","FEDOR","1133707","Акс(171) ЛаК(214) Йор(173) Себ(196) Айз(180) Дан(200)","18446130","Kigis","1083663","Юли(188) Ами(201) Йор(155) Фла(184) Тея(174) Оли(182)","35","Век(9439) Акс(11064) Аль(11064) Оли(9428) Каи(11064)","Оли(11064) Бис(11064) Акс(11064) Мер(11064) Мар(11064)"
"15/08 01:55","61958839","Бальдр","1003947","Акс(182) Кас(187) Йор(156) Хай(139) Бир(167) Кри(173)","61953095","Martingal","1003495","Эле(181) Гус(158) Бир(142) Фла(178) Пол(163) Хор(182)","35","Хор(10154) Оли(11064) Каи(11064) Бис(10154) Акс(11064)","Оли(11064) Акс(11064) Хор(11064) Бис(11064) Мар(11064)"
"14/08 21:02","62084554","VIKTOR","1129058","Хор(182) Авг(195) Ори(204) Фла(189) Бир(167) Эле(192)","50485544","Huma","1172806","Лир(187) Исм(207) Себ(202) ЛаК(223) Фаф(172) Акс(182)","35","Аль(11064) Хор(11064) Акс(11064) Бис(9734) Мер(9428)","Бис(11064) Фен(11064) Аль(11064) Век(11064) ###"
"14/08 21:00","62084554","VIKTOR","1156466","Хор(182) Себ(192) Исм(199) Три(192) Лир(191) Гал(202)","18116975","Jayman","1190981","Лир(185) Исм(196) Себ(203) ЛаК(227) Эйд(198) Бис(182)","35","Аль(11064) Мар(9428) Фен(8518) Оли(10154) Бис(9734)","### ### Фен(11064) Век(11064) Мер(11064)"
"14/08 20:35","61882142","B.i.G","1085997","Оли(169) Баб(165) Ада(174) Йор(175) Джу(198) Гал(205)","62051875","Barbarossa","1069024","Эле(194) Бир(169) Фол(173) Авг(189) Пол(163) Хор(182)","35","Акс(9692) Каи(8332) Оли(11064) Век(9428) Аль(11064)","Оли(11064) ### Хор(11064) Аль(11064) ###"
"14/08 19:01","62160428","Joker","1208684","Хор(182) Фаф(205) ЛаК(224) Себ(200) Исм(207) Лир(191)","50473376","SZACHI","1211137","Лир(191) Исм(207) Неб(204) Себ(202) ЛаК(226) Акс(182)","35","Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)","Оли(11064) Фен(11064) Каи(11064) Аль(11064) Век(11064)"
"14/08 19:00","62160428","Joker","1145654","Хор(182) Дор(192) Авг(194) Ори(203) Фла(185) Эле(190)","62152516","Yoktilar","1094529","Эле(172) Кас(186) Фла(161) Ори(195) Авг(198) Хор(182)","35","Мер(11064) Аль(11064) Акс(11064) Хор(11064) Бис(11064)","Мер(11064) Хор(11064) Акс(11064) Мар(11064) Аль(11064)"
"14/08 18:48","62163138","Igor25","1157082","Хор(182) Гел(208) Ада(191) Фла(191) Йор(190) Эле(195)","39382916","RocketIsAlive","1208659","Лир(192) Исм(208) Себ(203) ЛаК(227) Фаф(195) Акс(182)","35","Мер(11064) Фен(11064) Хор(11064) Акс(7848) Оли(11064)","Оли(11064) Фен(11064) Аль(11064) Век(11064) ###"
"14/08 17:06","2","718","928045","Хор(146) Дор(88) Авг(179) Ори(189) Йор(147) Эле(179)","50447863","Orde","1088142","Эле(187) Ара(180) Фла(177) Ори(183) Пол(178) Хор(182)","35","Мер(7818) Аль(9064) Мар(4773) Акс(9428) Оли(8546)","Оли(11064) Мар(11064) Мер(11064) Хор(11064) Бис(11064)"
