dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"28/02 09:50","Пунь","Пунь","1059050","Хор(156) ЛаК(199) Фла(118) Себ(200) Ясм(204) Лир(182)","29610380","spo","1091646","Лир(170) Неб(188) Себ(189) ЛаК(184) Эйд(178) Оли(182)","0","Фен(10154) Хор(9456) Аль(11064) Каи(11064) Оли(8672)","Оли(11064) ### Фен(8299) Век(9018) ###"
"28/02 08:41","61882317","viktori","924311","Каи(128) Дор(139) Авг(174) Ори(177) Неб(114) Дан(192)","29834944","Hassobar","1131146","Дан(196) Неб(194) Хай(188) Эйд(187) Пол(185) Акс(182)","0","Акс(7859) Аль(6894) Мер(7804) ### Каи(7870)","Фен(5862) Каи(11064) ### Аль(11064) Хор(11064)"
"28/02 08:06","61882246","Nergal","1023323","Оли(110) Эйд(183) Авг(177) Ори(200) Фла(165) Крв(189)","29548947","Argaris","1144761","Крв(196) Лир(177) Кир(201) Себ(201) Дже(197) Акс(173)","0","Аль(11064) Акс(6676) Мер(11064) Хор(9018) Оли(6676)","Оли(11064) Бис(9454) Век(11064) Аль(11064) Каи(11064)"
"28/02 00:39","61882196","Wren","923733","Хор(182) Дже(144) Крн(135) Фла(81) Хай(201) Айз(180)","29734514","govar","1158013","Аст(184) Сел(199) Ами(193) Неб(200) Ори(199) Акс(182)","0","Акс(11064) Бис(4773) Хор(11064) Аль(10154) Оли(4993)","Оли(11064) Бис(11064) Акс(11064) Каи(11064) Хор(5683)"
"28/02 00:34","61882196","Wren","935760","Хор(182) Дор(43) Авг(125) Ори(201) Неб(183) Дан(202)","29687922","neon","1132401","Ами(174) Джу(202) Неб(202) Хай(192) Фаф(180) Акс(182)","0","Мер(4806) Аль(10154) Хор(11064) ### Каи(10154)","### Век(11064) Каи(11064) ### ###"
"28/02 00:25","61882196","Wren","1093333","Акс(182) Гел(169) Фаф(170) ЛаК(207) Исм(194) Лир(172)","Ragin","Cajun","1163155","Аст(198) Ясм(200) Дан(202) Сел(185) Баб(197) Акс(182)","0","Мер(4806) Мар(4823) Век(5766) Фен(9448) Оли(4993)","Оли(11064) Фен(11064) Каи(11064) ### Акс(11064)"
"27/02 23:57","Пук","Пук","886720","Хор(182) Фаф(76) Эйд(142) Фла(114) Хай(199) Ами(174)","Kapetan","Kuki","1074247","Лир(184) Исм(198) Неб(156) Себ(182) ЛаК(173) Акс(182)","0","Мар(4883) Хор(11064) Мер(4773) Аль(10154) Акс(11064)","Фен(11064) Оли(11064) ### ### ###"
"27/02 23:35","Пук","Пук","960624","Хор(182) Дор(78) Авг(190) Ори(204) Йор(103) Дан(204)","Hertog","Jan","1178757","Цин(187) Дан(186) Ори(207) ЛаК(224) Авг(193) Хор(182)","0","Мер(4773) Хор(11064) Акс(11064) Оли(4773) Каи(10154)","### ### Мар(11064) Фен(11064) Хор(11064)"
"27/02 21:47","Бесенок","Ната","773693","Хор(172) Дор(65) Авг(138) Ори(187) Фла(105) Эле(106)","29834944","Hassobar","1099434","Юли(183) Ара(174) Сел(191) Айр(180) Баб(189) Аль(182)","0","Мер(6329) Аль(5419) Хор(10154) Бис(6486) Оли(5419)","### ### Акс(11064) ### Оли(11064)"
"27/02 21:42","61882219","Ваван","883297","Аль(145) Фаф(95) Эйд(170) Авг(160) Ори(116) Дан(197)","Johnny","Rotten","1100111","Аст(191) Кей(193) Дан(197) Айр(186) Баб(152) Оли(182)","0","Оли(8518) Мер(6894) Аль(8518) Хор(6894) Каи(8518)","Акс(11064) Бис(9428) Фен(9428) ### ###"
