dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"07/03 15:50","61882156","3.14_ZDETS","1140166","Хор(182) Себ(193) Неб(199) Джу(190) Айз(189) Лир(188)","23398075","gasttong","1165113","Дан(206) Неб(190) Ори(207) Авг(193) Дор(187) Хор(182)","0","Аль(11064) Каи(10154) Век(9018) Акс(11064) Оли(11064)","Каи(11064) ### Акс(11064) Хор(11064) Мер(11064)"
"07/03 15:33","62044906","(-_-)","1107624","Хор(182) Эйд(142) ЛаК(206) Себ(196) Ами(177) Исм(204)","32578125","Will82","1193082","Лир(186) Себ(202) ЛаК(222) Эйд(196) Фаф(206) Акс(182)","0","Хор(11064) Век(6195) Аль(10154) Акс(11064) Фен(8108)","Оли(11064) Аль(11064) Фен(11064) Мер(11064) Мар(11064)"
"07/03 15:28","Пунь","Пунь","1056975","Хор(156) Баб(133) Ори(187) Хай(204) Ами(187) Аст(190)","51239740","KoreaSeoul","1148086","Лир(191) Себ(203) ЛаК(224) Эйд(193) Фаф(155) Акс(182)","0","### Хор(9456) Аль(11064) Акс(6228) Оли(9050)","Бис(11064) Фен(11064) Век(11064) Хор(11064) Мар(11064)"
"07/03 15:23","Пунь","Пунь","1128805","Хор(156) Эйд(186) ЛаК(199) Себ(200) Ясм(204) Лир(183)","23228421","Mojin","1177542","Лир(180) Себ(203) ЛаК(227) Тея(190) Фаф(195) Акс(182)","0","Хор(9456) Фен(10154) Аль(11064) Каи(11064) Оли(9050)","### Фен(11064) Век(11064) ### ###"
"07/03 14:31","31351598","marinhero-sub","1107799","Хор(182) Эйд(171) Хай(207) Айз(178) Ами(197) Аст(172)","61958839","Бальдр","1008230","Эле(158) Лир(177) Гус(146) Кас(156) Ори(189) Акс(182)","0","Хор(11064) Аль(11064) Оли(11064) Акс(11064) Бис(11064)","Бис(4487) Фен(7804) Хор(8824) Мер(5683) Мар(4487)"
"07/03 14:29","23257144","Lee","1170646","Хор(182) Фаф(187) Ори(205) Кас(192) Сел(202) Авр(203)","61882317","viktori","1002560","Эле(161) Дан(192) Фла(156) Ори(181) Авг(183) Хор(128)","0","Мар(11064) Мер(11064) Хор(11064) Бис(11064) Оли(11064)","Оли(6894) Каи(7870) Хор(7804) Мер(7804) Аль(6894)"
"07/03 14:26","31351598","marinhero-sub","1104424","Акс(182) Фаф(174) Тея(143) ЛаК(217) Себ(200) Лир(188)","62070560","iCool","845047","Руф(97) Аст(188) Ясм(178) Айз(107) Баб(128) Оли(147)","0","Мар(11064) Мер(11064) Век(11064) Аль(11064) Оли(11064)","### Бис(8108) ### Мар(5766) ###"
"07/03 14:24","23257144","Lee","1168501","Акс(182) Тея(199) Себ(202) Айз(186) Ара(195) Исм(205)","61882250","Kamul27rus","1042548","Крв(189) Айз(180) Ори(196) Авг(163) Баб(162) Мер(153)","0","Мер(11064) Фен(11064) Акс(11064) Мар(11064) Оли(11064)","Бис(5357) Оли(9018) Хор(6916) ### Акс(6484)"
"07/03 14:24","31351598","marinhero-sub","1115761","Хор(182) Авг(192) Ори(205) Фла(173) Кас(186) Эле(178)","61882168","Тема","1030640","Крв(190) Лир(171) Кир(180) Мор(171) Себ(164) Акс(155)","0","Аль(11064) Бис(11064) Мер(11064) Акс(11064) Оли(11064)","Оли(7458) Фен(3973) Век(3973) ### Аль(9428)"
"07/03 14:20","23290401","kyd.kor","1090219","Хор(182) Авг(187) Ори(207) Фла(162) Кас(181) Эле(171)","61882246","Nergal","1116712","Крв(187) Неб(186) Ори(200) Авг(181) Баб(180) Мер(182)","0","Аль(11064) Бис(11064) Мер(11064) Акс(11064) Оли(11064)","Бис(4773) Каи(5153) Мер(11064) Акс(6676) ###"
"07/03 14:17","23290401","kyd.kor","1173473","Хор(182) Эйд(196) Хай(208) Ами(202) Ара(185) Аст(200)","61882154","Виларт","1003318","Аст(184) К'А(201) ЛаК(183) Фаф(128) Баб(135) Хор(172)","0","Хор(11064) Аль(11064) Акс(11064) Мар(11064) Оли(11064)","Акс(11064) Век(9498) Фен(4313) Мар(4773) ###"
"07/03 14:14","23290401","kyd.kor","1192235","Акс(182) ЛаК(215) Себ(203) Три(200) Лир(188) Гал(205)","61882196","Wren","1033826","Дан(202) Неб(183) Ори(201) Авг(130) Крн(135) Хор(182)","0","Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)","Каи(10154) ### Акс(11064) Хор(11064) Бис(4773)"
"07/03 14:02","27690942","halo50su","1195339","Хор(182) Эйд(198) Хай(208) Ами(202) Ара(203) Аст(202)","61882156","3.14_ZDETS","1060490","Исм(201) Джу(177) Эйд(177) Фаф(160) Баб(163) Аль(182)","0","Хор(11064) Аль(11064) Акс(11064) Мар(11064) Оли(11064)","Мар(6484) ### Мер(11064) ### Акс(11064)"
"07/03 13:59","27690942","halo50su","1213476","Акс(182) ЛаК(225) Себ(203) Три(203) Лир(192) Гал(208)","61882140","ПасТырЪ","979555","Крв(106) Руф(144) Аст(181) Гал(186) Три(181) Оли(182)","0","Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)","### Бис(6676) ### ### ###"
"07/03 13:56","31351593","marinhero!","1091089","Хор(182) Авг(190) Ори(207) Фла(162) Кас(177) Эле(173)","Бесенок","Ната","986939","Лир(175) Неб(151) Себ(165) ЛаК(205) Фаф(109) Век(182)","0","Аль(11064) Бис(11064) Мер(11064) Акс(11064) Оли(11064)","Оли(5419) Каи(4773) Аль(5419) Век(11064) Мар(4487)"
"07/03 13:52","31351593","marinhero!","1201520","Акс(182) ЛаК(216) Себ(203) Три(203) Лир(191) Гал(207)","Пунь","Пунь","979142","Аст(186) Сел(191) Неб(187) Хай(199) Дор(60) Хор(156)","0","Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)","Бис(4543) Мер(4773) ### Акс(6228) ###"
"07/03 13:12","61882154","Виларт","1077330","Хор(172) Эйд(153) Себ(182) Неб(188) Исм(199) Лир(183)","22915829","KimYeontan","1113918","Лир(176) Себ(202) ЛаК(203) Тея(167) Фаф(185) Акс(182)","0","Хор(10154) Аль(6244) Каи(4123) Фен(4701) Оли(6066)","Оли(9428) Аль(9428) Век(8562) Мер(9428) Мар(9428)"
"07/03 11:55","61882212","Оди","1089421","Хор(173) Пол(188) Фла(161) Кас(184) Ами(198) Лир(185)","31351598","marinhero-sub","1132292","Лир(188) Себ(200) ЛаК(217) Эйд(171) Фаф(174) Акс(182)","0","Мар(11064) Мер(7804) Бис(7859) Акс(11064) Оли(11064)","Оли(11064) Аль(11064) Век(11064) Хор(11064) Мар(11064)"
"07/03 11:12","Team","PatJuayze","1178145","Хор(182) Эйд(197) Авг(192) Хай(211) Сел(202) Кей(195)","61882180","Angel","1093066","Аст(188) Гал(198) Лир(178) К'А(201) Ясм(200) Акс(128)","0","Хор(11064) Аль(11064) Каи(11064) Акс(11064) Бис(11064)","Акс(7804) Оли(7804) Фен(6894) Век(7118) Каи(8518)"
"07/03 11:04","Team","PatJuayze","1076238","Хор(182) Ори(207) Фла(157) Кас(168) Кри(197) Эле(165)","61882250","Kamul27rus","1131797","Лир(185) Неб(194) Себ(195) ЛаК(201) Тея(186) Аль(172)","0","Мар(11064) Хор(11064) Акс(11064) Мер(11064) Оли(11064)","Фен(6484) Каи(8108) Аль(10154) Век(7624) Мер(9945)"
"07/03 09:08","62070651","Taifyn","1005653","Акс(182) Йор(141) Себ(131) Неб(200) Айз(155) Дан(196)","33801897","SAMSON2","1091414","Эле(163) Руф(187) Юли(185) Хай(205) Тея(169) Оли(182)","0","Акс(11064) Аль(11064) Каи(11064) Оли(10154) Фен(10154)","Мер(11064) ### ### Акс(11064) ###"
"07/03 06:17","61882177","Rom","965099","Бис(99) Фаф(92) ЛаК(210) Себ(189) Неб(198) Лир(177)","33801904","SAMSON3","1090366","Эле(167) Руф(187) Юли(185) Хай(205) Тея(165) Оли(182)","0","Мар(5766) Век(6894) Аль(8028) Каи(11064) Оли(10154)","Мер(11064) ### ### Акс(11064) ###"
