dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"15/02 04:21","27684258","ZZD","1163679","Акс(182) Пол(184) Эйд(191) Хай(205) Неб(202) Ами(199)","61882267","ZOV","1078792","Лир(183) Исм(197) Кир(180) Себ(184) Эйд(190) Акс(145)","35","Мар(11064) Хор(11064) Аль(11064) Каи(11064) Акс(11064)","Фен(6894) Мар(5766) Век(5683)  ###  Хор(11064)"
"15/02 04:20","27684258","ZZD","1193900","Акс(182) Фаф(195) ЛаК(226) Себ(200) Исм(204) Лир(188)","62044999","Пунь Пунь","1072526","Лир(181) Ясм(204) Себ(200) ЛаК(199) Эйд(186) Акс(102)","35","Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)","Оли(7142) Каи(11064) Аль(11064) Фен(10154) Хор(9456)"
"15/02 01:45","28329066","Tal Rasha","1015150","Хор(182) Дор(52) Авг(192) Ори(200) Неб(187) Авр(201)","61883387","FEDOR","970319","Дан(200) Неб(186) Хай(154) Фаф(130) Баб(136) Каи(164)","35","Мер(9020) Аль(11064) Акс(11064)  ###  Каи(9428)","Каи(11064)  ###   ###   ###   ###"
"15/02 01:37","27591749","Marz","1022420","Оли(172) Тея(167) Эйд(135) Ясм(187) Кей(160) Гал(202)","61882142","B.i.G","1100542","Гал(201) Джу(189) Неб(188) Себ(180) Баб(162) Аль(180)","35","Мар(10154) Аль(10154) Фен(10154) Бис(10154) Оли(10154)","Аль(10714) Фен(8551) Каи(7804) Оли(9636) Акс(8068)"
"15/02 01:34","27591749","Marz","1082008","Аль(172) Баб(197) Айр(198) Неб(142) Дан(198) Руф(176)","62070651","Taifyn","1083696","Аст(183) Дан(185) Неб(181) Айр(184) Баб(168) Аль(182)","35","Акс(10154) Аль(10154) Каи(4295) Фен(10154) Оли(10154)","###   ###   ###   ###   ###"
"15/02 01:31","27591749","Marz","1153791","Акс(172) ЛаК(214) Себ(198) Исм(203) Лир(171) Аст(197)","61991077","3ve","1065420","Лир(183) Ясм(190) Себ(169) ЛаК(215) Эйд(154) Оли(155)","35","Мар(10154) Аль(10154) Фен(10154) Бис(10154) Оли(10154)","Оли(9428) Фен(9428) Аль(11064) Век(6940) Хор(8518)"
"15/02 01:23","27586507","HI NU gundam","1032850","Акс(155) Баб(162) Хай(197) Ами(183) Ара(163) Крв(172)","61882180","Angel","1086831","Аст(186) Гал(196) Лир(178) К'А(200) Ясм(198) Акс(128)","35","Акс(9428) Аль(8518) Бис(8518) Мар(6184) Оли(6894)","Акс(7804) Оли(6894) Фен(6894) Век(6894) Каи(7235)"
"15/02 00:55","27124648","Badgers49","1124077","Акс(182) Дор(185) Джу(202) Исм(197) Кей(170) Аст(188)","62070560","iCool","880984","Дан(191) Джу(144) ЛаК(102) Дор(164) Фаф(108) Акс(172)","35","Мер(11064) Фен(11064) Оли(11064) Аль(11064) Акс(11064)","Каи(8518) Фен(4836) Век(4773)  ###  Мар(5347)"
"15/02 00:53","27124648","Badgers49","1193070","Каи(182) Баб(197) Фаф(190) ЛаК(222) Себ(200) Неб(202)","61882204","Лапочка","971739","Дан(181) Неб(163) Себ(161) Фаф(141) Баб(154) Каи(172)","35","Оли(11064) Мар(11064) Век(11064) Фен(11064) Каи(11064)","###   ###  Аль(11064) Мар(4773)  ###"
"14/02 21:20","62044906","Пук Пук","1159556","Акс(182) ЛаК(206) Себ(195) Неб(196) Исм(203) Лир(178)","27404265","Sufletel","1186781","Лир(182) Кир(204) Себ(203) ЛаК(225) Эйд(190) Акс(182)","35","Век(5417) Аль(10154) Каи(10154) Фен(6894) Оли(4773)","Оли(11064) Век(11064) Аль(11064) Мар(11064) Хор(11064)"
"14/02 19:59","61882219","Ваван","1119192","Акс(172) Баб(186) ЛаК(206) Себ(176) Неб(196) Лир(183)","27173484","GerMonegrino","1151329","Лир(185) Три(187) Себ(196) ЛаК(202) Айр(199) Хор(182)","35","Акс(10154) Фен(6894) Аль(8518) Каи(8518) Оли(8518)","Оли(9428) Фен(9428) Аль(9428) Век(9428) Бис(9428)"
"14/02 19:54","43110968","Jensemann","1170100","Хор(167) Баб(199) ЛаК(221) Хай(193) Лир(191) Аст(199)","61882196","Wren","1037119","Дан(202) Неб(183) Ори(201) Авг(129) Крн(139) Хор(182)","35","Акс(11064) Фен(9692) Аль(11064) Оли(11064) Бис(11064)","Каи(10154)  ###  Акс(11064) Хор(11064) Бис(4773)"
"14/02 17:44","61883387","FEDOR","1023510","Хор(182) Баб(148) Фаф(141) Хай(166) Неб(186) Дан(200)","38712347","BiBa Butzemann","1112555","Анд(167) Ясм(197) Сел(197) Неб(198) Айр(171) Аль(182)","35","Акс(11064) Оли(9428) Аль(9692)  ###  Каи(11064)","Оли(8068) Фен(9428) Акс(11064) Каи(11064) Бис(9428)"
"14/02 16:31","55773598","SanchoPancho","1169348","Акс(182) Себ(200) Джу(198) Дан(202) Лир(185) Гал(203)","62044906","Пук Пук","1114594","Дан(204) Айз(164) Неб(182) Ори(199) Авг(184) Хор(182)","35","Фен(10658) Аль(11064) Каи(11064) Бис(11064) Оли(11064)","Каи(10154) Акс(11064)  ###  Мер(4773) Бис(4773)"
"14/02 16:17","28329066","Tal Rasha","1002026","Акс(182) Баб(112) ЛаК(195) Себ(194) Айз(146) Лир(173)","61882267","ZOV","1157188","Аст(192) Ори(200) Авг(188) Дор(192) Гел(203) Хор(182)","35","###  Фен(9428) Аль(11064) Акс(11064) Оли(9428)","Оли(6894) Бис(8518) Аль(10154) Акс(8518) Мер(10532)"
"14/02 16:10","28329066","Tal Rasha","1110757","Хор(182) Эйд(173) Хай(200) Ами(197) Сел(185) Аст(174)","62044906","Пук Пук","1103803","Лир(177) Исм(203) Себ(195) ЛаК(206) Эйд(142) Акс(182)","35","Хор(11064) Аль(11064) Акс(11064) Мер(9020) Оли(9428)","Оли(4773) Фен(6484) Аль(10154) Век(5417) Хор(11064)"
"14/02 16:09","61953275","Bugzi","1067388","Хор(182) Баб(150) Авг(179) Ори(184) Неб(182) Авр(191)","27293256","chris","1115659","Авр(203) Айз(168) Неб(185) Ори(202) Фаф(176) Каи(182)","35","Акс(10394) Хор(11064) Мер(7804)  ###  Каи(11064)","Бис(11064) Оли(7422)  ###  Хор(8518) Мар(9428)"
"14/02 15:51","61882137","G_G","1056776","Хор(175) Дор(165) Авг(183) Ори(194) Фла(162) Руф(179)","27110116","PSYLOCK","1101779","Гал(198) Неб(182) Себ(161) Айр(199) Тея(181) Аль(182)","35","Мер(5417) Аль(11064) Акс(9804) Хор(9817) Бис(5417)","Бис(5533)  ###   ###  Аль(11064) Мер(10618)"
"14/02 15:49","61882137","G_G","1104075","Акс(159) Фаф(161) ЛаК(209) Себ(200) Исм(198) Лир(177)","27382967","Marcus","1126588","Аст(194) Кей(193) К'А(193) Сел(175) Себ(190) Акс(182)","35","Мар(5417) Век(4773) Аль(11064) Фен(8529) Оли(8108)","Оли(9428) Аль(11064) Век(6866) Хор(11064) Фен(8724)"
"14/02 15:19","61882154","Виларт","994122","Акс(182) Баб(147) Без(149) Йор(132) К'А(205) Аст(179)","32009205","rade1611","1115745","Айз(198) Джу(199) Себ(203) Мод(165) Баб(169) Фен(182)","35","Акс(11064) Хор(10154) Оли(6066) Век(9498) Бис(5116)","Акс(11064) Век(11064) Фен(11064) Бис(5683)  ###"
"14/02 14:35","27849467","LiTa_BiTa","1009736","Хор(173) Ори(165) Неб(185) Сел(182) Ара(129) Аст(175)","61882246","Nergal","1097769","Крв(181) Неб(185) Ори(200) Авг(176) Баб(174) Мер(182)","35","Хор(9428) Каи(11064) Акс(11064) Мар(11064) Оли(11064)","Бис(4773) Каи(5153) Мер(11064) Акс(6676)  ###"
"14/02 14:01","61882250","Kamul27rus","1069392","Аль(172) Эйд(145) ЛаК(200) Ясм(199) Лир(184) Гал(169)","38712347","BiBa Butzemann","1125971","Авр(200) Дан(186) Айз(176) Себ(198) Баб(183) Акс(182)","35","Мер(9890) Век(6966) Каи(8108) Бис(5237) Аль(10154)","Мер(7804)  ###  Мар(11064) Аль(11064)  ###"
"14/02 13:50","61882246","Nergal","1037984","Оли(110) Эйд(181) Авг(180) Ори(200) Неб(185) Крв(182)","27545977","Genessis","1124236","Тес(185) Кей(180) Джу(204) Эйд(180) Тея(193) Оли(182)","35","Хор(8490) Аль(11064) Мер(11064) Каи(5153) Оли(6676)","###   ###  Век(9832) Хор(9692) Мар(7804)"
"14/02 13:39","61882250","Kamul27rus","920974","Фен(111) Фаф(56) Тея(183) Себ(195) Айз(179) Исм(197)","43110968","Jensemann","996208","Авр(159) Тес(130) Аст(187) Гал(152) Баб(186) Бис(182)","35","Мар(3701) Мер(9890) Аль(10154) Оли(8108) Фен(6484)","###   ###   ###   ###   ###"
"14/02 13:29","61882246","Nergal","876798","Оли(110) Фаф(146) Дор(56) Себ(192) Айз(170) Исм(203)","27591749","Marz","1090626","Авр(190) Руф(162) Гал(190) Дан(191) Баб(185) Фен(172)","35","Мар(4773) Мер(11064) Аль(11064) Оли(6676) Фен(6914)","Акс(10154)  ###   ###  Каи(4295)  ###"
"14/02 13:19","61882250","Kamul27rus","1032552","Оли(126) Баб(156) Авг(169) Ори(196) Неб(194) Крв(192)","27382967","Marcus","1101763","Авр(190) Дан(198) Неб(162) Айр(184) Баб(186) Хор(182)","35","Акс(6341) Аль(10154) Мер(9890) Каи(8108) Оли(8108)","Мер(7130) Каи(7804)  ###  Бис(6676) Акс(11064)"
"14/02 13:16","27545977","Genessis","1175365","Акс(182) Неб(196) Дан(204) Ясм(198) Лир(188) Гал(208)","61882156","3.14_ZDETS","1119597","Гал(191) Лир(183) Три(187) Себ(178) ЛаК(199) Акс(182)","35","Каи(11064) Фен(11064) Аль(11064) Бис(11064) Оли(11064)","Оли(11064) Бис(5417) Фен(8086)  ###  Век(9018)"
"14/02 12:49","61882163","Орел","862014","Хор(133) Дор(64) Авг(151) Ори(169) Неб(166) Дан(179)","27545977","Genessis","1181145","Руф(202) Гал(208) Лир(188) Ясм(198) Дан(204) Акс(182)","35","Мер(5067) Акс(7010) Хор(7786)  ###  Каи(5076)","Акс(11064) Оли(11064) Бис(11064) Аль(11064) Фен(11064)"
"14/02 12:42","61882317","viktori","923809","Акс(128) Дор(138) Авг(174) Ори(177) Неб(114) Дан(192)","43110968","Jensemann","1073071","Кей(196) Лир(178) Исм(205) Ясм(139) Тея(173) Акс(182)","35","Акс(7859) Аль(6894) Мер(7804)  ###  Каи(7870)","Бис(11064)  ###  Мар(9692) Фен(9692) Мер(9692)"
"14/02 11:58","32009205","rade1611","1165035","Акс(182) Себ(203) Неб(197) Джу(197) Айз(198) Аст(188)","61953275","Bugzi","1051468","Дан(202) Неб(182) Ори(184) Авг(179) Дор(124) Хор(182)","35","Фен(11064) Каи(11064) Аль(11064) Оли(11064) Акс(11064)","Каи(11064)  ###  Мер(7804) Хор(11064) Акс(10310)"
"14/02 11:58","32009205","rade1611","1167391","Акс(182) Эйд(190) Ара(195) Ясм(203) Кей(197) Авр(200)","61882156","3.14_ZDETS","1057293","Исм(200) Джу(176) Эйд(177) Фаф(160) Баб(163) Аль(182)","35","Мер(11064) Мар(11064) Фен(11064) Аль(11064) Оли(11064)","Мар(5037)  ###  Мер(11064)  ###  Акс(11064)"
"14/02 11:57","61882156","3.14_ZDETS","1107105","Хор(182) Дор(153) Авг(187) Ори(201) Неб(183) Дан(200)","27124648","Badgers49","1096538","Авр(205) Исм(184) Ара(166) Мор(187) Дор(173) Оли(182)","35","Мер(11064) Аль(11064) Акс(11064)  ###  Каи(10154)","Мер(11064)  ###   ###   ###   ###"
