dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"01/02 04:24","1993738","Mikazuki","1147459","Хор(182) Эйд(189) Ори(207) Кас(179) Кри(189) Крв(201)","61991077","3ve","1062431","Лир(183) Ясм(190) Себ(169) ЛаК(215) Эйд(151) Оли(155)","0","Хор(11064) Бис(11064) Акс(11064) Мер(11064) Оли(11064)","Оли(9428) Фен(9428) Аль(11064) Век(6940) Хор(7976)"
"01/02 04:22","1993738","Mikazuki","1134992","Акс(182) Баб(181) Айр(195) Себ(198) Исм(207) Аст(171)","61882142","B.i.G","1088905","Гал(200) Джу(189) Неб(187) Себ(178) Баб(156) Аль(179)","0","Акс(11064) Бис(11064) Аль(11064) Фен(11064) Оли(11064)","Аль(10532) Фен(8518) Каи(6894) Оли(9328) Акс(6993)"
"01/02 04:04","1993738","Mikazuki","1158005","Оли(182) ЛаК(225) Неб(205) Лир(185) Юли(184) Руф(177)","61882163","Орел","843670","Дан(174) Неб(166) Ори(162) Авг(151) Дор(59) Хор(132)","0","Мар(11064) Каи(11064) Фен(11064) Оли(11064) Бис(11064)","Фен(4576) Каи(5076) Мер(5067) Хор(7716) Акс(6842)"
"01/02 02:27","57516641","Tanikichin46rin","1130494","Акс(182) Айр(200) Йор(168) Хай(207) Сел(185) Аст(188)","61882204","Лапочка","873245","Дан(181) Неб(163) Дже(80) Фаф(126) Баб(151) Каи(172)","0","Оли(11064) Акс(11064) Каи(11064) Хор(11064) Бис(11064)","### ### Акс(6894) Мар(4773) ###"
"01/02 02:01","1999068","toraneko","1183689","Оли(182) Себ(203) Неб(205) Лир(186) Гал(205) Юли(203)","61882168","Тема","1034167","Дан(192) Неб(174) Ори(194) Авг(162) Дор(159) Хор(153)","0","Аль(11064) Каи(11064) Оли(11064) Фен(11064) Акс(11064)","Каи(9018) ### Хор(9428) Мер(3973) Акс(9428)"
"01/02 02:00","1999068","toraneko","1216388","Бис(182) ЛаК(227) Мор(196) Кир(202) Исм(208) Крв(201)","61882355","РомаРио","896230","Лир(159) Кир(186) Айз(134) Себ(129) Баб(116) Фен(172)","0","Век(11064) Акс(11064) Фен(11064) Оли(11064) Аль(11064)","Фен(10154) Век(5630) ### ### ###"
"01/02 01:30","61882267","ZOV","1085041","Акс(145) Эйд(189) Себ(193) Кир(180) Исм(197) Лир(181)","57516641","Tanikichin46rin","1072306","Руф(152) Юли(183) Лир(173) Неб(204) ЛаК(178) Хор(182)","35","Хор(11064) Аль(9832) Век(5683) Фен(6894) Оли(6894)","### Акс(11064) ### Каи(11064) ###"
"01/02 01:21","1953270","kisyu-ume","1183998","Хор(182) Мор(203) Кир(204) Три(200) Лир(192) Крв(202)","61882156","3.14_ZDETS","1034491","Исм(193) Джу(172) Эйд(173) Фаф(156) Баб(159) Аль(182)","0","Акс(11064) Век(11064) Фен(11064) Бис(11064) Оли(11064)","Мар(3709) ### Мер(11064) ### Акс(11064)"
"01/02 01:16","1953270","kisyu-ume","1174731","Хор(182) Лил(202) Пол(196) Авг(193) Суд(202) Ара(199)","61882250","Kamul27rus","978480","Крв(188) Айз(178) Ори(188) Авг(137) Баб(151) Мер(135)","0","Оли(11064) Хор(11064) Аль(11064) Акс(11064) Мар(11064)","Бис(5227) Оли(6894) Хор(6916) ### Акс(6110)"
"01/02 01:05","1953270","kisyu-ume","1162416","Хор(182) Дор(177) Эйд(194) Ори(207) Себ(194) Сат(207)","61953275","Bugzi","1046364","Дан(200) Неб(180) Ори(182) Авг(179) Дор(124) Хор(182)","0","Мер(11064) Аль(11064) Хор(11064) Оли(11064) Акс(11064)","Каи(10154) ### Мер(5766) Хор(11064) Акс(9918)"
