dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"31/01 07:57","61882189","Santa","1013507","Аль(172) Тея(181) Дор(116) Хай(198) Сел(154) Крв(192)","7989950","yumatan","1096595","Авр(164) Айз(170) Джу(188) Себ(190) Айр(203) Оли(182)","35","Мер(6484) Акс(4893) Аль(10154) Бис(7059) Оли(8922)","### ### Фен(11064) ### Бис(11064)"
"22/01 04:39","23380326","Swawol","1131546","Акс(182) Баб(175) Себ(200) Неб(196) Ясм(192) Лир(187)","61882137","G_G","996406","Дан(181) Айз(155) Джу(176) Фаф(157) Баб(145) Аль(182)","0","Акс(11064) Аль(11064) Каи(9428) Фен(8518) Оли(6121)","### ### ### Мар(4773) ###"
"21/01 22:58","23162204","Shajar","1157466","Аль(182) Тея(189) Дан(195) Эль(198) Кей(193) Гал(199)","61958839","Бальдр","973212","Эле(149) Лир(175) Гус(140) Кас(153) Ори(175) Акс(182)","0","Акс(11064) Фен(11064) Каи(11064) Аль(11064) Оли(11064)","Бис(4487) Фен(6894) Хор(4123) Мер(5683) Мар(4487)"
"21/01 14:28","23294513","Feliksof","1141961","Аль(182) Баб(196) Себ(198) Сел(195) Дан(205) Лир(166)","61882204","Лапочка","886191","Дан(196) Неб(163) Дже(80) Фаф(125) Баб(151) Каи(172)","0","Акс(11064) Аль(11064) Хор(10644) Каи(11064) Оли(11064)","Каи(10154) ### Акс(6622) Мар(4123) ###"
"21/01 11:55","Clint","Eastwood","1173826","Аль(182) Тея(197) Себ(198) Неб(200) Сел(197) Дан(199)","61882142","B.i.G","1092297","Гал(200) Джу(189) Неб(187) Себ(178) Баб(160) Аль(179)","0","Акс(11064) Оли(11064) Каи(11064) Хор(11064) Фен(11064)","Аль(10504) Фен(8518) Каи(6894) Оли(9188) Акс(6993)"
"21/01 10:20","22926974","reniekPL","1120923","Хор(158) Дже(187) Себ(186) Неб(200) Кир(197) Муш(192)","61882154","Виларт","992392","Аст(183) К'А(205) ЛаК(169) Фаф(120) Баб(134) Акс(182)","0","Акс(6676) Аль(8518) Каи(9428) Фен(11064) Оли(11064)","Акс(11064) Век(9498) ### ### ###"
"21/01 10:20","22926974","reniekPL","1008857","Каи(155) Баб(184) Йор(137) Дан(141) К'А(205) Кей(188)","61882196","Wren","889480","Авр(187) Сел(128) Айз(173) Хай(189) Дор(40) Каи(172)","0","Оли(11064) Акс(6676) Каи(9428) Фен(11064) Аль(8518)","### ### ### ### ###"
"21/01 10:19","57365292","Lute","1154555","Хор(182) Тея(195) Эйд(183) Кай(194) Ами(200) Аль(201)","61882154","Виларт","1057183","Лир(183) Исм(198) Неб(186) Себ(177) Эйд(150) Хор(163)","0","Мар(11064) Мер(5417) Хор(11064) Акс(10154) Оли(11064)","Оли(6066) Фен(4313) Каи(3943) Аль(5306) Хор(9468)"
"21/01 06:44","61882177","Rom","920847","Хор(173) Дор(48) Авг(151) Ори(180) Неб(173) Авр(196)","23251678","Bakly","1110400","Авр(180) Дан(196) Кир(197) Пол(176) Тея(197) Оли(163)","35","Акс(7804) Аль(6676) Хор(9428) ### Каи(11064)","Оли(9692) Фен(9428) Век(9527) Мар(8090) Мер(10378)"
"20/01 22:59","23146400","Leszczs","1155123","Хор(182) Фаф(205) Тея(188) Айр(188) Ясм(206) Юли(188)","61883387","FEDOR","1090299","Лир(185) Исм(199) Себ(180) ЛаК(186) Эйд(175) Акс(166)","0","Мар(11064) Акс(11064) Аль(11064) Каи(11064) Оли(11064)","Оли(9428) Фен(8518) Аль(9692) Мар(5417) Хор(11064)"
