dateTime,attackerId,attackerName,attackerPower,attackerTeam,defenderId,defenderName,defenderPower,defenderTeam,points,attackerPets,defenderPets
"25/02 20:29","Пунь","Пунь","1125909","Хор(156) Эйд(186) ЛаК(199) Себ(200) Неб(203) Лир(182)","1073622","Валео","1096753","Дан(198) Неб(190) Ори(207) Авг(172) Дор(148) Хор(182)","0","Хор(9456) Фен(10154) Аль(11064) Каи(11064) Оли(8616)","Каи(11064) ### Мер(11064) Аль(11064) ###"
"25/02 19:25","62072200","Пух","1073254","Аль(182) Эйд(181) Хай(200) Неб(203) Мор(139) Крв(167)","Mr","KilleR","1148315","Лир(189) Дан(204) Неб(205) Себ(198) Дже(171) Хор(182)","0","Хор(9428) Бис(11064) Каи(11064) Акс(9428) Аль(11064)","Оли(11064) Фен(11064) Каи(11064) Аль(11064) Акс(11064)"
"25/02 19:12","62070651","Taifyn","1149003","Аль(182) Баб(181) Айр(197) Неб(198) Дан(196) Аст(195)","21556119","funtik","1090905","Лир(186) Джу(177) Себ(161) ЛаК(201) Эйд(183) Акс(182)","0","Акс(11064) Аль(11064) Каи(11064) Фен(10154) Оли(10154)","Оли(11064) Век(11064) ### Мар(11064) Хор(11064)"
"25/02 15:06","61882246","Nergal","983834","Аль(182) Дор(52) Авг(181) Ори(200) Неб(185) Крв(184)","51428328","VAD1981","887217","Эле(130) Кас(116) Фла(143) Ори(146) Авг(169) Хор(182)","0","Акс(6676) Аль(11064) Мер(11064) Каи(5153) Оли(6676)","Мер(11064) ### Акс(11064) Хор(11064) Бис(11064)"
"25/02 14:05","61882154","Виларт","1033402","Акс(182) Фаф(128) Эйд(153) ЛаК(190) Себ(180) Исм(200)","21556095","Mercenary","1186187","Лир(192) Исм(208) Себ(190) ЛаК(220) Эйд(193) Акс(182)","0","Мар(4773) Хор(10154) Век(9498) Аль(5394) Оли(6066)","Оли(11064) Фен(11064) ### Мар(11064) Хор(11064)"
"25/02 12:16","61958839","Бальдр","1132838","Акс(182) Баб(187) Себ(200) Неб(193) Дан(194) Лир(177)","И","че?","1186109","Лир(189) Кир(203) Себ(202) ЛаК(218) Эйд(193) Акс(182)","0","Акс(11064) Аль(11064) Каи(11064) Фен(7804) Оли(8518)","Оли(11064) Век(11064) Аль(11064) Фен(11064) Хор(11064)"
"25/02 11:18","51333759","MagSerg","1068209","Хор(182) Пол(183) Айр(212) Фла(125) Ами(186) Крв(181)","62072200","Пух","1076834","Ясм(189) Цин(204) Айз(146) Хай(188) Тея(168) Аль(182)","0","Мар(11064) Аль(11064) Хор(11064) Акс(11064) Оли(11064)","### Каи(11064) ### ### ###"
"25/02 11:16","51333759","MagSerg","1204295","Хор(182) ЛаК(225) Себ(202) Неб(204) Исм(203) Лир(189)","61882212","Оди","1048807","Руф(175) Цин(185) Айз(164) Тея(182) Фаф(179) Мар(164)","0","Век(11064) Аль(11064) Каи(11064) Фен(11064) Оли(11064)","### ### ### ### ###"
"25/02 11:15","51333759","MagSerg","1040042","Хор(182) Гел(182) Авг(192) Ори(207) Кас(127) Эле(150)","61882189","Santa","1059596","Лир(182) Кир(191) Себ(184) Фла(166) Эйд(165) Аль(172)","0","Мер(11064) Аль(11064) Хор(11064) Акс(11064) Оли(11064)","Оли(8922) Век(8108) Аль(10154) Хор(6396) Мер(6484)"
"25/02 08:45","51428328","VAD1981","1074308","Акс(182) Себ(156) Ясм(203) Три(182) Лир(147) Гал(205)","61882267","ZOV","1091373","Лир(183) Исм(197) Кир(181) Себ(184) Эйд(190) Акс(157)","0","Аль(11064) Каи(11064) Фен(11064) Бис(11064) Оли(11064)","Фен(6894) Мар(5766) Век(5683) ### Хор(11064)"
