date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets
27/05 16:57	62084540	SVAROG	1145009	Хор(182) Дор(177) Авг(194) Фол(198) Йор(192) Ами(202)	344660939	Там-Сям	1073168	Эле(167) Крв(168) Аст(185) Гал(201) Тея(169) Оли(182)	35	###  Аль(11064) Мер(11064) Акс(11064) Оли(11064)	###   ###   ###  Бис(9428)  ###
27/05 16:48	62084540	SVAROG	1215371	Хор(182) ЛаК(222) Себ(203) Неб(205) Три(212) Лир(191)	348025022	Мурзилка	1060893	Эле(177) Аст(161) Ами(183) Неб(192) Эйд(166) Оли(182)	35	Мар(11064) Аль(11064) Каи(11064) Фен(11064) Оли(11064)	Оли(11064)  ###  Акс(11064) Каи(10154)  ###
27/05 16:33	62084540	SVAROG	1200755	Хор(182) Лар(209) Ори(207) Фла(192) Кас(197) Кри(213)	344660939	Там-Сям	1024366	Ара(167) Йор(155) Фла(143) Эйд(191) Пол(187) Хор(182)	35	Мар(11064) Акс(11064) Бис(11064) Мер(11064) Хор(11064)	Акс(11064) Оли(11064) Мер(11064) Хор(11064) Мар(11064)
27/05 14:28	61882317	viktori	941890	Акс(155) Авг(190) Йор(101) Айз(113) Кир(186) Дан(197)	337799895	Марк Аврелий	1031969	Авр(199) Руф(171) Гал(175) Фла(168) Баб(136) Акс(182)	35	Аль(8086) Акс(9428) Оли(6894) Век(6894) Каи(7870)	Оли(9748) Акс(11064) Бис(6894) Мер(6894)  ###
27/05 08:40	61882177	Rom	1021528	Хор(173) Авг(173) Ори(188) Фла(135) Кас(186) Эле(167)	342618456	СЕРЕГА	1122164	Лир(185) Исм(206) Себ(197) Эйд(169) Дже(194) Оли(172)	35	Аль(9428) Хор(9428) Мер(7804) Акс(7804) Оли(10154)	Оли(10154) Фен(10154) Аль(10154) Хор(6484) Каи(10154)
27/05 00:10	62044906	ГошаПукаетВкозу	1010386	Хор(182) Пол(157) Авг(193) Ори(200) Йор(174) Сат(106)	346986323	whatdoyouSeek	1084186	Эле(190) Ара(189) Йор(170) Пол(190) Фаф(163) Оли(182)	35	Мар(6484) Аль(11064) Бис(5887) Оли(9890) Хор(11064)	Оли(11064)  ###   ###  Хор(11064)  ###
26/05 23:51	62044906	ГошаПукаетВкозу	1085732	Хор(182) Эйд(164) Фла(140) Хай(205) Ами(190) Исм(205)	345598224	Team Byblik	1116498	Лир(182) Исм(198) Себ(196) ЛаК(213) Фаф(197) Акс(130)	35	Хор(11064) Бис(5887) Аль(11064) Оли(9890) Фен(8518)	Оли(6894) Фен(6894) Аль(10154) Век(6894) Мар(5766)
26/05 23:32	62044906	ГошаПукаетВкозу	955388	Акс(182) Себ(198) Неб(199) Айз(181) Аст(195)	342616830	Хондзё Масамунэ	1148345	Юли(196) Ара(201) Йор(185) Авг(194) Фаф(191) Оли(182)	35	Аль(11064) Каи(10154) Оли(9890) Акс(11064)	 ###  Мар(5766)  ###  Хор(11064)  ###
26/05 22:55	61882156	3.14_ZDETS	1034834	Хор(182) Дор(153) Авг(190) Ори(203) Фла(145) Эле(162)	346008908	ЪУЪ	1202638	Лир(191) Неб(202) Себ(200) ЛаК(226) Фаф(202) Акс(182)	35	Акс(11064) Аль(11064) Мер(11064) Бис(11064) Оли(11064)	Бис(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)
26/05 22:43	61882156	3.14_ZDETS	1153050	Акс(182) Себ(199) Неб(202) Джу(193) Айз(189) Ами(188)	344930686	Удав	1197031	Чаб(213) Ара(213) Йор(189) Фла(192) Фоб(208) Хор(182)	35	Аль(11064) Каи(11064) Век(9018) Мар(8108) Оли(11064)	Оли(11064) Мар(11064)  ###  Хор(11064) Мер(11064)
