date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
08/05 23:42	62145280	Nata	1067611	Сил(201) Эде(223) Вер(206) Ава(198) Анг(240)	21350871	DIO	1174071	Риг(255) Ава(225) Вер(151) Сол(318) Эде(225)					Д6-130	Д6-130 С6-130	"ГС5 ЭЭ3  "	"ПВ5 ЭЭ5 ЛП5 ПР5"	https://www.hero-wars.com?replay_id=1778272957739743257	
08/05 23:21	62072200	Пух	1078274	Сил(221) Эде(219) Вер(197) Ава(221) Анг(221)	21351423	Seoul	1222737	Анг(235) Ава(219) Сол(305) Эде(219) Ияр(245)					Д6-130	Д6-130 С6-130	"ГС3 ЭЭ5  "	"ГС2 ЭЭ5 ЛП2 ЗС2"	https://www.hero-wars.com?replay_id=1778271681286968455	
08/05 22:10	61882156	3.14_ZDETS	897930	Игн(191) Тен(203) Ара(205) Мол(194) Бру(106)	37262870	Chris	1223389	Мор(252) Ава(225) Вер(208) Эде(225) Тен(314)					О6-130 Т6-130	Д6-130 Т6-130	"ПВ2 ЗС4 ГН1 ПД2"	"ГС5 ЭЭ5 ГН4 ТК4"	https://www.hero-wars.com?replay_id=1778267449691691303	
08/05 20:48	62044906	ГошаПукаетВкозу	1043230	Гип(217) Маи(201) Тид(194) Нов(212) Сиг(219)	21350886	Lavan	1248433	Риг(272) Ава(225) Вер(208) Сол(318) Эде(225)					В6-130	Д6-130 С6-130	"ГС3 ЭЭ3  "	"ГС5 ЭЭ5 ПВ5 ЗС5"	https://www.hero-wars.com?replay_id=1778262509703728925	
08/05 17:26	62084537	Фартовый	1082900	Тен(245) Гип(210) Тид(192) Нов(210) Бру(225)	25029420	KOK	1253470	Риг(271) Ава(239) Вер(205) Сол(317) Эде(222)					В6-130 Т6-130	Д6-130 С6-130	"ШГ4 ПД5 ГС5 ТК5"	"ГС4 ЭЭ4 ПВ5 ТК4"	https://www.hero-wars.com?replay_id=1778250371578012816	
08/05 17:19	62084537	Фартовый	1096087	Эде(210) Сол(247) Вер(200) Ава(206) Риг(232)	21350936	Sensible	1134751	Бру(228) Ава(206) Вер(160) Эде(223) Тен(318)					Д6-130 С6-130	Д6-130 Т6-130	"ГС4 ЭЭ5 ЛП4 ЗС5"	"ГС4 ЭЭ5 ГН5 ТК5"	https://www.hero-wars.com?replay_id=1778249963074508076	
08/05 16:41	62145280	Nata	1336081	Тен(305) Сол(315) Мор(229) Риг(270) Бру(216)	21350936	Sensible	1207093	Риг(229) Мол(221) Сол(315) Ара(221) Игн(221)					Т6-130 С6-130	О6-130 С6-130	"ГН2 ТК2 ЛП5 ЗС3"	"ЛП3 ПД5 ПВ4 ПР5"	https://www.hero-wars.com?replay_id=1778247663769077588	
08/05 14:43	62084540	SVAROG	1036579	Гип(216) Ара(215) Тид(193) Аше(198) Нов(216)	37262885	Ike.hk	1265408	Бру(259) Мор(255) Вер(208) Эде(225) Тен(318)					В6-130 О6-130	Т6-130 Д6-130	"ШГ5 ПД4 ПВ4 ПР5"	"ГН5 ТК5 ГС5 ЭЭ5"	https://www.hero-wars.com?replay_id=1778240627204308380	
08/05 14:28	62084540	SVAROG	1144101	Эде(225) Сол(229) Вер(208) Ава(225) Риг(258)	59847740	C !	1132901	Бру(221) Ава(187) Вер(182) Эде(224) Тен(318)					Д6-130 С6-130	Д6-130 Т6-130	"ГС5 ЭЭ5 ЛП5 ТК5"	"ГС5 ЭЭ4 ЛП5 ПР5"	https://www.hero-wars.com?replay_id=1778239688546011420	
08/05 12:43	61958839	Бальдр	1126894	Гип(217) Ара(225) Тид(208) Вул(235) Мол(242)	24414264	Holonomy	1243539	Мол(225) Мор(253) Ара(225) Тен(316) Игн(225)					О6-130 В6-130	О6-130 Т6-130	"ТП5 ПД5 ШГ5 ПД5"	"ТП5 ПР5 ЛП5 ПД5"	https://www.hero-wars.com?replay_id=1778233390753364005	
08/05 07:37	62084554	VIKTOR	1212091	Тен(314) Гип(222) Тид(205) Бру(233) Сиг(239)	25029732	verythinking	1236573	Бру(255) Мор(255) Тид(185) Гип(223) Тен(318)					В6-130 Т6-130	Т6-130 В6-130	"ШГ4 ПД4 ГН4 ТК4"	"ГН5 ТК5 ШГ4 ПД5"	https://www.hero-wars.com?replay_id=1778215074266047518	
08/05 04:48	61882267	Player(61882267)	1197437	Эде(218) Сол(312) Вер(176) Ава(224) Риг(267)	60692443	4509	1265503	Риг(272) Анг(242) Вер(208) Сол(318) Эде(225)					С6-130 Д6-128	Д6-130 С6-130	"ЛП3 ЗС5 ГС4 ЭЭ1"	"ШГ5 ЭЭ5 ПВ5 ПД5"	https://www.hero-wars.com?replay_id=1778204929725846075	
08/05 04:20	62082395	Винни	1297372	Тен(310) Кер(212) Мор(248) Риг(263) Бру(265)	37262879	LEO CHUTY	1257448	Мол(242) Мор(252) Ара(225) Тен(314) Игн(225)					Т6-130	О6-130 Т6-130	"ЛП3 ПР3  "	"ТП5 ПР5 ГН4 ТК4"	https://www.hero-wars.com?replay_id=1778203209170650510	
07/05 20:48	61882177	Rom	908704	Сил(143) Эде(206) Вер(195) Ава(160) Анг(204)	59847740	C !	1187480	Риг(238) Амо(203) Сол(318) Ияр(208) Люм(220)					Д6-130	С6-130	"ЛП3 ЭЭ4  "	"ПВ5 ЗС5  "	https://www.hero-wars.com?replay_id=1778176109051469250	
07/05 20:19	62072200	Пух	1131150	Игн(213) Ияр(169) Ара(224) Сол(302) Мол(224)	51353533	Sonnef	1045446	Анг(221) Ава(202) Вер(175) Эде(225) Сил(222)					О6-130 С6-130	Д6-130	"ПВ5 ЗС4 ГС1 ТК2"	"ГС5 ЭЭ5  "	https://www.hero-wars.com?replay_id=1778174365329755937	
07/05 20:10	61882154	Виларт	1122131	Тен(309) Аше(200) Вул(182) Нов(219) Мор(212)	60681477	Forrest Jump	1356672	Риг(272) Амо(255) Сол(318) Ияр(272) Люм(238)					Т6-130 О6-130	С6-130	"ГН3 ЗС4 ПВ4 ПР3"	"ЛП5 ЗС5  "	https://www.hero-wars.com?replay_id=1778173849927154920	
07/05 18:17	61882168	Тема	1060109	Тен(295) Эде(208) Вер(145) Анг(171) Бру(241)	21350871	DIO	1063463	Мол(225) Вул(225) Аше(164) Ара(225) Игн(225)					Т6-130 Д6-127	О6-130	"ЛП2 ПР3 ГС2 ЭЭ5"	"ПВ5 ТК5  "	https://www.hero-wars.com?replay_id=1778167037174306415	
07/05 17:47	61882156	3.14_ZDETS	1075812	Гип(212) Сол(260) Тид(188) Нов(214) Риг(201)	60681477	Forrest Jump	1158611	Анг(242) Ава(242) Вер(208) Эде(225) Сил(242)					В6-130 С6-130	Д6-130	"ГС4 ТК4 ГН1 ПР4"	"ГС5 ЭЭ5  "	https://www.hero-wars.com?replay_id=1778165253881165393	
07/05 17:30	62138500	Diablo	1334083	Тен(310) Гип(219) Ияр(228) Сол(312) Бру(265)	37262956	Cool (TW)	1282403	Мол(242) Мор(255) Ара(225) Тен(318) Игн(242)	35				Т6-130 С6-130	О6-130 Т6-130	"ТП2 ЗС5 ЛП3 ПД5"	"ПВ5 ПР5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1778164216596190368	
