date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
26/03 02:24	14336666	Calla	1122797	Тен(290) Эде(206) Вер(194) Анг(201) Бру(232)	62044999	Пунь Пунь	1135810	Сиг(208) Нов(215) Сол(249) Гип(215) Тен(249)					Д6-105 Т6-66	В6-129	"ПВ3 ТК1 ЛП2 ПД1"	"ШГ2 ПР4  "	https://www.hero-wars.com?replay_id=1774481062909979623	
26/03 02:23	14336666	Calla	1197771	Гип(220) Ияр(247) Сол(308) Тид(203) Сиг(220)	61882154	Виларт	1138812	Мол(208) Мор(212) Аше(200) Ара(210) Тен(309)					В6-130 С6-130	О6-130 Т6-130	"ГН3 ПР4 ТП3 ПД2"	"ПВ4 ПР3 ГН3 ЗС4"	https://www.hero-wars.com?replay_id=1774481032744815632	
26/03 01:48	14127439	Papaschlumpf	1076826	Игн(221) Ара(225) Аше(208) Вул(199) Мол(225)	61882196	Wren	995455	Анг(213) Ава(209) Вер(161) Эде(209) Сил(204)					О6-130	Д6-130	"ПВ5 ПР5  "	"ЛП4 ТК4  "	https://www.hero-wars.com?replay_id=1774478925932190232	
26/03 01:24	14256255	Alex	1158611	Сил(242) Эде(225) Вер(208) Ава(242) Анг(242)	61991077	3ve	1010808	Сиг(214) Нов(198) Тид(204) Маи(197) Гип(198)					Д6-130	В6-130	"ГС5 ЭЭ5  "	"ШГ3 ПД5  "	https://www.hero-wars.com?replay_id=1774477480847291198	
26/03 01:24	14256255	Alex	1279778	Тен(317) Гип(225) Нов(242) Мор(254) Сиг(242)	61882142	B.i.G	1075570	Аше(196) Сол(240) Ара(205) Ияр(218) Тен(216)					В6-130 Т6-130	О6-130 С3-130	"ШГ5 ПД5 ГН5 ТК4"	"ГС3 ПД2 ГН2 ЗС3"	https://www.hero-wars.com?replay_id=1774477442745269842	
26/03 00:42	48580890	Nimik	1067304	Гип(222) Маи(212) Тид(205) Нов(213) Сиг(216)	61958839	Бальдр	1151486	Мол(242) Вул(235) Аше(208) Ара(225) Игн(242)					В6-130	О6-130	"ЛП4 ПД4  "	"ТП5 ПД5  "	https://www.hero-wars.com?replay_id=1774474937545557623	
26/03 00:37	14326148	Togis	1231615	Ияр(251) Ара(223) Сол(312) Аше(206) Мол(240)	61882168	Тема	1124881	Бру(241) Вер(145) Кер(236) Эде(208) Тен(295)					О6-130 С6-130	Т6-130 Д6-127	"ТП5 ПР3 ПВ4 ЗС3"	"ЛП2 ПР3 ГС2 ЭЭ5"	https://www.hero-wars.com?replay_id=1774474647466963039	
25/03 15:56	47150774	Gadal	1102356	Гип(224) Эде(224) Вер(207) Тид(207) Сиг(241)	61882204	Лапочка	1136611	Риг(224) Мол(225) Вул(172) Сол(296) Игн(219)					В6-130 Д6-130	О6-130 С6-130	"ЛП5 ЭЭ4 ГС5 ЭЭ4"	"ПВ5 ПР5 ЛП4 ТК4"	https://www.hero-wars.com?replay_id=1774443404985776953	
24/03 18:20	62084805	Souffle	1088758	Гип(221) Маи(214) Тид(204) Нов(220) Сиг(230)	14127439	Papaschlumpf	1213642	Мол(225) Ара(225) Гип(225) Тен(318) Игн(221)					В6-130	О6-130	"ШГ3 ПД5  "	"ПВ5 ПР5  "	https://www.hero-wars.com?replay_id=1774365618668430317	
24/03 18:13	62084540	SVAROG	1144101	Эде(225) Сол(229) Вер(208) Ава(225) Риг(258)	25029718	Battosai	1247951	Сиг(239) Бру(269) Тид(205) Гип(222) Тен(314)					Д6-130 С6-130	В6-130 Т6-130	"ГС5 ЭЭ5 ЛП5 ТК5"	"ЛП4 ПД4 ТП4 ПД4"	https://www.hero-wars.com?replay_id=1774365194793190310	
24/03 18:12	62084540	SVAROG	1096252	Тен(227) Гип(216) Нов(216) Мор(223) Сиг(216)	29924210	Filet Tec	1054460	Мол(212) Сол(247) Ара(209) Ияр(202) Игн(184)					В6-130 Т6-130	О6-130 С6-107	"ШГ5 ПД4 ГН4 ЗС5"	"ТП2 ЗС5 ЛП5 ТК4"	https://www.hero-wars.com?replay_id=1774365154562695549	
24/03 18:05	62084537	Фартовый	1090218	Эде(210) Сол(247) Вер(200) Ава(200) Риг(232)	14400723	Oddwyn	1191267	Бру(229) Анг(236) Вер(203) Эде(220) Тен(303)					Д6-130 С6-130	Д6-130 Т6-121	"ГС4 ЭЭ5 ЛП4 ЗС5"	"ГС3 ЭЭ4 ШГ3 ПР3"	https://www.hero-wars.com?replay_id=1774364719714475514	
