date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
02/07 21:22	61882156	3.14_ZDETS	1002486	Игн(191) Тен(203) Ара(210) Мор(205) Мол(194)	60577774	sunao	921743	Ава(191) Вер(194) Сол(315) Эде(194) Люм(28)					О6-130 Т6-130	Д6-130 С6-130	"ПВ2 ЗС4 ГН1 ПД2"	"ГС5 ЭЭ3 ПВ5 ПД3"	https://www.hero-wars.com?replay_id=1783016559269942941	
02/07 20:40	61882212	Оди	966698	Игн(155) Тен(299) Умб(201) Вул(155) Мол(157)	3983654	tataburg	1172070	Риг(243) Ава(201) Вер(198) Сол(315) Эде(215)					О6-130 Т6-130	Д6-130 С6-130	"ПВ4 ПР4 ГН6 ТК5"	"ГС5 ЭЭ4 ПВ5 ТК3"	https://www.hero-wars.com?replay_id=1783014042062559980	
02/07 20:35	61882212	Оди	974694	Гип(212) Ара(201) Тид(191) Аше(158) Нов(212)	42896012	Team jin	1268175	Риг(274) Ава(242) Вер(208) Сол(320) Эде(225)					В6-130 О6-130	Д6-130 С6-130	"ШГ5 ПД5 ПВ4 ПР4"	"ГС5 ЭЭ5  ЗС4"	https://www.hero-wars.com?replay_id=1783013727952328864	
02/07 19:37	61882267	ZOV	1075486	Эде(222) Вер(185) Аше(193) Ава(239) Вул(237)	59891124	Moogor	1245242	Риг(271) Ава(226) Вер(207) Сол(317) Эде(224)					Д6-130 О6-130	Д6-130 С6-130	"ГС4 ЭЭ4 ПВ4 ПР4"	"ГС4 ЭЭ6 ГН4 ПД6"	https://www.hero-wars.com?replay_id=1783010275008263610	
02/07 19:18	61882267	ZOV	1289755	Игн(239) Ияр(272) Ара(222) Сол(318) Мол(239)	42895949	Mukasa	1256180	Риг(272) Ава(239) Вер(205) Сол(318) Эде(222)					О6-130 С6-130	Д6-130 С6-130	"ПВ4 ПР4 ЛП5 ЗС5"	"ШГ4 ПД4  ТК3"	https://www.hero-wars.com?replay_id=1783009081527671482	
02/07 19:15	62072200	Пух	1080934	Сил(221) Эде(219) Вер(198) Ава(221) Анг(222)	46486873	potepotepoteto	986659	Риг(160) Ава(182) Вер(130) Сол(304) Эде(210)					Д6-130	Д6-120 С6-103	"ГС3 ЭЭ5  "	"ТП1 ПР1 ШГ4 ПР2"	https://www.hero-wars.com?replay_id=1783008913643414054	
02/07 19:13	62072200	Пух	1191384	Игн(224) Ияр(201) Ара(224) Сол(302) Мол(241)	59875131	Team Pick	1243016	Риг(265) Ава(240) Вер(206) Сол(310) Эде(223)					О6-130 С6-130	Д6-130 С6-130	"ПВ5 ЗС4 ГС1 ТК2"	"ГС5 ЭЭ3 ШГ3 ПД3"	https://www.hero-wars.com?replay_id=1783008828943421682	
02/07 18:42	62084537	Фартовый	1025131	Гип(210) Эде(212) Вер(202) Тид(192) Ава(208)	4141729	Ataou	1273979	Риг(275) Ава(243) Вер(209) Сол(321) Эде(226)					Д6-130 В6-130	Д6-130 С6-130	"ГС5 ЭЭ5 ШГ4 ПД5"	"ГС5 ЭЭ6  ЗС5"	https://www.hero-wars.com?replay_id=1783006930180618434	
02/07 18:38	62084540	SVAROG	1075930	Люм(180) Игн(213) Ара(215) Сол(229) Мол(240)	59875138	Sharl	1265465	Риг(272) Ава(242) Вер(208) Сол(318) Эде(225)					О6-130 С6-130	Д6-130 С6-130	"ПВ4 ЗС5 ЛП5 ТК5"	"ЛП5 ТК5 ШГ5 ЭЭ5"	https://www.hero-wars.com?replay_id=1783006714543311262	
02/07 18:19	62084540	SVAROG	1078808	Эде(225) Вер(208) Тид(194) Ава(225) Сиг(227)	4076923	oppuu	1268559	Риг(272) Ава(243) Вер(209) Сол(318) Эде(226)					Д6-130 В6-130	Д6-130 С6-130	"ГС5 ЭЭ5 ШГ5 ПД5"	"ГС5 ЭЭ6 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1783005544398309270	
