date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
04/03 21:41	7876513	Mad Barista	1037468	Гип(217) Маи(205) Тид(192) Нов(207) Сиг(217)	61882137	G_G	1010342	Мол(201) Амо(218) Аше(199) Ара(199) Ияр(194)					В6-130	О6-130 С6-130	"ШГ2 ЗС3  "	"ПВ2 ПР4 ЛП4 ТК5"	https://www.hero-wars.com?replay_id=1772649703605497864	
04/03 21:34	51529132	Raistlin	1015532	Эде(201) Вер(184) Мор(234) Мол(174) Бру(223)	61991077	3ve	1000814	Сиг(212) Нов(196) Тид(202) Маи(195) Гип(196)					Т6-130 Д6-128	В6-130	"ЛП2 ЗС1 ГС1 ЗС3"	"ШГ2 ПД5  "	https://www.hero-wars.com?replay_id=1772649287693829719	
04/03 18:37	7913439	Seb	1184997	Ияр(245) Эде(213) Ара(205) Сол(305) Риг(218)	47866200	Алый Стервь	1091094	Мол(221) Ара(221) Эде(186) Тен(243) Игн(220)					С6-130	О6-124	"ШГ2 ЭЭ2  "	"ПВ5 ПР3  "	https://www.hero-wars.com?replay_id=1772638637859571821	
04/03 18:36	7913439	Seb	1071967	Гип(220) Маи(220) Тид(193) Нов(220) Сиг(220)	62044906	(-_-)	1013327	Сиг(215) Нов(206) Тид(190) Маи(197) Гип(206)					В6-130	В6-130	"ШГ3 ПД4  "	"ГС3 ЭЭ3  "	https://www.hero-wars.com?replay_id=1772638565472583448	
04/03 16:05	47289508	Gwyannadd	1042158	Тен(260) Гип(197) Тид(191) Нов(197) Сиг(197)	62070651	Taifyn	984738	Анг(204) Аше(180) Ара(194) Эде(204) Сил(204)					В6-107	Д3-111 О1-79	"ТП1 ЗС1  "	"ПВ3 ЭЭ3 ЛП2 ЗС1"	https://www.hero-wars.com?replay_id=1772629502686493797	
04/03 10:05	7907276	mini	1004344	Тен(281) Гип(200) Тид(142) Нов(170) Сиг(212)	61882233	2 718	934254	Мол(199) Аше(195) Сол(201) Ара(194) Ияр(146)					В6-130	О6-124 С1-80	"ЛП1 ПД1  "	"ГН4 ПД2 ЛП1 ЭЭ3"	https://www.hero-wars.com?replay_id=1772607923655924305	
04/03 06:18	7598310	Black Pearl	995876	Тен(278) Ияр(69) Сол(283) Мор(141) Риг(224)	62070658	Дед Максим	896247	Анг(184) Ара(187) Эде(191) Гип(157) Сил(176)					Т4-52 С2-130	Д3-109	"ГС1 ПР1 ГН1 ЗС1"	"ТП2 ЗС2  "	https://www.hero-wars.com?replay_id=1772594328552303729	
04/03 06:16	7598310	Black Pearl	1034570	Сил(209) Эде(211) Вер(194) Ава(210) Анг(210)	62044906	(-_-)	1023548	Риг(193) Амо(214) Сол(219) Ияр(188) Тен(211)					Д5-130	С4-130	"ГС4 ЭЭ2  "	"ГН1 ЗС2  "	https://www.hero-wars.com?replay_id=1772594160615766238	
04/03 06:00	7762689	Espartan300	986469	Сил(191) Тен(218) Эде(194) Ава(191) Анг(194)	61882156	3.14_ZDETS	959525	Сиг(218) Нов(206) Маи(177) Эде(150) Гип(208)					Д4-121	В6-130	"ГС2 ЭЭ1  "	"ГС2 ТК4  "	https://www.hero-wars.com?replay_id=1772593236582104414	
03/03 23:54	7978751	MarMage.dk	806544	Ияр(165) Ара(178) Амо(159) Вул(133) Мол(171)	61991077	3ve	896088	Анг(171) Ава(160) Вер(204) Эде(201) Сил(160)					С6-130 О6-116	Д6-130	"ПВ5 ЗС5 ЗС2 "	"ГС4 ЭЭ3  "	https://www.hero-wars.com?replay_id=1772571288746637193	
03/03 23:53	7978751	MarMage.dk	1118914	Эде(205) Сол(306) Вер(130) Ава(205) Риг(272)	62044999	Пунь Пунь	1128937	Сиг(205) Нов(213) Сол(249) Гип(213) Тен(249)					С6-130 Д3-130	В6-120	"ПВ5 ЗС5 ГС3 ТК5"	"ШГ2 ПР4  "	https://www.hero-wars.com?replay_id=1772571187283325751	
03/03 16:45	7796511	Flow	1141552	Сил(242) Эде(225) Вер(208) Ава(225) Анг(242)	61882246	Nergal	1364812	Риг(267) Мор(239) Сол(312) Ияр(241) Тен(305)					Д6-130	С6-130 Т6-130	"ГС5 ЭЭ5  "	"ЛП4 ЗС3 ГН1 ЭЭ4"	https://www.hero-wars.com?replay_id=1772545507413661262	
03/03 16:22	7605817	grey	950100	Тен(219) Эде(197) Вер(162) Мор(165) Анг(207)	61882317	viktori	826911	Риг(206) Амо(97) Сол(215) Ара(183) Ияр(126)					Т6-115 Д5-130	С5-95	"ПВ2 ЗС3 ГС5 ЭЭ5"	"ГН3 ЗС3  "	https://www.hero-wars.com?replay_id=1772544179260458630	
03/03 16:18	7451294	Falew	1162463	Ияр(239) Ара(223) Сол(277) Аше(195) Мол(228)	61882219	Ваван	1124057	Риг(220) Амо(178) Сол(307) Эде(173) Ияр(246)					О6-127 С6-121	С6-130	"ПВ5 ПР4 ЛП4 ЗС5"	"ШГ3 ЭЭ1  "	https://www.hero-wars.com?replay_id=1772543896038172597	
03/03 16:17	47935180	Geralt of Rivia	1329477	Тен(310) Ияр(244) Сол(307) Мор(232) Риг(237)	61882250	Kamul27rus	1386826	Риг(269) Мор(237) Сол(314) Ияр(252) Тен(315)					С6-130 Т6-130	С6-130 Т6-130	"ЛП5 ЭЭ3 ГС3 ЗС3"	"ЛП4 ЗС4 ГН5 ТК3"	https://www.hero-wars.com?replay_id=1772543833964463306	
03/03 15:59	61882163	Орел	742670	Игн(154) Ияр(132) Ара(149) Сол(151) Мол(157)	7913439	Seb	976798	Анг(192) Ава(183) Ара(205) Эде(213) Сил(185)					О6-114 С4-83	Д6-122	"ТП1 ПР4 ШГ1 ПД2"	"ТП1 ЗС3  "	https://www.hero-wars.com?replay_id=1772542791493911182	
03/03 15:44	61991077	3ve	905859	Сил(161) Эде(202) Вер(205) Ава(161) Анг(177)	51529132	Raistlin	972927	Сиг(205) Нов(186) Вер(183) Эде(201) Гип(198)					Д6-130	В6-130 Д6-128	"ГС4 ЭЭ4  "	"ГС1 ЭЭ3 ГС1 ЗС3"	https://www.hero-wars.com?replay_id=1772541873771083278	
03/03 12:16	61882219	Ваван	1124416	Ияр(246) Эде(174) Сол(307) Амо(178) Риг(220)	8599863	300s	983082	Сиг(186) Нов(186) Маи(186) Сол(235) Гип(188)					С6-130	В3-122	"ШГ3 ЭЭ1  "	"ТП2   "	https://www.hero-wars.com?replay_id=1772529385625285456	
03/03 12:14	61882219	Ваван	1155763	Тен(304) Кер(180) Вер(172) Мор(240) Бру(260)	7442166	RNK_India	1080496	Сиг(205) Нов(205) Эде(195) Гип(205) Тен(272)					Т6-130	В4-130	"ГС1 ТК3  "	"ЛП2 ЭЭ1  "	https://www.hero-wars.com?replay_id=1772529250896589226	
03/03 05:57	7782225	Juju Bea	1211883	Сил(229) Ияр(241) Эде(213) Сол(301) Анг(229)	62072200	Пух	1105542	Сиг(192) Нов(224) Маи(218) Гип(172) Тен(300)					Д6-130 С6-130	В6-130	"ШГ1 ПР1 ЛП1 ПД1"	"ШГ5 ПД4  "	https://www.hero-wars.com?replay_id=1772506647390113562	
03/03 02:56	61882154	Виларт	1071579	Гип(225) Маи(205) Тид(198) Нов(219) Сиг(225)	7383297	MooCows Mooers!	1306358	Бру(256) Риг(244) Сол(306) Эде(195) Тен(305)					В6-130	С6-91 Т6-81	"ЛП5 ТК5  "	"ШГ5 ЗС3 ШГ5 ПД4"	https://www.hero-wars.com?replay_id=1772495760446491052	
03/03 02:46	61882154	Виларт	1046585	Игн(172) Тен(306) Ара(207) Вул(152) Мор(209)	7598310	Black Pearl	1034570	Анг(210) Ава(210) Вер(194) Эде(211) Сил(209)					О6-130 Т6-121	Д5-130	"ПВ4 ПР3 ГН3 ЗС4"	"ГС4 ЭЭ2  "	https://www.hero-wars.com?replay_id=1772495205522568472	
02/03 23:15	62070651	Taifyn	984738	Сил(204) Эде(204) Ара(194) Аше(180) Анг(204)	7383297	MooCows Mooers!	957835	Сиг(195) Нов(178) Аше(191) Ара(199) Гип(195)					Д3-111 О1-79	В6-80 О6-80	"ПВ3 ЭЭ3 ЛП2 ЗС1"	"ТП2 ЗС3 ШГ3 ЗС3"	https://www.hero-wars.com?replay_id=1772482552771467618	
02/03 21:30	62044906	(-_-)	989079	Гип(206) Ияр(188) Маи(197) Нов(206) Риг(193)	7978751	MarMage.dk	1118914	Риг(272) Ава(205) Вер(130) Сол(306) Эде(205)					В6-130 С4-130	С6-130 Д3-130	"ГС3 ЭЭ3 ГН1 ЗС2"	"ПВ5 ЗС5 ГС3 ТК5"	https://www.hero-wars.com?replay_id=1772476248228295359	
02/03 21:24	62044999	Пунь Пунь	1030542	Гип(213) Маи(209) Тид(191) Нов(213) Сиг(205)	9759488	Fuego Savvy	1064527	Мол(219) Сол(206) Ара(219) Тен(215) Игн(206)					В6-120	О6-130	"ШГ2 ПР4  "	"ПВ3 ПР3  "	https://www.hero-wars.com?replay_id=1772475846015414744	
02/03 21:09	61882156	3.14_ZDETS	994086	Гип(208) Маи(177) Тид(185) Нов(206) Сиг(218)	57527796	Vlado	993145	Анг(180) Ава(181) Сол(265) Эде(193) Сил(174)					В6-130	Д6-120	"ГС2 ТК4  "	"ПВ1 ПД1  "	https://www.hero-wars.com?replay_id=1772474942652954894	
02/03 20:46	61882196	Wren	1007084	Эде(209) Сол(217) Вер(159) Ава(209) Анг(213)	47935180	Geralt of Rivia	1331932	Бру(240) Мор(232) Сол(307) Ияр(244) Тен(310)					Д6-130	Т6-130 С6-130	"ЛП4 ТК4  "	"ГС3 ЗС3 ЛП5 ЭЭ3"	https://www.hero-wars.com?replay_id=1772473597258054849	
02/03 19:40	61882142	B.i.G	962215	Ияр(218) Сол(240) Аше(196) Вул(183) Риг(125)	47289508	Gwyannadd	1048461	Сиг(197) Нов(197) Маи(197) Гип(197) Тен(260)					О6-130 С3-130	В6-107	"ГС3 ПД2 ГН2 ЗС3"	"ТП1 ЗС1  "	https://www.hero-wars.com?replay_id=1772469609651148918	
02/03 19:22	7394555	Mata	1168560	Эде(211) Сол(297) Ава(211) Анг(211) Риг(238)	61882154	Виларт	1071579	Сиг(225) Нов(219) Тид(198) Маи(205) Гип(225)					Д6-130 С6-130	В6-130	"ГС1 ЭЭ2 ЛП1 ЗС1"	"ЛП5 ТК5  "	https://www.hero-wars.com?replay_id=1772468521557119312	
02/03 19:08	7391604	Dempsey	1162435	Ияр(247) Эде(215) Сол(308) Вер(161) Анг(231)	62070560	iCool	1036605	Бру(199) Нов(189) Тид(199) Гип(176) Тен(273)					С6-130 Д6-127	В6-130 Т6-130	"ЛП3 ПР2 ГС2 ТК2"	"ШГ2 ПД2 ПВ2 ЗС2"	https://www.hero-wars.com?replay_id=1772467736111182135	
02/03 19:07	61882267	ZOV	1192003	Тен(311) Ияр(251) Тид(140) Амо(225) Бру(266)	7913439	Seb	1209179	Сиг(220) Нов(220) Сол(305) Ияр(245) Гип(220)					Т6-130 С6-130	В6-130 С6-130	"ГН3 ТК4 ЛП3 ЗС5"	"ШГ3 ПД4 ШГ2 ЭЭ2"	https://www.hero-wars.com?replay_id=1772467675911949178	
02/03 19:05	61882212	Оди	964182	Гип(212) Маи(170) Тид(191) Амо(174) Риг(217)	47926536	CSB	1102280	Анг(204) Вер(189) Сол(263) Эде(217) Ияр(230)					В6-130 С6-130	Д6-122 С6-90	"ШГ5 ПД5 ЛП5 ЗС5"	"ШГ3 ЭЭ3 ГН3 ТК4"	https://www.hero-wars.com?replay_id=1772467554830592428	
02/03 18:59	61882212	Оди	1265570	Тен(293) Ияр(233) Сол(296) Кер(231) Нов(212)	7796511	Flow	1246582	Риг(251) Вер(208) Сол(312) Эде(225) Ияр(251)					Т6-130 С6-130	С6-130 Д6-130	"ГН5 ТК3 ЛП5 ЗС5"	"ЛП4 ЭЭ3 ГС5 ЭЭ5"	https://www.hero-wars.com?replay_id=1772467172132562751	
02/03 18:51	62082395	Винни	1377328	Тен(310) Сол(305) Мор(238) Риг(260) Бру(265)	7394555	Mata	1236425	Бру(224) Риг(238) Мор(239) Сол(297) Ияр(238)					Т6-130 С6-110	С6-130 Т6-130	"ЛП3 ПР3 ПВ3 ЗС3"	"ЛП1 ЗС1 ПВ1 ПД2"	https://www.hero-wars.com?replay_id=1772466701697289230	
02/03 18:47	61882267	ZOV	1218423	Ара(217) Сол(312) Аше(189) Мол(233) Риг(267)	51529132	Raistlin	1335908	Риг(249) Мор(234) Сол(311) Ияр(239) Тен(304)					О6-130 С6-130	С6-130 Т6-130	"ПВ2 ПР3 ЛП3 ЗС5"	"ПВ3 ТК4 ЛП2 ЗС1"	https://www.hero-wars.com?replay_id=1772466433567506381	
02/03 18:26	61882140	ПасТырЪ	1269197	Тен(303) Сол(289) Мор(207) Риг(230) Бру(240)	7451294	Falew	1239549	Бру(270) Мор(236) Кер(234) Эде(220) Тен(279)					Т6-130 С6-130	Т6-130	"ГН5 ТК5 ЛП3 ЗС3"	"ГН4 ТК5  "	https://www.hero-wars.com?replay_id=1772465179566014104	
