date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
18/02 17:48	61882168	Тема	1115676	Тен(296) Эде(160) Кер(229) Мор(187) Бру(242)	11856078	Lords	1267025	Бру(270) Мор(253) Вер(206) Эде(223) Тен(315)	35				Т6-130	Т6-130 Д6-130	"ЛП2 ПД4  "	"ТП5 ЗС3 ЛП5 ЭЭ3"	https://www.hero-wars.com?replay_id=1771426117854918784	
18/02 12:11	62072200	Пух	908141	Игн(146) Ияр(124) Ара(216) Сол(210) Мол(212)	11505065	KENSIROU	1256367	Бру(272) Вер(202) Сол(312) Эде(219) Ияр(251)	35				О6-130 С6-108	Д6-130 С6-130	"ПВ2 ЗС2 ГС1 ТК2"	"ГН3 ПД3 ГН3 ЗС5"	https://www.hero-wars.com?replay_id=1771405908954046198	
18/02 01:49	61958839	Бальдр	1130562	Сил(240) Эде(223) Вер(206) Ава(222) Анг(240)	59898173	ICHI	1173866	Риг(239) Ава(216) Вер(185) Сол(314) Эде(220)	35				Д6-130	Д6-130 С6-130	"ШГ5 ЭЭ3  "	"ГС5 ЭЭ3 ЛП5 ПР5"	https://www.hero-wars.com?replay_id=1771368547399594939	
17/02 12:32	61882177	Rom	753458	Сил(91) Эде(200) Вер(176) Ава(121) Анг(166)	52041649	BATMAN2	1348851	Бру(270) Мор(253) Амо(255) Ияр(255) Тен(315)	35				Д6-126	Т6-130 С6-130	"ЛП3 ЭЭ3  "	"ТП4 ЭЭ5 ГС5 ПР5"	https://www.hero-wars.com?replay_id=1771320778044194466	
16/02 23:42	61882196	Wren	1056626	Тен(216) Эде(209) Сол(210) Ава(209) Анг(213)	59898173	ICHI	1151469	Бру(229) Нов(210) Маи(202) Гип(214) Тен(297)	35				Д6-130	В6-130 Т6-130	"ЛП4 ТК4  "	"ШГ2 ПД3 ГН4 ТК2"	https://www.hero-wars.com?replay_id=1771274554855752895	
16/02 22:48	62044906	Пук Пук	984487	Гип(205) Сол(218) Маи(154) Амо(202) Нов(206)	11815975	wakame_soup	1201465	Риг(265) Аше(205) Сол(311) Ара(214) Игн(206)	35				В6-129 С4-125	О6-130 С6-130	"ГС3 ЭЭ3 ГН1 ЗС2"	"ТП5 ЗС4 ПВ3 ЭЭ5"	https://www.hero-wars.com?replay_id=1771271286545172681	
16/02 22:00	61882156	3.14_ZDETS	932301	Тен(158) Гип(204) Маи(146) Нов(206) Сиг(218)	51479973	chuchu	1220018	Риг(253) Мол(223) Аше(206) Сол(315) Ара(223)	35				В6-130	О6-130 С6-130	"ГС2 ТК4  "	"ТП4 ЗС5 ЛП4 ЗС5"	https://www.hero-wars.com?replay_id=1771268405917943335	
16/02 21:54	61882156	3.14_ZDETS	1070269	Игн(191) Ияр(220) Ара(205) Сол(260) Мол(194)	11394151	Dugar	1248406	Риг(272) Ава(225) Вер(208) Сол(318) Эде(225)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ2 ЗС4 ГН1 ПР4"	"ГС5 ЭЭ5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1771268064076453588	
16/02 18:47	61882267	ZOV	1301340	Тен(311) Амо(207) Мор(249) Риг(267) Бру(266)	11976648	MuF	1341712	Риг(272) Мор(253) Кер(243) Сол(318) Ияр(255)	35				Т6-130 С6-130	С6-130 Т6-130	"ГН3 ТК4 ЛП3 ЗС5"	"ТП5 ТК5 ГН5 ЭЭ3"	https://www.hero-wars.com?replay_id=1771256831137359610	
16/02 18:35	61882267	ZOV	1181392	Ияр(251) Ара(211) Сол(312) Аше(174) Мол(233)	59818369	Voodoolmaran	1265343	Мол(242) Мор(255) Ара(225) Тен(318) Игн(225)	35				О6-130 С6-130	О6-130 Т6-130	"ПВ2 ПР3 ЛП3 ЗС5"	"ПВ5 ПР5 ГН5 ТК5"	https://www.hero-wars.com?replay_id=1771256141945024510	
