date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
01/04 02:59	57176832	Larrikin7	1146023	Игн(215) Тен(291) Ара(215) Вул(211) Мол(215)	61882196	Wren	995455	Анг(213) Ава(209) Вер(161) Эде(209) Сил(204)					О6-130	Д6-130	"ПВ1 ТК3  "	"ЛП4 ТК4  "	https://www.hero-wars.com?replay_id=1775001569205424679	
31/03 23:06	24358847	Raven	1125822	Гип(222) Маи(222) Тид(205) Нов(239) Сиг(239)	61958839	Бальдр	1151486	Мол(242) Вул(235) Аше(208) Ара(225) Игн(242)					В6-130	О6-130	"ШГ4 ПД4  "	"ТП5 ПД5  "	https://www.hero-wars.com?replay_id=1774987590539300508	
31/03 23:02	24358847	Raven	1220007	Ияр(253) Эде(223) Сол(315) Вер(206) Ава(223)	61882137	G_G	1034216	Бру(231) Риг(207) Мор(184) Сол(206) Тен(207)					Д6-130 С6-130	Т6-130 С6-130	"ГС5 ЭЭ3 ГН4 ТК5"	"ТП5 ЭЭ5 ЛП4 ТК5"	https://www.hero-wars.com?replay_id=1774987375707643798	
31/03 21:11	57015435	Pit LXXXVII PL	1101215	Гип(225) Ара(223) Тид(208) Аше(206) Мол(240)	62072200	Пух	1077506	Анг(221) Ава(221) Вер(196) Эде(219) Сил(221)					О6-130 В6-130	Д6-130	"ТП4 ПР5 ШГ5 ПД5"	"ГС3 ЭЭ5  "	https://www.hero-wars.com?replay_id=1774980687826154972	
31/03 20:11	24149321	DRAMAL	1235885	Эде(223) Сол(315) Вер(206) Ава(223) Риг(269)	62084805	Souffle	1088758	Сиг(230) Нов(220) Тид(204) Маи(214) Гип(221)					Д6-130 С6-128	В6-130	"ГС4 ЭЭ5 ЛП5 ЗС3"	"ШГ3 ПД5  "	https://www.hero-wars.com?replay_id=1774977093229601908	
31/03 16:39	57131415	Totem	1141734	Игн(190) Тен(302) Ара(209) Сол(244) Аше(197)	61882142	B.i.G	1021058	Риг(164) Аше(196) Сол(240) Ара(205) Тен(216)					О6-130	О6-130 С3-130	"ГН1 ТК2  "	"ГС3 ПД2 ГН2 ЗС3"	https://www.hero-wars.com?replay_id=1774964363718037931	
31/03 14:40	57015421	OloratujPL	1119332	Сил(224) Эде(224) Вер(207) Ава(224) Анг(241)	61882212	Оди	1326747	Бру(271) Кер(232) Сол(296) Ияр(233) Тен(295)					Д6-130	Т6-130 С6-130	"ГС5 ЭЭ4  "	"ГН5 ТК4 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1774957234554945111	
31/03 13:38	57208200	zetorg	1244506	Тен(313) Гип(216) Тид(199) Мор(250) Бру(267)	61882267	ZOV	1143619	Мол(235) Амо(248) Аше(191) Ара(219) Ияр(251)					В6-130 Т6-119	О6-130 С6-130	"ШГ2 ПД2 ГН5 ТК3"	"ПВ3 ПР3 ЛП3 ЗС5"	https://www.hero-wars.com?replay_id=1774953522351783190	
31/03 13:28	57208200	zetorg	1163599	Эде(221) Сол(280) Вер(204) Ава(221) Анг(238)	61882267	ZOV	1406514	Бру(266) Риг(267) Мор(249) Сол(312) Тен(311)					Д6-130	Т6-130 С6-130	"ГС4 ЭЭ3  "	"ГН3 ТК4 ЛП3 ЗС5"	https://www.hero-wars.com?replay_id=1774952938828421767	
31/03 12:04	56950015	chlipus	1107433	Сил(225) Эде(225) Вер(208) Ава(225) Анг(225)	61882250	Kamul27rus	1402771	Риг(269) Мор(253) Сол(314) Ияр(252) Тен(315)					Д6-130	С6-130 Т6-130	"ГС5 ЭЭ5  "	"ЛП4 ЗС4 ГН5 ТК3"	https://www.hero-wars.com?replay_id=1774947896925023898	
