date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
11/02 10:37	10716941	Team 10716941	1219448	Эде(218) Сол(305) Ава(218) Анг(218) Риг(261)	61882189	Santa	871742	Сиг(160) Маи(161) Сол(121) Гип(195) Тен(234)				Д6-130 С6-130	В4-106	"ГС3 ЭЭ2 ЛП2 ПД2"	"ПВ4 ЭЭ1  "	https://www.hero-wars.com?replay_id=1770795466323282550	
11/02 04:17	10671827	ezearn77	1187608	Игн(221) Ияр(254) Ара(221) Мол(221) Риг(271)	61991077	3ve	851189	Анг(161) Ава(137) Вер(203) Эде(199) Сил(152)				О6-130 С6-130	Д6-130	"ПВ4 ЗС3 ПВ5 ПР4"	"ГС4 ЭЭ2  "	https://www.hero-wars.com?replay_id=1770772638784118090	
11/02 03:24	10963942	ZERO	1213004	Тен(312) Гип(217) Маи(217) Мор(251) Сиг(217)	62044906	Пук Пук	829214	Амо(202) Ара(152) Эде(170) Ияр(107) Тен(200)				В6-130 Т6-130	С4-125	"ШГ3 ПД1 ГН4 ТК3"	"ГН1 ЗС2  "	https://www.hero-wars.com?replay_id=1770769442295704583	
11/02 03:23	10963942	ZERO	1229054	Ияр(249) Эде(223) Сол(311) Ава(223) Анг(223)	62044906	Пук Пук	966286	Сиг(214) Риг(123) Нов(206) Сол(218) Гип(205)				Д6-130 С6-130	В6-129 С4-125	"ГС5 ЭЭ3 ЛП3 ПД4"	"ГС3 ЭЭ3 ГН1 ЗС2"	https://www.hero-wars.com?replay_id=1770769395210942127	
11/02 00:17	10540441	luchy 444	1241666	Тен(308) Эде(220) Вер(203) Мор(247) Бру(264)	62070658	Дед Максим	893513	Анг(184) Ара(187) Эде(191) Гип(156) Сил(175)				Т6-130 Д6-130	Д3-108	"ГС3 ТК2 ГН3 ПД4"	"ТП2 ЗС2  "	https://www.hero-wars.com?replay_id=1770758258134499794	
11/02 00:15	10540441	luchy 444	1234278	Игн(221) Ияр(247) Ара(221) Сол(308) Мол(238)	61882204	Лапочка	941810	Риг(170) Амо(161) Аше(198) Ара(220) Тен(193)				О6-130 С6-130	С6-130 О6-130	"ТП4 ЗС3 ПВ3 ПД2"	"ЛП4 ТК4 ПВ4 ЗС5"	https://www.hero-wars.com?replay_id=1770758107531826714	
11/02 00:06	10691243	Puminiai	1138058	Сил(224) Ияр(201) Сол(315) Вер(206) Риг(193)	61882156	3.14_ZDETS	919835	Сиг(218) Нов(206) Маи(146) Эде(146) Гип(204)				Д6-125 С6-116	В6-130	"ГС5 ЭЭ5 ЛП5 ТК5"	"ГС2 ТК4  "	https://www.hero-wars.com?replay_id=1770757599965221382	
11/02 00:05	10691243	Puminiai	1243149	Тен(312) Эде(224) Ава(224) Мор(244) Анг(241)	62044999	Пунь Пунь	1032580	Сиг(166) Нов(203) Сол(232) Гип(200) Тен(232)				Д6-125 Т6-115	В5-116	"ГС5 ЭЭ5 ПВ5 ЗС3"	"ГС2 ПР1  "	https://www.hero-wars.com?replay_id=1770757522295960583	
10/02 23:02	62045741	Bull	1170330	Тен(302) Ара(215) Аше(198) Мор(241) Мол(215)	62070651	Taifyn	951124	Анг(204) Аше(160) Ара(188) Эде(204) Сил(196)				О6-130 Т6-130	Д3-109 О1-79	"ГН2 ПР1 ЛП1 ТК2"	"ПВ3 ЗС3 ЛП2 ЗС1"	https://www.hero-wars.com?replay_id=1770753764455893277	
10/02 19:58	10698296	vietnam tham to	1216099	Тен(312) Гип(218) Нов(218) Мор(251) Сиг(218)	61882140	ПасТырЪ	915969	Мол(194) Амо(121) Аше(191) Ара(192) Ияр(218)				В6-130 Т6-130	О6-130 С6-130	"ШГ3 ПД2 ГН4 ТК3"	"ПВ3 ПР3 ЛП2 ЗС3"	https://www.hero-wars.com?replay_id=1770742723676193428	
