date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
12/06 00:21	62138549	YaElf	1194528	Тен(307) Гип(219) Тид(204) Нов(219) Мор(246)	50485544	Huma	1071794	Ава(156) Вер(182) Сол(310) Эде(195) Ияр(229)	35				В6-130 Т6-130	С6-130 Д6-118	"ШГ3 ПД5 ГН2 ТК3"	"ГС3 ЗС3 ГС1 ЭЭ3"	https://www.hero-wars.com?replay_id=1781212873529458599	
12/06 00:02	61882204	Лапочка	1082377	Тен(216) Аше(202) Амо(225) Вул(199) Риг(241)	18446130	Kigis	1225215	Бру(255) Нов(223) Тид(206) Гип(223) Тен(318)	35				С6-130 О6-130	В6-130 Т6-130	"ЛП5 ТК4 ПВ5 ПР5"	"ШГ5 ПД3 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1781211767151462700	
11/06 22:20	61882156	3.14_ZDETS	829554	Люм(82) Ияр(233) Ара(210) Аше(111) Мол(194)	62072192	J.C.Plays	1205593	Ава(222) Вер(199) Сол(317) Эде(222) Ияр(246)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ2 ЗС4 ГН1 ПР4"	"ГС4 ЭЭ4 ЛП5 ЗС4"	https://www.hero-wars.com?replay_id=1781205643164186620	
11/06 21:55	62072200	Пух	1078274	Сил(221) Эде(219) Вер(197) Ава(221) Анг(221)	55363094	VampBlazer	1259946	Сиг(242) Бру(270) Тид(208) Гип(225) Тен(315)	35				Д6-130	В6-130 Т6-130	"ГС3 ЭЭ5  "	"ШГ5 ПД5 ГН4 ТК5"	https://www.hero-wars.com?replay_id=1781204115054516023	
11/06 21:54	62072200	Пух	1153104	Игн(213) Ияр(190) Ара(224) Сол(302) Мол(224)	62051875	Barbarossa	1185641	Ава(212) Вер(205) Сол(309) Эде(222) Ияр(238)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ5 ЗС4 ГС1 ТК2"	"ГС4 ЭЭ4 ЛП3 ЗС5"	https://www.hero-wars.com?replay_id=1781204087011222207	
11/06 20:23	62084540	SVAROG	1158899	Эде(225) Сол(229) Вер(208) Ава(225) Риг(272)	18478982	Lord Shane	1213472	Ава(222) Вер(207) Сол(313) Эде(222) Ияр(249)	35				Д6-130 С6-130	Д6-126 С6-115	"ГС5 ЭЭ5 ЛП5 ТК5"	"ГС5 ЭЭ5 ЛП5 ПД4"	https://www.hero-wars.com?replay_id=1781198612240778847	
11/06 19:31	61882212	Оди	966116	Гип(212) Ара(197) Тид(191) Аше(154) Нов(212)	50447863	Orde	1185098	Ава(214) Вер(198) Сол(311) Эде(222) Ияр(239)	35				В6-130 О6-130	С6-130 Д6-128	"ШГ5 ПД5 ПВ4 ПР4"	"ЛП5 ЗС3 ГС5 ЭЭ5"	https://www.hero-wars.com?replay_id=1781195490751122623	
11/06 19:29	61882212	Оди	958836	Игн(147) Ияр(233) Сол(296) Вул(132) Мол(151)	55363094	VampBlazer	1221971	Ава(242) Вер(208) Сол(313) Эде(225) Люм(234)	35				О6-130 С6-130	Д6-130 С6-117	"ПВ4 ПР4 ЛП5 ЗС5"	"ГС5 ЭЭ5 ЛП5 ЗС4"	https://www.hero-wars.com?replay_id=1781195360660726536	
11/06 18:46	62084554	VIKTOR	1170902	Тен(314) Эде(212) Вер(193) Мор(252) Анг(200)	62070789	Immortal	1227831	Бру(264) Нов(235) Тид(202) Гип(219) Тен(308)	35				Д6-130 Т6-130	В6-130 Т6-130	"ГС3 ЭЭ5 ГН4 ТК4"	"ШГ3 ПД3 ГН2 ТК4"	https://www.hero-wars.com?replay_id=1781192796026064481	
11/06 17:39	62084537	Фартовый	1000281	Гип(210) Маи(180) Тид(192) Нов(210) Сиг(207)	43276411	DedoWideHardo	1131079	Анг(240) Ава(223) Вер(206) Эде(223) Сил(240)	35				В6-130	Д6-130	"ШГ4 ПД5  "	"ГС4 ЭЭ5  "	https://www.hero-wars.com?replay_id=1781188791401971081	
