date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
14/08 22:59	62145280	Nata	1170105	Сил(203) Тен(305) Эде(225) Вер(208) Мор(229)	18478982	Lord Shane	1239145	Ава(242) Вер(225) Сол(314) Эде(224) Люм(235)	35				Д6-130 Т6-130	Д6-130 С6-120	"ГС5 ЭЭ5 ГН2 ТК2"	"ГС5 ЭЭ5 ЛП5 ПД4"	https://www.hero-wars.com?replay_id=1786737596640352265	
14/08 22:51	62145280	Nata	1155999	Игн(186) Ияр(253) Ара(201) Сол(315) Мол(200)	62070794	GordiGoes	1265422	Ава(242) Вер(208) Сол(318) Эде(225) Ияр(272)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ2 ПР5 ЛП5 ЗС3"	"ГС5 ЭЭ5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1786737080642259819	
14/08 22:24	61869137	ToriOry	1225341	Тен(312) Умб(234) Аше(208) Вул(215) Бру(257)	50485544	Huma	1117949	Ава(186) Вер(186) Сол(310) Эде(203) Ияр(234)	35				Т6-130 О6-130	С6-130 Д6-120	"ГН4 ТК3 ПВ5 ПР5"	"ГС3 ЗС3 ГС2 ЭЭ3"	https://www.hero-wars.com?replay_id=1786735468085468014	
14/08 22:20	61869137	ToriOry	1233166	Игн(218) Ияр(253) Ара(221) Сол(315) Мол(226)	50447863	Orde	1189851	Ава(217) Вер(200) Сол(311) Эде(223) Ияр(239)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ5 ПР5 ЛП5 ЗС3"	"ГС5 ЭЭ5 ЛП5 ЗС3"	https://www.hero-wars.com?replay_id=1786735201569365536	
14/08 20:01	62092872	MEDVED	1052524	Тен(302) Гип(201) Умб(181) Тид(175) Сиг(194)	62157775	D..	1265534	Ава(245) Вер(228) Сол(323) Эде(228) Люм(242)	35				В6-130 Т6-130	Д6-130 С6-130	"ШГ5 ПД5 ГН5 ТК5"	"ШГ6 ЭЭ6 ПГ6 ПР6"	https://www.hero-wars.com?replay_id=1786726908368433458	
14/08 13:44	62084540	SVAROG	1075930	Люм(180) Игн(213) Ара(215) Сол(229) Мол(240)	18647798	(-Xavier-)	1224476	Ава(238) Вер(208) Умб(237) Эде(225) Тен(317)	35				О6-130 С6-130	Д6-130 Т6-130	"ПВ4 ЗС5 ЛП5 ТК5"	"ШГ5 ЭЭ5 ЛП4 ТК6"	https://www.hero-wars.com?replay_id=1786704265244879873	
13/08 21:49	61882168	Тема	1118493	Сил(194) Тен(295) Эде(213) Кер(236) Ава(180)	62052910	Starstruck	1007535	Ава(177) Вер(143) Сол(267) Эде(197) Ияр(223)	35				Д6-130 Т6-130	С6-130 Д6-113	"ГС4 ЭЭ5 ЛП2 ПР3"	"ЛП5 ТК5 ГС2 ЭЭ5"	https://www.hero-wars.com?replay_id=1786646977005613254	
13/08 19:19	62092872	MEDVED	1065560	Люм(217) Ияр(219) Ара(215) Аше(199) Мол(215)	62157763	Kratos	1259139	Ава(243) Вер(226) Умб(242) Эде(226) Тен(323)	35				О6-130 С6-130	Д6-130 Т6-130	"ПВ6 ПР5 ЛП5 ЗС5"	"ШГ5 ЭЭ6 ГП6 ПД6"	https://www.hero-wars.com?replay_id=1786637946059742416	
13/08 19:10	62160428	Joker	1199898	Сил(206) Эде(228) Сол(309) Вер(211) Анг(245)	62156082	????	1226115	Нов(242) Тид(208) Умб(236) Гип(225) Тен(315)	35				Д6-130	В6-130 Т6-130	"ГС6 ЭЭ6  "	"ШГ5 ПД5 ГН4 ТК5"	https://www.hero-wars.com?replay_id=1786637422599996143	
13/08 19:03	62155801	Dobraia Feя	1107405	Тен(305) Ара(188) Умб(207) Аше(163) Мор(244)	62151831	Taka	1081252	Риг(212) Вер(176) Сол(302) Эде(182) Ияр(209)	35				Т6-114 О1-77	С6-106 Д6-83	"ГН3 ЭЭ3  "	"ЛП2 ЗС4 ГС2 ПД4"	https://www.hero-wars.com?replay_id=1786637032366460705	
13/08 19:03	61882250	Kamul27rus	1239356	Люм(235) Тен(315) Сол(314) Умб(106) Риг(269)	18446130	Kigis	1226596	Бру(256) Нов(224) Тид(206) Гип(223) Тен(318)	35				С6-130 Т6-130	В6-130 Т6-130	"ЛП4 ЗС4 ГН5 ТК3"	"ШГ5 ПД3 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1786637006164949614	
13/08 18:30	62163138	Igor25	1244173	Люм(238) Эде(225) Сол(318) Вер(221) Анг(242)	55363094	VampBlazer	1259946	Сиг(242) Бру(270) Тид(208) Гип(225) Тен(315)	35				Д6-130 С6-130	В6-130 Т6-130	"ГС5 ЭЭ5 ЛП5 ЗС5"	"ШГ5 ПД5 ГН4 ТК5"	https://www.hero-wars.com?replay_id=1786635024647309192	
