date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
04/02 11:22	61882317	viktori	1031531	Тен(263) Сол(207) Кер(180) Мор(181) Риг(200)	50564711	1qaz	1170086	Анг(216) Вер(199) Сол(300) Эде(216) Ияр(240)	35				Т6-108 С4-91	Д6-130 С6-125	"ТП2 ПД3 ГН3 ЗС3"	"ГС1 ЭЭ4 ШГ1 ЗС1"	https://www.hero-wars.com?replay_id=1770193367069396729	
04/02 10:07	50564711	1qaz	1069349	Гип(214) Ара(223) Аше(206) Нов(214) Сиг(214)	47866200	Алый Стервь	1088586	Мол(221) Ара(221) Эде(186) Тен(243) Игн(217)					В6-130 О6-130	О6-124	"ШГ1 ПД2 ПВ4 ПР5"	"ПВ5 ПР3  "	https://www.hero-wars.com?replay_id=1770188831840279440	
04/02 01:47	47866200	Алый Стервь	1088586	Игн(217) Тен(243) Эде(186) Ара(221) Мол(221)	21342801	king son	1048543	Анг(207) Сол(233) Эде(210) Ияр(191) Сил(206)	35				О6-124	Д6-129 С2-84	"ПВ5 ПР3  "	"ГН2 ЗС3  "	https://www.hero-wars.com?replay_id=1770158851250371500	
03/02 21:14	61953275	Bugzi	971045	Сил(143) Тен(228) Вер(181) Мор(198) Бру(220)	50564711	1qaz	1218413	Мол(223) Мор(245) Ара(223) Тен(305) Игн(223)	35				Т6-130 Д6-130	О6-130 Т6-130	"ГН2 ТК1 ЛП2 ТК3"	"ПВ4 ПР5 ГН2 ТК2"	https://www.hero-wars.com?replay_id=1770142471621460026	
03/02 20:45	13412306	Team JOON	1236342	Тен(318) Гип(217) Нов(217) Бру(268) Сиг(217)	61882204	Лапочка	941810	Риг(170) Амо(161) Аше(198) Ара(220) Тен(193)					В6-130 Т6-130	С6-130 О6-130	"ЛП4 ПД3 ЛП5 ТК5"	"ЛП4 ТК4 ПВ4 ЗС5"	https://www.hero-wars.com?replay_id=1770140722768000489	
03/02 20:44	13412306	Team JOON	1186784	Ияр(246) Эде(218) Сол(312) Вер(188) Анг(222)	62044999	Пунь Пунь	1032580	Сиг(166) Нов(203) Сол(232) Гип(200) Тен(232)					Д6-130 С6-130	В5-116	"ГН4 ЭЭ4 ЛП3 ПД5"	"ГС2 ПР1  "	https://www.hero-wars.com?replay_id=1770140645412382659	
03/02 20:37	21342296	DaejeoN	1061683	Игн(196) Тен(245) Ара(206) Вул(201) Мол(213)	62044906	Пук Пук	829214	Амо(202) Ара(152) Эде(170) Ияр(107) Тен(200)					О6-121	С4-125	"ПВ2 ПД2  "	"ГН1 ЗС2  "	https://www.hero-wars.com?replay_id=1770140232394190608	
03/02 20:31	21342307	Whyrano	954607	Тен(209) Гип(183) Маи(185) Нов(186) Бру(190)	61882180	Angel	870700	Мол(169) Вул(164) Ара(184) Тен(194) Игн(160)					В6-122 Т3-73	О2-106	"ШГ1 ПД1 ПВ1 ПД1"	"ПВ2 ПР1  "	https://www.hero-wars.com?replay_id=1770139881002163962	
03/02 20:30	61882177	Rom	712530	Сил(84) Эде(193) Вер(168) Ава(109) Анг(159)	59716941	Dr.Music	1311212	Бру(249) Риг(251) Мор(249) Амо(251) Тен(311)	35				Д5-125	Т6-130 С6-130	"ЛП3 ЭЭ3  "	"ГН4 ТК2 ЛП4 ТК3"	https://www.hero-wars.com?replay_id=1770139800924834912	
03/02 20:27	25649018	FreeStyle	1086611	Тен(258) Гип(202) Нов(202) Бру(223) Сиг(202)	61882156	3.14_ZDETS	916072	Сиг(218) Нов(206) Маи(146) Эде(146) Гип(200)					В6-126 Т6-83	В6-130	"ЛП3 ПД3 ЛП3 ПД3"	"ГС2 ТК4  "	https://www.hero-wars.com?replay_id=1770139642077146514	
