date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
07/03 13:44	31351593	marinhero!	1183201	Тен(301) Гип(210) Тид(196) Мор(237) Бру(239)	61991077	3ve	1010808	Сиг(214) Нов(198) Тид(204) Маи(197) Гип(198)					Т6-130 В6-130	В6-130	"ЛП2 ТК3 ШГ2 ЭЭ5"	"ШГ3 ПД5  "	https://www.hero-wars.com?replay_id=1772880252158560034	
07/03 10:09	61882156	3.14_ZDETS	863580	Тен(195) Тид(185) Мор(195) Бру(71) Сиг(218)	51239740	KoreaSeoul	1219474	Бру(258) Нов(224) Тид(207) Гип(224) Тен(307)					Т6-130 В6-130	В6-130 Т6-126	"ГН1 ТК2 ГС2 ТК4"	"ШГ5 ПД4 ГН3 ТК2"	https://www.hero-wars.com?replay_id=1772867399514061401	
06/03 19:53	61882267	ZOV	1301842	Тен(311) Ияр(251) Амо(225) Мор(249) Бру(266)	22949249	Prec	1197722	Мол(218) Сол(302) Ара(218) Ияр(242) Игн(218)					Т6-130 С6-130	О6-130 С6-130	"ГН3 ТК4 ЛП3 ЗС5"	"ПВ2 ПР4 ЛП1 ЗС2"	https://www.hero-wars.com?replay_id=1772815987816485438	
06/03 17:30	22922748	Davis	1183242	Ияр(233) Эде(214) Сол(302) Вер(197) Риг(238)	62070658	Дед Максим	896247	Анг(184) Ара(187) Эде(191) Гип(157) Сил(176)					С6-130 Д6-121	Д3-109	"ЛП3 ЗС3 ГС2 ЭЭ3"	"ТП2 ЗС2  "	https://www.hero-wars.com?replay_id=1772807414908274041	
06/03 17:29	22922748	Davis	926471	Игн(180) Ара(213) Аше(188) Вул(140) Мол(205)	61882204	Лапочка	987329	Бру(114) Сол(296) Эде(151) Ияр(234) Тен(193)					О6-120	С6-130 Т2-126	"ПВ2 ТК3  "	"ЛП4 ТК4 ШГ1 ПД1"	https://www.hero-wars.com?replay_id=1772807372599259582	
06/03 16:40	61882154	Виларт	1167607	Тен(308) Маи(205) Нов(219) Мор(210) Сиг(225)	31351598	marinhero-sub	1131039	Мол(197) Мор(222) Ара(207) Тен(309) Игн(197)					В6-130 Т6-127	О6-120 Т6-113	"ЛП5 ТК5 ГН3 ЗС4"	"ТП3 ПР5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1772804446238980665	
06/03 16:33	61882154	Виларт	1029207	Гип(225) Ара(207) Тид(198) Аше(196) Мол(203)	32578125	Will82	1103859	Анг(238) Ава(221) Вер(204) Эде(221) Сил(221)					О6-130 В6-130	Д6-130	"ПВ4 ПР3 ЛП5 ТК5"	"ГС3 ЭЭ5  "	https://www.hero-wars.com?replay_id=1772803989506355335	
06/03 15:10	61882196	Wren	993269	Сил(204) Эде(209) Вер(159) Ава(209) Анг(213)	23119535	Team PatJuayze	1184514	Анг(213) Сол(304) Эде(213) Ияр(243) Сил(212)					Д6-130	Д6-126 С6-124	"ЛП4 ТК4  "	"ГС1 ЭЭ2 ЛП2 ЗС2"	https://www.hero-wars.com?replay_id=1772799036611413631	
06/03 14:57	23257144	Lee	1125840	Тен(296) Гип(210) Нов(193) Бру(233) Сиг(194)	47866200	Алый Стервь	1091094	Мол(221) Ара(221) Эде(186) Тен(243) Игн(220)					В5-122 Т5-117	О6-124	"ЛП3 ЗС3 ШГ2 ЗС2"	"ПВ5 ПР3  "	https://www.hero-wars.com?replay_id=1772798269153537337	
06/03 14:30	61882225	Бесенок Ната	898028	Игн(139) Ияр(198) Ара(180) Сол(271) Мол(109)	31351593	marinhero!	1221928	Бру(239) Мор(237) Кер(235) Гип(210) Тен(301)					С5-130 О2-96	Т6-130	"ЛП5 ЗС3 ПВ4 ПР4"	"ЛП2 ТК3  "	https://www.hero-wars.com?replay_id=1772796608934263146	
06/03 13:31	31351598	marinhero-sub	1129855	Ияр(229) Эде(209) Сол(295) Вер(202) Анг(195)	62044999	Пунь Пунь	1131193	Сиг(206) Нов(213) Сол(249) Гип(213) Тен(249)					Д6-121 С6-112	В6-123	"ГС4 ЭЭ5 ЛП3 ТК4"	"ШГ2 ПР4  "	https://www.hero-wars.com?replay_id=1772793067917906702	
06/03 12:45	61958839	Бальдр	895848	Гип(209) Маи(141) Тид(203) Нов(138) Сиг(206)	23291864	mmm	1209623	Риг(253) Мол(231) Сол(298) Ара(214) Игн(214)					В6-122	О6-102 С6-66	"ГС5 ЗС2  "	"ПВ3 ПД5 ПВ4 ПД3"	https://www.hero-wars.com?replay_id=1772790352400955260	
06/03 12:14	62044999	Пунь Пунь	1034300	Гип(213) Маи(210) Тид(191) Нов(213) Сиг(206)	42309430	Skyrim	1160849	Анг(224) Вер(207) Эде(224) Тен(282) Сил(224)					В6-123	Д6-130	"ШГ2 ПР4  "	"ГС5 ЭЭ4  "	https://www.hero-wars.com?replay_id=1772788464045611406	
06/03 11:16	61882250	Kamul27rus	1334366	Тен(315) Ияр(252) Сол(314) Мор(237) Бру(216)	51235995	gguardian1285	1145503	Риг(240) Мол(214) Сол(275) Ара(212) Игн(204)					Т6-130 С6-130	С6-130 О6-127	"ГН5 ТК3 ЛП4 ЗС4"	"ЛП3 ПД4 ПВ5 ТК3"	https://www.hero-wars.com?replay_id=1772784982807294610	
06/03 09:24	61882219	Ваван	1122503	Ияр(246) Сол(307) Вер(172) Амо(178) Риг(220)	40614896	SAMSON4	1149650	Сиг(218) Мор(221) Тид(201) Гип(218) Тен(292)					С6-130	В6-130 Т6-130	"ШГ3 ЭЭ1  "	"ТП3 ЗС2 ГН2 ЗС4"	https://www.hero-wars.com?replay_id=1772778278746968950	
06/03 08:33	22915829	KimYeontan	1228371	Игн(222) Тен(312) Ара(222) Аше(205) Бру(267)	61882219	Ваван	1156790	Бру(260) Мор(240) Кер(180) Ара(173) Тен(304)					О6-130 Т6-130	Т6-130	"ТП4 ЗС4 ЛП4 ЗС3"	"ГС1 ТК3  "	https://www.hero-wars.com?replay_id=1772775225162963814	
06/03 08:31	22915829	KimYeontan	1241819	Сил(236) Эде(220) Сол(314) Вер(203) Риг(269)	61882317	viktori	845613	Риг(211) Амо(102) Сол(219) Ара(183) Ияр(130)					Д6-130 С6-130	С6-96	"ГС4 ЗС2 ЛП5 ЗС2"	"ГН3 ЗС3  "	https://www.hero-wars.com?replay_id=1772775101061528937	
06/03 06:08	42309430	Skyrim	1160849	Сил(224) Тен(282) Эде(224) Вер(207) Анг(224)	61882137	G_G	1010342	Мол(201) Амо(218) Аше(199) Ара(199) Ияр(194)					Д6-130	О6-130 С6-130	"ГС5 ЭЭ4  "	"ПВ2 ПР4 ЛП4 ТК5"	https://www.hero-wars.com?replay_id=1772766539686127893	
06/03 02:30	32578125	Will82	1175852	Тен(310) Гип(221) Тид(204) Нов(221) Сиг(221)	61882140	ПасТырЪ	940636	Мол(194) Амо(140) Аше(191) Ара(196) Ияр(220)					В6-130	О6-130 С6-130	"ШГ4 ПД3  "	"ПВ3 ПР3 ЛП3 ЗС3"	https://www.hero-wars.com?replay_id=1772753423705852166	
06/03 02:29	32578125	Will82	1231673	Сил(221) Ияр(246) Эде(221) Сол(307) Анг(238)	62044906	(-_-)	1013327	Сиг(215) Нов(206) Тид(190) Маи(197) Гип(206)					Д6-130 С6-130	В6-130	"ГС3 ЭЭ5 ГС2 ЗС3"	"ГС3 ЭЭ3  "	https://www.hero-wars.com?replay_id=1772753341282510107	
06/03 01:33	23228421	Mojin	1265465	Эде(225) Сол(318) Вер(208) Ава(242) Риг(272)	61882267	ZOV	1406514	Бру(266) Риг(267) Мор(249) Сол(312) Тен(311)					Д6-130 С6-130	Т6-130 С6-130	"ГС5 ТК5 ГН5 ЭЭ5"	"ГН3 ТК4 ЛП3 ЗС5"	https://www.hero-wars.com?replay_id=1772750025692858352	
05/03 23:47	62044906	(-_-)	1015245	Гип(206) Ияр(188) Сол(219) Маи(197) Нов(206)	22816899	DDak Bam Love	1194791	Риг(255) Вер(162) Сол(318) Эде(204) Ияр(255)					В6-130 С4-130	С6-130 Д6-102	"ГС3 ЭЭ3 ГН1 ЗС2"	"ЛП5 ЭЭ5 ГС3 ЭЭ1"	https://www.hero-wars.com?replay_id=1772743640931815647	
05/03 23:41	62070560	iCool	912830	Тен(273) Эде(152) Вер(181) Мор(169) Анг(137)	23290401	kyd.kor	1271256	Бру(247) Мор(247) Кер(247) Эде(222) Тен(308)					Т6-130 Д6-109	Т6-130	"ПВ2 ЗС2 ГС1 ПД1"	"ЛП3 ЭЭ2  "	https://www.hero-wars.com?replay_id=1772743297371522343	
05/03 22:14	62072200	Пух	1012666	Гип(172) Маи(218) Тид(207) Нов(224) Сиг(192)	51235995	gguardian1285	1148206	Бру(236) Мор(237) Вер(194) Эде(209) Тен(273)					В6-130	Т6-125 Д6-120	"ШГ5 ПД4  "	"ШГ3 ЭЭ3 ПВ3 ЗС3"	https://www.hero-wars.com?replay_id=1772738043602500952	
05/03 21:57	61882204	Лапочка	910915	Тен(193) Аше(198) Амо(174) Вул(169) Риг(177)	22915829	KimYeontan	1231151	Мол(239) Аше(205) Сол(314) Ара(222) Ияр(252)					С6-130 О6-130	О6-130 С6-130	"ЛП4 ТК4 ПВ4 ПР5"	"ТП4 ЗС4 ЛП5 ЗС2"	https://www.hero-wars.com?replay_id=1772737047582773585	
05/03 20:58	61882267	ZOV	1240849	Игн(211) Ара(217) Сол(312) Мол(233) Риг(267)	27690942	halo50su	1389750	Риг(253) Мор(253) Сол(315) Ияр(253) Тен(315)					О6-130 С6-130	С6-130 Т6-130	"ПВ2 ПР3 ЛП3 ЗС5"	"ЛП4 ПД5 ПВ4 ЗС5"	https://www.hero-wars.com?replay_id=1772733514389800365	
05/03 20:44	61882212	Оди	939468	Гип(212) Ара(141) Маи(170) Тид(191) Сиг(225)	23228421	Mojin	1231346	Риг(272) Тид(208) Вер(208) Сол(318) Эде(225)					В6-130	С6-130 Д6-130	"ШГ5 ПД5  "	"ГН5 ЭЭ5 ГС5 ТК5"	https://www.hero-wars.com?replay_id=1772732675834997043	
05/03 18:37	23290401	kyd.kor	1201243	Эде(222) Сол(307) Вер(205) Ава(222) Риг(246)	61882212	Оди	1241500	Бру(270) Риг(217) Мор(231) Кер(231) Тен(293)					Д6-130 С6-130	Т6-130	"ГН4 ЭЭ4 ЛП2 ЭЭ3"	"ГН5 ТК3  "	https://www.hero-wars.com?replay_id=1772725053099727009	
05/03 18:36	23290401	kyd.kor	1237406	Игн(222) Тен(308) Ара(222) Мор(247) Мол(239)	61882219	Ваван	1124416	Риг(220) Амо(178) Сол(307) Эде(174) Ияр(246)					О6-130 Т6-130	С6-130	"ГН4 ПР4 ЛП3 ЭЭ2"	"ШГ3 ЭЭ1  "	https://www.hero-wars.com?replay_id=1772725007521502369	
05/03 18:25	61882168	Тема	1047736	Тен(296) Эде(187) Кер(237) Вер(86) Бру(242)	56938431	Hrvatska	1065321	Мол(221) Аше(204) Тид(202) Ара(221) Гип(218)					Т6-130 Д6-116	О6-130 В6-128	"ЛП2 ПД4 ГС2 "	"ТП4 ТК3 ЛП3 ПД3"	https://www.hero-wars.com?replay_id=1772724322386041936	
05/03 18:06	27690942	halo50su	1226084	Эде(225) Сол(315) Вер(208) Ава(225) Риг(253)	61882250	Kamul27rus	1386826	Риг(269) Мор(237) Сол(314) Ияр(252) Тен(315)					Д6-130 С6-130	С6-130 Т6-130	"ГС5 ЭЭ5 ЛП4 ПД5"	"ЛП4 ЗС4 ГН5 ТК3"	https://www.hero-wars.com?replay_id=1772723166206622676	
05/03 17:14	61883387	FEDOR	1043355	Гип(220) Маи(197) Тид(206) Нов(208) Сиг(212)	31351620	colorjun	1220135	Бру(248) Мол(221) Ара(221) Тен(310) Игн(221)					В6-130	О6-130 Т6-130	"ШГ4 ПД5  "	"ПВ4 ЗС3 ЛП3 ЭЭ3"	https://www.hero-wars.com?replay_id=1772720080073835925	
05/03 17:03	40614896	SAMSON4	1149650	Тен(292) Гип(218) Тид(201) Мор(221) Сиг(218)	62044906	(-_-)	1024631	Риг(193) Амо(214) Сол(219) Ияр(188) Тен(212)					В6-130 Т6-130	С4-130	"ТП3 ЗС2 ГН2 ЗС4"	"ГН1 ЗС2  "	https://www.hero-wars.com?replay_id=1772719394556609903	
05/03 16:58	33801904	SAMSON3	1180859	Игн(219) Ияр(225) Ара(219) Сол(300) Мол(219)	61991077	3ve	905859	Анг(177) Ава(161) Вер(205) Эде(202) Сил(161)					О6-130 С6-130	Д6-130	"ГН3 ЗС3 ПВ3 ЭЭ3"	"ГС4 ЭЭ4  "	https://www.hero-wars.com?replay_id=1772719096914671792	
05/03 16:55	33801897	SAMSON2	1160321	Ияр(222) Сол(300) Вер(202) Анг(214) Риг(223)	62070560	iCool	1036605	Бру(199) Нов(189) Тид(199) Гип(176) Тен(273)					С6-130 Д6-130	В6-130 Т6-130	"ЛП3 ЗС3 ГС2 ЭЭ5"	"ШГ2 ПД2 ПВ2 ЗС2"	https://www.hero-wars.com?replay_id=1772718911176476643	
