date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
14/02 22:46	27382967	Marcus	1189763	Тен(299) Гип(216) Нов(216) Бру(236) Сиг(222)	62044906	Пук Пук	966614	Сиг(214) Риг(123) Нов(206) Сол(218) Гип(205)	35				В6-129 Т6-112	В6-129 С4-125	"ТП2 ПР3 ТП1 ЭЭ3"	"ГС3 ЭЭ3 ГН1 ЗС2"	https://www.hero-wars.com?replay_id=1771098405016129793	
14/02 20:59	62070651	Taifyn	951124	Сил(196) Эде(204) Ара(188) Аше(160) Анг(204)	27310786	Veronica	938953	Риг(224) Сол(227) Ара(192) Эде(133) Гип(163)	35				Д3-109 О1-79	С2-105	"ПВ3 ЗС3 ЛП2 ЗС1"	"ТП3 ТК3  "	https://www.hero-wars.com?replay_id=1771091998551438675	
14/02 19:57	61882219	Ваван	1123530	Ияр(246) Ара(173) Сол(307) Амо(178) Риг(220)	27382967	Marcus	888733	Анг(207) Ава(148) Вер(183) Эде(183) Сил(168)	35				С6-130	Д6-113	"ШГ3 ЭЭ1  "	"ШГ1 ПД4  "	https://www.hero-wars.com?replay_id=1771088254732202573	
14/02 18:23	27684258	ZZD	1108332	Игн(215) Ара(215) Сол(272) Аше(193) Мол(215)	62070651	Taifyn	951124	Анг(204) Аше(160) Ара(188) Эде(204) Сил(196)	35				О6-130	Д3-109 О1-79	"ПВ1 ЗС3  "	"ПВ3 ЗС3 ЛП2 ЗС1"	https://www.hero-wars.com?replay_id=1771082633254015678	
14/02 12:58	61882317	viktori	1031531	Тен(263) Сол(207) Кер(180) Мор(181) Риг(200)	55773598	SanchoPancho	1104850	Мол(234) Вул(234) Аше(201) Ара(218) Игн(218)	35				Т6-108 С4-91	О6-130	"ТП2 ПД3 ГН3 ЗС3"	"ГН3 ПР2  "	https://www.hero-wars.com?replay_id=1771063128324038521	
14/02 11:42	61882156	3.14_ZDETS	932301	Тен(158) Гип(204) Маи(146) Нов(206) Сиг(218)	38712347	BiBa Butzemann	1071368	Мол(218) Вул(208) Ара(218) Гип(211) Игн(218)	35				В6-130	О6-130	"ГС2 ТК4  "	"ТП3 ЗС2  "	https://www.hero-wars.com?replay_id=1771058560040287362	
14/02 11:40	61882156	3.14_ZDETS	1070269	Игн(191) Ияр(220) Ара(205) Сол(260) Мол(194)	27591749	Marz	1026370	Анг(211) Амо(218) Эде(189) Ияр(218) Сил(189)	35				О6-130 С6-130	Д6-130 С6-130	"ПВ2 ЗС4 ГН1 ПР4"	"ГС1 ЗС3 ГС2 ЗС5"	https://www.hero-wars.com?replay_id=1771058443319011705	
14/02 10:51	61882196	Wren	837137	Сил(204) Тен(216) Эде(209) Ава(209)	27293256	chris	1022105	Сиг(204) Нов(219) Маи(207) Ара(173) Гип(219)	35				Д6-130	В6-130	"ЛП4 ТК4  "	"ЛП3 ЭЭ3  "	https://www.hero-wars.com?replay_id=1771055479559877218	
14/02 10:45	62044999	Пунь Пунь	976427	Гип(200) Сол(232) Маи(176) Нов(203) Сиг(166)	27244973	R.I.P.	949384	Мол(201) Вул(180) Сол(215) Ара(196) Ияр(158)	35				В5-116	О5-125 С3-88	"ГС2 ПР1  "	"ЛП1 ЗС3 ШГ1 ЗС1"	https://www.hero-wars.com?replay_id=1771055151639147552	
14/02 05:25	27310786	Veronica	938953	Гип(163) Эде(133) Ара(192) Сол(227) Риг(224)	61882233	2 718	886844	Мол(184) Аше(181) Сол(198) Ара(174) Игн(150)	35				С2-105	О5-124	"ТП3 ТК3  "	"ГН4 ПД2  "	https://www.hero-wars.com?replay_id=1771035958876832702	
