date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
22/02 00:14	13056046	Sheavy	1139761	Эде(216) Ара(211) Сол(306) Вер(204) Аше(203)	61882219	Ваван	1156790	Бру(260) Мор(240) Кер(180) Ара(173) Тен(304)	35				Д6-130 О6-123	Т6-130	"ЛП4 ПД3 ШГ4 ЗС4"	"ГС1 ТК3  "	https://www.hero-wars.com?replay_id=1771708442578941671	
21/02 16:34	12735493	Carbuncle noa	1161434	Эде(213) Сол(301) Вер(194) Анг(213) Риг(241)	62044906	Пук Пук	970967	Сиг(215) Риг(127) Нов(206) Сол(218) Гип(206)	35				Д6-130 С6-130	В6-130 С4-125	"ПВ1 ТК1 ГС1 ТК1"	"ГС3 ЭЭ3 ГН1 ЗС2"	https://www.hero-wars.com?replay_id=1771680866241704160	
21/02 13:50	12640657	busan	1101590	Тен(278) Ара(169) Сол(274) Мор(198) Риг(182)	62070658	Дед Максим	893792	Анг(184) Ара(187) Эде(191) Гип(156) Сил(175)	35				Т1-102 С1-74	Д3-109	"ЛП1 ПД2 ПВ1 ЗС2"	"ТП2 ЗС2  "	https://www.hero-wars.com?replay_id=1771671006190050049	
21/02 13:49	12640657	busan	965991	Сил(195) Эде(199) Вер(182) Ава(191) Анг(199)	61991077	3ve	965841	Сиг(212) Нов(196) Маи(194) Гип(196) Тен(168)	35				Д6-130	В6-130	"ШГ1 ПД5  "	"ШГ2 ПД5  "	https://www.hero-wars.com?replay_id=1771670982038746051	
21/02 11:10	60850882	sud	913075	Гип(192) Маи(158) Нов(189) Сиг(193) ID:4004(182)	61882233	2 718	916399	Мол(195) Аше(195) Сол(198) Ара(189) Ияр(139)	35				В5-127	О6-124 С1-80	"ШГ2 ПР3  "	"ГН4 ПД2 ЛП1 ЭЭ3"	https://www.hero-wars.com?replay_id=1771661401247594577	
21/02 09:27	26255861	camel	1023619	Сил(175) Эде(200) Сол(263) Вер(160) Риг(226)	62044999	Пунь Пунь	1070308	Сиг(175) Нов(213) Сол(241) Гип(210) Тен(232)	35				С6-121 Д6-120	В6-120	"ШГ3 ПД1 ГС1 ПД3"	"ШГ2 ПР4  "	https://www.hero-wars.com?replay_id=1771655255946067516	
21/02 09:02	13201652	mikeneko	1136269	Игн(224) Ара(224) Аше(207) Вул(241) Мол(241)	61882154	Виларт	1030964	Мол(200) Мор(207) Вул(118) Ара(202) Тен(304)	35				О6-130	О6-130 Т6-113	"ТП5 ПД4  "	"ПВ4 ПР3 ГН3 ЗС4"	https://www.hero-wars.com?replay_id=1771653726008779078	
21/02 01:50	61882250	Kamul27rus	1386826	Тен(315) Ияр(252) Сол(314) Мор(237) Риг(269)	60607873	kurou	1101516	Сиг(191) Нов(165) Сол(268) Гип(206) Тен(272)	35				С6-130 Т6-130	В6-99	"ЛП4 ЗС4 ГН5 ТК3"	"ШГ2 ПД4  "	https://www.hero-wars.com?replay_id=1771627807558923299	
21/02 01:08	62070651	Taifyn	968999	Сил(204) Эде(204) Ара(192) Аше(166) Анг(204)	13193360	Team 13193360	896020	Мол(201) Ара(201) Эде(155) Гип(155) Игн(184)	35				Д3-111 О1-79	О2-123	"ПВ3 ЭЭ3 ЛП2 ЗС1"	"ЛП1 ПР4  "	https://www.hero-wars.com?replay_id=1771625283848667501	
20/02 20:31	62044906	Пук Пук	975371	Тен(211) Эде(170) Сол(219) Амо(214) Риг(163)	13196903	Barbarossa	912213	Сиг(147) Бру(194) Нов(134) Гип(189) Тен(249)	35				С4-130	В3-94 Т2-88	"ГН1 ЗС2  "	"ШГ1 ПР3 ГН1 ТК2"	https://www.hero-wars.com?replay_id=1771608663785677337	
20/02 20:27	62044906	Пук Пук	938584	Гип(206) Маи(189) Нов(206) Сиг(215) ID:4004(123)	13225107	Taiwan-Takumi	911927	Бру(173) Мол(156) Вул(152) Ара(195) Тен(236)	35				В6-130	О6-87 Т4-84	"ГС3 ЭЭ3  "	"   "	https://www.hero-wars.com?replay_id=1771608462756469449	
20/02 20:25	62044999	Пунь Пунь	885221	Гип(210) Маи(190) Нов(213) Сиг(175) ID:4004(98)	59880287	nekosan	908580	Мол(163) Сол(248) Ара(177) Ияр(166) Игн(155)	35				В6-120	О4-100 С1-75	"ШГ2 ПР4  "	"ГН1 ПД3 ТП1 ЗС5"	https://www.hero-wars.com?replay_id=1771608300899597382	
20/02 20:21	62072200	Пух	1012475	Сил(196) Эде(213) Вер(191) Ава(196) Анг(217)	58001655	blue waves	909990	Сиг(199) Бру(133) Нов(170) Гип(199) Тен(209)	35				Д6-130	Т6-119 В3-123	"ГС3 ЭЭ5  "	"ГС2 ПД1 ШГ1 ПР1"	https://www.hero-wars.com?replay_id=1771608102034937543	
20/02 19:50	61882156	3.14_ZDETS	966269	Гип(208) Маи(149) Нов(206) Сиг(218) ID:4004(185)	12811780	GSR750	1138185	Мол(194) Вул(192) Сол(307) Ара(213) Ияр(233)	35				В6-130	О6-119 С6-106	"ГС2 ТК4  "	"ТП2 ПР2 ШГ4 ЭЭ3"	https://www.hero-wars.com?replay_id=1771606257533898683	
20/02 19:26	60694165	Ria	1047464	Ияр(169) Эде(216) Сол(310) Вер(147) Анг(206)	61882219	Ваван	1110895	Риг(220) Амо(178) Сол(307) Эде(160) Ияр(246)	35				С6-130 Д6-123	С6-130	"ЛП3 ТК3 ГС5 ЭЭ2"	"ШГ3 ЭЭ1  "	https://www.hero-wars.com?replay_id=1771604776977754591	
20/02 19:04	61882168	Тема	1129369	Тен(296) Эде(174) Кер(229) Мор(188) Бру(242)	60427779	Aralaber	920334	Мол(176) Сол(215) Ара(164) Тен(203) Игн(162)	35				Т6-130	О2-96	"ЛП2 ПД4  "	"ПВ2 ЗС2  "	https://www.hero-wars.com?replay_id=1771603489599385466	
20/02 18:55	13225107	Taiwan-Takumi	916788	Эде(188) Сол(234) Ава(153) Анг(165) Риг(177)	61882189	Santa	912915	Сиг(164) Нов(155) Маи(163) Гип(197) Тен(234)	35				Д4-126 С3-50	В4-106	"   "	"ПВ4 ТК3  "	https://www.hero-wars.com?replay_id=1771602923298946437	
20/02 18:42	61882137	G_G	997814	Ияр(194) Ара(199) Сол(206) Аше(199) Мол(201)	12652204	altezza	1058065	Мол(220) Вул(220) Ара(220) Гип(179) Игн(220)	35				О6-130 С6-130	О6-130	"ПВ2 ПР4 ЛП4 ТК5"	"ПВ3 ПР4  "	https://www.hero-wars.com?replay_id=1771602143153296017	
20/02 17:40	61882317	viktori	1031805	Тен(263) Сол(207) Кер(180) Мор(181) Риг(200)	13095614	Tora	1028159	Сиг(213) Нов(213) Ара(194) Эде(194) Гип(213)	35				Т6-108 С4-91	В6-125	"ТП2 ПД3 ГН3 ЗС3"	"ПВ1 ЗС3  "	https://www.hero-wars.com?replay_id=1771598420955113897	
