date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
16/06 18:21,62072200,Пух,1137977,Тен(301) Гип(195) Тид(207) Нов(224) Сиг(212),60577788,MuSaSa,1245190,Мол(224) Мор(255) Ара(224) Тен(318) Игн(224),,,,,В6-130,О6-130 Т6-130,ШГ5 ПД4  ,ПВ5 ПР4 ГН5 ЗС5,https://www.hero-wars.com?replay_id=1781623302739549676
16/06 16:07,61882156,3.14_ZDETS,909753,Люм(82) Игн(191) Ияр(233) Ара(210) Мол(194),53248100,desheng,1231294,Ава(242) Вер(208) Сол(318) Эде(225) Люм(238),,,,,О6-130 С6-130,Д6-130 С6-130,ПВ2 ЗС4 ГН1 ПР4,ГС5 ТК5 ПВ5 ПР5,https://www.hero-wars.com?replay_id=1781615231919736871
16/06 06:58,62044999,Пунь Пунь,1079541,Тен(249) Гип(215) Тид(193) Нов(215) Сиг(208),60054455,Sun,1288995,Мол(242) Мор(262) Ара(225) Тен(318) Игн(242),,,,,В6-129,О6-130 Т6-130,ШГ2 ПР4  ,ТП5 ПД5 ГН5 ПР5,https://www.hero-wars.com?replay_id=1781582286253457667
16/06 05:28,61991077,3ve,1080840,Люм(218) Сол(242) Маи(201) Нов(201) Сиг(218),59847756,tzhgy,1295243,Мол(242) Мор(268) Ара(225) Тен(318) Игн(242),,,,,В6-130 С6-130,О6-130 Т6-130,ШГ5 ПД5 ЛП5 ЗС5,ТП5 ПД5 ГН5 ПР5,https://www.hero-wars.com?replay_id=1781576899333169900
16/06 01:28,61882267,ZOV,1200465,Тен(311) Эде(220) Вер(177) Ава(236) Мор(256),50564640,Skywalker,1241897,Риг(269) Анг(236) Вер(203) Сол(314) Эде(220),,,,,Д6-130 Т6-130,Д6-130 С6-130,ГС4 ЭЭ2 ГН3 ТК4,ГС3 ЭЭ4 ГС4 ЗС4,https://www.hero-wars.com?replay_id=1781562527367980853
16/06 00:07,62092872,MEDVED,1065918,Ияр(217) Эде(205) Сол(239) Вер(200) Ава(205),37262870,Chris,1228653,Мор(254) Ава(225) Вер(208) Эде(225) Тен(317),,,,,Д6-130 С6-130,Д6-130 Т6-130,ГС5 ЭЭ5 ЛП4 ЗС5,ГС5 ЭЭ5 ГН5 ТК4,https://www.hero-wars.com?replay_id=1781557668649765283
15/06 22:56,62082395,Винни,1397214,Тен(310) Сол(310) Мор(248) Риг(265) Бру(265),21350886,Lavan,1299462,Мол(242) Мор(272) Ара(225) Тен(318) Игн(242),,,,,Т6-130 С6-130,О6-130 Т6-130,ЛП3 ПР3 ПВ3 ЗС3,ШГ5 ТК5 ГН5 ТК5,https://www.hero-wars.com?replay_id=1781553415123935434
15/06 20:38,61882142,B.i.G,1002749,Гип(199) Сол(252) Тид(185) Нов(169) Риг(197),37262879,LEO CHUTY,1264337,Мол(242) Мор(259) Ара(225) Тен(314) Игн(225),,,,,В6-130 С6-130,О6-130 Т6-130,ЛП3 ПД3 ГН2 ЗС3,ТП5 ПР5 ГН4 ТК4,https://www.hero-wars.com?replay_id=1781545109985494030
15/06 20:37,61882142,B.i.G,1006527,Игн(207) Ара(206) Аше(197) Вул(189) Мол(207),21351423,Seoul,1169400,Риг(245) Ава(219) Вер(182) Сол(305) Эде(219),35,,,,О6-130,Д6-130 С6-130,ГС3 ПД3  ,ГС2 ЭЭ5 ЛП2 ЗС2,https://www.hero-wars.com?replay_id=1781545025608276524
15/06 20:13,61882212,Оди,987027,Люм(211) Ара(197) Сол(296) Вул(132) Мол(151),25029420,KOK,1253470,Риг(271) Ава(239) Вер(205) Сол(317) Эде(222),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ4 ПР4 ЛП5 ЗС5,ГС4 ЭЭ4 ПВ5 ТК4,https://www.hero-wars.com?replay_id=1781543636109392126
15/06 18:14,62072200,Пух,1153104,Игн(213) Ияр(190) Ара(224) Сол(302) Мол(224),59847756,tzhgy,1265465,Риг(272) Ава(242) Вер(208) Сол(318) Эде(225),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ЗС4 ГС1 ТК2,ГС5 ТК5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1781536482133181401
