date time,attacker id,att name,att power,att team,defender id,def name,def power,def team,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
10/03 11:19,61958839,Бальдр,1158611,Сил(242) Эде(225) Вер(208) Ава(242) Анг(242),3953152,Adreliwyn,927019,Риг(211) Амо(185) Вер(178) Гип(152) Сил(202),35,,,,Д6-130,С6-130 Д6-130,ШГ5 ЭЭ5  ,ШГ2 ПД1 ШГ1 ТК3,https://www.hero-wars.com?replay_id=1773130788503490944,
10/03 11:13,62044906,(-_-),1022713,Тен(212) Тид(190) Амо(214) Риг(193) Сиг(215),7396587,Yoshi,1033760,Мол(201) Сол(297) Ара(189) Ияр(224) Игн(123),35,,,,В6-130 С4-130,С6-116 О6-98,ГС3 ЭЭ3 ГН1 ЗС2,ПВ2  ЛП1 ,https://www.hero-wars.com?replay_id=1773130415785847653,
10/03 11:09,62044906,(-_-),1015245,Гип(206) Ияр(188) Сол(219) Маи(197) Нов(206),29345630,xyz,1166942,Бру(226) Мол(235) Вул(235) Тен(252) Игн(219),35,,,,В6-130 С4-130,О6-130 Т6-96,ГС3 ЭЭ3 ГН1 ЗС2,ЛП3 ПД3 ГС3 ТК2,https://www.hero-wars.com?replay_id=1773130187411060674,
10/03 11:07,61882246,Nergal,1364812,Тен(305) Ияр(241) Сол(312) Мор(239) Риг(267),46922765,Moogut,1217474,Бру(257) Мор(231) Кер(232) Эде(194) Тен(303),35,,,,С6-130 Т6-130,Т6-130,ЛП4 ЗС3 ГН1 ЭЭ4,ТП2 ЗС1  ,https://www.hero-wars.com?replay_id=1773130069593111796,
10/03 11:02,61882250,Kamul27rus,1386826,Тен(315) Ияр(252) Сол(314) Мор(237) Риг(269),18202739,Losts Angel,1240032,Бру(266) Мор(240) Кер(249) Гип(174) Тен(311),35,,,,С6-130 Т6-130,Т6-130,ЛП4 ЗС4 ГН5 ТК3,ГН3 ЗС4  ,https://www.hero-wars.com?replay_id=1773129744123886824,
10/03 10:20,61882156,3.14_ZDETS,1083425,Игн(191) Ияр(233) Ара(205) Сол(260) Мол(194),49296964,The Dude,1214464,Бру(236) Мор(243) Тид(207) Гип(224) Тен(305),35,,,,О6-130 С6-130,В6-130 Т6-105,ПВ2 ЗС4 ГН1 ПР4,ШГ5 ПД4 ГН4 ТК2,https://www.hero-wars.com?replay_id=1773127258516283046,
10/03 10:17,61882219,Ваван,1155763,Тен(304) Кер(180) Вер(172) Мор(240) Бру(260),1717814,Khannaj,928808,Анг(185) Вул(192) Ава(184) Аше(182) Эде(185),35,,,,Т6-130,О6-130 Д5-130,ГС1 ТК3  ,ШГ1 ПД2 ТП1 ЗС1,https://www.hero-wars.com?replay_id=1773127031742664327,
10/03 10:14,61882219,Ваван,1102476,Гип(149) Ияр(246) Сол(307) Амо(178) Риг(223),62083313,Acchan,1038256,Мол(213) Ара(213) Эде(195) Гип(203) Игн(213),35,,,,С6-130,О6-108,ШГ3 ЭЭ1  ,ЛП3 ЗС3  ,https://www.hero-wars.com?replay_id=1773126864671598175,
10/03 08:41,62070658,Дед Максим,896247,Сил(176) Гип(157) Эде(191) Ара(187) Анг(184),380833,Sir ahmed,859137,Аше(126) Вер(123) Сол(250) Ара(185) Эде(176),35,,,,Д3-109,О6-113 Д3-91,ТП2 ЗС2  ,ЛП3 ПД1 ШГ1 ПД2,https://www.hero-wars.com?replay_id=1773121316808857138,
10/03 06:59,61882137,G_G,1041185,Тен(206) Амо(218) Мор(183) Риг(204) Бру(230),150026,Lost Nomad,1132749,Сиг(208) Бру(232) Тид(198) Гип(206) Тен(289),35,,,,Т6-130 С6-130,В6-130 Т6-130,ТП5 ЭЭ4 ЛП4 ТК5,ГС3 ПД2 ПВ1 ПР1,https://www.hero-wars.com?replay_id=1773115140803231129,
