date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
17/07 13:22,61882137,G_G,930487,Гип(180) Эде(217) Вер(184) Тид(147) Ава(202),57847832,ASHIKAWA,1217970,Анг(222) Мор(245) Эде(220) Тен(312) Сил(220),,,,,Д6-130 В6-130,Д6-130 Т6-127,ГС5 ЭЭ5 ШГ2 ПД3,ШГ4 ПД2 ГА5 ТК1,https://www.hero-wars.com?replay_id=1784283742444691788
17/07 13:19,61882137,G_G,1029918,Люм(212) Игн(190) Ара(208) Сол(208) Мол(213),57773685,1984,1251845,Бру(266) Ава(242) Вер(208) Эде(225) Тен(311),,,,,О6-130 С6-130,Д6-130 Т6-130,ПВ5 ПР4 ЛП5 ТК5,ШГ5 ЭЭ5 ГН3 ТК4,https://www.hero-wars.com?replay_id=1784283565030942130
17/07 11:02,61991077,3ve,1066002,Ияр(211) Эде(209) Вер(208) Ава(196) Риг(242),37490196,Genie,1086688,Нов(237) Аше(202) Тид(203) Ара(225) Гип(220),,,,,Д6-130 С6-130,О6-130 В6-127,ГС5 ЭЭ5 ЛП6 ЗС6,ПВ5 ПР5 ТП3 ПД5,https://www.hero-wars.com?replay_id=1784275336722712333
17/07 10:59,61991077,3ve,1082650,Люм(221) Гип(207) Сол(246) Тид(208) Нов(201),57632819,Willow,1242604,Риг(271) Аше(207) Сол(317) Ара(224) Игн(224),,,,,В6-130 С6-130,О6-130 С6-130,ШГ5 ПД5 ЛП6 ЗС6,ЛП5 ПД4 ШГ5 ПР4,https://www.hero-wars.com?replay_id=1784275186897850522
17/07 06:29,62156837,Нежданчик,1147429,Люм(212) Ияр(254) Сол(317) Амо(189) Риг(175),57623367,Cool Cat,1247820,Мол(241) Мор(256) Аше(207) Ара(224) Тен(320),,,,,С6-130,О6-130 Т6-130,ЛП4 ЗС6  ,ПВ5 ПР4 ГП6 ТК4,https://www.hero-wars.com?replay_id=1784258962257963713
17/07 06:27,62156837,Нежданчик,918693,Гип(180) Ара(221) Тид(173) Аше(204) Нов(141),57729467,HAMMEROID,1095991,Анг(213) Вер(196) Сол(271) Эде(203) Ияр(214),,,,,О6-130 В6-113,Д6-121 С6-105,ПВ3 ПР5 ШГ1 ПД1,ГС3 ЭЭ3 ЛП2 ЗС5,https://www.hero-wars.com?replay_id=1784258838021948689
17/07 05:14,62145280,Nata,1140675,Ара(189) Сол(315) Аше(196) Амо(253) Мол(187),25271490,Cheese Pizza,1274762,Бру(247) Риг(261) Сол(274) Эде(205) Тен(288),,,,,О6-130 С6-130,Т6-130 С6-130,ПВ1 ПР1 ЛП5 ЗС3,ПВ2 ТК3 ЛП3 ЗС3,https://www.hero-wars.com?replay_id=1784254483961473901
16/07 20:53,61883387,FEDOR,1259489,Тен(305) Сол(282) Тид(206) Бру(247) Сиг(220),57803384,AnaMile,1208095,Мол(219) Мор(249) Ара(217) Тен(311) Игн(212),,,,,В6-130 Т6-130,О6-130 Т6-130,ШГ4 ПД5 ЛП2 ТК2,ПВ3 ЗС1 ГН2 ТК6,https://www.hero-wars.com?replay_id=1784224382648613400
16/07 19:46,61882212,Оди,1243665,Люм(211) Тен(299) Ияр(233) Сол(296) Умб(205),57773995,Team-Tama,1231214,Мол(242) Аше(208) Умб(238) Ара(225) Тен(318),,,,,С6-130 Т6-130,О6-130 Т6-130,ЛП5 ЗС5 ГН6 ТК5,ТП5 ЗС5 ПВ5 ТК5,https://www.hero-wars.com?replay_id=1784220418021530914
16/07 19:44,61882177,Rom,1060441,Гип(215) Маи(203) Тид(200) Нов(215) Сиг(228),23432526,pmac,1245612,Нов(245) Тид(211) Умб(240) Гип(228) Тен(321),,,,,В6-130,В6-130 Т6-130,ГС4 ПД5  ,ТП6 ПД6 ШГ6 ТК5,https://www.hero-wars.com?replay_id=1784220287097512236
