date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
23/06 15:45,62138500,Diablo,1232195,Игн(212) Ара(220) Сол(312) Мол(221) Риг(267),287880267,LarAIder,1180472,Бру(243) Риг(241) Мор(240) Сол(228) Тен(229),35,,,,О6-130 С6-130,Т6-101 С6-101,ПВ3 ПР4 ЛП3 ПД5,ГС3 ПД2  ПР3,https://www.hero-wars.com?replay_id=1782218717372517382
23/06 15:38,62138500,Diablo,1064072,Гип(221) Маи(213) Тид(196) Нов(213) Сиг(222),287881648,phil,1115590,Бру(239) Мол(225) Ара(203) Тен(259) Игн(190),35,,,,В6-130,О6-130 Т6-122,ШГ3 ТК5  ,ПВ5 ТК3 ШГ4 ТК2,https://www.hero-wars.com?replay_id=1782218325585140361
23/06 15:12,62092872,MEDVED,1095256,Тен(302) Кер(195) Тид(175) Мор(231) Сиг(193),287885173,Kensidor,1196102,Бру(257) Мол(227) Аше(200) Ара(211) Тен(301),35,,,,Т6-130 В6-130,О6-130 Т6-130,ГН5 ТК5 ШГ5 ПД5,ТП2 ЗС3 ПВ3 ПР1,https://www.hero-wars.com?replay_id=1782216746747207588
23/06 14:19,61882142,B.i.G,1055186,Тен(219) Ияр(231) Ара(206) Аше(197) Риг(202),287879853,Guy,1440477,Бру(270) Риг(270) Сол(315) Ияр(270) Тен(315),35,,,,С6-130 О6-130,С6-130 Т6-130,ГН2 ЗС3 ГС3 ПД3,ЛП5 ЗС3 ГН5 ПД3,https://www.hero-wars.com?replay_id=1782213586102892799
23/06 14:19,62092872,MEDVED,1058557,Игн(196) Ияр(217) Ара(197) Сол(239) Мол(210),292255960,Team Croquette,1423039,Бру(266) Мор(266) Сол(312) Ияр(267) Тен(312),35,,,,О6-130 С6-130,С6-117 Т6-111,ПВ5 ПР3 ЛП4 ЗС5,ЛП5 ПД3 ЛП5 ЗС4,https://www.hero-wars.com?replay_id=1782213578259426369
23/06 14:18,61882142,B.i.G,1007856,Люм(189) Гип(199) Сол(252) Тид(190) Нов(177),278375838,GOAT,1023135,Риг(172) Аше(144) Сол(278) Ара(206) Тен(224),35,,,,В6-130 С6-130,О6-130 С2-56,ЛП3 ПД3 ГН2 ЗС3,ПВ2 ЗС4 ТП1 ЭЭ1,https://www.hero-wars.com?replay_id=1782213493261666097
23/06 13:14,62138549,YaElf,1041629,Люм(169) Гип(219) Сол(229) Тид(204) Нов(220),287885875,Stephane,1045795,Мол(199) Аше(202) Тид(205) Ара(218) Гип(222),35,,,,В6-130 С6-120,В6-130 О6-129,ШГ3 ПД5 ЛП1 ЗС2,ШГ4 ЗС4 ПВ3 ПР3,https://www.hero-wars.com?replay_id=1782209694931959640
23/06 10:36,61882204,Лапочка,1207780,Игн(219) Ара(222) Сол(298) Мол(226) Риг(242),287881242,G Jambon,1270656,Бру(270) Мол(240) Ара(223) Тен(315) Игн(223),35,,,,О6-130 С6-130,О6-130 Т6-130,ПВ5 ПР5 ЛП5 ТК4,ПВ5 ПР3 ГН5 ТК3,https://www.hero-wars.com?replay_id=1782200179291301411
23/06 10:32,62084542,bLanx,1146576,Сил(242) Эде(225) Вер(208) Ава(230) Анг(242),287883705,Mandrili,1358085,Бру(262) Мор(242) Кер(246) Сол(301) Тен(307),35,,,,Д6-130,Т6-130,ГС5 ЭЭ5  ,ЛП2 ЗС3  ,https://www.hero-wars.com?replay_id=1782199935348795754
23/06 09:07,61882267,ZOV,1167926,Ияр(267) Эде(220) Вер(177) Ава(236) Амо(267),291345686,Vitilar,1421312,Бру(269) Мор(269) Кер(252) Сол(318) Тен(314),35,,,,Д6-130 С6-130,Т6-130,ГС4 ЭЭ2 ЛП3 ЗС5,ЛП4 ЗС4  ,https://www.hero-wars.com?replay_id=1782194874187729976
