date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
30/06 18:54,62145280,Nata,1311804,Тен(305) Ияр(253) Сол(315) Умб(209) Мор(229),60679379,Chipko,1226155,Мол(242) Аше(208) Сол(315) Ара(225) Люм(236),35,,,,Т6-130 С6-130,О6-130 С6-130,ГН2 ТК2 ЛП5 ЗС3,ПВ5 ПР5 ЛП5 ЗС3,https://www.hero-wars.com?replay_id=1782834845444948938
30/06 18:16,61882212,Оди,974694,Гип(212) Ара(201) Тид(191) Аше(158) Нов(212),61092942,Michorizo,1249718,Риг(270) Ава(236) Вер(206) Сол(315) Эде(223),35,,,,В6-130 О6-130,Д6-130 С6-130,ШГ5 ПД5 ПВ4 ПР4,ГС4 ПД5 ЛП4 ЗС5,https://www.hero-wars.com?replay_id=1782832601243521243
30/06 13:44,62084554,VIKTOR,1187583,Тен(314) Гип(223) Умб(205) Тид(206) Сиг(240),42904705,AlexLee,1213359,Мол(241) Аше(207) Сол(318) Ара(224) Люм(223),35,,,,В6-130 Т6-130,О6-130 С6-130,ШГ4 ПД5 ГН4 ТК4,ПВ5 ПР4 ЛП5 ТК5,https://www.hero-wars.com?replay_id=1782816272137965204
30/06 12:02,61882156,3.14_ZDETS,1002486,Игн(191) Тен(203) Ара(210) Мор(205) Мол(194),60579598,Team Klink,1132627,Риг(239) Ава(211) Вер(183) Сол(284) Эде(215),35,,,,О6-130 Т6-130,Д6-125 С6-93,ПВ2 ЗС4 ГН1 ПД2,ЛП4 ЭЭ4 ЛП2 ПР4,https://www.hero-wars.com?replay_id=1782810148541060891
30/06 09:59,61882142,B.i.G,1053456,Люм(189) Ара(206) Сол(252) Аше(197) Мол(208),60606697,Suisse-DLL,1168931,Риг(271) Ава(152) Вер(206) Сол(317) Эде(223),35,,,,О6-130 С6-130,Д6-130 С6-130,ГС3 ПД3 ГН2 ЗС3,ШГ4 ТК5 ЛП5 ЗС4,https://www.hero-wars.com?replay_id=1782802776226962219
30/06 09:06,61991077,3ve,1017934,Люм(221) Ияр(209) Ара(203) Аше(200) Мол(185),60769348,TheFlintstones,1135832,Риг(236) Ава(201) Вер(188) Сол(301) Эде(209),35,,,,О6-130 С6-130,Д6-130 С6-130,ШГ4 ПР5 ЛП6 ЗС6,ГС4 ПД3 ШГ2 ЗС3,https://www.hero-wars.com?replay_id=1782799580901550363
30/06 05:00,62084542,bLanx,1082867,Гип(218) Эде(225) Вер(208) Тид(202) Ава(230),61040723,Dragon,1100953,Риг(250) Ава(174) Вер(187) Сол(295) Эде(195),35,,,,Д6-130 В6-125,С6-100 Д6-92,ГС5 ЭЭ5 ШГ3 ПД4,ЛП3 ЗС5 ГС2 ЭЭ5,https://www.hero-wars.com?replay_id=1782784856278039560
30/06 04:55,62084542,bLanx,1242113,Игн(221) Тен(312) Ара(221) Кер(251) Мол(238),42935521,Terror Rural,1265465,Риг(272) Ава(242) Вер(208) Сол(318) Эде(225),35,,,,О6-130 Т6-130,Д6-130 С6-130,ПВ3 ПР5 ГН3 ТК5,ГС5 ЭЭ5 ЛП5 ТК5,https://www.hero-wars.com?replay_id=1782784525741656563
30/06 03:20,61882204,Лапочка,998644,Люм(124) Тен(232) Аше(202) Вул(199) Риг(242),60693776,.md,1253134,Анг(242) Ава(242) Сол(313) Ияр(227) Сил(230),35,,,,С6-130 О6-130,Д6-130 С6-119,ЛП5 ТК4 ПВ5 ПР5,ГС5 ЭЭ5 ЛП4 ЗС5,https://www.hero-wars.com?replay_id=1782778824864785807
30/06 03:12,61882204,Лапочка,1202262,Игн(219) Ияр(236) Ара(222) Сол(298) Мол(226),42953445,CAB,1057571,Анг(208) Ава(221) Вер(204) Эде(221) Сил(204),35,,,,О6-130 С6-130,Д6-130,ПВ5 ПР5 ЛП5 ТК4,ГС3 ЭЭ5  ,https://www.hero-wars.com?replay_id=1782778323843213136
29/06 22:20,61882168,Тема,1133139,Тен(295) Эде(213) Кер(236) Вер(148) Бру(241),60612845,Skidmark,979893,Ава(216) Вер(147) Сол(233) Эде(192) Ияр(192),35,,,,Т6-130 Д6-130,Д6-130 С6-130,ЛП2 ПР3 ГС4 ЭЭ5,ГС2 ЭЭ4 ЛП2 ЗС2,https://www.hero-wars.com?replay_id=1782760849785579146
29/06 21:33,62072200,Пух,1061071,Гип(195) Маи(224) Тид(207) Нов(224) Сиг(212),42904705,AlexLee,1278758,Бру(272) Мор(255) Вер(208) Эде(225) Тен(318),35,,,,В6-130,Т6-130 Д6-130,ШГ5 ПД4  ,ГН5 ТК5 ГС5 ЭЭ5,https://www.hero-wars.com?replay_id=1782757993195828024
29/06 18:21,62138500,Diablo,1134470,Гип(221) Ияр(228) Тид(196) Риг(267) Сиг(222),60578917,IO_OI,1287876,Бру(272) Мор(272) Вер(204) Эде(221) Тен(318),35,,,,В6-130 С6-130,Т6-130 Д6-130,ШГ3 ТК5 ЛП3 ПД5,ГН5 ПР5 ГС4 ЭЭ3,https://www.hero-wars.com?replay_id=1782746496269358930
29/06 18:03,61882177,Rom,1060441,Гип(215) Маи(203) Тид(200) Нов(215) Сиг(228),60693776,.md,1257107,Бру(271) Мор(254) Вер(190) Эде(225) Тен(317),35,,,,В6-130,Т6-130 Д6-130,ГС4 ПД5  ,ГН5 ТК4 ГС5 ЭЭ5,https://www.hero-wars.com?replay_id=1782745386505668068
