date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
21/03 13:33,62084805,Souffle,1150439,Тен(310) Гип(221) Тид(204) Нов(220) Мор(196),57657299,Piccolo,1102351,Анг(224) Ава(224) Вер(207) Эде(224) Сил(224),,,,,В6-130 Т6-115,Д6-130,ШГ3 ПД5 ГН4 ТК4,ГС5 ЭЭ4  ,https://www.hero-wars.com?replay_id=1774089205256947659
21/03 12:27,62084537,Фартовый,1090218,Эде(210) Сол(247) Вер(200) Ава(200) Риг(232),1066994,Darou,1219465,Риг(267) Ава(219) Вер(202) Сол(312) Эде(219),,,,,Д6-130 С6-130,Д6-130 С6-130,ГС4 ЭЭ5 ЛП4 ЗС5,ГС3 ПД3 ЛП4 ЭЭ3,https://www.hero-wars.com?replay_id=1774085242732746605
21/03 12:02,62084537,Фартовый,1077392,Игн(215) Тен(245) Ара(214) Аше(184) Бру(219),27102000,princess riorio,1208489,Риг(248) Ава(222) Вер(206) Сол(310) Эде(223),,,,,О6-130 Т6-130,Д6-130 С6-130,ТП5 ЗС5 ГС5 ТК5,ГС5 ПД3 ПВ3 ТК3,https://www.hero-wars.com?replay_id=1774083728906674881
21/03 06:57,62084542,bLanx,1229129,Эде(224) Сол(310) Вер(207) Ава(224) Риг(265),57723247,ENT,1001590,Риг(217) Ава(190) Вер(164) Сол(242) Эде(189),,,,,Д6-130 С6-130,С6-113 Д4-114,ГС5 ЭЭ4 ЛП2 ЗС5,ГС1 ЗС2 ЛП4 ЭЭ2,https://www.hero-wars.com?replay_id=1774065448377408849
21/03 06:57,62084542,bLanx,1094378,Игн(216) Ара(216) Аше(199) Вул(232) Мол(232),33855409,Q337,1058028,Риг(236) Анг(205) Вер(131) Сол(281) Эде(205),,,,,О6-130,С6-130 Д6-126,ПВ1 ПР4  ,ЛП1 ЭЭ1 ГН1 ПД1,https://www.hero-wars.com?replay_id=1774065435501459100
20/03 19:45,62084549,Тихая,1073606,Тен(258) Гип(210) Тид(199) Нов(210) Бру(197),1486926,futomomomo,1071824,Сиг(230) Нов(219) Тид(185) Маи(219) Гип(219),,,,,В6-130 Т6-130,В6-130,ЛП2 ПД4 ГН3 ЭЭ1,ШГ4 ПР4  ,https://www.hero-wars.com?replay_id=1774025151683000352
20/03 19:07,61882156,3.14_ZDETS,997079,Тен(203) Гип(208) Тид(185) Нов(206) Мор(195),1362764,kobakoba,1195946,Риг(244) Ава(220) Вер(203) Сол(310) Эде(220),,,,,В6-130 Т6-130,Д6-130 С6-130,ГС2 ТК4 ГН1 ПД2,ГС3 ЭЭ4 ПВ3 ПД3,https://www.hero-wars.com?replay_id=1774022826058467025
20/03 18:29,62072200,Пух,1033548,Игн(158) Ияр(130) Ара(224) Сол(302) Мол(220),57358860,KALACURI,1103970,Риг(197) Анг(189) Вер(183) Сол(310) Эде(225),,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ЗС4 ГС1 ТК2,ГС5 ЭЭ5 ЛП3 ЭЭ3,https://www.hero-wars.com?replay_id=1774020595520601356
20/03 13:13,61958839,Бальдр,1158611,Сил(242) Эде(225) Вер(208) Ава(242) Анг(242),31390908,KPGC10,1107386,Анг(213) Ава(206) Сол(234) Эде(213) Тен(242),,,,,Д6-130,Д6-130,ШГ5 ЭЭ5  ,ШГ3 ПД4  ,https://www.hero-wars.com?replay_id=1774001606470646957
20/03 13:12,61958839,Бальдр,1150642,Игн(241) Ара(225) Аше(208) Вул(235) Мол(242),41115733,Themis,1099334,Анг(240) Ава(223) Вер(206) Эде(224) Сил(207),,,,,О6-130,Д6-130,ТП5 ПД5  ,ГС5 ЭЭ4  ,https://www.hero-wars.com?replay_id=1774001523767657241
