date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
05/08 00:32,61869137,ToriOry,1200858,Тен(312) Ара(221) Умб(234) Аше(208) Мол(226),24417757,Knight,1228386,Риг(269) Вер(196) Сол(314) Эде(225) Сил(225),35,,,,О6-130 Т6-130,Д6-130 С6-130,ПВ5 ПР5 ГН4 ТК3,ГС5 ЭЭ5 ЛП4 ПР4,https://www.hero-wars.com?replay_id=1785879173925701942
04/08 23:29,62138549,YaElf,1135191,Люм(179) Тен(307) Сол(238) Кер(208) Умб(203),60945418,Dark Matter,1160069,Ава(225) Вер(208) Сол(258) Эде(225) Ияр(244),35,,,,Т6-130 С6-127,Д6-130 С6-130,ГН2 ТК3 ЛП1 ЗС2,ГС5 ЭЭ5 ЛП4 ТК4,https://www.hero-wars.com?replay_id=1785875376104519017
04/08 23:16,62138549,YaElf,948310,Эде(186) Маи(193) Вер(181) Тид(204) Ава(185),61053485,SwiperNotSniper,1265465,Риг(272) Ава(242) Вер(208) Сол(318) Эде(225),35,,,,Д6-130 В6-130,Д6-130 С6-130,ГС2 ЭЭ3 ШГ3 ПД5,ГС5 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1785874590125110996
04/08 20:03,61882156,3.14_ZDETS,939813,Тен(203) Ара(216) Умб(171) Аше(151) Мол(199),60943582,Thysse,1255304,Ава(245) Сол(317) Эде(228) Сил(228) Люм(237),35,,,,О6-130 Т6-130,Д6-130 С6-130,ПВ5 ЗС4 ГН1 ПД2,ГС6 ЭЭ6 ТМ5 ТК4,https://www.hero-wars.com?replay_id=1785863021110697362
04/08 17:11,61991077,3ve,1106338,Люм(221) Тен(234) Сол(246) Кер(196) Умб(209),60943542,Kisha,1300175,Риг(276) Ава(245) Вер(228) Сол(323) Эде(228),35,,,,Т6-130 С6-130,Д6-130 С6-130,ГН4 ТК5 ЛП6 ЗС6,ГС6 ЭЭ6 ТМ6 ТК6,https://www.hero-wars.com?replay_id=1785852672740864529
04/08 16:54,61991077,3ve,1008317,Игн(187) Эде(211) Ара(216) Вер(208) Мол(186),60943937,Diablos,1256634,Ава(243) Вер(226) Сол(321) Эде(226) Люм(240),35,,,,О6-130 Д6-130,Д6-130 С6-130,ШГ4 ПР5 ГС5 ЭЭ5,ГС5 ЭЭ6 ТМ6 ТК5,https://www.hero-wars.com?replay_id=1785851681308617859
04/08 10:14,62084542,БлондИ,1111801,Игн(221) Эде(225) Ара(221) Вер(208) Мол(238),60943977,Shadow Knights,1214235,Ава(225) Вер(208) Сол(318) Эде(225) Люм(238),35,,,,О6-130 Д6-130,Д6-130 С6-130,ПВ3 ПР5 ГС5 ЭЭ5,ГС5 ЭЭ5 ЛП5 ТК5,https://www.hero-wars.com?replay_id=1785827642498139702
04/08 09:59,61882204,Лапочка,1178653,Игн(219) Ияр(236) Сол(298) Вул(199) Мол(226),60943577,Mojito Kid,1265371,Ава(242) Сол(318) Эде(225) Сил(242) Люм(238),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ПР5 ЛП5 ТК4,ГС5 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1785826783968336208
04/08 09:35,61882204,Лапочка,972015,Эде(202) Ара(222) Вер(147) Аше(202) Ава(198),56038781,Metra Kura,1297393,Бру(275) Ава(245) Вер(228) Эде(228) Тен(321),35,,,,О6-130 Д6-127,Д6-130 Т6-130,ПВ5 ПР5 ГС3 ЭЭ4,ГС6 ПР6 ЛП6 ТК5,https://www.hero-wars.com?replay_id=1785825333071654631
03/08 22:40,61882267,ZOV,1252560,Эде(222) Сол(318) Вер(201) Ава(239) Риг(272),51359707,Ash,1245116,Сиг(244) Тид(210) Сол(323) Гип(227) Люм(242),35,,,,Д6-130 С6-130,В6-130 С6-130,ГС4 ЭЭ4 ЛП5 ЗС5,ШГ6 ПД5 ТМ6 ТК6,https://www.hero-wars.com?replay_id=1785786055238207276
03/08 21:39,61882142,B.i.G,1034222,Гип(199) Сол(252) Тид(190) Риг(210) Сиг(182),60943650,Buzztron,1201494,Сиг(224) Тид(206) Сол(318) Гип(218) Люм(236),35,,,,В6-130 С6-130,В6-130 С6-130,ЛП3 ПД3 ГН2 ЗС3,ГС4 ПД5 ТМ5 ПР5,https://www.hero-wars.com?replay_id=1785782347625082831
03/08 21:07,62157195,rednaZ,1135967,Игн(236) Ара(225) Аше(208) Вул(231) Мол(236),15517103,BloodySheep,1225381,Риг(255) Вер(202) Сол(318) Эде(225) Сил(225),35,,,,О6-130,Д6-130 С6-130,ТП5 ПР5  ,ГС5 ЭЭ5 ТМ5 ПР5,https://www.hero-wars.com?replay_id=1785780449556698254
03/08 21:06,62157195,rednaZ,1224685,Гип(227) Сол(323) Тид(204) Нов(238) Сиг(232),16446132,Fabzell,1259233,Риг(272) Вер(206) Сол(318) Эде(223) Сил(240),35,,,,В6-130,Д6-130 С6-130,ГС6 ПД5  ,ГС4 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1785780417250722158
03/08 20:33,62092872,MEDVED,1092063,Люм(217) Игн(204) Ара(215) Сол(241) Мол(215),60603036,SiuFat,1330944,Бру(276) Мор(276) Вер(228) Эде(228) Тен(323),35,,,,О6-130 С6-130,Т6-130 Д6-130,ПВ6 ПР5 ЛП5 ЗС5,ПВ6 ТК6 ПГ6 ПР6,https://www.hero-wars.com?replay_id=1785778397492371903
03/08 20:03,62155801,Dobraia Feя,1205156,Тен(305) Ара(188) Умб(206) Мор(244) Бру(261),17670604,Hoa,1193835,Риг(274) Ава(227) Вер(210) Эде(227) Ияр(256),35,,,,Т6-114,Д6-130 С6-130,ГН3 ЭЭ3  ,ГС6 ЭЭ5 ТМ5 ТК6,https://www.hero-wars.com?replay_id=1785776639001916502
03/08 19:10,61882168,Тема,1078580,Тен(295) Эде(213) Вер(148) Анг(181) Бру(241),60943977,Shadow Knights,1309091,Бру(255) Мор(255) Кер(255) Ара(225) Тен(318),35,,,,Д6-130 Т6-130,Т6-130,ГС4 ЭЭ5 ЛП2 ПР3,ЛП5 ПР5  ,https://www.hero-wars.com?replay_id=1785773411634507895
