date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
11/08 23:45,61869137,ToriOry,1233166,Игн(218) Ияр(253) Ара(221) Сол(315) Мол(226),54711783,Flash,1242173,Ава(240) Вер(206) Сол(318) Эде(223) Ияр(255),,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ПР5 ЛП5 ЗС3,ГС4 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1786481137005801597
11/08 23:03,61882156,3.14_ZDETS,1104954,Гип(212) Сол(265) Тид(188) Нов(223) Риг(216),57790533,Allimadabe,1142667,Анг(239) Ава(239) Вер(205) Эде(222) Сил(239),,,,,В6-130 С6-130,Д6-130,ГС4 ТК4 ГН3 ПР4,ГС4 ЭЭ4  ,https://www.hero-wars.com?replay_id=1786478605255668021
11/08 19:17,62145280,Nata,1266285,Тен(305) Умб(209) Амо(253) Мор(229) Риг(270),37347116,RICK,1265449,Ава(242) Вер(208) Сол(318) Эде(225) Ияр(272),,,,,Т6-130 С6-130,Д6-130 С6-130,ГН2 ТК2 ЛП5 ЗС3,ГС5 ЭЭ5 ВС5 ЗС5,https://www.hero-wars.com?replay_id=1786465063409478033
11/08 19:04,62145280,Nata,1139045,Игн(180) Ияр(253) Ара(196) Сол(315) Мол(195),46579191,Pup,1257206,Ава(244) Вер(227) Умб(239) Эде(227) Тен(320),,,,,О6-130 С6-130,Д6-130 Т6-130,ПВ1 ПР1 ЛП5 ЗС3,ГС6 ЭЭ5 ГН5 ТК6,https://www.hero-wars.com?replay_id=1786464262488160842
11/08 12:29,61882250,Kamul27rus,1034414,Эде(217) Ара(201) Вер(189) Аше(195) Ава(233),57356224,Stranger,1273933,Риг(270) Ава(241) Вер(224) Сол(315) Эде(224),35,,,,Д6-130 О6-124,Д6-130 С6-130,ГС3 ЭЭ1 ПВ1 ПР1,ГС5 ЭЭ4 ЛП5 ЗС3,https://www.hero-wars.com?replay_id=1786440542816781043
11/08 11:32,62160428,Joker,1196994,Люм(203) Эде(228) Сол(309) Вер(211) Анг(245),57224776,Big Horn,1312877,Бру(272) Мор(272) Вер(225) Эде(225) Тен(318),35,,,,Д6-130 С6-81,Т6-130 Д6-130,ГС6 ЭЭ6 ЛП6 ЗС5,ГН5 ТК5 ГС5 ЭЭ5,https://www.hero-wars.com?replay_id=1786437134024211595
11/08 06:56,61882154,Виларт,1153142,Игн(201) Тен(309) Вул(197) Мор(231) Мол(215),57430078,Down Home,1257592,Анг(242) Вер(225) Сол(314) Эде(225) Ияр(252),35,,,,О6-130 Т6-130,Д6-130 С6-130,ПВ4 ПР5 ГН3 ЗС4,ГС5 ЭЭ5 ЛП4 ЗС4,https://www.hero-wars.com?replay_id=1786420568622071940
11/08 06:29,61882154,Виларт,1080616,Гип(225) Ара(219) Маи(215) Аше(202) Нов(219),12185147,Magmaheart,1311545,Риг(275) Анг(244) Ава(244) Сол(321) Эде(227),35,,,,В6-130 О6-130,Д6-130 С6-130,ШГ5 ТК5 ПВ4 ПР5,ГС6 ЭЭ5 ГП6 ЗС5,https://www.hero-wars.com?replay_id=1786418948453979195
11/08 05:01,62092872,MEDVED,1089730,Тен(302) Гип(201) Умб(181) Тид(175) Мор(231),22117377,Kronos,1392577,Бру(276) Мор(276) Умб(242) Кер(276) Тен(323),35,,,,Т6-130 В6-130,Т6-130,ГН5 ТК5 ШГ5 ПД5,ГН6 ЗС6  ,https://www.hero-wars.com?replay_id=1786413708764186681
11/08 04:57,62092872,MEDVED,1083288,Люм(217) Ияр(219) Сол(241) Вер(200) Ава(205),57803346,Northman,1273068,Бру(276) Тид(208) Умб(242) Гип(225) Тен(323),35,,,,С6-130 Д6-130,Т6-130 В6-130,ЛП5 ЗС5 ГС5 ЭЭ5,ПГ6 ЗС6 ШГ5 ПД5,https://www.hero-wars.com?replay_id=1786413446998738310
