date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
04/03 04:59,45106490,Robear,1097204,Гип(223) Ара(223) Тид(206) Аше(206) Нов(240),61779173,ITI,1248363,Ава(242) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,В6-130 О6-130,Д6-130 С6-130,ШГ4 ПД5 ПВ4 ПР5,ГС5 ЭЭ5 ЛП5 ТК5,https://www.hero-wars.com?replay_id=1772589547008928128
04/03 01:28,10305832,Laude,1225568,Тен(317) Гип(224) Кер(254) Тид(207) Сиг(224),37088539,Mijinn 2,1231304,Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,В6-130 Т6-130,Д6-130 С6-130,ШГ5 ТК4 ТП5 ПД4,ГС5 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1772576929200529393
03/03 23:11,47931234,F B I,1336362,Игн(224) Тен(314) Сол(317) Вул(241) Мол(241),61462687,Optibaby,1231331,Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,О6-130,Д6-130 С6-130,ПВ5 ПР4  ,ГС5 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1772568679578968677
03/03 15:02,47926239,Pet4Dragons,1217495,Ияр(252) Ара(223) Сол(314) Аше(189) Мол(240),30653485,Star,1231331,Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ4 ПР5 ЛП4 ЗС4,ГС5 ЭЭ5 ЛП5 ТК5,https://www.hero-wars.com?replay_id=1772539333491219253
03/03 11:34,47931234,F B I,1096094,Гип(222) Ара(224) Тид(205) Аше(207) Нов(239),61459310,Tech Force,1248363,Ава(242) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,В6-130 О6-130,Д6-130 С6-130,ШГ4 ПД4 ПВ5 ПР4,ГС5 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1772526886238718830
03/03 10:23,45106340,!ts Sam,1232016,Игн(225) Ияр(248) Ара(225) Сол(309) Мол(225),61468287,Asura,1248363,Ава(242) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,О6-130 С6-129,Д6-130 С6-130,ШГ5 ЗС5 ГС3 ТК3,ГС5 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1772522596600438749
03/03 09:36,10305832,Laude,1122506,Игн(225) Эде(224) Ара(225) Вер(207) Мол(242),37088269,PICKI_PADAWAN,1248363,Ава(242) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,О6-130 Д6-130,Д6-130 С6-130,ПВ5 ЭЭ5 ШГ5 ТК4,ГС5 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1772519782905142247
03/03 01:56,10245888,Team Vince,1320072,Тен(317) Эде(224) Сол(318) Кер(254) Вер(207),37088260,Sky,1231331,Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255),35,,,,Д6-130 Т6-130,Д6-130 С6-130,ЛП5 ПД4 ШГ5 ЭЭ4,ГС5 ЭЭ5 ЛП5 ПР5,https://www.hero-wars.com?replay_id=1772492183155363310
02/03 17:18,30847889,Ventress,1248433,Эде(225) Сол(318) Вер(208) Ава(225) Риг(272),10147430,DonHarry,1318479,Бру(262) Риг(260) Мор(246) Ияр(244) Тен(307),35,,,,Д6-130 С6-130,Т6-130 С6-130,ГС5 ЭЭ5 ЛП5 ПР5,ГН3 ЗС1 ЛП2 ЗС1,https://www.hero-wars.com?replay_id=1772461115606035533
02/03 17:18,61459203,Son Goku,1229767,Эде(225) Сол(317) Вер(208) Ава(209) Риг(271),57530222,prchlik,1081195,Бру(217) Мор(211) Кер(207) Ара(191) Тен(254),35,,,,Д6-130 С6-130,Т6-130,ГС5 ЭЭ5 ЛП5 ЗС4,ШГ3 ТК3  ,https://www.hero-wars.com?replay_id=1772461106454997482
