date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
03/06 06:27,62084540,SVAROG,1096326,Тен(229) Гип(217) Кер(241) Тид(194) Нов(217),57375887,Joey,1164390,Ава(218) Вер(165) Сол(312) Эде(222) Ияр(247),,,,,В6-130 Т6-130,Д6-130 С6-130,ШГ5 ПД5 ГН5 ЗС5,ГС5 ЭЭ5 ЛП4 ЗС3,https://www.hero-wars.com?replay_id=1780457257506127001
03/06 06:22,62084540,SVAROG,1158899,Эде(225) Сол(229) Вер(208) Ава(225) Риг(272),32629061,Lance2,1197062,Ава(221) Вер(204) Сол(315) Эде(221) Люм(236),,,,,Д6-130 С6-130,Д6-130 С6-130,ГС5 ЭЭ5 ЛП5 ТК5,ГС3 ЭЭ5 ЛП5 ТК3,https://www.hero-wars.com?replay_id=1780456937194149575
02/06 23:10,62145280,Nata,1234524,Эде(223) Сол(315) Вер(206) Ава(220) Риг(270),57745169,Jaywu,1132492,Ава(165) Вер(204) Сол(318) Эде(207) Люм(238),,,,,Д6-130 С6-130,С6-130 Д6-121,ГС5 ЭЭ3 ЛП5 ЗС3,ЛП5 ЗС5 ГС5 ЭЭ3,https://www.hero-wars.com?replay_id=1780431048125511211
02/06 20:36,62072200,Пух,1137977,Тен(301) Гип(195) Тид(207) Нов(224) Сиг(212),32628548,Goliath,1199958,Ава(235) Вер(202) Сол(311) Эде(219) Люм(233),,,,,В6-130,Д6-130 С6-130,ШГ5 ПД4  ,ГС3 ЭЭ3 ЛП3 ЗС4,https://www.hero-wars.com?replay_id=1780421794895898375
02/06 20:32,62072200,Пух,1153104,Игн(213) Ияр(190) Ара(224) Сол(302) Мол(224),23115351,saviour-X,1198452,Ава(224) Вер(207) Сол(311) Эде(224) Люм(233),,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ЗС4 ГС1 ТК2,ГС5 ЭЭ4 ЛП3 ЗС4,https://www.hero-wars.com?replay_id=1780421536776079111
02/06 15:39,62084805,Souffle,1068474,Люм(120) Гип(221) Сол(294) Тид(204) Сиг(230),57746963,Agui  GMT+8,1187171,Ава(235) Вер(201) Сол(313) Эде(218) Люм(219),,,,,В6-130 С6-100,С6-122 Д6-120,ШГ3 ПД5 ЛП1 ЗС3,ГС5 ТК3 ГС4 ЭЭ3,https://www.hero-wars.com?replay_id=1780403947045463762
02/06 15:35,62138549,YaElf,1017499,Эде(184) Вер(181) Ава(159) Мор(246) Бру(248),32628517,Waha2376,1186439,Ава(227) Вер(204) Сол(311) Эде(225) Люм(220),,,,,Д6-130 Т6-130,Д6-130 С6-130,ГС2 ЭЭ3 ГН2 ТК3,ГС5 ПД5 ЛП3 ЗС4,https://www.hero-wars.com?replay_id=1780403716081506965
02/06 03:32,62084542,bLanx,1186506,Люм(177) Тен(312) Аше(204) Амо(255) Вул(237),57375690,Team 268541329,1179593,Ава(218) Вер(204) Сол(312) Эде(212) Люм(234),,,,,О6-130 С6-130,Д6-130 С6-130,ПВ3 ПР5 ЛП5 ЗС5,ГС3 ЭЭ5 ЛП4 ЗС3,https://www.hero-wars.com?replay_id=1780360324490224263
02/06 03:19,61882204,Лапочка,1150796,Тен(216) Ияр(236) Сол(298) Аше(202) Вул(199),57653930,姜伯約,1101317,Риг(215) Вер(182) Сол(298) Эде(207) Сил(199),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ5 ПР5 ЛП5 ТК4,ГС5 ЭЭ4 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1780359554038865106
02/06 00:15,61882267,ZOV,1278916,Игн(239) Ияр(267) Ара(222) Сол(312) Мол(239),57772454,IAN,1205036,Ава(216) Вер(208) Сол(318) Эде(225) Люм(238),35,,,,О6-130 С6-130,Д6-130 С6-130,ПВ4 ПР4 ЛП3 ЗС5,ГС5 ЭЭ5 ЛП5 ЗС5,https://www.hero-wars.com?replay_id=1780348548711122995
