date time,attacker id,att name,att power,att team,defender id,def name,def power,team,points,attacker pets,defender pets,comment,A flag/totem,D flag/totem,A flag desc/Totem skills,D flag desc/Totem skills,replay
27/03 21:28,5975669,Igor_ski,1253194,Игн(222) Тен(317) Ара(222) Мор(254) Мол(239),61991077,3ve,1010808,Сиг(214) Нов(198) Тид(204) Маи(197) Гип(198),,,###,###,,О6-130 Т6-130,В6-130,ПВ4 ЗС4 ГН5 ПР4,ШГ3 ПД5 
27/03 21:27,5975669,Igor_ski,1208110,Эде(223) Сол(301) Вер(206) Ава(223) Риг(256),62044999,Пунь Пунь,1135810,Сиг(208) Нов(215) Сол(249) Гип(215) Тен(249),,,###,###,,Д6-129 С6-88,В6-129,ГС4 ПД5 ЛП3 ТК4,ШГ2 ПР4 
27/03 19:23,50666592,Дима,1248401,Ияр(255) Эде(225) Сол(318) Вер(208) Анг(242),62084540,SVAROG,1073373,Сиг(216) Мор(223) Тид(193) Гип(216) Тен(227),,,###,###,,Д6-130 С6-130,В6-130 Т6-130,ГС5 ПД5 ЛП5 ТК5,ШГ5 ПД4 ГН4 ЗС5
27/03 19:20,50666592,Дима,1142646,Гип(222) Маи(239) Тид(205) Нов(239) Сиг(239),61958839,Бальдр,1151486,Мол(242) Вул(235) Аше(208) Ара(225) Игн(242),,,###,###,,В6-130,О6-130,ШГ4 ЭЭ4 ,ТП5 ПД5 
27/03 17:30,62082360,Ruzanna,1204286,Тен(305) Амо(214) Мор(230) Риг(224) Бру(230),62084805,Souffle,1088758,Сиг(230) Нов(220) Тид(204) Маи(214) Гип(221),,,###,###,,Т6-130 С6-130,В6-130,ГН4 ЭЭ3 ЛП2 ПР2,ШГ3 ПД5 
27/03 17:23,26046837,Алексей75,1124471,Гип(225) Маи(225) Тид(208) Нов(242) Сиг(225),61882204,Лапочка,1065345,Амо(197) Аше(200) Ара(222) Ияр(234) Тен(213),,,###,###,,В6-130,С6-130 О6-130,ШГ5 ПД5 ,ЛП4 ТК4 ПВ5 ПР5
27/03 17:21,26046837,Алексей75,1028523,Сил(206) Эде(209) Вер(205) Ава(203) Анг(205),62082395,Винни,1387217,Бру(265) Риг(260) Мор(248) Сол(305) Тен(310),,,###,###,,Д6-130,Т6-130 С6-110,ГС4 ЭЭ4 ,ЛП3 ПР3 ПВ3 ЗС3
27/03 15:53,5631623,Unikum,1086373,Эде(198) Ара(218) Сол(256) Аше(186) Риг(228),61882246,Nergal,1380472,Риг(267) Мор(245) Сол(312) Ияр(251) Тен(305),,,###,###,,О6-130 С6-116,С6-130 Т6-130,ГС5 ТК4 ЛП5 ТК4,ЛП4 ЗС3 ГН1 ЭЭ4
27/03 13:07,61958839,Бальдр,1158611,Сил(242) Эде(225) Вер(208) Ава(242) Анг(242),61877365,MEDVED CCCP,1262755,Риг(271) Ава(242) Вер(208) Сол(317) Эде(225),35,###,###,,Д6-130,Д6-130 С6-130,ШГ5 ЭЭ5 ,ГС5 ЭЭ5 ЛП5 ЗС4,https://www.hero-wars.com?replay_id=1774606078125743939
27/03 12:07,61420133,ГОРЫНЫЧ,1066248,Гип(219) Ара(222) Тид(202) Аше(205) Нов(219),61991077,3ve,965973,Риг(162) Вер(205) Сол(232) Эде(202) Сил(165),,,###,###,,В6-130 О6-130,Д6-130 С6-130,ШГ3 ПД3 ПВ4 ПР4,ГС4 ЭЭ4 ЛП3 ЗС5
