date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
17/06 22:55	62084540	SVAROG	1144458	Акс(182) Ада(190) Фла(192) Йор(192) Гус(177) Юли(212)	59847740	C !	1173296	Эле(198) Ами(202) Фла(192) Пол(197) Тея(202) Хор(182)		Каи(11064) Бис(11064) Оли(11064) Фен(11064) Акс(11064)	Мер(11064) Акс(11064) Хор(11064) Бис(11064) Мар(11064)		Э	А	"готовности (Энергия)
6/12 физической атаки
2/12 пробивания брони
3/12 мастерства атаки   "	"авангарда
11/12 здоровья
10/12 магической атаки
10/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1781726115659170006	
17/06 21:23	62044906	ГошаПукаетВкозу	1148416	Акс(182) ЛаК(209) Йор(181) Неб(201) Айз(185) Аст(191)	37262870	Chris	1188849	Чаб(213) Йор(187) Фла(192) Фоб(208) Фаф(208) Хор(182)		Век(6894) Акс(11064) Каи(10154) Оли(11064) Бис(6484)	Оли(11064) Акс(11064) Бис(11064) Мер(11064) Мар(11064)		П	Б	"силы питомцев
9/12 брони
8/12 физической атаки
   "	"бастиона
6/12 брони
6/12 здоровья
6/12 ограждения   "	https://www.hero-wars.com?replay_id=1781720624062207930	
17/06 20:41	62084805	Souffle	970316	Акс(182) Дор(121) Ори(198) Фла(169) Кас(168) Кри(133)	53248100	desheng	1156460	Эле(198) Кас(197) Фла(192) Ада(190) Эйд(198) Хор(182)		Акс(11064) Мар(6894) Бис(6894) Мер(9428) Хор(11064)	Акс(11064) Мер(11064) Бис(11064) Каи(11064) Хор(11064)		А	А	"авангарда
6/12 магической атаки
6/12 магического мастерства
11/12 здоровья   "	"авангарда
10/12 магического мастерства
10/12 магической атаки
11/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1781718073402768123	
17/06 20:17	62072200	Пух	1172453	Акс(173) ЛаК(218) Себ(203) Три(203) Лир(187) Гал(188)	59847740	C !	1148732	Юли(209) Лир(193) Гус(172) Себ(203) Ада(190) Акс(182)		Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)	Оли(11064) Фен(11064)  ###  Аль(11064) Каи(11064)		Б	Б	"стремительных бойцов
9/12 физической атаки
9/12 пробивания брони
10/12 магической защиты   "	"стремительных бойцов
11/12 физической атаки
10/12 пробивания брони
10/12 брони   "	https://www.hero-wars.com?replay_id=1781716646502125901	
17/06 20:16	61882212	Оди	1078124	Хор(173) Дор(176) Авг(194) Ори(203) Йор(144) Эле(188)	59836082	TroubleMaker	1161989	Эле(193) Ами(202) Йор(202) Фла(186) Пол(197) Хор(182)		Акс(11064) Аль(11064) Мар(11064) Оли(11064) Мер(11064)	Мер(11064) Акс(11064) Оли(11064) Бис(11064) Хор(11064)		С	А	"стужи
12/12 магической атаки
12/12 пробивания защиты от магии
11/12 магического мастерства   "	"авангарда
9/12 магической атаки
10/12 магического мастерства
7/12 здоровья   "	https://www.hero-wars.com?replay_id=1781716605471155259	
17/06 20:14	62072200	Пух	1156909	Хор(182) Авг(193) Ори(202) Неб(188) Сел(194) Авр(198)	59847740	C !	1148732	Юли(209) Лир(193) Гус(172) Себ(203) Ада(190) Акс(182)		Мер(11064) Мар(11064)  ###  Бис(11064) Каи(11064)	Оли(11064) Фен(11064)  ###  Аль(11064) Каи(11064)		Т	Б	"воодушевления (Танки)
6/12 брони
9/12 магической защиты
8/12 магической атаки   "	"стремительных бойцов
11/12 физической атаки
10/12 пробивания брони
10/12 брони   "	https://www.hero-wars.com?replay_id=1781716469551330330	
17/06 20:12	61882212	Оди	1143540	Хор(173) ЛаК(214) Фла(177) Себ(200) Неб(200) Айз(180)	59847756	tzhgy	1178947	Эле(198) Йор(202) Фла(192) Фоб(208) Пол(197) Хор(182)		Век(11064) Бис(10350) Аль(11064) Каи(9018) Оли(11064)	Акс(11064) Оли(11064) Хор(11064) Мер(11064) Мар(11064)		-Л	А	"упадка (минус Лечение)
11/12 меткости
10/12 физической атаки
11/12 пробивания брони   "	"авангарда
12/12 магической атаки
10/12 здоровья
11/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1781716333774973173	
17/06 19:25	62072200	Пух	959727	Акс(173) Ада(187) Йор(80) Бир(163) Мор(179) Крв(178)	60681477	Forrest Jump	1175658	Эле(198) Руф(190) Юли(201) Аст(202) Тея(202) Оли(182)		Каи(11064) Акс(9428) Мер(11064) Оли(11064) Аль(11064)	Оли(11064)  ###   ###  Бис(11064) Мар(11064)		Б	Т	"стремительных бойцов
9/12 физической атаки
9/12 пробивания брони
10/12 магической защиты   "	"воодушевления (Танки)
10/12 магической атаки
11/12 физической атаки
10/12 брони   "	https://www.hero-wars.com?replay_id=1781713523839565287	
17/06 17:53	61882177	Rom	1035506	Хор(173) Авг(173) Ори(188) Фла(136) Кас(186) Эле(180)	21350886	Lavan	1205043	Лир(192) Себ(203) ЛаК(227) Тея(202) Фаф(198) Акс(182)		Аль(9428) Хор(9428) Бис(6894) Акс(7804) Оли(11064)	Оли(11064) Аль(11064) Век(11064) Мер(11064) Мар(11064)		Т	Б	"воодушевления (Танки)
11/12 магической атаки
8/12 меткости
9/12 брони   "	"стремительных бойцов
10/12 пробивания брони
11/12 физической атаки
10/12 брони   "	https://www.hero-wars.com?replay_id=1781707997746361768	
17/06 17:46	61882177	Rom	1093287	Акс(128) Эйд(177) ЛаК(218) Себ(193) Неб(200) Лир(177)	59836082	TroubleMaker	1164189	Юли(201) Лир(193) Ара(213) Себ(203) Ада(172) Акс(182)		Хор(9428) Век(8518) Аль(9428) Каи(11064) Фен(6894)	 ###  Фен(11064) Мар(11064) Аль(11064) Каи(11064)		Б	Б	"стремительных бойцов
6/12 брони
8/12 физической атаки
8/12 пробивания брони   "	"стремительных бойцов
10/12 физической атаки
11/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1781707612674363813	
