date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
29/04 22:38	62044906	ГошаПукаетВкозу	1003470	Бис(100) Фла(139) Йор(172) Хай(205) Ами(188) Ара(199)	24372487	Heros Team	1146913	Юли(212) Гус(181) Ами(199) Фла(175) Тея(198) Хор(182)	35	Бис(5810) Акс(11064) Аль(11064) Оли(9018) Мар(6484)	Оли(11064) Хор(11064) Акс(11064) Мер(9428) Мар(11064)		Т	'+Л	"воодушевления (Танки)
6/12 магической защиты
6/12 пробивания защиты от магии
10/12 магической атаки   "	"восстановления (плюс Лечение)
6/12 брони
6/12 магической защиты
9/12 защиты от критических ударов   "	https://www.hero-wars.com?replay_id=1777491529993735343	
29/04 22:36	62072200	Пух	1093593	Бис(164) Авг(186) Ори(200) Фла(182) Кас(185) Эле(176)	24358847	Raven	1087623	Юли(172) Ами(201) Фла(133) Эйд(198) Тея(202) Хор(182)	35	Аль(11064) Мар(11064) Мер(9018) Бис(11064) Оли(11064)	Акс(11064) Бис(11064) Мер(11064) Хор(11064) Мар(11064)		Т	С	"воодушевления (Танки)
6/12 брони
9/12 магической защиты
8/12 магической атаки   "	"стужи
7/12 магической атаки
8/12 меткости
7/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1777491365919653871	
29/04 21:12	62084537	Фартовый	1106102	Хор(182) Дор(175) Фла(180) Йор(180) Ами(193) Аст(195)	24525858	petrx123	1176003	Юли(213) Ами(202) Йор(189) Фла(186) Тея(202) Хор(182)		Мер(11064) Бис(8518)  ###  Оли(11064) Акс(11064)	Оли(11064) Акс(11064)  ###  Мер(11064) Мар(11064)		-Л	С	"упадка (минус Лечение)
7/12 магической атаки
6/12 магического мастерства
6/12 пробивания защиты от магии   "	"стужи
6/12 магической атаки
6/12 физической атаки
9/12 брони   "	https://www.hero-wars.com?replay_id=1777486379451622793	
29/04 20:43	61882212	Оди	1005909	Хор(173) Дор(146) Эйд(190) Авг(186) Ори(203) Сел(108)	57177112	JAR_JAR	1075699	Эле(162) Ами(201) Фла(182) Эйд(196) Пол(152) Хор(182)		 ###  Мер(11064) Аль(11064) Мар(11064) Акс(11064)	Оли(11064) Акс(11064) Мер(11064) Хор(11064) Мар(11064)		С	П	"стужи
12/12 магической атаки
12/12 пробивания защиты от магии
6/12 магического мастерства   "	"силы питомцев
7/12 брони
11/12 магической атаки
6/12 магической защиты   "	https://www.hero-wars.com?replay_id=1777484590887241718	
29/04 20:24	62044999	Пунь Пунь	875342	Хор(156) Дор(73) Авг(158) Ори(196) Йор(98) Сел(195)	57118731	Albert	1125450	Аст(192) Ами(201) Фла(167) Эйд(194) Пол(191) Хор(182)		Мер(4872) Аль(11064) Хор(9456) Оли(10282) Акс(6484)	Оли(11064) Акс(11064) Мер(11064) Хор(11064) Бис(11064)		Т	С	"воодушевления (Танки)
11/12 брони
10/12 магической атаки
10/12 магической защиты   "	"стужи
6/12 магической атаки
6/12 магической защиты
6/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1777483466578293295	
29/04 20:17	62044906	ГошаПукаетВкозу	1172871	Хор(182) Авг(190) ЛаК(208) Ори(204) Неб(185) Дан(204)	57224060	Wojtek	1180167	Юли(213) Ами(201) Фла(190) Эйд(194) Тея(199) Хор(182)	35	Аль(11064) Фен(8108) Хор(11064)  ###  Каи(10154)	Оли(11064) Акс(11064) Мер(11064) Хор(11064) Мар(11064)		Т	А	"воодушевления (Танки)
6/12 магической защиты
6/12 пробивания защиты от магии
10/12 магической атаки   "	"авангарда
6/12 брони
6/12 магической атаки
6/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1777483056124561894	
29/04 19:06	61882137	G_G	1028198	Хор(175) Эйд(182) Авг(185) Йор(86) Хай(201) Ами(199)	24149321	DRAMAL	1027833	Юли(124) Гус(166) Ами(201) Бир(170) Фла(185) Хор(182)	35	Аль(11064) Мер(7396) Акс(9804) Бис(6486) Оли(9428)	Оли(11064) Хор(11064) Акс(11064) Бис(10154) Мер(11064)		П	'+Л	"силы питомцев
11/12 физической атаки
7/12 магической защиты
10/12 магической атаки   "	"восстановления (плюс Лечение)
5/12 магической защиты
6/12 брони
5/12 защиты от критических ударов   "	https://www.hero-wars.com?replay_id=1777478810949304497	
29/04 18:06	61882212	Оди	978797	Хор(173) Тея(195) Фла(167) Йор(88) Ами(198) Эле(159)	24525858	petrx123	1176003	Юли(213) Ами(202) Йор(189) Фла(186) Тея(202) Хор(182)		Мар(11064) Бис(7859) Оли(11064) Акс(11064) Мер(11064)	Оли(11064) Акс(11064)  ###  Мер(11064) Мар(11064)		С	С	"стужи
12/12 магической атаки
12/12 пробивания защиты от магии
6/12 магического мастерства   "	"стужи
6/12 магической атаки
6/12 физической атаки
9/12 брони   "	https://www.hero-wars.com?replay_id=1777475200444785674	
29/04 16:01	62082395	Винни	944545	Акс(182) Себ(195) Неб(186) Айз(160) Лир(186) Чаб(36)	24152877	Hunto	1191717	Чаб(213) Ара(213) Суд(190) Йор(202) Фла(192) Хор(182)		Аль(8518) Каи(6894) Оли(8518) Фен(9428) Бис(5417)	Оли(11064) Мар(11064)  ###  Акс(11064) Мер(11064)		Т	Т	"воодушевления (Танки)
9/12 физической атаки
6/12 пробивания брони
5/12 магической защиты   "	"воодушевления (Танки)
8/12 пробивания защиты от магии
6/12 магического мастерства
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1777467678436000106	
29/04 15:34	61882317	viktori	966996	Хор(155) Авг(189) Ори(192) Фла(176) Йор(57) Дан(197)	57241203	Conqueror-PL	991780	Эле(190) Ами(153) Йор(158) Фла(186) Тея(123) Хор(182)	35	Аль(6950) Мер(7804) Бис(6894) Оли(6894) Каи(7870)	Оли(9428) Акс(11064)  ###  Мер(10154) Мар(5796)		Э	Э	"готовности (Энергия)
11/12 магической атаки
9/12 физической атаки
11/12 пробивания брони   "	"готовности (Энергия)
10/12 магической атаки
6/12 магической защиты
10/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1777466088072120833	
29/04 13:07	61958839	Бальдр	966908	Хор(172) Лар(141) Ори(194) Кас(169) Гус(146) Авр(144)	57131415	Totem	1017540	Лир(170) Неб(180) Себ(163) Фла(153) ЛаК(170) Акс(182)		Бис(6622) Хор(10154) Акс(11064) Фен(7804) Оли(11064)	 ###  Каи(7804)  ###   ###   ### 		С	Б	"стужи
9/12 пробивания брони
8/12 физической атаки
10/12 магической атаки   "	"стремительных бойцов
5/12 магической защиты
5/12 меткости
5/12 брони   "	https://www.hero-wars.com?replay_id=1777457237358866267	
29/04 12:58	61882154	Виларт	1006791	Хор(172) Фаф(129) Эйд(155) ЛаК(200) Фла(150) Исм(200)	57222171	Hoenir44	1088122	Лир(158) Себ(200) Фла(137) ЛаК(224) Тея(187) Акс(182)	35	Мар(4773) Хор(10154) Век(9498) Акс(11064) Оли(6066)	Оли(11064) Аль(11064) Бис(11064) Век(11064) Мар(9428)		Б	П	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	"силы питомцев
6/12 магической защиты
6/12 брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1777456717798970302	
29/04 12:45	61882154	Виларт	970182	Акс(182) Себ(186) Неб(189) Айз(153) Лир(182) Эле(79)	57015416	Druid PL	1198688	Чаб(213) Суд(202) Йор(202) Фла(192) Фоб(208) Хор(182)		Аль(7868) Каи(4773) Оли(6066) Фен(5041) Акс(11064)	Оли(11064) Мар(11064) Акс(11064) Мер(11064) Хор(11064)		Э	А	"готовности (Энергия)
6/12 магической атаки
6/12 физической атаки
6/12 магической защиты   "	"авангарда
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 здоровья   "	https://www.hero-wars.com?replay_id=1777455903670473349	
29/04 11:48	61882177	Rom	1054114	Акс(128) Гел(144) ЛаК(212) Себ(192) Неб(200) Лир(178)	57131415	Totem	1017540	Лир(170) Неб(180) Себ(163) Фла(153) ЛаК(170) Акс(182)		Хор(9428) Век(6894) Аль(9428) Каи(11064) Оли(10154)	 ###  Каи(7804)  ###   ###   ### 		Б	Б	"стремительных бойцов
6/12 брони
8/12 физической атаки
8/12 пробивания брони   "	"стремительных бойцов
5/12 магической защиты
5/12 меткости
5/12 брони   "	https://www.hero-wars.com?replay_id=1777452526944042942	
29/04 11:46	61882177	Rom	1036241	Хор(173) Авг(167) Ори(187) Фла(133) Кас(178) Кри(198)	57131415	Totem	1017540	Лир(170) Неб(180) Себ(163) Фла(153) ЛаК(170) Акс(182)		Аль(9428) Хор(9428) Бис(6894) Акс(7804) Мер(7804)	 ###  Каи(7804)  ###   ###   ### 		Т	Б	"воодушевления (Танки)
11/12 магической атаки
8/12 меткости
9/12 брони   "	"стремительных бойцов
5/12 магической защиты
5/12 меткости
5/12 брони   "	https://www.hero-wars.com?replay_id=1777452385755906678	
