date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
14/05 21:16	61882267	ZOV	1039739	Эде(219) Вер(176) Аше(193) Ава(235) Вул(216)	57208200	zetorg	1236881	Бру(270) Ава(223) Вер(206) Эде(223) Тен(315)	35				Д6-130 О6-130	Д6-130 Т6-130	"ГС4 ЭЭ1 ПВ4 ПР4"	"ГС5 ЭЭ3 ГН5 ТК3"	https://www.hero-wars.com?replay_id=1778782606968701768	
14/05 21:11	61882212	Оди	1142402	Тен(295) Гип(212) Кер(232) Тид(191) Нов(212)	57241203	Conqueror-PL	1241439	Риг(262) Ава(241) Вер(207) Сол(307) Эде(224)					В6-130 Т6-130	Д6-130 С6-110	"ШГ5 ПД5 ГН5 ТК4"	"ГС5 ЭЭ4 ЛП4 ЗС3"	https://www.hero-wars.com?replay_id=1778782297770589013	
14/05 21:07	61882212	Оди	883780	Люм(158) Игн(135) Сол(296) Аше(151) Мол(143)	24372487	Heros Team	1260256	Бру(268) Мор(249) Вер(204) Эде(221) Тен(318)	35				О6-130 С6-130	Т6-130 Д6-130	"ПВ4 ПР4 ЛП5 ЗС5"	"ГН5 ПД5 ЛП4 ПД3"	https://www.hero-wars.com?replay_id=1778782049634779792	
14/05 20:08	61882168	Тема	1035852	Тен(295) Эде(208) Вер(145) Ава(147) Бру(241)	57015416	Druid PL	1272758	Бру(272) Мор(255) Аше(202) Ара(225) Тен(318)					Т6-130 Д6-127	Т6-130 О6-130	"ЛП2 ПР3 ГС2 ЭЭ5"	"ЛП5 ЗС5 ПВ5 ПР5"	https://www.hero-wars.com?replay_id=1778778501065709526	
14/05 19:35	61883387	FEDOR	1070354	Тен(306) Эде(132) Сол(272) Вер(119) Бру(241)	56950015	chlipus	1231304	Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255)					Т6-129 Д1-99	Д6-130 С6-130	"ЛП2 ПР3 ГН3 ЭЭ3"	"ГС5 ЭЭ5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1778776538504080295	
14/05 19:33	62084537	Фартовый	1112289	Игн(220) Тен(245) Ара(214) Кер(191) Мол(242)	56950015	chlipus	1231304	Ава(225) Вер(208) Сол(318) Эде(225) Ияр(255)					О6-130 Т6-130	Д6-130 С6-130	"ПВ5 ПР5 ГС5 ТК5"	"ГС5 ЭЭ5 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1778776412626130062	
14/05 19:23	61882233	2 718	1038130	Ияр(169) Ара(206) Сол(254) Аше(203) Мол(205)	24450778	CZARNA	1230605	Риг(248) Мол(235) Сол(310) Ара(219) Игн(219)					О6-130 С3-88	О6-130 С6-130	"ПВ5 ЗС3 ЛП1 ПР3"	"ПВ3 ПР3 ЛП3 ЗС3"	https://www.hero-wars.com?replay_id=1778775836950446093	
14/05 18:57	61882246	Nergal	971734	Люм(234) Ара(195) Аше(189) Амо(87) Бру(267)	24047996	T1T	1220164	Мол(221) Сол(310) Ара(221) Ияр(248) Игн(221)	35				С6-130 О6-130	О6-130 С6-130	"ЛП4 ЗС3 ПВ2 ПР1"	"ПВ4 ПР3 ЛП3 ЗС3"	https://www.hero-wars.com?replay_id=1778774268048177912	
14/05 18:54	61882246	Nergal	1399330	Тен(312) Ияр(256) Сол(312) Мор(251) Риг(267)	24152877	Hunto	1262722	Риг(271) Мол(242) Аше(208) Сол(317) Ара(225)	35				С6-130 Т6-130	О6-130 С6-130	"ЛП4 ЗС3 ГН4 ТК3"	"ПВ5 ПР5 ГН5 ТК4"	https://www.hero-wars.com?replay_id=1778774072739127767	
14/05 18:29	62084542	bLanx	1093058	Гип(212) Маи(229) Тид(195) Нов(229) Сиг(229)	57177112	JAR_JAR	1278681	Бру(272) Мор(255) Аше(208) Ара(225) Тен(318)	35				В6-98	Т6-130 О6-130	"ШГ3 ПД4  "	"ГН5 ТК5 ПВ5 ПР5"	https://www.hero-wars.com?replay_id=1778772542491331010	
14/05 18:23	61882168	Тема	670530	Гип(138) Ара(188) Тид(94) Аше(125) Сиг(125)	24358847	Raven	1285982	Риг(270) Вер(207) Сол(315) Эде(224) Ияр(270)					О5-100 В2-74	С6-130 Д6-130	"   "	"ГН4 ТК5 ГС5 ЭЭ4"	https://www.hero-wars.com?replay_id=1778772239613961036	
