date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
29/07 21:34	62084537	Фартовый	1181226	Хор(182) Лар(210) Ори(203) Фла(182) Кас(194) Кри(210)	61462687	Opti	1165695	Эле(198) Ами(202) Йор(189) Фла(192) Тея(202) Хор(182)		Хор(11064) Мар(10154) Бис(10154) Мер(11064) Акс(11064)	Оли(11064) Акс(11064)  ###  Мер(11064) Мар(11064)		-Л	А	"упадка (минус Лечение)
7/12 магической атаки
6/12 магического мастерства
6/12 пробивания защиты от магии   "	"авангарда
10/12 здоровья
10/12 магической атаки
10/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1785350054064330197	
29/07 21:33	62084540	SVAROG	1204715	Хор(182) Лар(213) Ори(207) Фла(192) Кас(197) Кри(213)	61424562	Torque	1105910	Эле(195) Ами(202) Йор(150) Фла(183) Тея(193) Хор(182)		Хор(11064) Мар(11064) Бис(11064) Мер(11064) Акс(11064)	Оли(11064) Акс(11064)  ###  Мер(11064) Мар(11064)		А	А	"авангарда
11/12 магической атаки
10/12 пробивания защиты от магии
10/12 магического мастерства   "	"авангарда
10/12 магической атаки
6/12 брони
9/12 здоровья   "	https://www.hero-wars.com?replay_id=1785350003871994149	
29/07 21:04	61882156	3.14_ZDETS	1045293	Хор(182) Дор(141) Ори(204) Фла(163) Йор(163) Ами(192)	37088437	cat cat sighs	1160857	Эле(193) Ами(202) Йор(189) Фла(192) Тея(202) Хор(182)		 ###  Мер(11064) Хор(11064) Акс(11064) Оли(11064)	Оли(11064) Акс(11064)  ###  Бис(11064) Мер(11064)		'+Л	А	"восстановления (плюс Лечение)
6/12 магической защиты
6/12 защиты от критических ударов
10/12 магической атаки   "	"авангарда
9/12 брони
10/12 магической защиты
11/12 здоровья   "	https://www.hero-wars.com?replay_id=1785348286753956548	
29/07 20:56	61882246	Nergal	1004164	Аль(182) Баб(195) Дор(45) Авг(191) Ори(200) Крв(192)	37088257	FlipTheCoin	1188136	Эле(198) Крв(202) Руф(190) Юли(213) Муш(202) Оли(182)		Акс(11064)  ###  Аль(11064) Мер(11064) Оли(8277)	Оли(11064) Аль(11064)  ###  Бис(11064) Акс(11064)		А	А	"авангарда
6/12 магической атаки
9/12 пробивания защиты от магии
6/12 магического мастерства   "	"авангарда
11/12 магической атаки
11/12 магической защиты
11/12 брони   "	https://www.hero-wars.com?replay_id=1785347768338829329	
29/07 20:15	62084537	Фартовый	1151539	Акс(182) ЛаК(218) Себ(194) Неб(195) Айз(168) Аст(195)	35187822	Wakin	1188136	Эле(198) Крв(202) Руф(190) Юли(213) Муш(202) Оли(182)		Век(11064) Аль(11064) Каи(10154) Оли(11064) Акс(11064)	Мер(11064) Аль(11064)  ###  Бис(11064) Акс(11064)		Э	А	"готовности (Энергия)
8/12 физической атаки
6/12 пробивания брони
6/12 мастерства атаки   "	"авангарда
11/12 магической атаки
12/12 магической защиты
11/12 брони   "	https://www.hero-wars.com?replay_id=1785345322279731156	
29/07 19:14	62145280	Nata	1179859	Акс(182) ЛаК(221) Фла(187) Себ(201) Неб(204) Айз(186)	61459193	Agri	1163739	Эле(198) Кас(197) Фла(187) Пол(197) Тея(202) Хор(182)		Мар(11064) Бис(10055) Аль(11064) Каи(11064) Оли(11064)	Оли(11064) Бис(11064) Акс(11064) Мар(11064) Мер(11064)		Э	А	"готовности (Энергия)
12/12 физической атаки
12/12 пробивания брони
10/12 магической защиты   "	"авангарда
10/12 ограждения
10/12 здоровья
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1785341690761473087	
29/07 19:09	62145280	Nata	1163824	Хор(182) Ори(206) Кас(197) Йор(171) Кри(213) Эле(193)	55996382	Bumpy 	1169871	Эле(198) Йор(202) Фла(192) Авг(199) Пол(197) Хор(182)		Мар(11064) Мер(11064) Оли(11064) Хор(11064) Акс(11064)	Оли(11064) Акс(11064) Мер(11064) Аль(11064) Мар(11064)		А	А	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
7/12 магического мастерства   "	"авангарда
6/12 брони
6/12 магической защиты
7/12 магической атаки   "	https://www.hero-wars.com?replay_id=1785341367672553136	
29/07 19:09	62044906	ГошаПукаетВкозу	1035028	Бис(118) Пол(172) Ори(199) Фла(168) Йор(182) Ами(196)	30570797	Hugo Watts	1168751	Эле(193) Ами(202) Йор(199) Фла(192) Тея(201) Хор(182)		Мар(6484) Мер(5766) Хор(11064) Акс(11064) Оли(11064)	Оли(11064) Бис(11064) Акс(11064) Мер(11064) Мар(11064)		Т	А	"воодушевления (Танки)
6/12 магической защиты
6/12 пробивания защиты от магии
10/12 магической атаки   "	"авангарда
11/12 магической атаки
11/12 магической защиты
11/12 брони   "	https://www.hero-wars.com?replay_id=1785341365297039387	
29/07 18:45	61882154	Виларт	1063130	Хор(172) Пол(159) Лар(190) Фла(174) Кас(171) Кри(197)	61414922	Priest	1184605	Чаб(213) Ара(213) Йор(189) Фла(192) Фаф(195) Хор(182)		Мар(6484) Акс(11064) Хор(10154) Мер(6894) Бис(10114)	Оли(11064) Мар(11064)  ###  Хор(11064)  ### 		А	Э	"авангарда
8/12 пробивания защиты от магии
6/12 магической атаки
6/12 магического мастерства   "	"готовности (Энергия)
10/12 физической атаки
11/12 магической атаки
10/12 брони   "	https://www.hero-wars.com?replay_id=1785339904963615423	
29/07 18:18	61991077	3ve	1104999	Хор(155) Авг(194) Ори(195) Фла(184) Кас(189) Эле(188)	62045811	Phaedra	1160319	Кей(185) Лир(198) Три(201) Кир(204) Себ(190) Акс(182)		Аль(11064) Мар(9428) Хор(9428) Мер(9439) Бис(8518)	 ###  Бис(11064)  ###  Век(11064)  ### 		Б	Э	"бастиона
10/12 пробивания защиты от магии
9/12 магического мастерства
7/12 магической атаки   "	"готовности (Энергия)
6/12 пробивания брони
6/12 меткости
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1785338338274897014	
