date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
20/06 10:55	61882177	Rom	1037791	Хор(173) Авг(173) Ори(188) Фла(138) Кас(186) Эле(180)	57355514	CAMEL6	1172375	Муш(190) Ами(202) Неб(205) Хай(196) Эйд(198) Акс(182)		Аль(9428) Хор(9428) Мер(9018) Акс(7804) Оли(11064)	 ###  Акс(11064) Каи(11064)  ###  Хор(11064)		Т	Э	"воодушевления (Танки)
11/12 магической атаки
8/12 меткости
9/12 брони   "	"готовности (Энергия)
11/12 пробивания защиты от магии
10/12 брони
12/12 магической атаки   "	https://www.hero-wars.com?replay_id=1781942122857226465	
20/06 10:43	61882154	Виларт	991213	Хор(172) Дор(79) Авг(186) Ори(198) Йор(171) Аст(185)	36306637	Killing time	1165440	Аст(183) Ами(202) Хай(208) Пол(187) Тея(202) Мер(182)		 ###  Аль(9428) Мер(6894) Оли(6132) Акс(11064)	 ###  Оли(11064) Бис(11064) Хор(11064) Мар(11064)		А	Т	"авангарда
8/12 пробивания защиты от магии
6/12 магической атаки
6/12 магического мастерства   "	"воодушевления (Танки)
11/12 магической атаки
6/12 магической защиты
6/12 брони   "	https://www.hero-wars.com?replay_id=1781941419070404496	
20/06 10:03	62084540	SVAROG	1163869	Акс(182) Ада(190) Себ(203) Неб(190) Лир(193) Гал(207)	57514582	DefiantKurosaki	1165986	Лир(186) Гус(186) Себ(201) Ада(185) ЛаК(226) Акс(182)		Каи(11064) Аль(11064)  ###  Оли(11064) Фен(11064)	Оли(11064) Фен(11064) Аль(11064) Каи(11064) Век(11064)		Б	Б	"стремительных бойцов
10/12 магической защиты
11/12 пробивания брони
10/12 физической атаки   "	"стремительных бойцов
6/12 магической атаки
6/12 пробивания брони
5/12 магической защиты   "	https://www.hero-wars.com?replay_id=1781939011618809097	
20/06 09:58	62084540	SVAROG	1166721	Мер(182) Тея(193) Эйд(189) Фол(198) Ами(202) Аль(203)	53434323	Patrick	1182740	Аст(190) Лир(193) Исм(196) ЛаК(227) Фаф(195) Акс(182)		Мар(11064) Хор(11064) Мер(11064) Оли(11064) Акс(11064)	 ###  Фен(11064)  ###  Век(11064)  ### 		А	-Л	"авангарда
11/12 магической атаки
10/12 пробивания защиты от магии
10/12 магического мастерства   "	"упадка (минус Лечение)
6/12 меткости
6/12 физической атаки
6/12 магической защиты   "	https://www.hero-wars.com?replay_id=1781938725045101345	
20/06 09:49	62084540	SVAROG	1204715	Хор(182) Лар(213) Ори(207) Фла(192) Кас(197) Кри(213)	22207341	Keiko	1121992	Гал(207) Лир(180) Неб(205) Ада(174) Баб(175) Акс(182)		Мар(11064) Хор(11064) Бис(11064) Мер(11064) Акс(11064)	Фен(11064)  ###  Каи(11064)  ###   ### 		А	-Л	"авангарда
11/12 магической атаки
10/12 пробивания защиты от магии
10/12 магического мастерства   "	"упадка (минус Лечение)
7/12 меткости
10/12 пробивания брони
8/12 физической атаки   "	https://www.hero-wars.com?replay_id=1781938163820974750	
20/06 09:10	62084537	Фартовый	1158388	Акс(182) Авг(192) Ами(193) Сел(198) Ара(203) Эле(191)	2725489	Foxcave	1135301	Лир(183) Гус(166) Себ(195) ЛаК(217) Фаф(193) Акс(182)		Аль(11064) Оли(11064) Бис(10154) Мар(9302) Мер(11064)	Оли(11064)  ###  Аль(11064) Век(11064) Мар(11064)		-Л	Б	"упадка (минус Лечение)
7/12 магической атаки
6/12 магического мастерства
6/12 пробивания защиты от магии   "	"стремительных бойцов
5/12 магической защиты
6/12 меткости
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1781935805769142192	
20/06 08:40	62084537	Фартовый	1147538	Акс(182) ЛаК(218) Неб(195) Айз(168) Чер(185) Гал(199)	57355596	05CINCO	1140594	Эле(186) Юли(201) Муш(190) Бир(175) Фаф(208) Оли(182)		Век(11064) Каи(10154) Оли(11064) Бис(10154) Фен(10154)	 ###   ###   ###   ###  Мар(11064)		Б	С	"стремительных бойцов
6/12 физической атаки
6/12 пробивания брони
6/12 магической защиты   "	"стужи
11/12 магической защиты
11/12 магической атаки
6/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1781934032540088122	
20/06 08:27	62084537	Фартовый	1180460	Хор(182) Лар(208) Ори(204) Фла(182) Кас(194) Кри(210)	57355554	yamanojinja	1128153	Эле(179) Крв(200) Аст(190) Муш(190) Бир(187) Хор(182)		Мар(9302) Хор(11064) Бис(10154) Мер(11064) Акс(11064)	 ###  Аль(11064)  ###   ###  Мер(11064)		-Л	А	"упадка (минус Лечение)
7/12 магической атаки
6/12 магического мастерства
6/12 пробивания защиты от магии   "	"авангарда
12/12 брони
11/12 магической защиты
10/12 здоровья   "	https://www.hero-wars.com?replay_id=1781933259334604592	
19/06 23:46	62145280	Nata	1043172	Акс(182) Дор(148) Авг(195) Бир(174) Гус(161) Муш(183)	46660513	Indo-Zsofi	1139923	Крв(196) Аст(187) Муш(180) ЛаК(206) Эйд(188) Хор(182)		Мер(11064) Аль(11064) Хор(11064) Фен(11064) Оли(11064)	Аль(11064) Оли(11064) Акс(11064) Век(11064) Хор(11064)		А	Т	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
7/12 магического мастерства   "	"воодушевления (Танки)
6/12 физической атаки
6/12 магической атаки
5/12 меткости   "	https://www.hero-wars.com?replay_id=1781902005930237512	
19/06 21:53	61882168	Тема	998652	Акс(155) Фаф(156) Эйд(143) ЛаК(188) Себ(181) Лир(176)	57385398	Grrr 	1176311	Лир(180) Исм(208) Неб(190) ЛаК(220) Эйд(197) Хор(182)		Мар(7868) Хор(9428) Фен(3973) Аль(9428) Оли(9890)	 ###  Фен(11064)  ###  Век(11064) Мер(11064)		С	Т	"стужи
9/12 пробивания брони
6/12 физической атаки
6/12 магической атаки   "	"воодушевления (Танки)
8/12 меткости
7/12 магической атаки
8/12 магической защиты   "	https://www.hero-wars.com?replay_id=1781895207125803784	
