date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
19/06 00:15	62092872	MEDVED	1065918	Ияр(217) Эде(205) Сол(239) Вер(200) Ава(205)	57756797	Pokkalemon x00	1224896	Нов(228) Тид(206) Кер(253) Гип(223) Тен(315)					Д6-130 С6-130	В6-130 Т6-130	"ГС5 ЭЭ5 ЛП4 ЗС5"	"ШГ5 ПД3 ТП4 ПД5"	https://www.hero-wars.com?replay_id=1781817353641891122	
18/06 20:53	61882156	3.14_ZDETS	909753	Люм(82) Игн(191) Ияр(233) Ара(210) Мол(194)	2725489	Foxcave	1186577	Анг(242) Мор(270) Ава(242) Вер(208) Эде(225)					О6-130 С6-130	Д6-130	"ПВ2 ЗС4 ГН1 ПР4"	"ГС5 ЭЭ5  "	https://www.hero-wars.com?replay_id=1781805231223338357	
18/06 20:48	61882142	B.i.G	1064817	Гип(199) Ияр(231) Сол(252) Тид(185) Риг(197)	54712328	Sak	1296759	Сиг(242) Мор(271) Нов(242) Гип(225) Тен(317)					С6-130 В6-130	В6-130 Т6-130	"ГН2 ЗС3 ЛП3 ПД3"	"ШГ5 ТК5 ТП5 ПР4"	https://www.hero-wars.com?replay_id=1781804913011260420	
18/06 20:15	62044906	ГошаПукаетВкозу	1049944	Гип(217) Сол(224) Тид(194) Нов(212) Риг(202)	2421768	Ser	1153296	Анг(241) Ава(241) Вер(207) Эде(224) Сил(241)					В6-130 С5-130	Д6-130	"ГС3 ЭЭ3 ГН2 ЗС2"	"ЛП5 ТК4  "	https://www.hero-wars.com?replay_id=1781802922608149961	
18/06 20:12	62084542	bLanx	1192806	Люм(178) Ияр(255) Сол(318) Аше(204) Вул(237)	36306504	quas	1239052	Сиг(222) Нов(222) Сол(318) Ияр(255) Гип(222)					С6-130 О6-130	В6-130 С6-130	"ЛП5 ЗС5 ПВ3 ПР5"	"ШГ4 ПД4 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1781802779245863015	
18/06 19:47	62072200	Пух	1079298	Сил(221) Эде(219) Вер(198) Ава(221) Анг(221)	36306637	Killing time	1275624	Сиг(238) Мор(267) Нов(238) Гип(221) Тен(312)					Д6-130	В6-130 Т6-130	"ГС3 ЭЭ5  "	"ШГ3 ПД5 ГН3 ТК5"	https://www.hero-wars.com?replay_id=1781801263787189340	
18/06 19:45	62072200	Пух	1163361	Игн(213) Ияр(197) Ара(224) Сол(302) Мол(227)	57514582	DefiantKurosaki	1092191	Анг(222) Ава(222) Вер(205) Эде(222) Сил(222)					О6-130 С6-130	Д6-130	"ПВ5 ЗС4 ГС1 ТК2"	"ГС4 ЭЭ4  "	https://www.hero-wars.com?replay_id=1781801125772796744	
18/06 19:24	61882212	Оди	1028450	Люм(211) Эде(194) Сол(296) Вер(129) Ава(198)	46660513	Indo-Zsofi	1219679	Анг(220) Мор(249) Эде(220) Тен(311) Сил(220)					С6-130 Д6-121	Д6-130 Т6-130	"ЛП5 ЗС5 ГС3 ЭЭ5"	"ГС3 ЭЭ4 ГН3 ТК4"	https://www.hero-wars.com?replay_id=1781799860513247920	
18/06 19:22	61882212	Оди	970315	Гип(212) Ара(197) Тид(191) Аше(158) Нов(212)	57756797	Pokkalemon x00	1228382	Риг(255) Ава(224) Вер(207) Сол(318) Эде(224)					В6-130 О6-130	Д6-130 С6-130	"ШГ5 ПД5 ПВ4 ПР4"	"ГС5 ЭЭ4 ПВ5 ЗС5"	https://www.hero-wars.com?replay_id=1781799756404363439	
18/06 18:21	62084554	VIKTOR	1253845	Тен(314) Сол(256) Мор(252) Риг(186) Бру(246)	46660513	Indo-Zsofi	1128423	Сиг(220) Бру(249) Нов(220) Маи(220) Гип(220)					Т6-130 С6-119	В6-130	"ГН4 ТК4 ЛП3 ЭЭ5"	"ШГ3 ПД4  "	https://www.hero-wars.com?replay_id=1781796110678184996	
