date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
08/08 02:59	62084542	БлондИ	1252699	Игн(221) Ияр(255) Ара(221) Сол(318) Мол(238)	62162206	nezha	1002505	Сиг(157) Тид(183) Сол(273) Ияр(183) Гип(207)					О6-130 С6-130	В6-127 С6-111	"ПВ3 ПР5 ЛП5 ЗС5"	"ЛП1 ЗС2 ГА1 ПД1"	https://www.hero-wars.com?replay_id=1786147182358741745	
07/08 20:20	61869137	ToriOry	1373700	Тен(312) Ияр(253) Сол(315) Умб(234) Риг(259)	62156875	SEKU	1173472	Сиг(235) Тид(202) Умб(211) Гип(219) Тен(306)					С6-130 Т6-130	В6-130 Т6-116	"ЛП5 ЗС3 ГН4 ТК3"	"ТП3 ТК3 ЛП3 ТК3"	https://www.hero-wars.com?replay_id=1786123254012813444	
07/08 18:51	62145280	Nata	1102424	Сил(203) Эде(225) Вер(208) Ава(225) Анг(242)	62157188	naked	1203067	Сиг(225) Тид(199) Кер(238) Гип(222) Тен(318)					Д6-130	В6-130 Т6-130	"ГС5 ЭЭ5  "	"ПГ4 ПД4 ЛП5 ПР5"	https://www.hero-wars.com?replay_id=1786117888468176245	
07/08 18:48	62145280	Nata	1322268	Тен(305) Ияр(253) Сол(315) Мор(229) Бру(219)	62156896	Hexke	1424390	Бру(267) Мор(267) Сол(311) Ияр(266) Тен(312)					Т6-130 С6-130	Т6-130 С6-130	"ГН2 ТК2 ЛП5 ЗС3"	"ЛП3 ТК5 ЛП3 ТК4"	https://www.hero-wars.com?replay_id=1786117691298044052	
07/08 14:33	62084554	VIKTOR	1096575	Эде(216) Сол(276) Вер(197) Ава(190) Риг(218)	62156951	WhyAlwaysMe	1144280	Сиг(185) Бру(272) Тид(157) Гип(212) Тен(318)					Д6-130 С6-130	В6-130 Т6-130	"ГС5 ЭЭ5 ЛП5 ЗС4"	"ГС5 ПД4 ЛП5 ТК5"	https://www.hero-wars.com?replay_id=1786102426172456330	
07/08 12:03	62092872	MEDVED	1087315	Люм(217) Ара(215) Сол(241) Аше(199) Мол(215)	62157099	Root	1437166	Бру(272) Риг(266) Мор(271) Сол(312) Тен(317)					О6-130 С6-130	Т6-127 С6-92	"ПВ6 ПР5 ЛП5 ЗС5"	"ГН5 ТК5 ТМ6 ПД5"	https://www.hero-wars.com?replay_id=1786093407157865487	
07/08 08:54	61991077	3ve	1125883	Тен(234) Ияр(213) Умб(209) Риг(242) Бру(228)	62156907	Tamburin	994977	Сиг(219) Нов(215) Тид(158) Маи(181) Гип(221)					Т6-130 С6-130	В6-125	"ГН4 ТК5 ЛП6 ЗС6"	"ШГ5 ПД4  "	https://www.hero-wars.com?replay_id=1786082087724545311	
07/08 08:53	61991077	3ve	1084219	Люм(221) Гип(209) Сол(246) Тид(208) Нов(201)	62156731	????	1180183	Мол(219) Сол(247) Ара(221) Тен(272) Игн(221)					В6-130 С6-130	О6-116	"ШГ5 ПД5 ЛП6 ЗС6"	"ПВ5 ПР5  "	https://www.hero-wars.com?replay_id=1786082028179762470	
07/08 00:51	61882156	3.14_ZDETS	965136	Люм(116) Игн(197) Ияр(238) Ара(216) Мол(199)	62162206	nezha	1111004	Бру(257) Вер(159) Умб(211) Эде(182) Тен(301)					О6-130 С6-130	Т6-130 Д6-112	"ПВ5 ЗС4 ГН3 ПР4"	"ГА1 ЗС1 ГС1 ЗС5"	https://www.hero-wars.com?replay_id=1786053098027878817	
07/08 00:46	61882156	3.14_ZDETS	1104954	Гип(212) Сол(265) Тид(188) Нов(223) Риг(216)	62156905	Leo	1248307	Ава(242) Вер(225) Умб(238) Эде(225) Тен(318)					В6-130 С6-130	Д6-130 Т6-130	"ГС4 ТК4 ГН3 ПР4"	"ШГ5 ЭЭ5 ГН5 ТК5"	https://www.hero-wars.com?replay_id=1786052762975587953	
