date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
14/05 00:52	62084537	Фартовый	1122838	Бис(143) Ори(202) Фла(180) Кас(194) Ами(193) Кри(210)	22180731	GORA	1107448	Чаб(156) Ара(197) Йор(202) Пол(197) Фаф(174) Хор(182)		Мар(8108) Бис(8518) Мер(11064) Оли(11064) Хор(11064)	Оли(11064) Мар(11064) Акс(11064) Бис(11064)  ### 		-Л	Т	"упадка (минус Лечение)
7/12 магической атаки
6/12 магического мастерства
6/12 пробивания защиты от магии   "	"воодушевления (Танки)
7/12 физической атаки
10/12 магической защиты
10/12 брони   "	https://www.hero-wars.com?replay_id=1778709124839317081	
14/05 00:45	61882156	3.14_ZDETS	1012050	Хор(182) Тея(140) Ори(203) Фла(144) Ами(187) Эле(157)	22180731	GORA	1107448	Чаб(156) Ара(197) Йор(202) Пол(197) Фаф(174) Хор(182)		Мар(8108) Мер(11064) Бис(10352) Акс(11064) Оли(11064)	Оли(11064) Мар(11064) Акс(11064) Бис(11064)  ### 		'+Л	Т	"восстановления (плюс Лечение)
6/12 магической защиты
6/12 защиты от критических ударов
10/12 магической атаки   "	"воодушевления (Танки)
7/12 физической атаки
10/12 магической защиты
10/12 брони   "	https://www.hero-wars.com?replay_id=1778708708847268627	
14/05 00:45	62084540	SVAROG	1183422	Акс(182) Айр(214) Себ(203) Неб(205) Айз(178) Гал(202)	56298140	Xexf	1199046	Чаб(213) Юли(213) Йор(202) Фла(186) Тея(202) Хор(182)		Бис(11064) Аль(11064) Каи(11064) Оли(11064) Фен(11064)	Бис(11064) Акс(11064) Оли(11064) Хор(11064) Мер(11064)		Б	П	"стремительных бойцов
10/12 магической защиты
11/12 пробивания брони
10/12 физической атаки   "	"силы питомцев
11/12 магической атаки
12/12 брони
11/12 физической атаки   "	https://www.hero-wars.com?replay_id=1778708703066721547	
13/05 22:02	61882212	Оди	1111561	Хор(173) Себ(197) Неб(186) Джу(178) Айз(180) Цин(197)	22180636	KosmoS	1160009	Чаб(198) Ара(203) Йор(175) Фоб(205) Пол(197) Хор(182)		Фен(7804)  ###  Аль(11064) Оли(11064) Каи(7859)	Оли(11064) Мар(11064)  ###  Мер(11064) Хор(11064)		Э	С	"готовности (Энергия)
8/12 физической атаки

   "	"стужи
10/12 магической атаки
10/12 физической атаки
6/12 брони   "	https://www.hero-wars.com?replay_id=1778698938561724870	
13/05 21:44	62044906	ГошаПукаетВкозу	1112230	Акс(182) Ори(200) Фла(144) Себ(198) Неб(199) Ами(189)	56298140	Xexf	1199046	Чаб(213) Юли(213) Йор(202) Фла(186) Тея(202) Хор(182)		Мар(6484) Акс(11064) Аль(11064) Каи(10154) Оли(9018)	Бис(11064) Акс(11064) Оли(11064) Хор(11064) Мер(11064)		Т	П	"воодушевления (Танки)
6/12 магической защиты
6/12 пробивания защиты от магии
10/12 магической атаки   "	"силы питомцев
11/12 магической атаки
12/12 брони
11/12 физической атаки   "	https://www.hero-wars.com?replay_id=1778697866242020862	
13/05 21:43	62145280	Nata	1030294	Хор(182) Баб(174) Авг(195) Бир(157) Гус(143) Муш(179)	57103780	Chico7046623	1190093	Эле(198) Руф(202) Юли(213) Муш(202) Фла(192) Хор(182)		Акс(9428) Аль(11064) Мер(11064) Хор(11064) Оли(11064)	Мер(11064) Бис(11064) Оли(11064) Акс(11064) Хор(11064)		А	Т	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
7/12 магического мастерства   "	"воодушевления (Танки)
6/12 физической атаки
6/12 брони
6/12 магической защиты   "	https://www.hero-wars.com?replay_id=1778697826308206620	
13/05 21:16	61882212	Оди	1029198	Хор(173) Тея(195) Авг(188) Фла(172) Йор(134) Эле(168)	22180744	SenPom	1128632	Эле(180) Ара(203) Кас(197) Фла(169) Эйд(198) Хор(182)	35	Мар(11064) Аль(11064) Хор(9428) Акс(11064) Оли(11064)	 ###  Мар(11064) Мер(11064) Акс(11064) Хор(11064)		С	С	"стужи
12/12 магической атаки
12/12 пробивания защиты от магии
7/12 магического мастерства   "	"стужи
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1778696202561816424	
13/05 21:16	61882137	G_G	1120484	Хор(175) Пол(176) Фла(168) Хай(206) Ами(200) Кри(196)	47549941	(((_Т_И_Г_Р_)))	1039123	Чаб(148) Ара(198) Йор(149) Лиэ(165) Пол(197) Хор(182)	35	Мар(6486) Бис(6486) Каи(9428) Акс(9804) Мер(7396)	Оли(11064) Мар(11064)  ###  Хор(11064) Бис(11064)		П	П	"силы питомцев
11/12 физической атаки
7/12 магической защиты
10/12 магической атаки   "	"силы питомцев
10/12 физической атаки
8/12 брони
9/12 меткости   "	https://www.hero-wars.com?replay_id=1778696178343873425	
13/05 20:14	61882156	3.14_ZDETS	1141238	Акс(182) Себ(199) Неб(202) Три(179) Лир(187) Гал(193)	56298140	Xexf	1199046	Чаб(213) Юли(213) Йор(202) Фла(186) Тея(202) Хор(182)		Аль(11064) Каи(11064)  ###  Фен(9428) Оли(11064)	Бис(11064) Акс(11064) Оли(11064) Хор(11064) Мер(11064)		Э	П	"готовности (Энергия)
5/12 магической защиты
10/12 физической атаки
   "	"силы питомцев
11/12 магической атаки
12/12 брони
11/12 физической атаки   "	https://www.hero-wars.com?replay_id=1778692465424601539	
13/05 18:27	62084540	SVAROG	1204715	Бис(182) Лар(213) Ори(207) Фла(192) Кас(197) Кри(213)	31598186	Fduch	1141308	Эле(198) Гус(180) Бир(187) Фла(192) Тея(202) Хор(182)	35	Мар(11064) Акс(11064) Бис(11064) Мер(11064) Хор(11064)	Мер(11064) Фен(11064) Бис(11064) Хор(11064) Акс(11064)		А	А	"авангарда
11/12 магической атаки
10/12 пробивания защиты от магии
9/12 магического мастерства   "	"авангарда
9/12 магической атаки
9/12 здоровья
11/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1778686039645687137	
13/05 15:51	62138500	Diablo	1148781	Хор(182) Авг(192) Ори(206) Фла(183) Кас(191) Эле(195)	57223315	Ромыч	1153635	Лир(190) Себ(203) Фла(180) ЛаК(222) Тея(177) Акс(182)	35	Аль(11064) Бис(11064) Хор(11064) Акс(11064) Мер(11064)	Фен(11064) Аль(11064) Акс(11064) Век(11064) Мер(11064)		Э	Б	"готовности (Энергия)
9/12 магической атаки
11/12 физической атаки
9/12 пробивания брони   "	"стремительных бойцов
6/12 физической атаки
6/12 пробивания брони
6/12 брони   "	https://www.hero-wars.com?replay_id=1778676673672877138	
13/05 15:21	62138500	Diablo	1077140	Хор(182) Эйд(194) ЛаК(224) Йор(101) Айз(175) Дан(201)	22180674	Валера	1155644	Ара(213) Гус(186) Йор(188) Фла(192) Тея(194) Хор(182)	35	Хор(11064) Век(11064) Акс(11064) Оли(11064) Каи(11064)	Мар(11064) Акс(11064)  ###  Хор(11064) Мер(11064)		А	С	"авангарда
8/12 магической атаки
11/12 физической атаки
8/12 брони   "	"стужи
7/12 магической атаки
6/12 физической атаки
6/12 магической защиты   "	https://www.hero-wars.com?replay_id=1778674860371353904	
