date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
27/05 16:57	62084540	SVAROG	1145009	Хор(182) Дор(177) Авг(194) Фол(198) Йор(192) Ами(202)	344660939	Там-Сям	1073168	Эле(167) Крв(168) Аст(185) Гал(201) Тея(169) Оли(182)		 ###  Аль(11064) Мер(11064) Акс(11064) Оли(11064)	 ###   ###   ###  Бис(9428)  ### 		-Л	Т	"упадка (минус Лечение)
11/12 магической атаки
10/12 пробивания защиты от магии
10/12 магического мастерства   "	"воодушевления (Танки)
6/12 брони
6/12 магической защиты
6/12 защиты от критических ударов   "	https://www.hero-wars.com?replay_id=1779890263485704686	
27/05 16:48	62084540	SVAROG	1215371	Хор(182) ЛаК(222) Себ(203) Неб(205) Три(212) Лир(191)	348025022	Мурзилка	1060893	Эле(177) Аст(161) Ами(183) Неб(192) Эйд(166) Оли(182)		Мар(11064) Аль(11064) Каи(11064) Фен(11064) Оли(11064)	Оли(11064)  ###  Акс(11064) Каи(10154)  ### 		Б	С	"стремительных бойцов
10/12 магической защиты
11/12 пробивания брони
10/12 физической атаки   "	"стужи
5/12 магической атаки
5/12 магического мастерства
5/12 ограждения   "	https://www.hero-wars.com?replay_id=1779889685417473527	
27/05 16:33	62084540	SVAROG	1200755	Хор(182) Лар(209) Ори(207) Фла(192) Кас(197) Кри(213)	344660939	Там-Сям	1024366	Ара(167) Йор(155) Фла(143) Эйд(191) Пол(187) Хор(182)		Мар(11064) Акс(11064) Бис(11064) Мер(11064) Хор(11064)	Акс(11064) Оли(11064) Мер(11064) Хор(11064) Мар(11064)		А	'+Л	"авангарда
11/12 магической атаки
10/12 пробивания защиты от магии
10/12 магического мастерства   "	"восстановления (плюс Лечение)
6/12 магической защиты
6/12 брони
6/12 здоровья   "	https://www.hero-wars.com?replay_id=1779888823830939301	
27/05 14:28	61882317	viktori	941890	Акс(155) Авг(190) Йор(101) Айз(113) Кир(186) Дан(197)	337799895	Марк Аврелий	1031969	Авр(199) Руф(171) Гал(175) Фла(168) Баб(136) Акс(182)		Аль(8086) Акс(9428) Оли(6894) Век(6894) Каи(7870)	Оли(9748) Акс(11064) Бис(6894) Мер(6894)  ### 		Э	'+Л	"готовности (Энергия)
11/12 магической атаки
9/12 физической атаки
11/12 пробивания брони   "	"восстановления (плюс Лечение)
6/12 магической защиты
9/12 физической атаки
6/12 защиты от критических ударов   "	https://www.hero-wars.com?replay_id=1779881301164086001	
27/05 13:14	62138500	Diablo	993656	Хор(182) Дор(122) Ори(206) Фла(183) Йор(106) Эле(195)	346940734	God among gods	1136899	Эле(193) Йор(185) Фла(189) Фол(196) Пол(192) Хор(182)		Акс(11064) Мар(11064) Хор(11064) Оли(11064) Мер(11064)	Акс(11064)  ###  Хор(11064) Бис(10378) Мар(11064)		А	А	"авангарда
8/12 магической атаки
11/12 физической атаки
8/12 брони   "	"авангарда
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 брони   "	https://www.hero-wars.com?replay_id=1779876855628164138	
27/05 13:11	62138500	Diablo	1135828	Хор(182) Баб(149) ЛаК(224) Себ(201) Неб(205) Айз(175)	346940734	God among gods	1136899	Эле(193) Йор(185) Фла(189) Фол(196) Пол(192) Хор(182)		Акс(11064) Век(11064) Аль(11064) Каи(11064) Оли(11064)	Акс(11064)  ###  Хор(11064) Бис(10378) Мар(11064)		Э	А	"готовности (Энергия)
9/12 магической атаки
11/12 физической атаки
9/12 пробивания брони   "	"авангарда
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 брони   "	https://www.hero-wars.com?replay_id=1779876687699123810	
27/05 08:40	61882177	Rom	1021528	Хор(173) Авг(173) Ори(188) Фла(135) Кас(186) Эле(167)	342618456	СЕРЕГА	1122164	Лир(185) Исм(206) Себ(197) Эйд(169) Дже(194) Оли(172)		Аль(9428) Хор(9428) Мер(7804) Акс(7804) Оли(10154)	Оли(10154) Фен(10154) Аль(10154) Хор(6484) Каи(10154)		Т	Б	"воодушевления (Танки)
11/12 магической атаки
8/12 меткости
9/12 брони   "	"стремительных бойцов
10/12 физической атаки
6/12 защиты от критических ударов
6/12 брони   "	https://www.hero-wars.com?replay_id=1779860410774325832	
27/05 08:38	61882177	Rom	1092367	Акс(128) Эйд(177) ЛаК(215) Себ(193) Неб(200) Лир(178)	342616830	Хондзё Масамунэ	1156137	Лир(188) Неб(199) Себ(198) ЛаК(217) Тея(172) Акс(182)		Хор(9428) Век(8382) Аль(9428) Каи(11064) Оли(10154)	Оли(11064) Каи(10154) Аль(11064) Век(5766)  ### 		Б	А	"стремительных бойцов
6/12 брони
8/12 физической атаки
8/12 пробивания брони   "	"авангарда
6/12 брони
6/12 здоровья
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779860295471430408	
27/05 00:10	62044906	ГошаПукаетВкозу	1010386	Хор(182) Пол(157) Авг(193) Ори(200) Йор(174) Сат(106)	346986323	whatdoyouSeek	1084186	Эле(190) Ара(189) Йор(170) Пол(190) Фаф(163) Оли(182)		Мар(6484) Аль(11064) Бис(5887) Оли(9890) Хор(11064)	Оли(11064)  ###   ###  Хор(11064)  ### 		Т	А	"воодушевления (Танки)
6/12 магической защиты
6/12 пробивания защиты от магии
10/12 магической атаки   "	"авангарда
6/12 брони
12/12 защиты от критических ударов
7/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1779829825070913842	
26/05 23:51	62044906	ГошаПукаетВкозу	1085732	Хор(182) Эйд(164) Фла(140) Хай(205) Ами(190) Исм(205)	345598224	Team Byblik	1116498	Лир(182) Исм(198) Себ(196) ЛаК(213) Фаф(197) Акс(130)		Хор(11064) Бис(5887) Аль(11064) Оли(9890) Фен(8518)	Оли(6894) Фен(6894) Аль(10154) Век(6894) Мар(5766)		П	Б	"силы питомцев
9/12 брони
8/12 физической атаки
   "	"стремительных бойцов
6/12 пробивания брони
6/12 брони
10/12 магической защиты   "	https://www.hero-wars.com?replay_id=1779828717020252764	
26/05 23:32	62044906	ГошаПукаетВкозу	955388	Акс(182) Себ(198) Неб(199) Айз(181) Аст(195)	342616830	Хондзё Масамунэ	1148345	Юли(196) Ара(201) Йор(185) Авг(194) Фаф(191) Оли(182)		Аль(11064) Каи(10154) Оли(9890) Акс(11064)	 ###  Мар(5766)  ###  Хор(11064)  ### 		Э	П	"готовности (Энергия)
9/12 физической атаки

   "	"силы питомцев
6/12 пробивания брони
6/12 защиты от критических ударов
6/12 брони   "	https://www.hero-wars.com?replay_id=1779827576889675232	
26/05 22:55	61882156	3.14_ZDETS	1034834	Хор(182) Дор(153) Авг(190) Ори(203) Фла(145) Эле(162)	346008908	ЪУЪ	1202638	Лир(191) Неб(202) Себ(200) ЛаК(226) Фаф(202) Акс(182)		Акс(11064) Аль(11064) Мер(11064) Бис(11064) Оли(11064)	Бис(11064) Каи(11064) Аль(11064) Век(11064) Мар(11064)		'+Л	П	"восстановления (плюс Лечение)
6/12 магической защиты
6/12 защиты от критических ударов
10/12 магической атаки   "	"силы питомцев
11/12 физической атаки
12/12 брони
11/12 магической защиты   "	https://www.hero-wars.com?replay_id=1779825308425351609	
26/05 22:43	61882156	3.14_ZDETS	1153050	Акс(182) Себ(199) Неб(202) Джу(193) Айз(189) Ами(188)	344930686	Удав	1197031	Чаб(213) Ара(213) Йор(189) Фла(192) Фоб(208) Хор(182)		Аль(11064) Каи(11064) Век(9018) Мар(8108) Оли(11064)	Оли(11064) Мар(11064)  ###  Хор(11064) Мер(11064)		Э	Э	"готовности (Энергия)
5/12 магической защиты
10/12 физической атаки
9/12 пробивания брони   "	"готовности (Энергия)
11/12 магического мастерства
10/12 магической атаки
7/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1779824612694814407	
26/05 19:18	61882154	Виларт	1091143	Акс(182) Дже(145) Себ(187) Неб(189) К'А(205) Лир(183)	346008908	ЪУЪ	1099412	Тес(184) Крв(185) Аст(185) Гал(181) Баб(183) Оли(182)		Акс(11064) Аль(8518) Каи(4773) Век(9498) Оли(6066)	 ###   ###   ###   ###   ### 		Б	Т	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	"воодушевления (Танки)
6/12 физической атаки
6/12 брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1779812312818830103	
26/05 19:02	62145280	Nata	981793	Хор(182) Фла(171) Йор(138) Бир(157) Гус(144) Эле(191)	349553803	Кратос	1077427	Дан(192) Неб(183) Ори(192) Авг(183) Дор(156) Хор(172)		Акс(9986) Оли(11064) Бис(6894) Фен(11064) Мер(11064)	Каи(8705)  ###   ###  Акс(5956)  ### 		А	П	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
7/12 магического мастерства   "	"силы питомцев
10/12 магической атаки
9/12 пробивания брони
12/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779811324869135083	
26/05 17:31	62145280	Nata	1165445	Хор(182) Гел(193) Ори(206) Кас(196) Ами(174) Кри(213)	349850060	Patriot	1150418	Исм(201) Неб(199) Себ(186) ЛаК(216) Эйд(176) Оли(172)		Бис(6894) Мер(11064) Акс(9986) Оли(11064) Хор(11064)	Фен(10154) Каи(10154) Аль(11064) Век(6484)  ### 		А	С	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
7/12 магического мастерства   "	"стужи
9/12 магической защиты
9/12 пробивания брони
12/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779805879508930490	
26/05 17:26	62145280	Nata	1091900	Акс(176) Дор(145) Себ(201) Неб(202) Айз(186) Лир(182)	353467923	Alex777	994917	Эле(166) Бир(177) Фла(175) Эйд(167) Баб(162) Хор(148)		Мер(11064) Аль(11064) Каи(9820) Оли(11064) Бис(6894)	Оли(6894) Мер(8518) Акс(10154) Хор(8518)  ### 		Э	П	"готовности (Энергия)
12/12 физической атаки
12/12 пробивания брони
7/12 магической защиты   "	"силы питомцев
11/12 брони
10/12 защиты от критических ударов
12/12 ограждения   "	https://www.hero-wars.com?replay_id=1779805609946863572	
26/05 12:35	62092872	MEDVED	1040843	Век(164) Баб(142) Фаф(144) Эйд(175) ЛаК(213) Авр(203)	351325471	Night	1039028	Гал(144) Кей(185) Гус(176) Себ(194) Эйд(186) Аль(155)		 ###  Мар(8842) Аль(11064) Век(11064) Каи(11064)	Оли(7868) Бис(4123) Акс(8132) Аль(9428) Хор(9504)		'+Л	Б	"восстановления (плюс Лечение)
9/12 физической атаки
11/12 меткости
9/12 пробивания брони   "	"стремительных бойцов
11/12 физической атаки
6/12 магической атаки
6/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1779788107173362355	
26/05 10:49	62084554	VIKTOR	1155927	Хор(182) Дор(195) Авг(194) Ори(203) Неб(185) Дан(198)	337799895	Марк Аврелий	1100009	Лир(164) Исм(194) Кир(182) Себ(182) ЛаК(196) Аль(182)		Акс(9428) Аль(11064) Хор(11064)  ###  Каи(9428)	 ###  Фен(6894)  ###   ###  Век(6894)		П	Б	"силы питомцев
11/12 магической атаки
11/12 физической атаки
11/12 пробивания брони   "	"стремительных бойцов
9/12 магической атаки
10/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1779781759130937065	
26/05 10:40	62084554	VIKTOR	1089020	Акс(155) Себ(177) Исм(196) Три(178) Лир(184) Гал(199)	347278250	Тата	1105269	Гал(189) Лир(180) Три(180) Себ(183) ЛаК(192) Акс(182)		Аль(11064) Мар(8090) Фен(8518) Оли(8518) Бис(8518)	Оли(6622) Бис(5419) Фен(5956) Аль(6622) Век(6622)		П	Б	"силы питомцев
11/12 магической атаки
11/12 физической атаки
11/12 пробивания брони   "	"стремительных бойцов
6/12 меткости
6/12 физической атаки
6/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1779781200930781553	
26/05 10:31	61882142	B.i.G	1049036	Акс(156) ЛаК(192) Себ(187) Неб(186) Айз(168) Лир(161)	346008908	ЪУЪ	1089284	Эле(188) Гус(183) Бир(178) Эйд(194) Тея(163) Хор(182)		Век(9428) Аль(11064) Каи(7804) Оли(11064) Фен(9461)	Оли(11064) Фен(11064) Мер(11064) Хор(11064) Акс(11064)		Э	А	"готовности (Энергия)
5/12 ограждения
6/12 здоровья
6/12 защиты от критических ударов   "	"авангарда
10/12 магической атаки
9/12 магической защиты
6/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1779780678101666426	
26/05 07:23	61882137	G_G	1108925	Хор(175) Пол(179) Фла(168) Кас(189) Ами(199) Кри(198)	351312924	Daria	1123924	Гал(196) Лир(173) Три(198) Себ(192) ЛаК(211) Акс(155)		Хор(9817) Бис(6622) Мер(7396) Оли(9428) Акс(9804)	Оли(5435) Бис(3925) Фен(3763) Аль(8518) Век(4123)		П	'+Л	"силы питомцев
11/12 физической атаки
7/12 магической защиты
10/12 магической атаки   "	"восстановления (плюс Лечение)
6/12 здоровья
6/12 ограждения
6/12 защиты от критических ударов   "	https://www.hero-wars.com?replay_id=1779769400654348651	
26/05 07:07	61882137	G_G	1073636	Акс(175) Себ(200) Неб(201) Айз(167) Гус(164) Кей(167)	351324149	sky	1034697	Кри(206) Кас(181) Фла(159) Ори(194) Пол(140) Хор(155)		Аль(11064) Каи(9428) Акс(9804) Хор(9817) Бис(6622)	Хор(9428) Мер(6894) Бис(6894) Акс(6894) Мар(6894)		Э	Э	"готовности (Энергия)
8/12 физической атаки
6/12 брони
7/12 магической защиты   "	"готовности (Энергия)
6/12 магического мастерства
6/12 пробивания защиты от магии
8/12 магической атаки   "	https://www.hero-wars.com?replay_id=1779768464386928585	
26/05 07:06	61882137	G_G	1003994	Акс(175) Дор(172) Эйд(181) Авг(188) Ори(199) Йор(89)	345598224	Team Byblik	982489	Эле(168) Неб(190) Фла(138) Ори(191) Авг(177) Хор(118)		Мер(7396) Хор(9817) Аль(11064) Мар(6486) Акс(9804)	Акс(7804) Каи(5116) Бис(5766) Хор(6894) Мер(6894)		П	С	"силы питомцев
11/12 физической атаки
7/12 магической защиты
10/12 магической атаки   "	"стужи
6/12 магического мастерства
6/12 магической атаки
6/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1779768368519529879	
26/05 04:13	61991077	3ve	1106056	Аль(182) Баб(163) Хай(194) Дан(192) Ясм(190) Лир(185)	337768260	Dooba	1100335	Гал(200) Лир(164) Исм(184) Себ(160) ЛаК(210) Акс(182)		Акс(9428) Аль(11064) Фен(9428) Каи(6074) Оли(9428)	Оли(11064) Бис(6978) Фен(9428)  ###  Век(4773)		Б	Б	"стремительных бойцов
8/12 физической атаки
6/12 пробивания брони
6/12 меткости   "	"стремительных бойцов
6/12 магической защиты
6/12 брони
8/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779758037732544007	
26/05 00:28	61882267	ZOV	1141716	Акс(172) Эйд(191) Себ(198) Неб(198) Исм(198) Лир(184)	349848867	BepgukT	1159840	Гал(190) Лир(183) Три(190) Себ(196) ЛаК(219) Акс(182)		Мер(11064) Аль(10154) Каи(9428) Фен(6894) Оли(8934)	Оли(7804) Бис(7422) Фен(7804) Аль(9692) Век(9428)		П	Б	"силы питомцев
6/12 физической атаки
6/12 брони
6/12 магической защиты   "	"стремительных бойцов
6/12 пробивания брони
6/12 физической атаки
6/12 магической защиты   "	https://www.hero-wars.com?replay_id=1779744511858314920	
26/05 00:23	62044999	Пунь Пунь	1016600	Акс(118) Себ(200) Неб(203) Айз(160) Лир(186) Кей(150)	345598688	YaELF	1015261	Кри(193) Кас(172) Фла(146) Ори(199) Авг(187) Хор(118)		Аль(11064) Каи(11064) Оли(10380) Фен(10154) Бис(5197)	Акс(6894) Мер(6484) Хор(6894) Мар(6894) Аль(10154)		Э	П	"готовности (Энергия)
6/12 физической атаки
5/12 пробивания брони
   "	"силы питомцев
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1779744223971512986	
26/05 00:23	61882267	ZOV	1159959	Акс(172) Гел(203) Дор(195) Авг(193) Ори(203) Аст(194)	344930686	Удав	1201491	Гал(195) Лир(180) Три(214) Себ(203) ЛаК(227) Акс(182)		Мер(11064) Акс(10154) Аль(10154) Бис(11064) Оли(8934)	 ###   ###  Фен(11064) Аль(11064) Век(11064)		А	Б	"авангарда
7/12 магической атаки
10/12 здоровья
6/12 брони   "	"стремительных бойцов
12/12 физической атаки
6/12 пробивания брони
12/12 брони   "	https://www.hero-wars.com?replay_id=1779744210564672355	
25/05 23:39	61882267	ZOV	1154427	Бис(182) Лар(191) Фла(187) Кас(192) Йор(194) Кри(208)	344930686	Удав	1115557	Эле(198) Гус(173) Бир(187) Эйд(185) Тея(190) Оли(182)		Мер(11064) Бис(11064) Хор(11064) Оли(8934) Акс(10154)	Акс(11064)  ###  Бис(11064)  ###   ### 		А	П	"авангарда
7/12 магической атаки
10/12 здоровья
6/12 брони   "	"силы питомцев
12/12 брони
10/12 магической защиты
12/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779741558695782598	
25/05 21:58	62092872	MEDVED	1032510	Хор(164) Авг(185) Ори(190) Фла(170) Йор(158) Эле(166)	349522528	Карасик	1104874	Эле(168) Кри(195) Кас(194) Фла(179) Авг(186) Хор(182)		Аль(11064) Мар(8842) Акс(11064) Оли(11064) Мер(5876)	 ###  Бис(6484) Хор(11064) Мер(10154) Акс(6484)		А	А	"авангарда
10/12 здоровья
10/12 магического мастерства
10/12 магической атаки   "	"авангарда
10/12 магической атаки
10/12 пробивания защиты от магии
9/12 магического мастерства   "	https://www.hero-wars.com?replay_id=1779735529363712996	
25/05 21:54	62072200	Пух	1120136	Хор(182) Баб(191) Неб(188) Джу(194) Айз(159) Ясм(206)	337768260	Dooba	1010994	Гус(138) Кри(209) Бир(134) Кас(180) Эйд(167) Оли(182)		Акс(9428)  ###  Фен(11064) Оли(11064) Каи(11064)	 ###  Акс(11064)  ###   ###   ### 		Б	А	"стремительных бойцов
9/12 физической атаки
9/12 пробивания брони
10/12 магической защиты   "	"авангарда
6/12 здоровья
6/12 физической атаки
7/12 магической защиты   "	https://www.hero-wars.com?replay_id=1779735280302916707	
25/05 21:53	62072200	Пух	1172453	Акс(173) ЛаК(218) Себ(203) Три(203) Лир(187) Гал(188)	344660939	Там-Сям	1190392	Дан(201) Кир(198) Джу(200) Себ(186) ЛаК(224) Акс(182)		Мар(11064) Аль(11064) Фен(11064) Бис(11064) Оли(11064)	Каи(9428) Фен(9428) Аль(11064)  ###  Век(11064)		Б	П	"стремительных бойцов
9/12 физической атаки
9/12 пробивания брони
10/12 магической защиты   "	"силы питомцев
10/12 физической атаки
6/12 меткости
10/12 пробивания брони   "	https://www.hero-wars.com?replay_id=1779735187019478299	
25/05 21:51	62092872	MEDVED	1107863	Хор(164) Себ(203) Неб(205) Айз(182) Лир(179) Гал(175)	349850060	Patriot	1117685	Эле(183) Кри(209) Кас(172) Фла(168) Ори(204) Хор(182)		Аль(11064) Каи(11064) Мар(8842) Оли(11064) Фен(7076)	Оли(10154) Акс(10154) Мер(6484) Бис(6484) Хор(11064)		Э	П	"готовности (Энергия)
9/12 пробивания брони
8/12 защиты от критических ударов
8/12 физической атаки   "	"силы питомцев
11/12 магического мастерства
11/12 магической атаки
10/12 пробивания защиты от магии   "	https://www.hero-wars.com?replay_id=1779735098684506138	
25/05 21:49	62072200	Пух	1083834	Хор(182) Авг(188) Ори(202) Бир(163) Ара(172) Эле(178)	342616064	Святогор	1022002	Исм(197) Себ(185) Эйд(184) Дже(122) Фаф(161) Акс(173)		Аль(11064) Бис(11064) Хор(11064) Мар(11064) Оли(11064)	Фен(6894) Аль(6971) Хор(8518)  ###   ### 		Т	А	"воодушевления (Танки)
6/12 брони
9/12 магической защиты
8/12 магической атаки   "	"авангарда
10/12 брони
10/12 магической защиты
10/12 здоровья   "	https://www.hero-wars.com?replay_id=1779734984444303221	
25/05 20:13	61883387	FEDOR	1130459	Акс(168) Эйд(178) ЛаК(211) Себ(188) Исм(201) Лир(185)	346940734	God among gods	1152370	Гал(203) Лир(175) Три(186) Себ(187) ЛаК(219) Акс(182)		Хор(11064) Мар(9428) Аль(9692) Фен(9428) Оли(9428)	Фен(11064)  ###   ###   ###  Век(9428)		Б	Б	"стремительных бойцов
8/12 физической атаки
6/12 брони
12/12 пробивания брони   "	"стремительных бойцов
6/12 меткости
6/12 пробивания брони
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779729185896087668	
25/05 20:03	61882142	B.i.G	932415	Акс(156) Авг(145) Лар(159) Фла(140) Сел(163) Кри(169)	345598688	YaELF	1088302	Лир(185) Дан(196) Неб(183) Себ(192) ЛаК(214) Акс(118)		Аль(11064) Бис(8108) Мер(6253) Хор(9428) Акс(9692)	Оли(9428) Каи(7465)  ###  Фен(5843) Век(8322)		С	Э	"стужи
6/12 пробивания брони
8/12 магического мастерства
6/12 пробивания защиты от магии   "	"готовности (Энергия)
6/12 магической защиты
6/12 пробивания брони
6/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779728618173303032	
