date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
26/05 00:53	61882156	3.14_ZDETS	1002341	Игн(191) Тен(203) Ара(210) Мор(205) Мол(194)	349589507	Koka	1202623	Мол(233) Мор(235) Ара(216) Тен(307) Игн(211)					О6-130 Т6-130	О6-117 Т6-103	"ПВ2 ЗС4 ГН1 ПД2"	"ПВ3 ПР4 ГН4 ТК4"	https://www.hero-wars.com?replay_id=1779746006527341393	
26/05 00:29	62044999	Пунь Пунь	1041996	Гип(215) Маи(212) Тид(193) Нов(215) Сиг(208)	351312924	Daria	1159799	Мол(233) Аше(200) Ара(211) Тен(288) Игн(227)					В6-129	О6-130	"ШГ2 ПР4  "	"ПВ2 ПД3  "	https://www.hero-wars.com?replay_id=1779744564546595039	
25/05 23:32	61882267	ZOV	1185079	Люм(234) Ияр(267) Аше(193) Вул(223) Риг(267)	342664062	Юра	1019602	Анг(222) Аше(198) Вер(198) Ара(200) Эде(201)					С6-130 О6-130	Д6-130 О6-130	"ЛП3 ЗС5 ПВ4 ПР4"	"ГС3 ЭЭ4 ПВ3 ПР5"	https://www.hero-wars.com?replay_id=1779741176535938465	
25/05 23:29	61882267	ZOV	1262151	Игн(239) Ара(222) Сол(312) Амо(251) Мол(239)	337768260	Dooba	1163084	Риг(249) Вер(199) Сол(307) Эде(174) Люм(234)					О6-130 С6-130	С6-130 Д6-103	"ПВ4 ПР4 ЛП3 ЗС5"	"ПВ4 ЗС3 ГС4 ЭЭ5"	https://www.hero-wars.com?replay_id=1779740995503243111	
25/05 20:46	62072200	Пух	1152733	Игн(213) Ияр(190) Ара(224) Сол(302) Мол(224)	346008908	ЪУЪ	1253610	Анг(238) Мор(248) Ава(221) Тен(310) Сил(237)					О6-130 С6-130	Д6-130 Т6-130	"ПВ5 ЗС4 ГС1 ТК2"	"ГС3 ЭЭ5 ГН2 ТК5"	https://www.hero-wars.com?replay_id=1779731205016019864	
25/05 19:43	61882204	Лапочка	1082377	Тен(216) Аше(202) Амо(225) Вул(199) Риг(241)	337799895	Марк Аврелий	1014841	Сиг(215) Нов(210) Вул(205) Аше(170) Гип(215)					С6-130 О6-130	В6-130 О6-130	"ЛП5 ТК4 ПВ5 ПР5"	"ШГ1 ПД3 ПВ4 ПР5"	https://www.hero-wars.com?replay_id=1779727402261460507	
25/05 19:31	61882212	Оди	1023534	Игн(147) Ияр(233) Ара(197) Сол(296) Мол(151)	344930686	Удав	1299490	Анг(242) Мор(272) Эде(225) Тен(318) Сил(242)					О6-130 С6-130	Д6-130 Т6-130	"ПВ4 ПР4 ЛП5 ЗС5"	"ГС5 ЭЭ5 ГН5 ТК5"	https://www.hero-wars.com?replay_id=1779726666289356186	
25/05 19:22	61882212	Оди	1142415	Тен(295) Гип(212) Тид(191) Нов(212) Мор(232)	346940734	God among gods	1257335	Риг(269) Ава(242) Вер(208) Сол(314) Эде(225)					В6-130 Т6-130	Д6-130 С6-130	"ШГ5 ПД5 ГН5 ТК4"	"ГС5 ЭЭ5 ГН4 ПР4"	https://www.hero-wars.com?replay_id=1779726168427819877	
25/05 18:45	61882317	viktori	1116159	Тен(266) Сол(241) Тид(158) Мор(217) Риг(235)	342616064	Святогор	1184078	Мол(222) Сол(273) Ара(222) Тен(272) Игн(196)					Т6-112 С6-101	О6-130	"ТП2 ПД4 ГН3 ЗС3"	"ПВ4 ПД4  "	https://www.hero-wars.com?replay_id=1779723949768953508	
25/05 17:43	61882142	B.i.G	1006527	Игн(207) Ара(206) Аше(197) Вул(189) Мол(207)	347278250	Тата	1053595	Риг(196) Анг(209) Вер(196) Сол(243) Эде(210)					О6-130	Д6-121 С6-95	"ГС3 ПД3  "	"ГС3 ЭЭ5 ЛП3 ЗС4"	https://www.hero-wars.com?replay_id=1779720197148142192	
25/05 17:38	61991077	3ve	1025748	Игн(177) Тен(225) Ара(203) Аше(200) Бру(220)	346986323	whatdoyouSeek	1005093	Мол(213) Ава(213) Аше(195) Вер(170) Эде(215)					О6-130 Т6-130	Д6-130 О6-130	"ШГ4 ПР5 ГН4 ТК5"	"ГС3 ЭЭ5 ПВ5 ПР3"	https://www.hero-wars.com?replay_id=1779719910547947583	
25/05 17:33	61991077	3ve	1073726	Эде(207) Сол(242) Вер(208) Ава(187) Риг(229)	349850060	Patriot	1288130	Бру(269) Мор(218) Кер(232) Сол(255) Тен(314)					Д6-130 С6-130	Т6-130	"ГС5 ЭЭ5 ЛП5 ЗС5"	"ГН4 ТК4  "	https://www.hero-wars.com?replay_id=1779719615882767168	
25/05 17:33	62138500	Diablo	1062880	Гип(221) Маи(213) Тид(196) Нов(213) Сиг(221)	346986323	whatdoyouSeek	1382567	Бру(261) Риг(272) Мор(224) Сол(318) Тен(307)					В6-130	Т6-130 С6-130	"ШГ3 ТК5  "	"ГН5 ПД4 ЛП5 ЗС5"	https://www.hero-wars.com?replay_id=1779719600165205359	
