date time	attacker id	att name	att power	att team	defender id	def name	def power	team	points	attacker pets	defender pets	comment	A flag/totem	D flag/totem	A flag desc/Totem skills	D flag desc/Totem skills	replay
19/05 06:50	61882137	G_G	1108925	Хор(175) Пол(179) Фла(168) Кас(189) Ами(199) Кри(198)	5840426	Ggrayyy(Лексей)	1187445	Лир(187) Исм(208) Себ(203) ЛаК(210) Фаф(197) Акс(182)	35	Хор(9817) Бис(6622) Мер(7396) Оли(9428) Акс(9804)	Оли(11064) Фен(11064) Аль(11064) Век(11064) Мар(11064)		П	Б	"силы питомцев
11/12 физической атаки
7/12 магической защиты
10/12 магической атаки   "	"стремительных бойцов
11/12 пробивания брони
6/12 физической атаки
6/12 меткости   "	https://www.hero-wars.com?replay_id=1779162622894143896	
19/05 06:24	61882177	Rom	1019450	Хор(173) Авг(173) Ори(188) Фла(135) Кас(185) Эле(166)	5769009	Ксардас	1146082	Лир(192) Исм(208) Себ(189) ЛаК(212) Фаф(163) Акс(182)	35	Аль(9428) Хор(9428) Акс(7804) Бис(6894) Оли(10154)	Оли(11064) Фен(11064) Аль(11064) Век(11064) Мар(11064)		Т	Б	"воодушевления (Танки)
11/12 магической атаки
8/12 меткости
9/12 брони   "	"стремительных бойцов
9/12 физической атаки
6/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1779161053635182377	
19/05 05:33	61882154	Виларт	968560	Хор(172) Дор(87) Авг(185) Ори(190) Фла(153) Кри(182)	61420345	Kurremkarmerruk	1161820	Лир(179) Исм(207) Себ(203) ЛаК(222) Фаф(169) Акс(182)	35	Мер(5956) Аль(8518) Мар(5153) Хор(10154) Акс(11064)	Оли(11064) Фен(11064) Аль(11064) Мар(11064)  ### 		Б	Б	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	"стремительных бойцов
11/12 физической атаки
10/12 пробивания брони
8/12 меткости   "	https://www.hero-wars.com?replay_id=1779158016536781007	
19/05 05:13	62084542	bLanx	1190323	Хор(182) Эйд(191) ЛаК(223) Себ(200) Исм(205) Лир(189)	61358922	FANtop	1111326	Авр(211) Руф(167) Аст(169) Гал(203) Лир(180) Оли(182)	35	Мер(11064) Век(11064) Аль(11064) Фен(11064) Бис(11064)	Каи(11064)  ###   ###  Фен(11064)  ### 		Т	Т	"воодушевления (Танки)
9/12 магической атаки
6/12 брони
6/12 меткости   "	"воодушевления (Танки)
11/12 брони
9/12 физической атаки
6/12 магической атаки   "	https://www.hero-wars.com?replay_id=1779156800282947087	
19/05 05:05	61882154	Виларт	1080665	Хор(172) Дже(145) Себ(187) Неб(189) К'А(205) Лир(183)	61420261	Boobz	1094918	Авр(211) Крв(172) Руф(157) Аст(177) Гал(195) Бис(182)	35	Акс(11064) Аль(8518) Каи(4773) Век(9498) Оли(6066)	Каи(11064)  ###   ###   ###   ### 		Б	Т	"стремительных бойцов
10/12 брони
11/12 пробивания брони
10/12 физической атаки   "	"воодушевления (Танки)
6/12 магической защиты
6/12 магической атаки
6/12 брони   "	https://www.hero-wars.com?replay_id=1779156344220332926	
19/05 04:51	62084542	bLanx	1145236	Хор(182) Авг(190) Ори(204) Фла(183) Йор(175) Кри(210)	62082360	Ruzanna	1211952	Лир(191) Исм(207) Неб(205) Себ(203) ЛаК(224) Акс(182)	35	Аль(11064) Хор(11064) Мер(11064) Оли(11064) Акс(11064)	Фен(11064) Мар(11064) Каи(11064) Аль(11064) Век(11064)		А	Б	"авангарда
6/12 магической атаки
6/12 пробивания защиты от магии
6/12 магического мастерства   "	"стремительных бойцов
6/12 пробивания брони
6/12 магической защиты
6/12 брони   "	https://www.hero-wars.com?replay_id=1779155492627619143	
19/05 03:28	62138500	Diablo	1149290	Хор(182) Эйд(194) Кас(191) Бир(181) Ами(202) Крв(199)	6028951	Monstr	1186136	Лир(190) Исм(208) Себ(199) ЛаК(214) Эйд(193) Акс(182)	35	Хор(11064) Бис(11064) Мер(11064) Оли(11064) Аль(11064)	Оли(11064) Фен(11064) Аль(11064) Век(11064) Хор(11064)		А	Б	"авангарда
8/12 магической атаки
11/12 физической атаки
8/12 брони   "	"стремительных бойцов
12/12 пробивания брони
9/12 меткости
10/12 физической атаки   "	https://www.hero-wars.com?replay_id=1779150500869981514	
19/05 02:30	62138500	Diablo	1067632	Хор(182) Авг(192) Ори(206) Фла(183) Йор(101) Кри(204)	21597291	King	1194989	Лир(193) Исм(208) Неб(200) Себ(198) ЛаК(215) Акс(182)	35	Аль(11064) Хор(11064) Мер(11064) Оли(11064) Акс(11064)	Фен(11064) Мар(11064) Каи(11064) Аль(11064) Век(11064)		Э	Б	"готовности (Энергия)
9/12 магической атаки
11/12 физической атаки
9/12 пробивания брони   "	"стремительных бойцов
6/12 физической атаки
6/12 пробивания брони
6/12 меткости   "	https://www.hero-wars.com?replay_id=1779147011075517619	
19/05 02:23	62138500	Diablo	1188568	Акс(182) Фаф(187) ЛаК(224) Себ(201) Лир(190) Гал(205)	61420133	ГОРЫНЫЧ 	1226607	Гал(208) Лир(192) Три(214) Себ(203) ЛаК(227) Акс(182)	35	Мар(11064) Век(11064) Аль(11064) Фен(11064) Оли(11064)	Бис(11064) Оли(11064) Фен(11064) Аль(11064) Век(11064)		А	Б	"авангарда
8/12 магической атаки
11/12 физической атаки
8/12 брони   "	"стремительных бойцов
10/12 пробивания брони
11/12 физической атаки
8/12 магической атаки   "	https://www.hero-wars.com?replay_id=1779146580593452735	
19/05 01:41	61882267	ZOV	1163126	Хор(182) Гел(203) Эйд(191) Авг(194) Ори(202) Эле(192)	61780143	I_JK_I	1151089	Дан(204) Неб(188) Ори(206) Авг(188) Дор(184) Хор(182)	21	Бис(11064) Аль(10154) Хор(11064) Акс(10154) Мер(11064)	Каи(11064)  ###  Акс(11064) Хор(11064) Мер(11064)		А	П	"авангарда
7/12 магической атаки
10/12 здоровья
6/12 брони   "	"силы питомцев
9/12 меткости
8/12 физической атаки
9/12 магической атаки   "	https://www.hero-wars.com?replay_id=1779144113353575020	
