date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	replay
04/07 14:36	140	27	55003119	3.14_zDeTs	412555	Аль Фоб Айр Фол Йор Айз	1291940	Мер(3148) Аль(6484) Хор(10154) Оли(3166) Акс(5037)	https://www.hero-wars.com?replay_id=1751629006650675811	
04/07 14:36	140	27	55003119	3.14_zDeTs	406798	Аль Сел Сат Чер Лир Авр	765556	Хор(10154) Акс(5037) Фен(3588) Оли(3166) Каи(10154)	https://www.hero-wars.com?replay_id=1751628972036186150	
04/07 14:35	140	27	55003119	3.14_zDeTs	685287	Аль Хай Ара Гал Аст Руф	3984126	Аль(6484) Акс(5037) Фен(3588) Оли(3166)  ### 	https://www.hero-wars.com?replay_id=1751628934769180418	
04/07 14:31	140	27	55003119	3.14_zDeTs	614136	Аль Фаф Без Себ Джу Дан	1003304	Мар(3973) Хор(10154) Аль(6484) Фен(3588) Каи(10154)	https://www.hero-wars.com?replay_id=1751628710071123756	
04/07 12:24	140	27	55003119	3.14_zDeTs	768987	Аль Баб Дор Авг Ори Неб	19195442	Оли(3166) Акс(5037) Аль(6484) Хор(10154) Каи(10154)	https://www.hero-wars.com?replay_id=1751621044684216853	
04/07 12:23	140	27	61406476	Джуманджи	402057	Аль Фаф Дор Суд Дан Юли	983241	Оли(10462) Акс(3973)  ###  Каи(10154)  ### 	https://www.hero-wars.com?replay_id=1751621001910705962	
04/07 12:22	140	27	61406476	Джуманджи	398809	Аль Гел Арт Джи Ори Мор	752404	Акс(3973)  ###   ###   ###  Оли(10462)	https://www.hero-wars.com?replay_id=1751620971510163085	
04/07 12:22	140	27	61406476	Джуманджи	613879	Аль Айр Фол Йор Сел Кир	5365086	Аль(11064)  ###  Оли(10462) Акс(3973)  ### 	https://www.hero-wars.com?replay_id=1751620921544773703	
04/07 12:21	140	27	61406476	Джуманджи	1061209	Аль Хай Ами Кей Аст Авр	17592282	Аль(11064) Акс(3973)  ###   ###  Оли(10462)	https://www.hero-wars.com?replay_id=1751620879940578292	
04/07 12:20	140	27	61406476	Джуманджи	1145990	Аль Баб Себ Неб Джу Айз	23196728	Акс(3973) Аль(11064) Каи(10154)  ###  Оли(10462)	https://www.hero-wars.com?replay_id=1751620826857242968	
04/07 12:13	140	27	55006435	Пунь Пунь	754905	Аль Ами Сел Сат Аст Руф	3984802	Оли(3413) Хор(4767) Мер(3223) Акс(3853) Аль(9934)	https://www.hero-wars.com?replay_id=1751620413422956412	
