date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
16/08 21:22	150	33	61406476	Джуманджи	438675	Аль Гел Арт Джи Мор Дан	253732	Акс(4773)  ###  Фен(6894) Оли(11064) Каи(10154)		https://www.hero-wars.com?replay_id=1755368520327652841	
16/08 21:20	150	33	61406476	Джуманджи	623389	Аль Фол Ори Йор Ами Анд	1285791	 ###  Бис(3414) Акс(4773) Оли(11064) Фен(6894)		https://www.hero-wars.com?replay_id=1755368445355910113	
16/08 21:20	150	33	61406476	Джуманджи	801032	Аль Эйд Сел Кир Гус Авр	2344374	Аль(11064) Акс(4773) Фен(6894)  ###  Оли(11064)		https://www.hero-wars.com?replay_id=1755368425415267455	
16/08 21:20	150	33	61406476	Джуманджи	1117361	Аль Себ Джу Айз Кей Аст	3028884	Оли(11064) Аль(11064)  ###  Бис(3414) Акс(4773)		https://www.hero-wars.com?replay_id=1755368404924353154	
16/08 21:02	150	33	61406476	Джуманджи	952404	Аль Баб Дор Айр Хай Неб	6085163	Оли(11064) Акс(4773) Бис(3414) Аль(11064) Каи(10154)		https://www.hero-wars.com?replay_id=1755367355740440780	
16/08 18:43	150	33	61462934	Kamul27rus	345199	Аль Арт Без Крн Авг Сел	160990	Фен(5808) Акс(3885) Оли(6484) Аль(8108) Мер(6908)		https://www.hero-wars.com?replay_id=1755359012287755900	
16/08 18:43	150	33	61462934	Kamul27rus	445992	Аль Фол Мор Май Цин Аст	632080	Мер(6908) Акс(3885) Бис(3379) Аль(8108) Оли(6484)		https://www.hero-wars.com?replay_id=1755359000571308214	
16/08 18:43	150	33	61462934	Kamul27rus	674661	Аль Себ Джу Дан Гус Гал	1652032	Аль(8108) Фен(5808) Каи(6894) Акс(3885) Оли(6484)		https://www.hero-wars.com?replay_id=1755358988133777054	
16/08 18:42	150	33	61462934	Kamul27rus	932030	Аль Тея Неб Айз Ясм Лир	5156956	Мер(6908) Каи(6894) Оли(6484) Аль(8108) Фен(5808)		https://www.hero-wars.com?replay_id=1755358975689613052	
16/08 18:21	150	33	61430649	Alex	366221	Акс Фаф Фол Ами Ясм Авр	61023	Оли(4123) Хор(8686) Бис(4173) Фен(6676) Каи(5834)		https://www.hero-wars.com?replay_id=1755357704463257040	
16/08 18:20	150	33	61430649	Alex	591542	Акс Баб Себ Неб Дан Лир	19173	Оли(4123) Аль(4123) Каи(5834) Фен(6676) Бис(4173)		https://www.hero-wars.com?replay_id=1755357603626824071	
16/08 15:08	150	33	54969372	Seregina	519008	Хор Баб Суд Кир Ара Лют	35690	Оли(10154) Хор(11064) Аль(9594) Акс(4806) Бис(4773)		https://www.hero-wars.com?replay_id=1755346108478225779	
16/08 15:07	150	33	54969372	Seregina	965780	Хор Дор Авг Ори Неб Ами	16119816	Акс(4806) Аль(9594) Хор(11064) Каи(10154) Оли(10154)		https://www.hero-wars.com?replay_id=1755346050409176565	
16/08 04:11	150	33	61430649	Alex	606940	Акс Дор Авг Ори Чер Аст	6580371	Мер(3943) Хор(8686) Акс(3973) Фен(4767) Оли(4123)		https://www.hero-wars.com?replay_id=1755306698958627608	
16/08 00:59	150	33	61430296	ZOV	863212	Аль Фаф Хай Джу Айз Чер	4251985	Мар(4123) Каи(8518) Аль(6244) Акс(7868) Оли(6894)		https://www.hero-wars.com?replay_id=1755295175072856008	
15/08 23:58	150	33	61407464	Natamobil	363755	Хор Гел Фаф Арт Анд Гал	18554	Хор(8320) Оли(3605) Век(6195) Фен(2718) Аль(4503)		https://www.hero-wars.com?replay_id=1755291508200584546	
15/08 23:58	150	33	61407464	Natamobil	390975	Хор Баб Айр Себ Айз Мор	7096	Оли(3605) Бис(229) Аль(4503)  ###  Акс(4450)		https://www.hero-wars.com?replay_id=1755291490020419332	
15/08 23:57	150	33	61407464	Natamobil	462183	Хор Джу Сел Кир Гус Тес	586933	Век(6195) Хор(8320) Аль(4503) Акс(4450) Оли(3605)		https://www.hero-wars.com?replay_id=1755291458776864759	
15/08 20:52	150	33	61462867	Dark Side	499191	Акс Гел Тея Чер Аст Юли	27458	Хор(11064) Мар(9428) Оли(8346) Бис(5766) Акс(9461)		https://www.hero-wars.com?replay_id=1755280368073391619	
15/08 20:51	150	33	61462867	Dark Side	766888	Акс Дор Джу Гус Руф Авр	850548	Мер(4773) Аль(6676) Хор(11064) Акс(9461) Каи(11064)		https://www.hero-wars.com?replay_id=1755280315268212198	
15/08 20:51	150	33	61462867	Dark Side	802212	Аль Фаф Эйд Хай Дан Кей	901966	Мар(9428) Хор(11064) Акс(9461) Каи(11064) Аль(6676)		https://www.hero-wars.com?replay_id=1755280278310405492	
15/08 20:50	150	33	61462867	Dark Side	1001395	Аль Себ Айз Кир Исм Лир	838815	Аль(6676) Акс(9461) Век(5956) Фен(5351) Оли(8346)		https://www.hero-wars.com?replay_id=1755280217591028554	
15/08 19:18	150	33	61411830	Rom	711207	Аль Баб Дор Авг Ори Неб	16855494	Оли(4773) Акс(5766) Аль(5766) Хор(8518) Каи(11064)		https://www.hero-wars.com?replay_id=1755274696460395527	
15/08 18:36	150	33	61408059	Joos	835921	Аль Баб Дор Авг Ори Неб	21030032	Оли(7130) Мер(3943) Аль(5116) Хор(10154) Каи(10154)		https://www.hero-wars.com?replay_id=1755272196483660769	
15/08 18:31	140	33	61357137	Оди	1068242	Аль Баб Хай Неб Ами Руф	16319008	Оли(6949) Аль(9428) Каи(6949) Акс(9428) Бис(6949)		https://www.hero-wars.com?replay_id=1755271895706948036	
15/08 17:02	140	33	61430370	Тема	400328	Аль Фаф Хай Джу Айз Кей	2312612	Оли(4123) Аль(9428) Фен(2313) Акс(7596) Бис(3261)		https://www.hero-wars.com?replay_id=1755266536236269102	
15/08 17:01	140	33	61430370	Тема	446656	Аль Айр Фол Сел Чер Аст	942872	Аль(9428) Хор(4123) Акс(7596) Оли(4123) Бис(3261)		https://www.hero-wars.com?replay_id=1755266478429577334	
15/08 17:00	140	33	61430370	Тема	768958	Аль Баб Дор Авг Ори Неб	21701209	Оли(4123) Мер(3973) Аль(9428) Акс(7596) Каи(4123)		https://www.hero-wars.com?replay_id=1755266423536061976	
15/08 16:35	140	33	55070191	-БигФут-	477713	Акс Аст Сор Себ Кей Аст	401310	Фен(3619) Век(2385) Оли(6508) Аль(6508) Акс(6508)		https://www.hero-wars.com?replay_id=1755264914480054438	
15/08 16:34	140	33	55070191	-БигФут-	371225	Акс Фаф Без Эйд Хай Кир	57838	Оли(6508) Акс(6508) Мер(1758) Каи(6244) Аль(6508)		https://www.hero-wars.com?replay_id=1755264860441595923	
15/08 16:32	140	33	55070191	-БигФут-	506894	Акс Айз Сел Гус Гал Крв	1438884	Мар(967) Акс(6508) Фен(3619) Аль(6508) Оли(6508)		https://www.hero-wars.com?replay_id=1755264774023427136	
