date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
17/05 21:42	160	20	62044906	ГошаПукаетВкозу	979764	Аль(182) Пол(154) Фоб(82) Эйд(163) Ара(205) Аст(193)	823998	Мар(6484) Бис(5887) Хор(11064) Аль(11064) Оли(9638)		https://www.hero-wars.com?replay_id=1779043359570805131
17/05 21:41	160	20	62044906	ГошаПукаетВкозу	1030193	Аль(182) Джу(107) Дан(204) Исм(204) Лир(186) Юли(147)	1749908	Аль(11064) Каи(10154) Фен(8108) Оли(9638) Бис(5887)		https://www.hero-wars.com?replay_id=1779043312409677761
17/05 21:40	160	20	62044906	ГошаПукаетВкозу	969507	Аль(182) Фла(139) Хай(205) Ами(189) Сат(106) Руф(148)	6769348	Бис(5887) Аль(11064) Оли(9638) Хор(11064) Акс(11064)		https://www.hero-wars.com?replay_id=1779043238254236336
17/05 21:39	160	20	62044906	ГошаПукаетВкозу	886533	Аль(182) Дор(79) Авг(193) Ори(204) Йор(173) Авр(56)	34277499	Мер(5417) Акс(11064) Хор(11064) Оли(9638) Бис(5887)		https://www.hero-wars.com?replay_id=1779043144680616366
17/05 21:36	160	20	62044906	ГошаПукаетВкозу	1069909	Акс(182) Баб(103) ЛаК(208) Себ(198) Неб(199) Айз(179)	185680986	Акс(11064) Фен(8108) Аль(11064) Каи(10154) Оли(9638)		https://www.hero-wars.com?replay_id=1779043019670511681
17/05 21:33	160	20	61882156	3.14_ZDETS	1087689	Аль(182) Тея(143) Эйд(178) Джу(193) Дан(202) Три(190)	2129832	Акс(11064) Хор(11064) Век(9018) Каи(11064) Фен(9470)		https://www.hero-wars.com?replay_id=1779042828101034742
17/05 21:32	160	20	61882156	3.14_ZDETS	1001290	Аль(182) Фла(144) Хай(175) Ами(187) Сел(153) Эле(160)	16115042	Бис(11064) Аль(11064) Акс(11064) Хор(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1779042755103872026
17/05 21:31	160	20	61882156	3.14_ZDETS	1076601	Акс(182) Крн(166) Цин(146) Исм(202) Лир(187) Гал(193)	772939	Акс(11064) Каи(11064) Мар(8108) Фен(9470) Оли(11064)		https://www.hero-wars.com?replay_id=1779042662081121247
17/05 21:28	160	20	61882156	3.14_ZDETS	955553	Аль(182) Дор(141) Авг(190) Ори(203) Йор(149) Авр(92)	11448893	### Хор(11064) Акс(11064) Оли(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1779042498398117976
17/05 21:14	160	20	62044999	Пунь Пунь	687065	Аль(182) Пол(95) Кас(80) Йор(96) Чер(80) Кей(155)	120948	Хор(9792) Мер(6327) Акс(7394) Оли(10380) Аль(11064)		https://www.hero-wars.com?replay_id=1779041653843805337
17/05 21:13	160	20	61882156	3.14_ZDETS	1143252	Аль(182) Баб(165) ЛаК(203) Себ(199) Неб(202) Айз(192)	380194803	Акс(11064) Век(9018) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1779041628012885255
17/05 21:12	160	20	62044999	Пунь Пунь	965163	Аль(182) Хай(205) Бир(84) Ами(196) Сел(198) Руф(101)	13532699	Аль(11064) Акс(7394) Оли(10380) Хор(9792) Бис(5153)		https://www.hero-wars.com?replay_id=1779041579870631468
17/05 21:11	160	20	62044999	Пунь Пунь	1062898	Аль(182) Эйд(190) Джу(150) Ясм(204) Лир(186) Эле(151)	4534860	Аль(11064) Век(11064) Каи(11064) Фен(10154) Оли(10380)		https://www.hero-wars.com?replay_id=1779041513881105108
17/05 21:10	160	20	62044999	Пунь Пунь	983106	Аль(182) Дор(74) Авг(165) Ори(196) Фла(173) Аст(193)	2988717	Мер(6327) Аль(11064) Хор(9792) Акс(7394) Оли(10380)		https://www.hero-wars.com?replay_id=1779041453179007904
17/05 21:03	160	20	62044999	Пунь Пунь	1039738	Акс(118) Баб(153) ЛаК(206) Себ(200) Неб(203) Айз(160)	340328001	Акс(7394) Век(11064) Аль(11064) Каи(11064) Оли(10380)		https://www.hero-wars.com?replay_id=1779041002183291129
17/05 20:27	160	20	61882233	2 718	639314	Акс(136) Бир(90) Мор(74) Сат(142) Муш(93) Крв(103)	547752	Хор(7412) Оли(8108) Мер(6908) Акс(7818) Аль(8518)		https://www.hero-wars.com?replay_id=1779038854521398750
17/05 20:26	160	20	61882233	2 718	653479	Акс(136) Фаф(123) Фла(133) Гус(97) Гал(60) Руф(105)	3155234	Оли(8108) Акс(7818) Хор(7412) Фен(8574) Аль(8518)		https://www.hero-wars.com?replay_id=1779038795667444877
17/05 17:59	160	20	62072200	Пух	1174582	Аль(182) ЛаК(218) Джу(194) Цин(206) Чер(197) Эле(177)	19023320	Фен(11064) Аль(11064) Каи(11064) Бис(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1779029981598875287
17/05 17:57	160	20	62072200	Пух	634208	Мер(160) Дор(79) Авг(188) Ори(202) Аст(3) Лют(3)	40064593	Акс(9428) Аль(11064) Хор(11064) ### ###		https://www.hero-wars.com?replay_id=1779029866584940359
17/05 17:55	160	20	62072200	Пух	1107804	Аль(182) Гус(154) Ясм(206) Три(203) Лир(175) Гал(188)	21022555	### Каи(11064) Фен(11064) ### Аль(11064)		https://www.hero-wars.com?replay_id=1779029700952203928
17/05 17:50	160	20	62072200	Пух	1074593	Аль(182) Эйд(184) Бир(162) Сел(193) Мор(176) Крв(177)	31001456	Хор(11064) Бис(11064) Мер(10268) Акс(9428) Аль(11064)		https://www.hero-wars.com?replay_id=1779029427228274203
17/05 17:05	160	20	61882168	Тема	607479	Аль(153) Тея(125) Кас(63) Сел(81) Кри(75) Эле(111)	223507	Мар(7458) Бис(3973) Хор(9428) Мер(3973) Акс(9428)		https://www.hero-wars.com?replay_id=1779026702477820649
17/05 17:04	160	20	61882168	Тема	620133	Аль(153) Эйд(134) Фол(66) Джу(135) Чер(69) Кей(62)	1280628	Хор(9428) Акс(9428) Фен(3973) Оли(9890) Аль(9428)		https://www.hero-wars.com?replay_id=1779026666918517209
17/05 17:03	160	20	61882168	Тема	1022129	Аль(153) Фла(138) Мор(183) Кир(184) Лир(171) Крв(192)	3720617	Хор(9428) Акс(9428) Аль(9428) Фен(3973) Оли(9890)		https://www.hero-wars.com?replay_id=1779026624238140919
17/05 17:02	160	20	61882168	Тема	1015644	Аль(153) Баб(168) ЛаК(182) Себ(175) Неб(194) Айз(142)	77466625	Акс(9428) Век(3973) Аль(9428) Каи(9428) Оли(9890)		https://www.hero-wars.com?replay_id=1779026552229738815
17/05 16:52	160	20	62082395	Винни	672204	Акс(182) Гел(100) Айр(99) Кас(98) Бир(90) Гал(103)	100179	Акс(11064) Аль(8782) Хор(11064) Мер(7804) Фен(9428)		https://www.hero-wars.com?replay_id=1779025934830238632
17/05 16:52	160	20	62082395	Винни	861629	Акс(182) Эйд(127) ЛаК(120) Ами(144) Гус(124) Ясм(165)	235388	Хор(11064) Век(5766) Акс(11064) Оли(8518) Фен(9428)		https://www.hero-wars.com?replay_id=1779025920763096793
17/05 16:51	160	20	62082395	Винни	1135695	Акс(182) Дор(178) Дан(194) Исм(202) Лир(185) Аст(195)	87816	Мер(7804) Каи(6894) Фен(9428) Оли(8518) Акс(11064)		https://www.hero-wars.com?replay_id=1779025908429162630
17/05 16:51	160	20	62082395	Винни	983788	Аль(153) Баб(116) Себ(195) Неб(186) Джу(160) Айз(174)	3307625	### Аль(8782) Каи(6894) Век(5766) Оли(8518)		https://www.hero-wars.com?replay_id=1779025891245514119
17/05 16:46	160	20	61882246	Nergal	927609	Оли(110) Фаф(184) Джу(188) Чер(124) Ясм(199) Гал(124)	2000471	Оли(6698) Век(11064) Фен(7804) Каи(5153) Аль(11064)		https://www.hero-wars.com?replay_id=1779025561885923349
17/05 16:42	160	20	61882246	Nergal	1007091	Аль(182) Тея(100) Фла(171) Исм(203) Лир(190) Эле(162)	6833047	Акс(9472) Мер(11064) Мар(4773) Фен(7804) Оли(6698)		https://www.hero-wars.com?replay_id=1779025363177246196
17/05 16:36	160	20	61882250	Kamul27rus	833504	Аль(182) Бир(72) Май(53) Цин(116) Ясм(203) Исм(207)	329112	Мер(11064) Акс(7844) Каи(9018) Аль(11064) Оли(9428)		https://www.hero-wars.com?replay_id=1779024987376961743
17/05 16:34	160	20	61882250	Kamul27rus	1037315	Аль(182) Эйд(174) Гус(103) Лир(191) Гал(193) Крв(195)	15222310	Мер(11064) Акс(7844) Оли(9428) Фен(6950) Аль(11064)		https://www.hero-wars.com?replay_id=1779024898264920828
17/05 16:31	160	20	61882250	Kamul27rus	1054708	Аль(182) Тея(188) Фла(178) Джу(157) Чер(175) Эле(175)	10496639	Акс(7844) Мер(11064) Аль(11064) Фен(6950) Оли(9428)		https://www.hero-wars.com?replay_id=1779024698881500242
17/05 16:22	160	20	61882246	Nergal	1064515	Аль(182) Эйд(184) Бир(178) Гус(164) Муш(162) Крв(195)	43029136	Хор(11064) Мер(11064) Фен(7804) Акс(9472) Аль(11064)		https://www.hero-wars.com?replay_id=1779024130438443684
17/05 16:02	160	20	61882250	Kamul27rus	699648	Мер(182) Дор(56) Авг(181) Ори(200) Кри(35) К'А(46)	53788605	Акс(7844) Аль(11064) Мер(11064) Хор(7028) Век(7624)		https://www.hero-wars.com?replay_id=1779022937816468752
17/05 15:58	160	20	61882246	Nergal	726143	Мер(182) Дор(55) Авг(191) Ори(200) Кри(43) К'А(56)	50012580	Акс(9472) Аль(11064) Мер(11064) Хор(11064) Век(11064)		https://www.hero-wars.com?replay_id=1779022714879793463
17/05 15:38	160	20	61882250	Kamul27rus	1134313	Аль(182) Баб(177) ЛаК(201) Себ(197) Неб(196) Айз(181)	454370204	Акс(7844) Век(7624) Аль(11064) Каи(9018) Оли(9428)		https://www.hero-wars.com?replay_id=1779021531452289587
17/05 15:27	160	20	61882246	Nergal	1138244	Аль(182) Баб(192) ЛаК(197) Себ(197) Неб(192) Айз(179)	522091159	Акс(9472) Век(11064) Аль(11064) Каи(5153) Оли(6698)		https://www.hero-wars.com?replay_id=1779020863524525169
17/05 15:05	160	20	61882177	Rom	1012217	Аль(155) Фаф(111) Джу(176) Дан(194) Лир(178) Авр(198)	2954924	Мар(6894) Аль(9428) Фен(6894) Оли(10154) Каи(11064)		https://www.hero-wars.com?replay_id=1779019512148934532
17/05 15:03	160	20	61882177	Rom	985208	Мер(128) Гел(144) Кас(186) Сел(162) Кри(200) Эле(166)	123188	Акс(7804) Мер(7804) Бис(6894) Хор(9428) Оли(10154)		https://www.hero-wars.com?replay_id=1779019431320550453
17/05 15:02	160	20	61882177	Rom	789203	Аль(155) Эйд(177) Фла(135) Бир(92) Гус(87) Крв(144)	3115247	Хор(9428) Акс(7804) Мер(7804) Оли(10154) Аль(9428)		https://www.hero-wars.com?replay_id=1779019370558238432
17/05 12:50	160	20	62138500	Diablo	1123878	Аль(182) Эйд(194) Бир(181) Гус(179) Муш(189) Крв(199)	43163480	Хор(11064) Мер(11064) Фен(11064) Акс(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1779011425295092885
17/05 12:45	160	20	62138500	Diablo	1068738	Мер(182) Дор(122) Авг(192) Ори(206) Мод(163) Кри(204)	52335830	Акс(11064) Аль(11064) Мер(11064) Хор(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1779011124774704780
17/05 12:41	160	20	62138500	Diablo	1089336	Аль(182) Баб(136) Крн(190) Себ(201) Неб(205) Айз(175)	771435593	### Акс(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1779010870705843496
17/05 09:08	160	20	62084542	bLanx	1115025	Аль(182) Джу(198) Кир(199) Лир(189) Аст(196) Руф(150)	23831087	Аль(11064) Век(11064) Оли(11064) Акс(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1778998124920720699
17/05 09:07	160	20	62084542	bLanx	1036120	Аль(182) Эйд(191) Хай(208) Бир(110) Сел(176) Крв(169)	4929314	Хор(11064) Каи(11064) Акс(11064) Мер(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1778998022044121823
17/05 09:02	160	20	62084542	bLanx	1161803	Мер(182) Дор(196) Авг(190) Ори(204) Кас(190) Ами(199)	52749764	Мер(11064) Аль(11064) Хор(11064) Акс(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1778997753548686350
17/05 09:00	160	20	62084542	bLanx	1061357	Акс(182) Крн(146) Цин(202) Чер(131) Три(198) Авр(201)	6137421	Акс(11064) Каи(11064) Фен(11064) ### Оли(11064)		https://www.hero-wars.com?replay_id=1778997612193703256
17/05 08:56	160	20	62084542	bLanx	1184135	Аль(182) Баб(183) ЛаК(223) Себ(200) Неб(202) Айз(194)	296567283	### Век(11064) Аль(11064) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1778997380147508228
17/05 08:30	160	20	62084537	Фартовый	847439	Аль(182) Джу(70) Гус(176) Лир(181) Аст(195) Руф(43)	1089572	Аль(11064) Фен(8382) Оли(11064) Акс(11064) Бис(9204)		https://www.hero-wars.com?replay_id=1778995801286995431
17/05 08:28	160	20	62084537	Фартовый	1070300	Аль(182) Эйд(190) Хай(207) Бир(151) Сел(199) Крв(141)	4108211	Хор(11064) Каи(10154) Акс(11064) Мер(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1778995729475257053
