date time	level	week	attacker id	att name	att power	att team	damage	attacker patronage	comment	replay
07/06 22:09	160	23	62084537	Фартовый	1043841	Аль(182) Крн(108) Себ(194) Джу(191) Айз(168) Три(201)	2663641	Акс(11064) Аль(11064) Век(11064) Оли(11064) Фен(8910)		https://www.hero-wars.com?replay_id=1780859387402399355	
07/06 22:04	160	23	62084540	SVAROG	1206282	Мер(182) Айр(214) Фол(198) Ами(202) Кри(213) Эле(197)	4562868	Аль(11064) Бис(11064) Оли(11064) Хор(11064) Мер(11064)		https://www.hero-wars.com?replay_id=1780859078138380402	
07/06 22:01	160	23	62084540	SVAROG	1161814	Аль(182) Крн(192) Себ(203) Айз(165) Чер(205) Три(214)	7595218	Акс(11064) Аль(11064)  ###  Оли(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1780858870957988158	
07/06 21:57	160	23	62084540	SVAROG	1222206	Акс(182) ЛаК(227) Джу(198) Цин(206) Ясм(203) Гал(206)	8974405	Век(11064) Аль(11064) Каи(11064) Фен(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1780858652140115851	
07/06 21:53	160	23	62084540	SVAROG	1150533	Мер(182) Баб(164) Дор(193) Авг(199) Ори(207) Неб(205)	21285658	 ###  Акс(11064) Аль(11064) Хор(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1780858437380840513	
07/06 21:50	160	23	62084540	SVAROG	1152699	Аль(182) Эйд(189) Бир(178) Мор(203) Муш(201) Крв(201)	37742516	Мер(11064) Бис(11064) Оли(11064) Акс(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1780858229623982544	
07/06 21:43	160	23	62072200	Пух	1152007	Аль(182) Фла(186) Хай(203) Неб(204) Сел(194) Эле(183)	13156217	Мер(11064) Аль(11064) Каи(11064) Бис(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1780857821677740189	
07/06 21:41	160	23	62072200	Пух	1156073	Акс(173) ЛаК(218) Ада(187) Ясм(203) Лир(187) Гал(188)	10175378	Фен(11064) Каи(11064) Аль(11064) Оли(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1780857718934876104	
07/06 21:40	160	23	62084805	Souffle	1163877	Аль(182) Хай(203) Дан(194) Исм(202) Три(195) Кей(189)	13191422	Аль(11064) Каи(7153) Оли(9496) Фен(6894) Бис(6894)		https://www.hero-wars.com?replay_id=1780857601280026358	
07/06 21:39	160	23	62084805	Souffle	914341	Аль(182) Ада(142) Неб(130) Джу(140) Айз(150) Гус(170)	3423301	Век(6916) Каи(7153) Аль(11064) Оли(9496) Акс(11064)		https://www.hero-wars.com?replay_id=1780857586612848533	
07/06 21:39	160	23	62084805	Souffle	872631	Аль(182) Фол(103) Кас(167) Бир(144) Сел(145) Кри(132)	1811217	 ###  Мер(9428) Бис(6894) Хор(11064) Акс(11064)		https://www.hero-wars.com?replay_id=1780857557774134543	
07/06 21:38	160	23	62084805	Souffle	1149840	Аль(182) Эйд(188) ЛаК(206) Себ(198) Ясм(189) Лир(186)	2590660	Хор(11064) Век(6916) Аль(11064) Каи(7153) Оли(9496)		https://www.hero-wars.com?replay_id=1780857525265445153	
07/06 21:38	160	23	62084805	Souffle	1035540	Аль(182) Дор(119) Авг(188) Ори(202) Фла(173) Эле(173)	5990891	Мер(9428) Аль(11064) Хор(11064) Акс(11064) Оли(9496)		https://www.hero-wars.com?replay_id=1780857495200765775	
07/06 21:03	160	23	62072200	Пух	1128704	Аль(182) Крн(184) Себ(203) Айз(159) Чер(197) Три(203)	6016194	Акс(9428) Аль(11064) Оли(11064) Бис(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1780855389302974799	
07/06 21:01	160	23	62072200	Пух	925073	Мер(176) Баб(192) Дор(102) Авг(193) Ори(202) Ами(60)	35338281	Оли(11064) Акс(9428) Аль(11064) Мер(11064) Бис(11064)		https://www.hero-wars.com?replay_id=1780855267749347275	
07/06 20:48	160	23	62072200	Пух	1042962	Аль(182) Эйд(184) Бир(163) Мор(176) Муш(161) Крв(177)	35472318	Хор(11064) Бис(11064) Акс(9428) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1780854492664816960	
07/06 20:08	160	23	62084549	Тихая	779187	Аль(155) Тея(74) Ада(128) Исм(201) Три(101) Эле(120)	726456	Мер(6484) Век(8518) Оли(8574) Фен(8518) Акс(9428)		https://www.hero-wars.com?replay_id=1780852097771201869	
07/06 20:07	160	23	62084549	Тихая	1107225	Аль(155) Себ(199) Айз(184) Кир(197) Лир(186) Гал(187)	2569158	Аль(9428) Оли(8574) Век(8518) Фен(8518) Бис(4623)		https://www.hero-wars.com?replay_id=1780852043762125340	
07/06 20:06	160	23	62084549	Тихая	959341	Аль(155) Дже(89) Эйд(188) ЛаК(214) Джу(120) Аст(193)	2463509	Оли(8574) Хор(9439) Фен(8518) Век(8518) Акс(9428)		https://www.hero-wars.com?replay_id=1780851997588338030	
07/06 20:05	160	23	62084549	Тихая	1033044	Аль(155) Айр(197) Фла(177) Кас(179) Бир(134) Кри(192)	8796593	Аль(9428) Хор(9439) Акс(9428) Мер(6484) Бис(4623)		https://www.hero-wars.com?replay_id=1780851920902084159	
07/06 20:03	160	23	62044906	ГошаПукаетВкозу	1069353	Акс(182) Пол(162) ЛаК(208) Ада(142) Йор(180) Аст(195)	162428	Мар(6484) Век(6484) Каи(10154) Оли(10866) Акс(11064)		https://www.hero-wars.com?replay_id=1780851824947143760	
07/06 20:03	160	23	62044906	ГошаПукаетВкозу	1075812	Аль(182) Фла(150) Хай(205) Ами(192) Ара(203) Руф(144)	7781484	Акс(11064) Аль(11064) Оли(10866) Мар(6484) Бис(5887)		https://www.hero-wars.com?replay_id=1780851793217124673	
07/06 20:01	160	23	62044906	ГошаПукаетВкозу	1109694	Акс(182) Себ(200) Айз(185) Дан(204) Лир(185) Юли(154)	853426	Аль(11064) Оли(10866) Каи(10154) Фен(8518) Акс(11064)		https://www.hero-wars.com?replay_id=1780851698656894930	
07/06 20:00	160	23	62044906	ГошаПукаетВкозу	951097	Акс(182) Баб(104) Дор(71) Авг(194) Ори(200) Неб(201)	31571120	Акс(11064)  ###  Аль(11064) Мар(6484) Каи(10154)		https://www.hero-wars.com?replay_id=1780851634016145967	
07/06 20:00	160	23	62084549	Тихая	983511	Мер(105) Баб(180) Дор(158) Авг(146) Ори(198) Неб(196)	29838754	Оли(8574) Акс(9428) Аль(9428) Мер(6484) Каи(5417)		https://www.hero-wars.com?replay_id=1780851609326586532	
07/06 19:24	160	23	62145280	Nata	1053157	Аль(182) Джу(181) Ами(174) Аль(185) Сат(128) Авр(203)	4953258	Аль(11064) Акс(10882) Оли(11064) Мер(11064) Каи(9820)		https://www.hero-wars.com?replay_id=1780849451862871660	
07/06 19:17	160	23	62145280	Nata	1060922	Аль(182) ЛаК(221) Ада(167) Фла(177) Лир(182) Гал(132)	5593008	Век(9018) Каи(9820) Акс(10882) Бис(6894) Фен(11064)		https://www.hero-wars.com?replay_id=1780849077737753922	
07/06 19:11	160	23	62145280	Nata	1041756	Аль(182) Крн(173) Себ(201) Айз(186) Чер(142) Три(158)	3395290	Акс(10882) Аль(11064) Оли(11064) Бис(6894) Фен(11064)		https://www.hero-wars.com?replay_id=1780848711547858759	
07/06 19:04	160	23	62145280	Nata	1045631	Аль(182) Эйд(185) Бир(170) Гус(146) Муш(180) Крв(183)	41034581	Хор(11064) Акс(10882) Фен(11064) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1780848296939512739	
07/06 19:02	160	23	61882246	Nergal	891805	Мер(182) Пол(141) Ада(132) Кас(132) Мор(143) Дан(161)	266290	Хор(11064) Век(11064) Мер(11064) Акс(10910) Фен(7846)		https://www.hero-wars.com?replay_id=1780848142798766806	
07/06 19:01	160	23	61882246	Nergal	1047191	Мер(182) Фла(178) Бир(179) Гус(166) Муш(180) Эле(162)	8998113	Хор(11064) Мер(11064) Фен(7846) Акс(10910) Оли(6698)		https://www.hero-wars.com?replay_id=1780848115794423946	
07/06 19:01	160	23	61882246	Nergal	1128984	Мер(182) Фаф(187) Себ(198) Джу(188) Айз(184) Лир(190)	193791	Оли(6698) Аль(11064) Век(11064) Акс(10910) Фен(7846)		https://www.hero-wars.com?replay_id=1780848098462620345	
07/06 19:00	160	23	62145280	Nata	1082118	Мер(182) Баб(164) Дор(132) Авг(195) Ори(206) Неб(202)	7672696	 ###   ###  Аль(11064) Мер(11064) Каи(9820)		https://www.hero-wars.com?replay_id=1780848013214793182	
07/06 18:45	160	23	61882246	Nergal	1165356	Аль(182) Эйд(187) ЛаК(197) Ясм(203) Исм(205) Крв(190)	2991538	Мер(11064) Век(11064) Аль(11064) Фен(7846) Оли(6698)		https://www.hero-wars.com?replay_id=1780847117828953866	
07/06 18:42	160	23	61882246	Nergal	993151	Мер(182) Баб(182) Дор(45) Авг(191) Ори(200) Неб(193)	42891001	 ###   ###  Аль(11064) Мер(11064) Каи(5153)		https://www.hero-wars.com?replay_id=1780846940971935898	
07/06 18:36	160	23	61882250	Kamul27rus	880293	Мер(182) Фаф(166) Кас(150) Джу(159) Гус(105) Цин(119)	668022	Оли(9456) Мер(11064) Аль(11064) Акс(8617) Каи(9018)		https://www.hero-wars.com?replay_id=1780846596139325084	
07/06 18:35	160	23	61882250	Kamul27rus	1101913	Мер(182) Тея(191) Фла(179) Дан(178) Крв(195) Эле(176)	2846606	Мер(11064) Акс(8617) Каи(9018) Аль(11064) Оли(9456)		https://www.hero-wars.com?replay_id=1780846544714360787	
07/06 18:35	160	23	61882250	Kamul27rus	1157260	Аль(182) Эйд(176) ЛаК(201) Ясм(203) Исм(205) Лир(191)	1921502	Мер(11064) Век(7624) Каи(9018) Фен(7056) Оли(9456)		https://www.hero-wars.com?replay_id=1780846500045929580	
07/06 18:32	160	23	61882250	Kamul27rus	1005990	Аль(182) Крн(64) Себ(198) Айз(183) Чер(183) Гал(196)	4461882	Акс(8617) Аль(11064) Оли(9456) Бис(5766) Фен(7056)		https://www.hero-wars.com?replay_id=1780846359133566364	
07/06 18:27	160	23	61882250	Kamul27rus	1000661	Мер(182) Баб(180) Дор(57) Авг(184) Ори(200) Неб(198)	45796793	Оли(9456) Акс(8617) Аль(11064) Мер(11064) Каи(9018)		https://www.hero-wars.com?replay_id=1780846022119511440	
07/06 13:17	160	23	61882137	G_G	1139231	Акс(175) Пол(176) Кас(192) Хай(206) Неб(189) Ами(201)	4385509	Мар(6486) Хор(9817) Каи(9456)  ###  Акс(9804)		https://www.hero-wars.com?replay_id=1780827452957097707	
07/06 13:16	160	23	61882137	G_G	1122568	Акс(175) ЛаК(215) Джу(193) Гус(164) Исм(199) Лир(177)	3416055	Фен(9439) Аль(11064) Хор(9817) Оли(9428) Бис(7000)		https://www.hero-wars.com?replay_id=1780827411348435986	
07/06 13:14	160	23	61882137	G_G	1082824	Аль(182) Фаф(165) Ада(179) Себ(202) Айз(168) Юли(187)	3930527	Мар(6486) Каи(9456) Аль(11064) Оли(9428) Акс(9804)		https://www.hero-wars.com?replay_id=1780827296930575219	
07/06 13:13	160	23	61882137	G_G	1014846	Мер(123) Дор(174) Авг(188) Ори(200) Сел(134) Кри(196)	8941803	Акс(9804) Аль(11064) Мер(7396) Хор(9817) Бис(7000)		https://www.hero-wars.com?replay_id=1780827187542488970	
07/06 12:33	160	23	62044999	Пунь Пунь	1059978	Аль(182) ЛаК(209) Ада(128) Лир(186) Кей(162) Аст(194)	1123850	Век(11064) Каи(11064) Фен(10154) Аль(11064) Оли(10380)		https://www.hero-wars.com?replay_id=1780824790124966590	
07/06 12:32	160	23	62044999	Пунь Пунь	1023024	Аль(182) Себ(200) Джу(171) Айз(161) Ясм(204) Руф(104)	2973421	Аль(11064) Век(11064) Оли(10380) Каи(11064) Акс(7532)		https://www.hero-wars.com?replay_id=1780824757953833553	
07/06 12:31	160	23	62044999	Пунь Пунь	1053460	Аль(182) Фла(178) Хай(205) Ами(196) Сат(116) Эле(177)	6130767	Хор(10562) Аль(11064) Акс(7532) Мер(6676) Оли(10380)		https://www.hero-wars.com?replay_id=1780824691813420502	
07/06 12:30	160	23	62044999	Пунь Пунь	992982	Аль(182) Баб(153) Дор(81) Авг(177) Ори(198) Неб(203)	24696706	Акс(7532) Мер(6676) Аль(11064) Хор(10562) Каи(11064)		https://www.hero-wars.com?replay_id=1780824632266293656	
07/06 11:16	160	23	61882154	Виларт	943998	Акс(182) Без(156) Йор(163) Ами(160) Кри(196) Эле(86)	600863	Акс(11064)  ###  Оли(6132) Хор(10154) Мер(6894)		https://www.hero-wars.com?replay_id=1780820174232897911	
07/06 11:14	160	23	61882154	Виларт	933135	Акс(182) Лар(172) Фла(159) Кас(170) Сел(58) Сат(192)	4105502	Мар(5307) Бис(10114) Хор(10154) Акс(11064) Мер(6894)		https://www.hero-wars.com?replay_id=1780820071878244814	
07/06 11:12	160	23	61882154	Виларт	1095060	Акс(182) ЛаК(203) Ада(175) Себ(187) Айз(164) Лир(183)	5524837	Век(9498) Фен(5766) Аль(8518) Акс(11064) Оли(6132)		https://www.hero-wars.com?replay_id=1780819922960690517	
07/06 11:08	160	23	61882154	Виларт	900894	Мер(118) Баб(132) Дор(79) Авг(185) Ори(198) Неб(189)	18736452	 ###   ###  Аль(8518) Мер(6894) Каи(4773)		https://www.hero-wars.com?replay_id=1780819690309970625	
07/06 11:02	160	23	61882154	Виларт	668115	Акс(182) Эйд(156) Бир(118) Гус(84) Муш(76) Крв(51)	17688391	Хор(10154) Акс(11064) Фен(5766) Оли(6132) Аль(8518)		https://www.hero-wars.com?replay_id=1780819324982458412	
07/06 10:31	160	23	61882156	3.14_ZDETS	1146126	Аль(182) Фаф(173) ЛаК(204) Джу(194) Дан(202) Три(191)	990170	Мар(8108) Век(9018) Аль(11064) Каи(11064) Фен(10943)		https://www.hero-wars.com?replay_id=1780817484932123081	
07/06 10:30	160	23	61882156	3.14_ZDETS	1149374	Аль(182) Себ(199) Айз(192) Исм(205) Лир(189) Гал(183)	1645637	Аль(11064) Оли(11064) Фен(10943) Бис(11064)  ### 		https://www.hero-wars.com?replay_id=1780817445210466797	
07/06 10:29	160	23	61882156	3.14_ZDETS	1012046	Аль(182) Фла(146) Йор(142) Хай(183) Ами(190) Эле(168)	2790427	Бис(11064)  ###  Аль(11064) Акс(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1780817379873717094	
07/06 10:27	160	23	61882156	3.14_ZDETS	1087695	Мер(171) Баб(166) Дор(153) Авг(192) Ори(204) Неб(202)	4305925	Акс(11064) Мер(11064) Аль(11064) Хор(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1780817275182975143	
07/06 09:12	160	23	61882168	Тема	649394	Аль(155) Хай(62) Ами(49) Сат(53) Эле(156) Авр(174)	2806843	Аль(9428) Акс(9428) Мер(5479) Бис(4623) Каи(9428)		https://www.hero-wars.com?replay_id=1780812728149690818	
07/06 09:03	160	23	61882168	Тема	640277	Аль(155) Крн(55) Себ(181) Айз(144) Чер(61) Три(46)	1096217	Акс(9428) Аль(9428) Оли(9890) Бис(4623) Фен(3973)		https://www.hero-wars.com?replay_id=1780812234397200926	
07/06 09:01	160	23	61882168	Тема	819308	Акс(155) ЛаК(189) Ада(56) Ясм(190) Лир(171) Гал(58)	597303	Век(3973) Каи(9428) Аль(9428) Бис(4623) Фен(3973)		https://www.hero-wars.com?replay_id=1780812072036627107	
07/06 08:20	160	23	61882177	Rom	788126	Аль(155) Фаф(119) Лар(108) Фол(72) Ада(132) Дан(202)	415426	Оли(11064) Хор(9428) Мер(8688) Век(8518) Каи(11064)		https://www.hero-wars.com?replay_id=1780809657428321255	
07/06 08:19	160	23	61882177	Rom	1068172	Аль(155) Кас(187) Джу(184) Сел(164) Кри(200) Эле(179)	4926851	Мер(8688) Аль(9428) Акс(7804) Хор(9428) Оли(11064)		https://www.hero-wars.com?replay_id=1780809582701149409	
07/06 08:15	160	23	61882177	Rom	1039659	Аль(155) ЛаК(218) Фла(137) Себ(193) Айз(161) Лир(177)	2479349	Век(8518) Акс(7804) Аль(9428) Оли(11064) Фен(6894)		https://www.hero-wars.com?replay_id=1780809349399441442	
07/06 08:00	160	23	61882168	Тема	999127	Мер(94) Баб(169) Дор(162) Авг(184) Ори(195) Неб(194)	22353991	Оли(9890) Акс(9428) Аль(9428) Мер(5479) Каи(9428)		https://www.hero-wars.com?replay_id=1780808412160536347	
07/06 07:01	160	23	62082395	Винни	845585	Акс(182) ЛаК(124) Айз(177) Ами(133) Гус(128) Гал(102)	2053418	Фен(9428) Оли(9468)  ###  Хор(11064) Аль(8866)		https://www.hero-wars.com?replay_id=1780804876156103706	
07/06 07:00	160	23	62082395	Винни	971320	Акс(182) Ада(118) Фла(159) Джу(163) Ясм(166) Эле(184)	4507130	Век(5766) Хор(11064) Фен(9428) Аль(8866) Оли(9468)		https://www.hero-wars.com?replay_id=1780804848850829210	
07/06 07:00	160	23	62082395	Винни	1153968	Акс(182) Себ(195) Дан(194) Исм(202) Лир(185) Аст(195)	515638	Аль(8866) Каи(6894) Фен(9428) Оли(9468) Акс(11064)		https://www.hero-wars.com?replay_id=1780804813001515945	
07/06 06:55	160	23	62082395	Винни	1059516	Акс(182) Баб(134) Дор(183) Авг(179) Ори(197) Неб(186)	28486912	Акс(11064) Мер(7804) Аль(8866) Мар(4773) Каи(6894)		https://www.hero-wars.com?replay_id=1780804555873473724	
06/06 22:00	160	23	62138549	YaElf	981950	Аль(182) Кас(182) Джу(199) Гус(147) Гал(107) Тес(165)	3325854	Мер(6894) Век(10154) Хор(9428) Фен(7021) Оли(10223)		https://www.hero-wars.com?replay_id=1780772448521835276	
06/06 21:50	160	23	62138549	YaElf	1024792	Аль(182) ЛаК(221) Фла(165) Сел(128) Руф(147) Эле(183)	4804247	Век(10154) Хор(9428) Мер(6894) Аль(11064) Оли(10223)		https://www.hero-wars.com?replay_id=1780771856687112779	
06/06 21:47	160	23	62138549	YaElf	1066226	Аль(182) Эйд(188) Бир(148) Мор(159) Муш(194) Крв(194)	32501976	Хор(9428) Мер(6894) Акс(6922) Оли(10223) Аль(11064)		https://www.hero-wars.com?replay_id=1780771656217614102	
06/06 21:44	160	23	62138549	YaElf	1061006	Аль(182) Крн(154) Себ(198) Айз(181) Чер(160) Лир(185)	20166831	Бис(5766) Аль(11064) Акс(6922) Фен(7021) Оли(10223)		https://www.hero-wars.com?replay_id=1780771465608878006	
06/06 20:56	160	23	61882233	2 718	556332	Акс(136) Гел(75) Хай(57) Мод(54) Ара(74) Эле(159)	826089	Акс(7846) Каи(6030) Хор(7580) Аль(8518) Оли(8108)		https://www.hero-wars.com?replay_id=1780768561552540274	
06/06 20:55	160	23	61882233	2 718	808228	Акс(136) Фла(140) Джу(114) Сел(75) Дан(177) Лир(166)	3042845	Акс(7846) Аль(8518) Хор(7580) Фен(8574) Оли(8108)		https://www.hero-wars.com?replay_id=1780768509160833555	
06/06 19:28	160	23	61882212	Оди	1123805	Аль(182) ЛаК(214) Ада(164) Себ(200) Айз(180) Лир(183)	5538458	Век(11064) Каи(7859) Аль(11064) Оли(11064) Фен(7804)		https://www.hero-wars.com?replay_id=1780763314554516202	
06/06 19:27	160	23	61882212	Оди	1073470	Мер(182) Кас(192) Хай(204) Ами(198) Сел(109) Эле(188)	5003623	Мер(11064) Аль(11064) Бис(9986) Акс(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1780763242694360996	
06/06 19:26	160	23	61882212	Оди	1146159	Аль(182) Тея(195) Джу(180) Цин(198) Исм(201) Руф(191)	5840546	Мер(11064) Век(11064) Аль(11064) Фен(7804) Оли(11064)		https://www.hero-wars.com?replay_id=1780763162534897297	
06/06 18:00	160	23	62138500	Diablo	1134460	Аль(182) Эйд(194) Бир(181) Гус(179) Муш(199) Крв(199)	56396257	Хор(11064) Акс(11064) Фен(11064) Оли(11064) Аль(11064)		https://www.hero-wars.com?replay_id=1780758029995431257	
06/06 16:50	160	23	62138500	Diablo	1032744	Мер(182) Баб(136) Дор(109) Авг(194) Ори(206) Неб(205)	58960784	 ###   ###  Аль(11064) Мер(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1780753810778547783	
06/06 16:46	160	23	62138500	Diablo	1150672	Аль(182) Крн(190) Себ(201) Айз(175) Чер(202) Три(200)	222469649	Акс(11064) Аль(11064) Оли(11064) Бис(11064) Фен(11064)		https://www.hero-wars.com?replay_id=1780753611596199623	
06/06 06:22	160	23	61991077	3ve	962754	Аль(182) Тея(160) Айр(128) Йор(162) Кри(173) Тес(157)	2204309	Мар(9428) Бис(8518) Оли(9428) Мер(9439) Аль(11064)		https://www.hero-wars.com?replay_id=1780716176425286783	
06/06 06:20	160	23	61991077	3ve	1100778	Аль(182) Хай(194) Себ(177) Джу(179) Айз(176) Дан(192)	13463968	Аль(11064) Оли(9428) Век(7668) Мар(9428) Фен(9428)		https://www.hero-wars.com?replay_id=1780716028511104152	
06/06 06:20	160	23	61991077	3ve	1035100	Аль(182) Эйд(162) Фла(181) Кас(189) Бир(134) Эле(187)	4632373	Аль(11064) Акс(9428) Хор(9428) Мер(9439) Оли(9428)		https://www.hero-wars.com?replay_id=1780716014637342896	
06/06 06:17	160	23	61991077	3ve	1087025	Акс(155) ЛаК(220) Ада(165) Ясм(193) Лир(184) Авр(170)	5028066	Век(7668) Фен(9428) Аль(11064) Бис(8518) Каи(6074)		https://www.hero-wars.com?replay_id=1780715832553498015	
06/06 05:47	160	23	61882177	Rom	854842	Мер(133) Баб(116) Дор(46) Авг(173) Ори(187) Неб(200)	49590299	Оли(11064) Акс(7804) Аль(9428) Мер(8622) Каи(11064)		https://www.hero-wars.com?replay_id=1780714069175104974	
06/06 03:18	160	23	62092872	MEDVED	1071452	Аль(182) Крн(193) Себ(203) Айз(185) Чер(150) Три(158)	19568353	Бис(11064) Аль(11064) Акс(11064) Оли(11064) Фен(7076)		https://www.hero-wars.com?replay_id=1780705115545077998	
06/06 03:11	160	23	62092872	MEDVED	1051388	Аль(182) Эйд(176) Фла(173) Дан(200) Гус(152) Эле(169)	3865447	Аль(11064) Хор(11064) Каи(11064) Оли(11064) Мер(5876)		https://www.hero-wars.com?replay_id=1780704687658252601	
06/06 03:09	160	23	62092872	MEDVED	1024149	Акс(168) Баб(142) Дор(129) Авг(186) Ори(193) Неб(205)	16314815	 ###  Мер(5876) Аль(11064) Акс(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1780704553771423539	
06/06 03:08	160	23	62092872	MEDVED	1004370	Аль(182) ЛаК(216) Джу(166) Ара(110) Ясм(152) Гал(179)	2873422	Век(11064) Фен(7076) Мар(9018) Каи(11064) Оли(11064)		https://www.hero-wars.com?replay_id=1780704527871709787	
06/06 03:08	160	23	62092872	MEDVED	1075048	Аль(182) Хай(137) Ами(200) Сел(174) Лир(179) Авр(203)	8947699	Аль(11064) Бис(11064) Акс(11064) Оли(11064) Каи(11064)		https://www.hero-wars.com?replay_id=1780704487617761700	
